"ScramblingfromtheSand_RANKTHISWEEK_2008","ScramblingfromtheSand_RANKLASTWEEK_2008","ScramblingfromtheSand_PLAYERNAME_2008","ScramblingfromtheSand_ROUNDS_2008","ScramblingfromtheSand_Pct_2008","ScramblingfromtheSand_SUCCESSES_2008","ScramblingfromtheSand_ATTEMPTS_2008","stat_name","year"
1,1,"Mike Weir",88,72.45,71,98,"ScramblingfromtheSand",2008
2,2,"Padraig Harrington",52,68.18,30,44,"ScramblingfromtheSand",2008
3,3,"Corey Pavin",69,66.27,55,83,"ScramblingfromtheSand",2008
4,4,"Chris Riley",51,65.45,36,55,"ScramblingfromtheSand",2008
5,5,"Scott Verplank",82,65,52,80,"ScramblingfromtheSand",2008
6,6,"Adam Scott",51,64.71,22,34,"ScramblingfromtheSand",2008
7,7,"Phil Mickelson",80,64.38,47,73,"ScramblingfromtheSand",2008
8,8,"Billy Mayfair",103,62.3,76,122,"ScramblingfromtheSand",2008
9,9,"Ernie Els",51,61.7,29,47,"ScramblingfromtheSand",2008
10,10,"Richard Johnson",77,61.06,69,113,"ScramblingfromtheSand",2008
11,11,"Jin Park",85,60.87,56,92,"ScramblingfromtheSand",2008
11,11,"Steve Stricker",75,60.87,42,69,"ScramblingfromtheSand",2008
13,13,"Mark Wilson",107,60.71,68,112,"ScramblingfromtheSand",2008
14,14,"Omar Uresti",74,60.67,54,89,"ScramblingfromtheSand",2008
15,15,"Tom Scherrer",56,60.47,26,43,"ScramblingfromtheSand",2008
16,16,"Dudley Hart",74,60.4,61,101,"ScramblingfromtheSand",2008
17,17,"Gavin Coles",54,60.32,38,63,"ScramblingfromtheSand",2008
18,18,"Ben Curtis",80,59.79,58,97,"ScramblingfromtheSand",2008
19,19,"Daniel Chopra",84,59.41,60,101,"ScramblingfromtheSand",2008
20,20,"Craig Kanada",65,59.04,49,83,"ScramblingfromtheSand",2008
21,21,"Freddie Jacobson",78,58.95,56,95,"ScramblingfromtheSand",2008
22,22,"Briny Baird",113,58.77,67,114,"ScramblingfromtheSand",2008
23,23,"Frank Lickliter II",107,58.59,75,128,"ScramblingfromtheSand",2008
24,24,"Stuart Appleby",87,58.54,48,82,"ScramblingfromtheSand",2008
25,25,"Pat Perez",93,58.33,49,84,"ScramblingfromtheSand",2008
26,26,"Ryuji Imada",80,58.25,60,103,"ScramblingfromtheSand",2008
27,27,"Brett Quigley",80,58.24,53,91,"ScramblingfromtheSand",2008
28,28,"Brian Davis",108,58.16,82,141,"ScramblingfromtheSand",2008
29,29,"Mathew Goggin",91,58.1,61,105,"ScramblingfromtheSand",2008
30,30,"Charles Howell III",101,58,58,100,"ScramblingfromtheSand",2008
30,30,"Sean OHair",81,58,58,100,"ScramblingfromtheSand",2008
32,32,"Heath Slocum",104,57.94,62,107,"ScramblingfromtheSand",2008
33,33,"Brian Gay",102,57.86,81,140,"ScramblingfromtheSand",2008
33,33,"Kevin Na",97,57.86,81,140,"ScramblingfromtheSand",2008
35,35,"Sergio Garcia",72,57.35,39,68,"ScramblingfromtheSand",2008
36,36,"Ben Crane",86,57.29,55,96,"ScramblingfromtheSand",2008
37,37,"Retief Goosen",59,57.14,28,49,"ScramblingfromtheSand",2008
37,37,"Jeff Gove",50,57.14,20,35,"ScramblingfromtheSand",2008
37,37,"Tom Lehman",51,57.14,32,56,"ScramblingfromtheSand",2008
40,40,"Todd Demsey",80,57.02,65,114,"ScramblingfromtheSand",2008
41,41,"Rich Beem",90,57,57,100,"ScramblingfromtheSand",2008
42,42,"Glen Day",64,56.96,45,79,"ScramblingfromtheSand",2008
43,43,"Aaron Baddeley",76,56.94,41,72,"ScramblingfromtheSand",2008
44,44,"Kevin Sutherland",98,56.73,59,104,"ScramblingfromtheSand",2008
45,45,"Charlie Wi",97,56.7,55,97,"ScramblingfromtheSand",2008
