"BestYTD1PuttorBetterStreak_RANKTHISWEEK_2006","BestYTD1PuttorBetterStreak_RANKLASTWEEK_2006","BestYTD1PuttorBetterStreak_PLAYERNAME_2006","BestYTD1PuttorBetterStreak_EVENTS_2006","BestYTD1PuttorBetterStreak_VALUE_2006","stat_name","year"
1,1,"Jerry Kelly",31,15,"BestYTD1PuttorBetterStreak",2006
2,2,"David Howell",14,13,"BestYTD1PuttorBetterStreak",2006
3,3,"Mark Calcavecchia",27,12,"BestYTD1PuttorBetterStreak",2006
3,3,"DJ Trahan",33,12,"BestYTD1PuttorBetterStreak",2006
5,5,"Ben Curtis",26,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Brad Faxon",26,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Steve Flesch",33,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Nathan Green",30,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Graeme McDowell",15,11,"BestYTD1PuttorBetterStreak",2006
5,5,"David McKenzie",28,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Tom Pernice Jr",33,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Bob Tway",25,11,"BestYTD1PuttorBetterStreak",2006
5,5,"Scott Verplank",25,11,"BestYTD1PuttorBetterStreak",2006
14,14,"Eric Axley",29,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Jonathan Byrd",20,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Chad Campbell",25,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Alex Cejka",30,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Daniel Chopra",33,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Ben Crane",26,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Danny Ellis",23,10,"BestYTD1PuttorBetterStreak",2006
14,14,"JJ Henry",28,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Brandt Jobe",28,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Andrew Magee",19,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Paul McGinley",9,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Jesper Parnevik",24,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Corey Pavin",23,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Tag Ridings",33,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Rory Sabbatini",24,10,"BestYTD1PuttorBetterStreak",2006
14,14,"Brett Wetterich",25,10,"BestYTD1PuttorBetterStreak",2006
30,30,"Doug Barron",28,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Henrik Bjornstad",31,9,"BestYTD1PuttorBetterStreak",2006
30,30,"David Branshaw",29,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Chris Couch",27,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Ben Crenshaw",2,9,"BestYTD1PuttorBetterStreak",2006
30,30,"John Engler Jr",27,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Bob Estes",25,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Todd Fischer",35,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Harrison Frazar",29,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Jim Furyk",24,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Brian Gay",31,9,"BestYTD1PuttorBetterStreak",2006
30,30,"John Huston",27,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Richard Johnson",29,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Scott McCarron",15,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Mark OMeara",18,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Jose Maria Olazabal",18,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Craig Parry",15,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Chris Riley",27,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Jason Schultz",28,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Vijay Singh",27,9,"BestYTD1PuttorBetterStreak",2006
30,30,"Chris Wiemers",1,9,"BestYTD1PuttorBetterStreak",2006
51,51,"Robert Allenby",22,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Arjun Atwal",33,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Paul Azinger",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Aaron Baddeley",25,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Paul Casey",8,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Stewart Cink",26,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Jose Coceres",13,8,"BestYTD1PuttorBetterStreak",2006
51,51,"John Daly",21,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Brian Davis",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Luke Donald",18,8,"BestYTD1PuttorBetterStreak",2006
51,51,"James Driscoll",29,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Joe Durant",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"David Duval",24,8,"BestYTD1PuttorBetterStreak",2006
51,51,"David Frost",7,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Mathew Goggin",26,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Mathias Gronberg",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Scott Gutschewski",19,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Dudley Hart",29,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Charles Howell III",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Peter Jacobsen",4,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Lee Janzen",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Zach Johnson",27,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Steve Jones",27,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Kent Jones",32,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Brendan Jones",9,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Robert Karlsson",5,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Shingo Katayama",6,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Jonathan Kaye",32,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Skip Kendall",22,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Wayne Levi",1,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Will Ma Kenzie",29,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Shigeki Maruyama",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Len Mattiace",22,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Ryan Moore",22,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Sean OHair",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Arron Oberholser",23,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Geoff Ogilvy",20,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Jeff Overton",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Ryan Palmer",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Rod Pampling",24,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Pat Perez",19,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Tim Petrovic",30,8,"BestYTD1PuttorBetterStreak",2006
51,51,"DA Points",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Ian Poulter",15,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Ted Purdy",33,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Justin Rose",28,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Marco Ruiz",1,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Wes Short Jr",33,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Joey Sindelar",29,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Chris Smith",21,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Mike Sposa",25,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Henrik Stenson",10,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Steve Stricker",17,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Hidemichi Tanaka",31,8,"BestYTD1PuttorBetterStreak",2006
51,51,"David Toms",22,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Nick Watney",29,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Lee Westwood",14,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Jay Williamson",18,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Dean Wilson",34,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Thaworn Wiratchant",3,8,"BestYTD1PuttorBetterStreak",2006
51,51,"Azuma Yano",1,8,"BestYTD1PuttorBetterStreak",2006
112,112,"Michael Allen",25,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Stephen Ames",21,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Billy Andrade",24,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Stuart Appleby",23,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Alex Aragon",26,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Woody Austin",31,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Briny Baird",25,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Brian Bateman",26,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Shane Bertsch",34,7,"BestYTD1PuttorBetterStreak",2006
112,112,"John Bickerton",4,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Thomas Bjorn",7,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Robert Boisvert",1,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Steven Bowditch",22,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Jeff Brehaut",33,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Olin Browne",30,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Bob Burns",9,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Michael Campbell",10,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Greg Chalmers",28,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Tim Clark",22,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Michael Connell",22,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Fred Couples",17,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Kris Cox",28,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Marco Dawson",27,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Brent Delahoussaye",1,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Jay Delsing",14,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Chris DiMarco",26,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Ernie Els",18,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Dan Forsman",15,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Carlos Franco",29,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Cody Freeman",1,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Fred Funk",29,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Robert Garrigus",28,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Brent Geiberger",30,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Lucas Glover",31,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Retief Goosen",18,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Jason Gore",29,7,"BestYTD1PuttorBetterStreak",2006
112,112,"David Gossett",7,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Scott Gump",10,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Bill Haas",30,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Todd Hamilton",27,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Padraig Harrington",15,7,"BestYTD1PuttorBetterStreak",2006
112,112,"JP Hayes",19,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Mark Hensby",16,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Tim Herron",27,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Ryan Hietala",23,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Charley Hoffman",29,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Ryuji Imada",31,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Yasuharu Imano",2,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Freddie Jacobson",18,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Thongchai Jaidee",2,7,"BestYTD1PuttorBetterStreak",2006
112,112,"Anthony Kim",2,7,"BestYTD1PuttorBetterStreak",2006
