"TenthTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2010","TenthTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2010","TenthTeeEarlyPar3ScoringAverage_PLAYERNAME_2010","TenthTeeEarlyPar3ScoringAverage_ROUNDS_2010","TenthTeeEarlyPar3ScoringAverage_AVG_2010","TenthTeeEarlyPar3ScoringAverage_TOTALSTROKES_2010","TenthTeeEarlyPar3ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Stephen Ames",75,2.76,102,37,"TenthTeeEarlyPar3ScoringAverage",2010
2,2,"Zach Johnson",93,2.8,123,44,"TenthTeeEarlyPar3ScoringAverage",2010
3,3,"Mark Wilson",87,2.84,199,70,"TenthTeeEarlyPar3ScoringAverage",2010
4,4,"Steve Marino",81,2.85,148,52,"TenthTeeEarlyPar3ScoringAverage",2010
5,5,"Jason Day",82,2.87,129,45,"TenthTeeEarlyPar3ScoringAverage",2010
6,6,"Justin Leonard",89,2.88,161,56,"TenthTeeEarlyPar3ScoringAverage",2010
7,7,"Shaun Micheel",70,2.89,127,44,"TenthTeeEarlyPar3ScoringAverage",2010
8,8,"Chad Campbell",95,2.9,174,60,"TenthTeeEarlyPar3ScoringAverage",2010
8,8,"Tim Clark",88,2.9,145,50,"TenthTeeEarlyPar3ScoringAverage",2010
10,10,"Paul Stankowski",62,2.91,163,56,"TenthTeeEarlyPar3ScoringAverage",2010
11,11,"Ben Curtis",78,2.92,187,64,"TenthTeeEarlyPar3ScoringAverage",2010
11,11,"Bill Haas",87,2.92,146,50,"TenthTeeEarlyPar3ScoringAverage",2010
13,13,"Hunter Mahan",85,2.93,164,56,"TenthTeeEarlyPar3ScoringAverage",2010
13,13,"Bryce Molder",84,2.93,202,69,"TenthTeeEarlyPar3ScoringAverage",2010
13,13,"Vance Veazey",58,2.93,176,60,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Jim Furyk",76,2.94,206,70,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Tom Gillis",97,2.94,141,48,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Freddie Jacobson",83,2.94,191,65,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Troy Merritt",86,2.94,250,85,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Phil Mickelson",76,2.94,200,68,"TenthTeeEarlyPar3ScoringAverage",2010
16,16,"Tom Pernice Jr",74,2.94,94,32,"TenthTeeEarlyPar3ScoringAverage",2010
22,22,"Paul Casey",64,2.95,59,20,"TenthTeeEarlyPar3ScoringAverage",2010
22,22,"Steve Stricker",73,2.95,168,57,"TenthTeeEarlyPar3ScoringAverage",2010
22,22,"Steve Wheatcroft",74,2.95,177,60,"TenthTeeEarlyPar3ScoringAverage",2010
22,22,"Charlie Wi",95,2.95,245,83,"TenthTeeEarlyPar3ScoringAverage",2010
26,26,"Brendon de Jonge",114,2.96,219,74,"TenthTeeEarlyPar3ScoringAverage",2010
26,26,"David Duval",71,2.96,198,67,"TenthTeeEarlyPar3ScoringAverage",2010
26,26,"Mathias Gronberg",61,2.96,166,56,"TenthTeeEarlyPar3ScoringAverage",2010
26,26,"Heath Slocum",97,2.96,246,83,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Brian Davis",101,2.97,336,113,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Luke Donald",71,2.97,98,33,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"JP Hayes",79,2.97,279,94,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Charles Howell III",103,2.97,193,65,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Jerry Kelly",99,2.97,217,73,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Martin Laird",91,2.97,208,70,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"David Lutterus",69,2.97,190,64,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Scott McCarron",90,2.97,190,64,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Jeff Overton",89,2.97,181,61,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Rod Pampling",77,2.97,211,71,"TenthTeeEarlyPar3ScoringAverage",2010
30,30,"Brett Quigley",96,2.97,276,93,"TenthTeeEarlyPar3ScoringAverage",2010
41,41,"Cameron Beckman",68,2.98,122,41,"TenthTeeEarlyPar3ScoringAverage",2010
41,41,"Michael Bradley",77,2.98,182,61,"TenthTeeEarlyPar3ScoringAverage",2010
41,41,"Steve Elkington",74,2.98,164,55,"TenthTeeEarlyPar3ScoringAverage",2010
41,41,"Brian Gay",101,2.98,149,50,"TenthTeeEarlyPar3ScoringAverage",2010
