"ReverseBounceBack_RANKTHISWEEK_2009","ReverseBounceBack_RANKLASTWEEK_2009","ReverseBounceBack_PLAYERNAME_2009","ReverseBounceBack_ROUNDS_2009","ReverseBounceBack_PctUNDERTHENOVERPAR_2009","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2009","ReverseBounceBack_UNDERPAR_2009","stat_name","year"
1,1,"Kevin Stadler",65,8.87,18,203,"ReverseBounceBack",2009
2,2,"Tiger Woods",64,10.47,27,258,"ReverseBounceBack",2009
3,3,"Tommy Armour III",58,10.82,21,194,"ReverseBounceBack",2009
4,4,"Mark Brooks",55,11.76,20,170,"ReverseBounceBack",2009
5,5,"Brian Gay",96,11.8,38,322,"ReverseBounceBack",2009
6,6,"Greg Chalmers",85,11.9,37,311,"ReverseBounceBack",2009
7,7,"Tim Clark",81,11.95,35,293,"ReverseBounceBack",2009
8,8,"Jim Furyk",86,12.04,36,299,"ReverseBounceBack",2009
9,9,"Brandt Snedeker",81,12.09,33,273,"ReverseBounceBack",2009
10,10,"Matt Jones",56,12.56,25,199,"ReverseBounceBack",2009
11,11,"Mike Weir",85,12.59,36,286,"ReverseBounceBack",2009
12,12,"Tim Petrovic",97,12.73,42,330,"ReverseBounceBack",2009
13,13,"Rod Pampling",72,12.76,31,243,"ReverseBounceBack",2009
14,14,"Phil Mickelson",66,12.82,30,234,"ReverseBounceBack",2009
15,15,"Steve Stricker",81,12.83,39,304,"ReverseBounceBack",2009
16,16,"Charley Hoffman",97,12.98,47,362,"ReverseBounceBack",2009
17,17,"Luke Donald",79,13.08,34,260,"ReverseBounceBack",2009
18,18,"Jason Day",61,13.1,30,229,"ReverseBounceBack",2009
19,19,"David Toms",98,13.31,47,353,"ReverseBounceBack",2009
20,20,"Zach Johnson",94,13.39,45,336,"ReverseBounceBack",2009
21,21,"Briny Baird",89,13.44,41,305,"ReverseBounceBack",2009
22,22,"Padraig Harrington",66,13.49,29,215,"ReverseBounceBack",2009
23,23,"Tom Lehman",55,13.51,20,148,"ReverseBounceBack",2009
24,24,"Woody Austin",84,13.54,39,288,"ReverseBounceBack",2009
25,25,"Charles Howell III",99,13.55,45,332,"ReverseBounceBack",2009
26,26,"Chad Campbell",90,13.78,43,312,"ReverseBounceBack",2009
27,27,"Chris Riley",77,13.82,38,275,"ReverseBounceBack",2009
28,28,"Troy Matteson",95,13.83,43,311,"ReverseBounceBack",2009
29,29,"KJ Choi",65,13.85,27,195,"ReverseBounceBack",2009
29,29,"Webb Simpson",94,13.85,45,325,"ReverseBounceBack",2009
31,31,"Geoff Ogilvy",78,13.86,37,267,"ReverseBounceBack",2009
32,32,"Spencer Levin",75,13.97,32,229,"ReverseBounceBack",2009
32,32,"Johnson Wagner",81,13.97,38,272,"ReverseBounceBack",2009
34,34,"Chez Reavie",81,14,35,250,"ReverseBounceBack",2009
35,35,"Ryan Moore",89,14.02,46,328,"ReverseBounceBack",2009
36,36,"Kevin Na",91,14.06,45,320,"ReverseBounceBack",2009
37,37,"Patrick Sheehan",51,14.11,23,163,"ReverseBounceBack",2009
38,38,"JJ Henry",97,14.19,44,310,"ReverseBounceBack",2009
38,38,"Matt Kuchar",82,14.19,42,296,"ReverseBounceBack",2009
40,40,"Jason Dufner",90,14.24,45,316,"ReverseBounceBack",2009
41,41,"Ian Poulter",59,14.29,26,182,"ReverseBounceBack",2009
42,42,"Scott McCarron",91,14.33,44,307,"ReverseBounceBack",2009
43,43,"Bob Heintz",59,14.43,29,201,"ReverseBounceBack",2009
44,44,"Robert Allenby",71,14.49,31,214,"ReverseBounceBack",2009
44,44,"Casey Wittenberg",71,14.49,31,214,"ReverseBounceBack",2009
46,46,"Freddie Jacobson",83,14.54,41,282,"ReverseBounceBack",2009
47,47,"Bubba Watson",73,14.61,39,267,"ReverseBounceBack",2009
48,48,"Bryce Molder",69,14.66,34,232,"ReverseBounceBack",2009
49,49,"Jeff Quinney",78,14.76,40,271,"ReverseBounceBack",2009
50,50,"Nick OHern",90,14.77,44,298,"ReverseBounceBack",2009
51,51,"Jerry Kelly",90,14.78,47,318,"ReverseBounceBack",2009
52,52,"Chris Stroud",88,14.83,47,317,"ReverseBounceBack",2009
53,53,"Bo Van Pelt",100,14.84,57,384,"ReverseBounceBack",2009
54,54,"Brian Vranesh",51,15,24,160,"ReverseBounceBack",2009
55,55,"Ben Curtis",63,15.03,29,193,"ReverseBounceBack",2009
56,56,"Bob Estes",78,15.06,39,259,"ReverseBounceBack",2009
57,57,"Tom Pernice Jr",82,15.15,40,264,"ReverseBounceBack",2009
58,58,"Charles Warren",63,15.21,33,217,"ReverseBounceBack",2009
59,59,"Tim Herron",87,15.23,46,302,"ReverseBounceBack",2009
60,60,"Colt Knost",71,15.25,36,236,"ReverseBounceBack",2009
60,60,"Aron Price",89,15.25,43,282,"ReverseBounceBack",2009
62,62,"Jeff Klauk",97,15.29,48,314,"ReverseBounceBack",2009
63,63,"Boo Weekley",79,15.33,40,261,"ReverseBounceBack",2009
64,64,"Michael Allen",73,15.35,39,254,"ReverseBounceBack",2009
65,65,"Mark Wilson",99,15.38,52,338,"ReverseBounceBack",2009
66,66,"Jonathan Byrd",89,15.47,54,349,"ReverseBounceBack",2009
66,66,"Lucas Glover",93,15.47,54,349,"ReverseBounceBack",2009
68,68,"Jarrod Lyle",65,15.51,29,187,"ReverseBounceBack",2009
69,69,"Richard Johnson",85,15.52,43,277,"ReverseBounceBack",2009
70,70,"Jeff Maggert",79,15.56,40,257,"ReverseBounceBack",2009
71,71,"Scott Verplank",88,15.61,49,314,"ReverseBounceBack",2009
72,72,"DJ Trahan",96,15.65,54,345,"ReverseBounceBack",2009
73,73,"Steve Marino",98,15.85,55,347,"ReverseBounceBack",2009
74,74,"Heath Slocum",95,15.91,49,308,"ReverseBounceBack",2009
75,75,"Brad Adamonis",70,15.96,34,213,"ReverseBounceBack",2009
76,76,"Jason Gore",74,15.97,38,238,"ReverseBounceBack",2009
77,77,"Lee Janzen",74,16,40,250,"ReverseBounceBack",2009
78,78,"Kevin Sutherland",96,16.01,53,331,"ReverseBounceBack",2009
79,79,"Michael Letzig",96,16.03,55,343,"ReverseBounceBack",2009
79,79,"Rory Sabbatini",81,16.03,46,287,"ReverseBounceBack",2009
81,81,"James Nitties",86,16.04,47,293,"ReverseBounceBack",2009
82,82,"DA Points",99,16.1,57,354,"ReverseBounceBack",2009
83,83,"Kevin Streelman",97,16.14,56,347,"ReverseBounceBack",2009
84,84,"Steve Lowery",83,16.25,45,277,"ReverseBounceBack",2009
85,85,"Charlie Wi",92,16.26,53,326,"ReverseBounceBack",2009
86,86,"Cameron Beckman",87,16.31,46,282,"ReverseBounceBack",2009
87,87,"Anthony Kim",76,16.38,48,293,"ReverseBounceBack",2009
88,88,"Retief Goosen",74,16.39,39,238,"ReverseBounceBack",2009
89,89,"Dustin Johnson",85,16.41,54,329,"ReverseBounceBack",2009
90,90,"Aaron Baddeley",66,16.52,37,224,"ReverseBounceBack",2009
91,91,"Pat Perez",74,16.54,42,254,"ReverseBounceBack",2009
92,92,"Hunter Mahan",94,16.58,61,368,"ReverseBounceBack",2009
93,93,"Ben Crane",93,16.67,56,336,"ReverseBounceBack",2009
93,93,"Ryuji Imada",85,16.67,46,276,"ReverseBounceBack",2009
93,93,"Andres Romero",58,16.67,33,198,"ReverseBounceBack",2009
96,96,"Glen Day",79,16.73,41,245,"ReverseBounceBack",2009
96,96,"Bill Lunde",83,16.73,45,269,"ReverseBounceBack",2009
98,98,"Todd Hamilton",83,16.8,42,250,"ReverseBounceBack",2009
