"FairwayProximity_RANKTHISWEEK_2010","FairwayProximity_RANKLASTWEEK_2010","FairwayProximity_PLAYERNAME_2010","FairwayProximity_ROUNDS_2010","FairwayProximity_AVG_2010","FairwayProximity_ATTEMPTS_2010","FairwayProximity_TOTALDISTANCEFEET_2010","FairwayProximity_RELATIVETOPAR_2010","stat_name","year"
1,1,"Jay Williamson",76,NA,863,24128.583,-54,"FairwayProximity",2010
2,2,"Tim Clark",88,NA,991,27868.25,-91,"FairwayProximity",2010
3,3,"Brendon de Jonge",114,NA,1248,35921,-137,"FairwayProximity",2010
3,3,"Robert Garrigus",71,NA,735,21121.083,-52,"FairwayProximity",2010
5,5,"Rickie Fowler",98,NA,1079,31139.417,-114,"FairwayProximity",2010
6,6,"Chad Campbell",95,NA,1150,33224.5,-113,"FairwayProximity",2010
7,7,"Joe Durant",67,NA,852,24713.333,-85,"FairwayProximity",2010
8,8,"KJ Choi",82,NA,836,24319.083,-81,"FairwayProximity",2010
9,9,"Paul Casey",64,NA,568,16576.333,-91,"FairwayProximity",2010
9,9,"Phil Mickelson",76,NA,648,18921.333,-84,"FairwayProximity",2010
9,9,"Kenny Perry",69,NA,775,22606.167,-78,"FairwayProximity",2010
9,9,"David Toms",86,NA,1000,29141.417,-108,"FairwayProximity",2010
13,13,"Michael Connell",89,NA,1033,30293.5,-89,"FairwayProximity",2010
13,13,"Cliff Kresge",50,NA,632,18531.333,-16,"FairwayProximity",2010
15,15,"Tom Pernice Jr",74,NA,801,23579.167,-54,"FairwayProximity",2010
16,16,"Jason Bohn",84,NA,1034,30500.833,-95,"FairwayProximity",2010
16,16,"Dean Wilson",54,NA,660,19469.833,-67,"FairwayProximity",2010
18,18,"David Duval",71,NA,700,20719.667,-65,"FairwayProximity",2010
18,18,"Brett Wetterich",54,NA,667,19708.667,-46,"FairwayProximity",2010
20,20,"Spencer Levin",110,NA,1332,39543,-132,"FairwayProximity",2010
20,20,"Steve Stricker",73,NA,772,22924.917,-119,"FairwayProximity",2010
20,20,"Boo Weekley",88,NA,1004,29822.667,-88,"FairwayProximity",2010
23,23,"Paul Goydos",78,NA,936,27864.917,-58,"FairwayProximity",2010
23,23,"Marc Leishman",87,NA,883,26292.917,-81,"FairwayProximity",2010
23,23,"Rocco Mediate",71,NA,846,25194.917,-59,"FairwayProximity",2010
23,23,"Kevin Na",94,NA,1029,30588.917,-133,"FairwayProximity",2010
23,23,"Vijay Singh",75,NA,736,21881.5,-62,"FairwayProximity",2010
23,23,"Charles Warren",64,NA,736,21914.75,-70,"FairwayProximity",2010
29,29,"Briny Baird",87,NA,1092,32542.083,-83,"FairwayProximity",2010
29,29,"Cameron Percy",73,NA,749,22331,-53,"FairwayProximity",2010
29,29,"Heath Slocum",97,NA,1046,31164.583,-91,"FairwayProximity",2010
32,32,"Brian Gay",101,NA,1216,36378.25,-98,"FairwayProximity",2010
33,33,"John Daly",63,NA,550,16483.833,-30,"FairwayProximity",2010
33,33,"Bob Estes",79,NA,931,27954.5,-62,"FairwayProximity",2010
33,33,"Michael Letzig",84,NA,1064,31946.833,-96,"FairwayProximity",2010
33,33,"Troy Matteson",84,NA,1006,30174.417,-69,"FairwayProximity",2010
33,33,"Omar Uresti",74,NA,898,26975,-34,"FairwayProximity",2010
38,38,"Pat Perez",90,NA,1135,34126,-132,"FairwayProximity",2010
38,38,"Aron Price",70,NA,861,25917,-107,"FairwayProximity",2010
38,38,"Brandt Snedeker",89,NA,1016,30575.333,-90,"FairwayProximity",2010
38,38,"Paul Stankowski",62,NA,728,21922.167,-85,"FairwayProximity",2010
42,42,"Charley Hoffman",85,NA,1011,30515,-129,"FairwayProximity",2010
