"AccuracyRating_RANKTHISWEEK_2010","AccuracyRating_RANKLASTWEEK_2010","AccuracyRating_PLAYERNAME_2010","AccuracyRating_EVENTS_2010","AccuracyRating_RATING_2010","stat_name","year"
1,1,"Jon Mills",1,8.5,"AccuracyRating",2010
2,2,"Graeme McDowell",4,8.4,"AccuracyRating",2010
3,3,"Louis Oosthuizen",1,8.3,"AccuracyRating",2010
4,4,"Robert Gamez",1,8.2,"AccuracyRating",2010
4,4,"Colin Montgomerie",1,8.2,"AccuracyRating",2010
6,6,"Guy Boros",2,8.1,"AccuracyRating",2010
6,6,"James Kingston",1,8.1,"AccuracyRating",2010
8,8,"Kent Jones",3,8,"AccuracyRating",2010
8,8,"Len Mattiace",1,8,"AccuracyRating",2010
8,8,"Chez Reavie",5,8,"AccuracyRating",2010
8,8,"Tag Ridings",1,8,"AccuracyRating",2010
12,12,"Alex Hamilton",1,7.9,"AccuracyRating",2010
12,12,"Greg Kraft",2,7.9,"AccuracyRating",2010
12,12,"Jamie Lovemark",2,7.9,"AccuracyRating",2010
15,15,"Tim Clark",17,7.8,"AccuracyRating",2010
15,15,"John Huston",2,7.8,"AccuracyRating",2010
15,15,"Brock Mackenzie",1,7.8,"AccuracyRating",2010
15,15,"Gary Woodland",3,7.8,"AccuracyRating",2010
19,19,"Rickie Fowler",18,7.7,"AccuracyRating",2010
20,20,"Shane Bertsch",3,7.6,"AccuracyRating",2010
20,20,"Chad Campbell",17,7.6,"AccuracyRating",2010
20,20,"Alex Cejka",11,7.6,"AccuracyRating",2010
20,20,"KJ Choi",15,7.6,"AccuracyRating",2010
20,20,"Jeff Gove",4,7.6,"AccuracyRating",2010
20,20,"Tom Lehman",4,7.6,"AccuracyRating",2010
20,20,"David Toms",15,7.6,"AccuracyRating",2010
20,20,"Jay Williamson",11,7.6,"AccuracyRating",2010
28,28,"Robert Allenby",14,7.5,"AccuracyRating",2010
28,28,"Tom Byrum",1,7.5,"AccuracyRating",2010
28,28,"Brendon de Jonge",20,7.5,"AccuracyRating",2010
28,28,"Rocco Mediate",10,7.5,"AccuracyRating",2010
28,28,"Nick OHern",5,7.5,"AccuracyRating",2010
28,28,"Kenny Perry",13,7.5,"AccuracyRating",2010
28,28,"Jason Schultz",1,7.5,"AccuracyRating",2010
28,28,"Heath Slocum",19,7.5,"AccuracyRating",2010
28,28,"Steve Stricker",14,7.5,"AccuracyRating",2010
37,37,"Craig Barlow",4,7.4,"AccuracyRating",2010
37,37,"Joe Durant",13,7.4,"AccuracyRating",2010
37,37,"Jim Furyk",15,7.4,"AccuracyRating",2010
37,37,"Rob Grube",1,7.4,"AccuracyRating",2010
37,37,"Jeff Maggert",9,7.4,"AccuracyRating",2010
37,37,"John Mallinger",9,7.4,"AccuracyRating",2010
37,37,"Francesco Molinari",3,7.4,"AccuracyRating",2010
37,37,"Ryan Moore",12,7.4,"AccuracyRating",2010
37,37,"Vijay Singh",12,7.4,"AccuracyRating",2010
37,37,"Omar Uresti",8,7.4,"AccuracyRating",2010
37,37,"Nick Watney",17,7.4,"AccuracyRating",2010
37,37,"Lee Westwood",6,7.4,"AccuracyRating",2010
49,49,"Briny Baird",14,7.3,"AccuracyRating",2010
49,49,"Kris Blanks",13,7.3,"AccuracyRating",2010
49,49,"Ben Crane",16,7.3,"AccuracyRating",2010
49,49,"Glen Day",5,7.3,"AccuracyRating",2010
49,49,"Jason Dufner",15,7.3,"AccuracyRating",2010
49,49,"John Ellis",1,7.3,"AccuracyRating",2010
49,49,"Paul Goydos",14,7.3,"AccuracyRating",2010
49,49,"Trevor Immelman",6,7.3,"AccuracyRating",2010
49,49,"Jerry Kelly",18,7.3,"AccuracyRating",2010
49,49,"Cliff Kresge",8,7.3,"AccuracyRating",2010
49,49,"Spencer Levin",22,7.3,"AccuracyRating",2010
49,49,"Adam Scott",12,7.3,"AccuracyRating",2010
49,49,"Chris Smith",1,7.3,"AccuracyRating",2010
