"Scrambling2030ydsRTPScore_RANKTHISWEEK_2008","Scrambling2030ydsRTPScore_RANKLASTWEEK_2008","Scrambling2030ydsRTPScore_PLAYERNAME_2008","Scrambling2030ydsRTPScore_ROUNDS_2008","Scrambling2030ydsRTPScore_AVGRTP_2008","Scrambling2030ydsRTPScore_TOTALHOLES_2008","Scrambling2030ydsRTPScore_TOTALRTP_2008","stat_name","year"
61,61,"JP Hayes",67,0.478,92,44,"Scrambling2030ydsRTPScore",2008
62,62,"Scott McCarron",63,0.479,73,35,"Scrambling2030ydsRTPScore",2008
63,63,"Brandt Snedeker",85,0.481,77,37,"Scrambling2030ydsRTPScore",2008
64,64,"Steve Lowery",74,0.482,83,40,"Scrambling2030ydsRTPScore",2008
64,64,"Ted Purdy",68,0.482,56,27,"Scrambling2030ydsRTPScore",2008
66,66,"Aaron Baddeley",76,0.483,87,42,"Scrambling2030ydsRTPScore",2008
67,67,"Padraig Harrington",52,0.486,37,18,"Scrambling2030ydsRTPScore",2008
68,68,"Michael Letzig",88,0.488,82,40,"Scrambling2030ydsRTPScore",2008
68,68,"Nick Watney",96,0.488,82,40,"Scrambling2030ydsRTPScore",2008
70,70,"Lucas Glover",91,0.489,88,43,"Scrambling2030ydsRTPScore",2008
70,70,"Charles Howell III",101,0.489,92,45,"Scrambling2030ydsRTPScore",2008
72,72,"Dean Wilson",109,0.49,96,47,"Scrambling2030ydsRTPScore",2008
73,73,"Lee Janzen",89,0.493,75,37,"Scrambling2030ydsRTPScore",2008
74,74,"Ryuji Imada",80,0.494,81,40,"Scrambling2030ydsRTPScore",2008
75,75,"Richard Johnson",77,0.495,93,46,"Scrambling2030ydsRTPScore",2008
75,75,"Kevin Streelman",114,0.495,109,54,"Scrambling2030ydsRTPScore",2008
77,77,"Bart Bryant",81,0.5,72,36,"Scrambling2030ydsRTPScore",2008
77,77,"Paul Goydos",78,0.5,82,41,"Scrambling2030ydsRTPScore",2008
77,77,"Nathan Green",95,0.5,130,65,"Scrambling2030ydsRTPScore",2008
77,77,"Carl Pettersson",110,0.5,102,51,"Scrambling2030ydsRTPScore",2008
77,77,"Ron Whittaker",54,0.5,56,28,"Scrambling2030ydsRTPScore",2008
82,82,"James Driscoll",85,0.505,95,48,"Scrambling2030ydsRTPScore",2008
82,82,"Brian Gay",102,0.505,99,50,"Scrambling2030ydsRTPScore",2008
82,82,"Kevin Na",97,0.505,95,48,"Scrambling2030ydsRTPScore",2008
82,82,"Patrick Sheehan",124,0.505,101,51,"Scrambling2030ydsRTPScore",2008
86,86,"Martin Laird",98,0.506,83,42,"Scrambling2030ydsRTPScore",2008
87,87,"Jason Allred",63,0.507,69,35,"Scrambling2030ydsRTPScore",2008
87,87,"Jimmy Walker",73,0.507,69,35,"Scrambling2030ydsRTPScore",2008
89,89,"KJ Choi",74,0.509,55,28,"Scrambling2030ydsRTPScore",2008
89,89,"Will Ma Kenzie",62,0.509,55,28,"Scrambling2030ydsRTPScore",2008
91,91,"Justin Leonard",101,0.511,90,46,"Scrambling2030ydsRTPScore",2008
92,92,"Mark Calcavecchia",67,0.512,43,22,"Scrambling2030ydsRTPScore",2008
92,92,"Ben Crane",86,0.512,84,43,"Scrambling2030ydsRTPScore",2008
94,94,"Davis Love III",78,0.513,76,39,"Scrambling2030ydsRTPScore",2008
95,95,"JB Holmes",86,0.514,74,38,"Scrambling2030ydsRTPScore",2008
95,95,"Anthony Kim",81,0.514,70,36,"Scrambling2030ydsRTPScore",2008
95,95,"Tom Lehman",51,0.514,35,18,"Scrambling2030ydsRTPScore",2008
95,95,"Bob Sowards",61,0.514,74,38,"Scrambling2030ydsRTPScore",2008
99,99,"Angel Cabrera",55,0.516,31,16,"Scrambling2030ydsRTPScore",2008
99,99,"Doug LaBelle II",65,0.516,62,32,"Scrambling2030ydsRTPScore",2008
99,99,"David Lutterus",59,0.516,62,32,"Scrambling2030ydsRTPScore",2008
102,102,"Chris DiMarco",87,0.518,85,44,"Scrambling2030ydsRTPScore",2008
102,102,"Freddie Jacobson",78,0.518,85,44,"Scrambling2030ydsRTPScore",2008
105,105,"Vaughn Taylor",103,0.52,100,52,"Scrambling2030ydsRTPScore",2008
106,106,"Heath Slocum",104,0.521,71,37,"Scrambling2030ydsRTPScore",2008
107,107,"Johnson Wagner",83,0.523,88,46,"Scrambling2030ydsRTPScore",2008
108,108,"Ryan Armour",87,0.525,99,52,"Scrambling2030ydsRTPScore",2008
108,108,"Bubba Watson",97,0.525,80,42,"Scrambling2030ydsRTPScore",2008
110,110,"Brad Adamonis",87,0.526,97,51,"Scrambling2030ydsRTPScore",2008
110,110,"Bill Haas",99,0.526,97,51,"Scrambling2030ydsRTPScore",2008
112,112,"Jonathan Byrd",88,0.527,74,39,"Scrambling2030ydsRTPScore",2008
112,112,"Jin Park",85,0.527,74,39,"Scrambling2030ydsRTPScore",2008
112,112,"Mark Wilson",107,0.527,112,59,"Scrambling2030ydsRTPScore",2008
115,115,"Boo Weekley",86,0.528,72,38,"Scrambling2030ydsRTPScore",2008
116,116,"Scott Sterling",89,0.529,68,36,"Scrambling2030ydsRTPScore",2008
116,116,"Omar Uresti",74,0.529,68,36,"Scrambling2030ydsRTPScore",2008
118,118,"Kenneth Ferrie",72,0.531,64,34,"Scrambling2030ydsRTPScore",2008
119,119,"Bo Van Pelt",101,0.535,86,46,"Scrambling2030ydsRTPScore",2008
120,120,"Mathias Gronberg",87,0.536,112,60,"Scrambling2030ydsRTPScore",2008
121,121,"Paul Casey",55,0.537,41,22,"Scrambling2030ydsRTPScore",2008
121,121,"Rory Sabbatini",77,0.537,67,36,"Scrambling2030ydsRTPScore",2008
123,123,"Jim McGovern",75,0.538,78,42,"Scrambling2030ydsRTPScore",2008
123,123,"Rocco Mediate",87,0.538,78,42,"Scrambling2030ydsRTPScore",2008
123,123,"Jeff Overton",103,0.538,117,63,"Scrambling2030ydsRTPScore",2008
126,126,"Tim Clark",90,0.539,76,41,"Scrambling2030ydsRTPScore",2008
126,126,"Tim Petrovic",97,0.539,89,48,"Scrambling2030ydsRTPScore",2008
128,128,"Steve Allan",58,0.54,50,27,"Scrambling2030ydsRTPScore",2008
