"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2006","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2006","GoingfortheGreenBirdieorBetter_PLAYERNAME_2006","GoingfortheGreenBirdieorBetter_ROUNDS_2006","GoingfortheGreenBirdieorBetter_Pct_2006","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2006","GoingfortheGreenBirdieorBetter_ATTEMPTS_2006","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2006","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2006","stat_name","year"
1,1,"Michael Allen",84,71.07,86,121,-91,-4,"GoingfortheGreenBirdieorBetter",2006
2,2,"Steve Stricker",64,69.44,50,72,-54,-26,"GoingfortheGreenBirdieorBetter",2006
3,3,"Jim Furyk",89,68.18,75,110,-76,-32,"GoingfortheGreenBirdieorBetter",2006
4,4,"Craig Barlow",77,65.97,95,144,-106,1,"GoingfortheGreenBirdieorBetter",2006
5,5,"Mike Sposa",68,65.69,67,102,-70,2,"GoingfortheGreenBirdieorBetter",2006
6,6,"Tiger Woods",55,64.65,64,99,-72,-7,"GoingfortheGreenBirdieorBetter",2006
7,7,"Dudley Hart",83,64.55,71,110,-75,-6,"GoingfortheGreenBirdieorBetter",2006
8,8,"Vijay Singh",103,64.45,136,211,-148,-4,"GoingfortheGreenBirdieorBetter",2006
9,9,"Will Ma Kenzie",91,64.2,104,162,-112,-9,"GoingfortheGreenBirdieorBetter",2006
10,10,"Chad Campbell",91,63.72,72,113,-79,6,"GoingfortheGreenBirdieorBetter",2006
11,11,"David Toms",76,63.46,66,104,-72,-15,"GoingfortheGreenBirdieorBetter",2006
12,12,"Stuart Appleby",83,63.24,86,136,-90,-15,"GoingfortheGreenBirdieorBetter",2006
13,13,"Ben Crane",85,63.21,67,106,-71,-10,"GoingfortheGreenBirdieorBetter",2006
14,14,"Tim Clark",80,63.1,53,84,-55,-40,"GoingfortheGreenBirdieorBetter",2006
15,15,"Vaughn Taylor",88,62.76,91,145,-98,-21,"GoingfortheGreenBirdieorBetter",2006
16,16,"Trevor Immelman",86,62.75,96,153,-103,-20,"GoingfortheGreenBirdieorBetter",2006
17,17,"Bo Van Pelt",102,62.5,120,192,-128,-5,"GoingfortheGreenBirdieorBetter",2006
18,18,"Jesper Parnevik",84,62.16,115,185,-125,-7,"GoingfortheGreenBirdieorBetter",2006
19,19,"Stephen Ames",63,62.03,49,79,-56,-4,"GoingfortheGreenBirdieorBetter",2006
19,19,"JP Hayes",55,62.03,49,79,-50,-35,"GoingfortheGreenBirdieorBetter",2006
21,21,"Brett Quigley",109,61.8,110,178,-116,-25,"GoingfortheGreenBirdieorBetter",2006
22,22,"Ernie Els",69,61.61,69,112,-75,-2,"GoingfortheGreenBirdieorBetter",2006
23,23,"Jason Schultz",77,61.54,80,130,-82,2,"GoingfortheGreenBirdieorBetter",2006
24,24,"Daniel Chopra",110,61.5,123,200,-135,-8,"GoingfortheGreenBirdieorBetter",2006
25,25,"Steve Lowery",99,61.2,112,183,-121,-9,"GoingfortheGreenBirdieorBetter",2006
26,26,"John Rollins",93,61.14,107,175,-118,-17,"GoingfortheGreenBirdieorBetter",2006
27,27,"Stewart Cink",93,61.02,72,118,-76,-23,"GoingfortheGreenBirdieorBetter",2006
28,28,"JJ Henry",96,60.99,86,141,-91,-14,"GoingfortheGreenBirdieorBetter",2006
29,29,"Phil Mickelson",74,60.45,81,134,-87,-2,"GoingfortheGreenBirdieorBetter",2006
30,30,"Charley Hoffman",100,60.42,145,240,-157,1,"GoingfortheGreenBirdieorBetter",2006
31,31,"Zach Johnson",98,60.38,64,106,-69,-14,"GoingfortheGreenBirdieorBetter",2006
32,32,"Steve Elkington",52,60,45,75,-48,-16,"GoingfortheGreenBirdieorBetter",2006
32,32,"Harrison Frazar",95,60,111,185,-119,1,"GoingfortheGreenBirdieorBetter",2006
32,32,"Nathan Green",108,60,111,185,-116,-7,"GoingfortheGreenBirdieorBetter",2006
35,35,"Jason Bohn",104,59.55,106,178,-112,-13,"GoingfortheGreenBirdieorBetter",2006
35,35,"Padraig Harrington",54,59.55,53,89,-55,-9,"GoingfortheGreenBirdieorBetter",2006
37,37,"Tom Pernice Jr",108,59.51,97,163,-105,-27,"GoingfortheGreenBirdieorBetter",2006
37,37,"Justin Rose",98,59.51,97,163,-100,-14,"GoingfortheGreenBirdieorBetter",2006
39,39,"Kent Jones",103,59.49,94,158,-102,-22,"GoingfortheGreenBirdieorBetter",2006
40,40,"Vance Veazey",59,59.46,44,74,-50,-19,"GoingfortheGreenBirdieorBetter",2006
41,41,"Charles Howell III",96,59.44,107,180,-113,-5,"GoingfortheGreenBirdieorBetter",2006
42,42,"Aaron Baddeley",78,59.42,82,138,-88,-9,"GoingfortheGreenBirdieorBetter",2006
43,43,"Ryan Moore",68,59.17,71,120,-74,-13,"GoingfortheGreenBirdieorBetter",2006
44,44,"Jonathan Byrd",66,59.09,78,132,-82,-10,"GoingfortheGreenBirdieorBetter",2006
45,45,"Bill Haas",99,58.91,119,202,-128,4,"GoingfortheGreenBirdieorBetter",2006
46,46,"Brett Wetterich",82,58.89,106,180,-114,3,"GoingfortheGreenBirdieorBetter",2006
47,47,"Chris Riley",86,58.88,63,107,-64,-21,"GoingfortheGreenBirdieorBetter",2006
48,48,"Camilo Villegas",95,58.79,117,199,-127,14,"GoingfortheGreenBirdieorBetter",2006
49,49,"JB Holmes",81,58.66,105,179,-121,12,"GoingfortheGreenBirdieorBetter",2006
50,50,"Omar Uresti",61,58.57,41,70,-43,-16,"GoingfortheGreenBirdieorBetter",2006
51,51,"Jeff Gove",91,58.49,93,159,-95,-4,"GoingfortheGreenBirdieorBetter",2006
51,51,"Tag Ridings",103,58.49,124,212,-130,11,"GoingfortheGreenBirdieorBetter",2006
53,53,"Geoff Ogilvy",76,58.47,69,118,-75,-16,"GoingfortheGreenBirdieorBetter",2006
54,54,"Scott Verplank",88,58.42,59,101,-62,-20,"GoingfortheGreenBirdieorBetter",2006
55,55,"Brandt Jobe",91,58.27,81,139,-86,-5,"GoingfortheGreenBirdieorBetter",2006
55,55,"Jeff Sluman",101,58.27,74,127,-75,-18,"GoingfortheGreenBirdieorBetter",2006
57,57,"Jimmy Walker",60,58.26,67,115,-68,-5,"GoingfortheGreenBirdieorBetter",2006
58,58,"Carlos Franco",86,58.24,99,170,-107,7,"GoingfortheGreenBirdieorBetter",2006
59,59,"Marco Dawson",87,58.22,85,146,-89,-16,"GoingfortheGreenBirdieorBetter",2006
60,60,"Tim Herron",82,57.98,69,119,-74,4,"GoingfortheGreenBirdieorBetter",2006
61,61,"Lucas Glover",105,57.75,123,213,-129,-24,"GoingfortheGreenBirdieorBetter",2006
62,62,"Doug Barron",74,57.73,56,97,-57,-11,"GoingfortheGreenBirdieorBetter",2006
63,63,"Arron Oberholser",82,57.69,60,104,-65,-19,"GoingfortheGreenBirdieorBetter",2006
64,64,"Sean OHair",100,57.67,109,189,-114,5,"GoingfortheGreenBirdieorBetter",2006
65,65,"Mark Wilson",79,57.55,61,106,-65,-27,"GoingfortheGreenBirdieorBetter",2006
66,66,"Bubba Watson",83,57.49,119,207,-128,7,"GoingfortheGreenBirdieorBetter",2006
67,67,"Sergio Garcia",59,57.43,58,101,-61,2,"GoingfortheGreenBirdieorBetter",2006
68,68,"Kevin Sutherland",100,57.38,105,183,-115,7,"GoingfortheGreenBirdieorBetter",2006
69,69,"Robert Allenby",79,57.35,78,136,-89,-3,"GoingfortheGreenBirdieorBetter",2006
70,70,"Woody Austin",107,57.32,94,164,-99,-22,"GoingfortheGreenBirdieorBetter",2006
71,71,"Robert Damron",91,57.26,71,124,-76,-23,"GoingfortheGreenBirdieorBetter",2006
72,72,"Paul Azinger",87,57.25,79,138,-85,-12,"GoingfortheGreenBirdieorBetter",2006
73,73,"Dean Wilson",115,57.23,91,159,-96,-15,"GoingfortheGreenBirdieorBetter",2006
74,74,"Todd Fischer",101,57.14,72,126,-75,-45,"GoingfortheGreenBirdieorBetter",2006
74,74,"Duffy Waldorf",96,57.14,96,168,-98,-10,"GoingfortheGreenBirdieorBetter",2006
76,76,"Brian Gay",107,57.02,65,114,-68,-55,"GoingfortheGreenBirdieorBetter",2006
77,77,"Peter Lonard",77,56.84,54,95,-55,-12,"GoingfortheGreenBirdieorBetter",2006
78,78,"Olin Browne",108,56.76,63,111,-67,-23,"GoingfortheGreenBirdieorBetter",2006
79,79,"Frank Lickliter II",99,56.65,98,173,-105,-16,"GoingfortheGreenBirdieorBetter",2006
80,80,"Nick Watney",97,56.6,133,235,-140,-7,"GoingfortheGreenBirdieorBetter",2006
81,81,"Steve Flesch",119,56.54,108,191,-115,3,"GoingfortheGreenBirdieorBetter",2006
82,82,"Chris Smith",67,56.45,70,124,-76,-10,"GoingfortheGreenBirdieorBetter",2006
83,83,"Jon Mills",68,56.44,57,101,-62,2,"GoingfortheGreenBirdieorBetter",2006
84,84,"Alex Cejka",93,56.41,88,156,-90,-6,"GoingfortheGreenBirdieorBetter",2006
85,85,"Mike Weir",88,56.36,62,110,-65,-18,"GoingfortheGreenBirdieorBetter",2006
86,86,"John Senden",96,56.29,85,151,-92,-18,"GoingfortheGreenBirdieorBetter",2006
87,87,"Richard Johnson",94,56.2,68,121,-71,-29,"GoingfortheGreenBirdieorBetter",2006
88,88,"James Driscoll",80,56.13,87,155,-92,0,"GoingfortheGreenBirdieorBetter",2006
89,89,"Stephen Leaney",84,56,56,100,-57,-34,"GoingfortheGreenBirdieorBetter",2006
90,90,"Ryan Hietala",61,55.88,57,102,-60,2,"GoingfortheGreenBirdieorBetter",2006
91,91,"Jeff Brehaut",100,55.81,96,172,-99,-22,"GoingfortheGreenBirdieorBetter",2006
91,91,"Jerry Kelly",100,55.81,72,129,-77,-19,"GoingfortheGreenBirdieorBetter",2006
93,93,"Joey Sindelar",90,55.73,73,131,-77,-18,"GoingfortheGreenBirdieorBetter",2006
94,94,"David Duval",71,55.56,55,99,-58,-6,"GoingfortheGreenBirdieorBetter",2006
94,94,"Steve Jones",83,55.56,55,99,-56,-10,"GoingfortheGreenBirdieorBetter",2006
94,94,"Joe Ogilvie",95,55.56,80,144,-83,-12,"GoingfortheGreenBirdieorBetter",2006
97,97,"Charles Warren",93,55.33,109,197,-120,-12,"GoingfortheGreenBirdieorBetter",2006
98,98,"Rod Pampling",89,55.26,63,114,-68,-20,"GoingfortheGreenBirdieorBetter",2006
99,99,"Alex Aragon",63,55.24,58,105,-62,18,"GoingfortheGreenBirdieorBetter",2006
100,100,"Shane Bertsch",104,55.14,59,107,-64,-55,"GoingfortheGreenBirdieorBetter",2006
101,101,"Rich Beem",85,55.13,86,156,-91,-13,"GoingfortheGreenBirdieorBetter",2006
102,102,"Hunter Mahan",98,55.12,113,205,-116,1,"GoingfortheGreenBirdieorBetter",2006
103,103,"Pat Perez",50,54.95,50,91,-55,-11,"GoingfortheGreenBirdieorBetter",2006
103,103,"Ted Purdy",103,54.95,100,182,-111,-1,"GoingfortheGreenBirdieorBetter",2006
105,105,"Bob Estes",85,54.76,69,126,-74,-16,"GoingfortheGreenBirdieorBetter",2006
106,106,"Kris Cox",83,54.73,81,148,-89,7,"GoingfortheGreenBirdieorBetter",2006
106,106,"Heath Slocum",96,54.73,81,148,-87,-29,"GoingfortheGreenBirdieorBetter",2006
108,108,"Len Mattiace",59,54.67,41,75,-42,-4,"GoingfortheGreenBirdieorBetter",2006
109,109,"Robert Gamez",94,54.63,59,108,-61,-10,"GoingfortheGreenBirdieorBetter",2006
110,110,"KJ Choi",93,54.61,77,141,-81,-13,"GoingfortheGreenBirdieorBetter",2006
111,111,"Ryan Palmer",101,54.59,107,196,-110,5,"GoingfortheGreenBirdieorBetter",2006
112,112,"Jason Gore",86,54.55,84,154,-95,0,"GoingfortheGreenBirdieorBetter",2006
113,113,"Shaun Micheel",96,54.48,73,134,-80,-20,"GoingfortheGreenBirdieorBetter",2006
114,114,"Adam Scott",70,54.46,55,101,-61,-7,"GoingfortheGreenBirdieorBetter",2006
115,115,"Luke Donald",66,54.29,38,70,-42,-15,"GoingfortheGreenBirdieorBetter",2006
