"FirstTeeLateScoringAverage_RANKTHISWEEK_2013","FirstTeeLateScoringAverage_RANKLASTWEEK_2013","FirstTeeLateScoringAverage_PLAYERNAME_2013","FirstTeeLateScoringAverage_ROUNDS_2013","FirstTeeLateScoringAverage_AVG_2013","FirstTeeLateScoringAverage_TOTALSTROKES_2013","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2013","stat_name","year"
1,1,"Henrik Stenson",65,69.32,2149,31,"FirstTeeLateScoringAverage",2013
2,2,"Jordan Spieth",82,69.54,2712,39,"FirstTeeLateScoringAverage",2013
3,3,"Richard Lee",81,69.63,1323,19,"FirstTeeLateScoringAverage",2013
4,4,"Steve Stricker",51,69.68,2369,34,"FirstTeeLateScoringAverage",2013
5,5,"William McGirt",75,69.77,907,13,"FirstTeeLateScoringAverage",2013
6,6,"Shawn Stefani",63,69.8,1047,15,"FirstTeeLateScoringAverage",2013
6,6,"Tiger Woods",61,69.8,2443,35,"FirstTeeLateScoringAverage",2013
8,8,"John Rollins",77,69.83,2025,29,"FirstTeeLateScoringAverage",2013
9,9,"Martin Flores",83,69.85,1397,20,"FirstTeeLateScoringAverage",2013
9,9,"Phil Mickelson",78,69.85,2794,40,"FirstTeeLateScoringAverage",2013
11,11,"Charlie Beljan",62,69.92,839,12,"FirstTeeLateScoringAverage",2013
11,11,"Zach Johnson",84,69.92,2587,37,"FirstTeeLateScoringAverage",2013
13,13,"Jeff Maggert",63,69.93,1049,15,"FirstTeeLateScoringAverage",2013
13,13,"Rory Sabbatini",86,69.93,1888,27,"FirstTeeLateScoringAverage",2013
15,15,"Jeff Overton",78,69.96,1609,23,"FirstTeeLateScoringAverage",2013
16,16,"David Hearn",88,70,1540,22,"FirstTeeLateScoringAverage",2013
17,17,"Justin Bolli",59,70.13,1052,15,"FirstTeeLateScoringAverage",2013
18,18,"Graham DeLaet",94,70.16,2596,37,"FirstTeeLateScoringAverage",2013
18,18,"Charles Howell III",87,70.16,2245,32,"FirstTeeLateScoringAverage",2013
20,20,"Justin Rose",62,70.19,3018,43,"FirstTeeLateScoringAverage",2013
21,21,"Matt Kuchar",93,70.2,3159,45,"FirstTeeLateScoringAverage",2013
22,22,"Brandt Snedeker",79,70.23,2809,40,"FirstTeeLateScoringAverage",2013
23,23,"Michael Bradley",56,70.25,562,8,"FirstTeeLateScoringAverage",2013
