"Approaches_RANKTHISWEEK_2007","Approaches_RANKLASTWEEK_2007","Approaches_PLAYERNAME_2007","Approaches_ROUNDS_2007","Approaches_AVGRTP_2007","stat_name","year"
1,1,"Brian Davis",101,-0.206,"Approaches",2007
2,2,"Craig Bowden",78,-0.171,"Approaches",2007
3,3,"Scott Verplank",82,-0.125,"Approaches",2007
4,4,"Jonathan Byrd",73,-0.115,"Approaches",2007
5,5,"Hunter Mahan",91,-0.111,"Approaches",2007
6,6,"Rory Sabbatini",81,-0.103,"Approaches",2007
7,7,"Jim Rutledge",59,-0.071,"Approaches",2007
8,8,"Jeff Sluman",60,-0.067,"Approaches",2007
9,9,"Woody Austin",95,-0.053,"Approaches",2007
10,10,"Boo Weekley",101,-0.041,"Approaches",2007
11,11,"Stephen Ames",81,-0.04,"Approaches",2007
12,12,"Bart Bryant",87,-0.033,"Approaches",2007
13,13,"Jerry Kelly",101,-0.03,"Approaches",2007
14,14,"Ryuji Imada",104,-0.022,"Approaches",2007
15,15,"Jose Coceres",50,0,"Approaches",2007
15,15,"Paul Gow",70,0,"Approaches",2007
15,15,"Will Ma Kenzie",100,0,"Approaches",2007
15,15,"Steve Marino",106,0,"Approaches",2007
15,15,"Geoff Ogilvy",84,0,"Approaches",2007
15,15,"Carl Pettersson",111,0,"Approaches",2007
15,15,"Ian Poulter",63,0,"Approaches",2007
15,15,"Michael Sim",52,0,"Approaches",2007
15,15,"David Toms",80,0,"Approaches",2007
15,15,"Dean Wilson",92,0,"Approaches",2007
15,15,"Tiger Woods",63,0,"Approaches",2007
26,26,"Glen Day",85,0.023,"Approaches",2007
27,27,"Cameron Beckman",96,0.025,"Approaches",2007
28,28,"JJ Henry",86,0.031,"Approaches",2007
29,29,"Jeff Gove",103,0.032,"Approaches",2007
30,30,"Billy Mayfair",98,0.036,"Approaches",2007
31,31,"Justin Leonard",95,0.04,"Approaches",2007
32,32,"Trevor Immelman",74,0.042,"Approaches",2007
33,33,"Ernie Els",59,0.043,"Approaches",2007
34,34,"Robert Garrigus",95,0.044,"Approaches",2007
35,35,"Jeff Maggert",79,0.047,"Approaches",2007
35,35,"Kevin Na",84,0.047,"Approaches",2007
37,37,"Shigeki Maruyama",84,0.048,"Approaches",2007
38,38,"Tim Herron",98,0.049,"Approaches",2007
39,39,"Tim Clark",66,0.05,"Approaches",2007
40,40,"Kenny Perry",83,0.051,"Approaches",2007
41,41,"Bob Tway",103,0.053,"Approaches",2007
42,42,"Mathias Gronberg",95,0.056,"Approaches",2007
43,43,"Phil Mickelson",73,0.057,"Approaches",2007
