"BirdieorBetterPercentage150175ya_RANKTHISWEEK_2006","BirdieorBetterPercentage150175ya_RANKLASTWEEK_2006","BirdieorBetterPercentage150175ya_PLAYERNAME_2006","BirdieorBetterPercentage150175ya_ROUNDS_2006","BirdieorBetterPercentage150175ya_Pct_2006","BirdieorBetterPercentage150175ya_TOTALBIRDIES_2006","BirdieorBetterPercentage150175ya_TOTALHOLES_2006","stat_name","year"
1,1,"Luke Donald",66,22.7,37,163,"BirdieorBetterPercentage150175ya",2006
2,2,"Rod Pampling",89,21.68,49,226,"BirdieorBetterPercentage150175ya",2006
3,3,"Tiger Woods",55,21.13,30,142,"BirdieorBetterPercentage150175ya",2006
4,4,"David Howell",52,20.35,23,113,"BirdieorBetterPercentage150175ya",2006
5,5,"Tommy Armour III",65,20,40,200,"BirdieorBetterPercentage150175ya",2006
6,6,"Frank Lickliter II",99,19.93,59,296,"BirdieorBetterPercentage150175ya",2006
7,7,"David Toms",76,19.91,45,226,"BirdieorBetterPercentage150175ya",2006
8,8,"Steve Stricker",64,19.13,35,183,"BirdieorBetterPercentage150175ya",2006
9,9,"Ian Poulter",53,19.08,33,173,"BirdieorBetterPercentage150175ya",2006
10,10,"Stephen Ames",63,18.56,31,167,"BirdieorBetterPercentage150175ya",2006
10,10,"Adam Scott",70,18.56,36,194,"BirdieorBetterPercentage150175ya",2006
12,12,"Fred Funk",106,17.92,55,307,"BirdieorBetterPercentage150175ya",2006
13,13,"Brian Gay",107,17.83,69,387,"BirdieorBetterPercentage150175ya",2006
14,14,"Arron Oberholser",82,17.75,41,231,"BirdieorBetterPercentage150175ya",2006
15,15,"Briny Baird",81,17.65,45,255,"BirdieorBetterPercentage150175ya",2006
16,16,"David Branshaw",98,17.61,56,318,"BirdieorBetterPercentage150175ya",2006
17,17,"Shigeki Maruyama",94,17.58,58,330,"BirdieorBetterPercentage150175ya",2006
18,18,"Stewart Cink",93,17.47,51,292,"BirdieorBetterPercentage150175ya",2006
18,18,"Ben Crane",85,17.47,40,229,"BirdieorBetterPercentage150175ya",2006
20,20,"Bubba Dickerson",98,17.45,56,321,"BirdieorBetterPercentage150175ya",2006
21,21,"Mathew Goggin",72,17.43,38,218,"BirdieorBetterPercentage150175ya",2006
22,22,"Justin Rose",98,17.35,55,317,"BirdieorBetterPercentage150175ya",2006
23,23,"Jeff Brehaut",100,17.2,59,343,"BirdieorBetterPercentage150175ya",2006
24,24,"Kirk Triplett",58,17.11,32,187,"BirdieorBetterPercentage150175ya",2006
25,25,"Shane Bertsch",104,17.01,58,341,"BirdieorBetterPercentage150175ya",2006
26,26,"Jeff Gove",91,17,51,300,"BirdieorBetterPercentage150175ya",2006
26,26,"Mark Wilson",79,17,42,247,"BirdieorBetterPercentage150175ya",2006
28,28,"Brett Wetterich",82,16.94,41,242,"BirdieorBetterPercentage150175ya",2006
29,29,"Jeff Sluman",101,16.89,50,296,"BirdieorBetterPercentage150175ya",2006
30,30,"Robert Damron",91,16.88,52,308,"BirdieorBetterPercentage150175ya",2006
31,31,"Jim Furyk",89,16.85,45,267,"BirdieorBetterPercentage150175ya",2006
32,32,"Rich Beem",85,16.8,41,244,"BirdieorBetterPercentage150175ya",2006
32,32,"Dean Wilson",115,16.8,62,369,"BirdieorBetterPercentage150175ya",2006
34,34,"Wes Short Jr",96,16.67,51,306,"BirdieorBetterPercentage150175ya",2006
35,35,"DJ Trahan",92,16.55,48,290,"BirdieorBetterPercentage150175ya",2006
36,36,"Aaron Baddeley",78,16.54,45,272,"BirdieorBetterPercentage150175ya",2006
37,37,"Ted Purdy",103,16.5,51,309,"BirdieorBetterPercentage150175ya",2006
38,38,"Freddie Jacobson",56,16.49,31,188,"BirdieorBetterPercentage150175ya",2006
39,39,"Scott Verplank",88,16.48,45,273,"BirdieorBetterPercentage150175ya",2006
40,40,"Woody Austin",107,16.47,55,334,"BirdieorBetterPercentage150175ya",2006
40,40,"Chris Couch",75,16.47,41,249,"BirdieorBetterPercentage150175ya",2006
42,42,"Marco Dawson",87,16.43,46,280,"BirdieorBetterPercentage150175ya",2006
42,42,"Skip Kendall",72,16.43,34,207,"BirdieorBetterPercentage150175ya",2006
44,44,"Jerry Kelly",100,16.27,48,295,"BirdieorBetterPercentage150175ya",2006
