"Last15EventsPower_RANKTHISWEEK_2012","Last15EventsPower_RANKLASTWEEK_2012","Last15EventsPower_PLAYERNAME_2012","Last15EventsPower_EVENTS_2012","Last15EventsPower_RATING_2012","stat_name","year"
1,1,"Charlie Beljan",5,9.8,"Last15EventsPower",2012
1,1,"Nicolas Colsaerts",5,9.8,"Last15EventsPower",2012
1,1,"Hank Kuehne",2,9.8,"Last15EventsPower",2012
1,1,"Bubba Watson",6,9.8,"Last15EventsPower",2012
5,5,"Jamie Lovemark",4,9.7,"Last15EventsPower",2012
5,5,"Alvaro Quiros",5,9.7,"Last15EventsPower",2012
7,7,"Rory McIlroy",8,9.6,"Last15EventsPower",2012
8,8,"Robert Garrigus",11,9.4,"Last15EventsPower",2012
8,8,"JB Holmes",10,9.4,"Last15EventsPower",2012
8,8,"Scott Stallings",9,9.4,"Last15EventsPower",2012
11,11,"Dustin Johnson",8,9.3,"Last15EventsPower",2012
12,12,"Jason Day",8,9.1,"Last15EventsPower",2012
12,12,"Derek Ernst",1,9.1,"Last15EventsPower",2012
12,12,"Jason Gore",1,9.1,"Last15EventsPower",2012
12,12,"Patrick Reed",7,9.1,"Last15EventsPower",2012
12,12,"Adam Scott",8,9.1,"Last15EventsPower",2012
12,12,"Gary Woodland",5,9.1,"Last15EventsPower",2012
18,18,"Ryan Palmer",10,9,"Last15EventsPower",2012
18,18,"Kyle Stanley",8,9,"Last15EventsPower",2012
20,20,"Dustin Morris",1,8.9,"Last15EventsPower",2012
20,20,"Scott Piercy",9,8.9,"Last15EventsPower",2012
22,22,"John Daly",7,8.8,"Last15EventsPower",2012
22,22,"Mathias Gronberg",1,8.8,"Last15EventsPower",2012
22,22,"Jason Kokrak",7,8.8,"Last15EventsPower",2012
22,22,"Josh Teater",9,8.8,"Last15EventsPower",2012
22,22,"Jhonattan Vegas",8,8.8,"Last15EventsPower",2012
27,27,"Keegan Bradley",6,8.7,"Last15EventsPower",2012
27,27,"Harrison Frazar",3,8.7,"Last15EventsPower",2012
27,27,"Louis Oosthuizen",7,8.7,"Last15EventsPower",2012
30,30,"Angel Cabrera",4,8.6,"Last15EventsPower",2012
30,30,"Graham DeLaet",12,8.6,"Last15EventsPower",2012
30,30,"Koumei Oda",1,8.6,"Last15EventsPower",2012
33,33,"Steven Bowditch",3,8.5,"Last15EventsPower",2012
34,34,"Martin Flores",10,8.4,"Last15EventsPower",2012
34,34,"Peter Hanson",5,8.4,"Last15EventsPower",2012
34,34,"Charles Howell III",7,8.4,"Last15EventsPower",2012
34,34,"Sean OHair",10,8.4,"Last15EventsPower",2012
38,38,"Mark Anderson",5,8.3,"Last15EventsPower",2012
38,38,"Rafa Cabrera Bello",2,8.3,"Last15EventsPower",2012
38,38,"Erik Compton",6,8.3,"Last15EventsPower",2012
38,38,"Bobby Gates",5,8.3,"Last15EventsPower",2012
38,38,"Martin Laird",8,8.3,"Last15EventsPower",2012
38,38,"Steve Marino",4,8.3,"Last15EventsPower",2012
38,38,"Ted Purdy",2,8.3,"Last15EventsPower",2012
38,38,"Danny Willett",1,8.3,"Last15EventsPower",2012
46,46,"Edward Loar",3,8.2,"Last15EventsPower",2012
46,46,"Seung Yul Noh",12,8.2,"Last15EventsPower",2012
48,48,"Branden Grace",3,8.1,"Last15EventsPower",2012
48,48,"Boo Weekley",6,8.1,"Last15EventsPower",2012
50,50,"Patrick Cantlay",5,8,"Last15EventsPower",2012
50,50,"Kevin Chappell",6,8,"Last15EventsPower",2012
50,50,"Sam Saunders",2,8,"Last15EventsPower",2012
53,53,"Harris English",12,7.9,"Last15EventsPower",2012
53,53,"John Rollins",7,7.9,"Last15EventsPower",2012
53,53,"Jimmy Walker",11,7.9,"Last15EventsPower",2012
56,56,"Daniel Chopra",6,7.8,"Last15EventsPower",2012
56,56,"Matt Jones",6,7.8,"Last15EventsPower",2012
56,56,"Troy Kelly",6,7.8,"Last15EventsPower",2012
56,56,"Shawn Stefani",1,7.8,"Last15EventsPower",2012
56,56,"Justin Thomas",1,7.8,"Last15EventsPower",2012
61,61,"Davis Love III",8,7.7,"Last15EventsPower",2012
61,61,"Troy Matteson",8,7.7,"Last15EventsPower",2012
61,61,"Tiger Woods",8,7.7,"Last15EventsPower",2012
64,64,"David Duval",2,7.6,"Last15EventsPower",2012
64,64,"Robert Karlsson",6,7.6,"Last15EventsPower",2012
64,64,"Garth Mulroy",5,7.6,"Last15EventsPower",2012
64,64,"Charl Schwartzel",9,7.6,"Last15EventsPower",2012
68,68,"Stephen Gangluff",1,7.5,"Last15EventsPower",2012
68,68,"Jim Herman",2,7.5,"Last15EventsPower",2012
68,68,"Joost Luiten",1,7.5,"Last15EventsPower",2012
68,68,"Phil Mickelson",8,7.5,"Last15EventsPower",2012
68,68,"Vijay Singh",11,7.5,"Last15EventsPower",2012
68,68,"Lee Westwood",9,7.5,"Last15EventsPower",2012
74,74,"Aaron Baddeley",6,7.4,"Last15EventsPower",2012
74,74,"Jbe Kruger",1,7.4,"Last15EventsPower",2012
74,74,"John Peterson",1,7.4,"Last15EventsPower",2012
74,74,"Bo Van Pelt",10,7.4,"Last15EventsPower",2012
74,74,"Nick Watney",9,7.4,"Last15EventsPower",2012
74,74,"Chase Wright",1,7.4,"Last15EventsPower",2012
80,80,"Bud Cauley",11,7.3,"Last15EventsPower",2012
80,80,"Jason Dufner",8,7.3,"Last15EventsPower",2012
80,80,"Tommy Gainey",11,7.3,"Last15EventsPower",2012
80,80,"Bill Haas",7,7.3,"Last15EventsPower",2012
80,80,"Randall Hutchison",1,7.3,"Last15EventsPower",2012
80,80,"Brandt Jobe",8,7.3,"Last15EventsPower",2012
80,80,"Pablo Larrazabal",1,7.3,"Last15EventsPower",2012
80,80,"Will Ma Kenzie",4,7.3,"Last15EventsPower",2012
80,80,"Alexander Noren",1,7.3,"Last15EventsPower",2012
89,89,"Adam Hadwin",1,7.2,"Last15EventsPower",2012
89,89,"Charley Hoffman",7,7.2,"Last15EventsPower",2012
89,89,"Greg Owen",9,7.2,"Last15EventsPower",2012
89,89,"Carl Pettersson",8,7.2,"Last15EventsPower",2012
89,89,"Rory Sabbatini",5,7.2,"Last15EventsPower",2012
94,94,"Sergio Garcia",10,7.1,"Last15EventsPower",2012
94,94,"Chris Kirk",10,7.1,"Last15EventsPower",2012
94,94,"Danny Lee",6,7.1,"Last15EventsPower",2012
94,94,"Fran Quinn",2,7.1,"Last15EventsPower",2012
94,94,"Henrik Stenson",9,7.1,"Last15EventsPower",2012
99,99,"Thomas Aiken",1,7,"Last15EventsPower",2012
99,99,"Chris Couch",7,7,"Last15EventsPower",2012
99,99,"Kevin Stadler",8,7,"Last15EventsPower",2012
102,102,"Ernie Els",9,6.9,"Last15EventsPower",2012
102,102,"Tadd Fujikawa",1,6.9,"Last15EventsPower",2012
102,102,"Billy Horschel",11,6.9,"Last15EventsPower",2012
102,102,"Hunter Mahan",9,6.9,"Last15EventsPower",2012
102,102,"Jeff Overton",12,6.9,"Last15EventsPower",2012
102,102,"Michael Putnam",1,6.9,"Last15EventsPower",2012
102,102,"Andres Romero",6,6.9,"Last15EventsPower",2012
102,102,"Kevin Streelman",11,6.9,"Last15EventsPower",2012
110,110,"Scott Brown",6,6.8,"Last15EventsPower",2012
110,110,"Jamie Donaldson",2,6.8,"Last15EventsPower",2012
110,110,"Rickie Fowler",10,6.8,"Last15EventsPower",2012
