"LatePar3ScoringAverage_RANKTHISWEEK_2016","LatePar3ScoringAverage_RANKLASTWEEK_2016","LatePar3ScoringAverage_PLAYERNAME_2016","LatePar3ScoringAverage_ROUNDS_2016","LatePar3ScoringAverage_AVG_2016","LatePar3ScoringAverage_TOTALSTROKES_2016","LatePar3ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Matthew Fitzpatrick",23,2.83,113,40,"LatePar3ScoringAverage",2016
2,2,"Louis Oosthuizen",25,2.89,136,47,"LatePar3ScoringAverage",2016
3,3,"Bryce Molder",50,2.93,284,97,"LatePar3ScoringAverage",2016
4,7,"Zac Blair",56,2.94,309,105,"LatePar3ScoringAverage",2016
4,3,"Adam Scott",39,2.94,259,88,"LatePar3ScoringAverage",2016
6,10,"Chad Campbell",54,2.95,310,105,"LatePar3ScoringAverage",2016
6,3,"Kevin Kisner",49,2.95,260,88,"LatePar3ScoringAverage",2016
6,7,"Ryan Moore",40,2.95,221,75,"LatePar3ScoringAverage",2016
6,7,"Justin Thomas",53,2.95,301,102,"LatePar3ScoringAverage",2016
10,10,"Patrick Reed",53,2.96,293,99,"LatePar3ScoringAverage",2016
11,13,"Chesson Hadley",51,2.97,336,113,"LatePar3ScoringAverage",2016
11,15,"Graeme McDowell",33,2.97,181,61,"LatePar3ScoringAverage",2016
11,18,"Camilo Villegas",50,2.97,300,101,"LatePar3ScoringAverage",2016
14,18,"Jon Curran",55,2.98,280,94,"LatePar3ScoringAverage",2016
14,15,"Whee Kim",54,2.98,268,90,"LatePar3ScoringAverage",2016
14,10,"William McGirt",54,2.98,262,88,"LatePar3ScoringAverage",2016
14,18,"Brandt Snedeker",47,2.98,262,88,"LatePar3ScoringAverage",2016
14,3,"Brian Stuard",24,2.98,134,45,"LatePar3ScoringAverage",2016
14,13,"Michael Thompson",46,2.98,241,81,"LatePar3ScoringAverage",2016
20,30,"Steven Bowditch",40,2.99,230,77,"LatePar3ScoringAverage",2016
20,18,"Alex Cejka",47,2.99,266,89,"LatePar3ScoringAverage",2016
20,23,"Kevin Chappell",49,2.99,329,110,"LatePar3ScoringAverage",2016
20,23,"Bill Haas",42,2.99,254,85,"LatePar3ScoringAverage",2016
20,23,"Jason Kokrak",52,2.99,266,89,"LatePar3ScoringAverage",2016
20,30,"Henrik Norlander",41,2.99,206,69,"LatePar3ScoringAverage",2016
20,15,"Robert Streb",51,2.99,239,80,"LatePar3ScoringAverage",2016
