"NonmemberEarnings_RANKTHISWEEK_2012","NonmemberEarnings_RANKLASTWEEK_2012","NonmemberEarnings_PLAYERNAME_2012","NonmemberEarnings_EVENTS_2012","NonmemberEarnings_MONEY_2012","NonmemberEarnings_TOTAL_2012","stat_name","year"
1,1,"David Lynn",1,865000,865000,"NonmemberEarnings",2012
2,2,"Peter Hanson",11,835221,1511221,"NonmemberEarnings",2012
3,3,"Ryo Ishikawa",18,727051,871051,"NonmemberEarnings",2012
4,4,"Nicolas Colsaerts",9,518511,677011,"NonmemberEarnings",2012
5,5,"John Peterson",9,327091,327091,"NonmemberEarnings",2012
6,6,"Patrick Reed",12,302977,302977,"NonmemberEarnings",2012
7,7,"Luke Guthrie",4,284672,284672,"NonmemberEarnings",2012
8,8,"Martin Kaymer",8,283357,576357,"NonmemberEarnings",2012
9,9,"Jamie Donaldson",4,257834,320334,"NonmemberEarnings",2012
10,10,"Thomas Aiken",4,257179,257179,"NonmemberEarnings",2012
11,11,"Francesco Molinari",8,198961,453961,"NonmemberEarnings",2012
12,12,"Miguel Angel Jimenez",6,194803,386803,"NonmemberEarnings",2012
13,13,"Thorbjorn Olesen",2,176243,176243,"NonmemberEarnings",2012
14,14,"Casey Wittenberg",1,163594,163594,"NonmemberEarnings",2012
15,15,"Alexander Noren",4,139693,178193,"NonmemberEarnings",2012
16,16,"Alejandro Canizares",3,129963,129963,"NonmemberEarnings",2012
17,17,"Paul Lawrie",6,129640,360640,"NonmemberEarnings",2012
18,18,"Aaron Watkins",2,118969,118969,"NonmemberEarnings",2012
19,19,"Hunter Hamrick",5,115979,115979,"NonmemberEarnings",2012
20,20,"Jamie Lovemark",16,109572,109572,"NonmemberEarnings",2012
21,21,"Patrick Cantlay",10,105526,105526,"NonmemberEarnings",2012
22,22,"Jim Herman",2,105000,105000,"NonmemberEarnings",2012
23,23,"Joost Luiten",3,95847,139347,"NonmemberEarnings",2012
24,24,"Thomas Bjorn",9,90506,270506,"NonmemberEarnings",2012
25,25,"Raphael Jacquelin",2,86348,86348,"NonmemberEarnings",2012
26,26,"Simon Dyson",8,84956,257456,"NonmemberEarnings",2012
27,27,"Scott Langley",4,82630,82630,"NonmemberEarnings",2012
28,28,"Branden Grace",6,82325,205325,"NonmemberEarnings",2012
29,29,"Matthew Baldwin",2,79999,79999,"NonmemberEarnings",2012
30,30,"Steven Alker",1,79277,79277,"NonmemberEarnings",2012
31,31,"Andres Gonzales",1,78780,78780,"NonmemberEarnings",2012
32,32,"Anders Hansen",7,70400,232900,"NonmemberEarnings",2012
33,33,"Tadd Fujikawa",1,69025,69025,"NonmemberEarnings",2012
34,34,"James Morrison",1,60044,60044,"NonmemberEarnings",2012
35,35,"KT Kim",11,54215,220590,"NonmemberEarnings",2012
36,36,"Gonzalo Fdez Castano",7,53483,190233,"NonmemberEarnings",2012
37,37,"Morgan Hoffmann",1,53168,53168,"NonmemberEarnings",2012
37,37,"Alistair Presnell",1,53168,53168,"NonmemberEarnings",2012
39,39,"Anirban Lahiri",1,47124,47124,"NonmemberEarnings",2012
40,40,"Ross Fisher",2,45740,45740,"NonmemberEarnings",2012
41,41,"Jeff Quinney",1,43310,43310,"NonmemberEarnings",2012
42,42,"Alvaro Quiros",8,37050,182800,"NonmemberEarnings",2012
43,43,"Marcel Siem",3,34750,79250,"NonmemberEarnings",2012
44,44,"Richard Sterne",1,32023,32023,"NonmemberEarnings",2012
45,45,"Steve LeBrun",1,31979,31979,"NonmemberEarnings",2012
45,45,"Matteo Manassero",3,31979,126979,"NonmemberEarnings",2012
47,47,"Jeff Curl",3,28890,28890,"NonmemberEarnings",2012
48,48,"Shawn Stefani",1,27650,27650,"NonmemberEarnings",2012
49,49,"Jonathan Randolph",1,26700,26700,"NonmemberEarnings",2012
50,50,"Kelly Kraft",10,24994,24994,"NonmemberEarnings",2012
51,51,"Hiroyuki Fujita",3,24912,24912,"NonmemberEarnings",2012
51,51,"Jesse Mueller",1,24912,24912,"NonmemberEarnings",2012
51,51,"Nicholas Thompson",2,24912,24912,"NonmemberEarnings",2012
54,54,"Rafael Echenique",1,23180,23180,"NonmemberEarnings",2012
54,54,"Justin Hicks",2,23180,23180,"NonmemberEarnings",2012
54,54,"Simon Khan",1,23180,23180,"NonmemberEarnings",2012
54,54,"Pablo Larrazabal",3,23180,62930,"NonmemberEarnings",2012
58,58,"Joseph Bramlett",1,21850,21850,"NonmemberEarnings",2012
