"EarlyPar5ScoringAverage_RANKTHISWEEK_2005","EarlyPar5ScoringAverage_RANKLASTWEEK_2005","EarlyPar5ScoringAverage_PLAYERNAME_2005","EarlyPar5ScoringAverage_ROUNDS_2005","EarlyPar5ScoringAverage_AVG_2005","EarlyPar5ScoringAverage_TOTALSTROKES_2005","EarlyPar5ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Adam Scott",72,4.5,423,94,"EarlyPar5ScoringAverage",2005
2,2,"James Driscoll",73,4.53,571,126,"EarlyPar5ScoringAverage",2005
2,2,"Retief Goosen",71,4.53,412,91,"EarlyPar5ScoringAverage",2005
4,4,"Scott Gutschewski",86,4.54,718,158,"EarlyPar5ScoringAverage",2005
4,4,"Vijay Singh",111,4.54,567,125,"EarlyPar5ScoringAverage",2005
6,6,"Stuart Appleby",84,4.55,446,98,"EarlyPar5ScoringAverage",2005
6,6,"Brett Wetterich",76,4.55,537,118,"EarlyPar5ScoringAverage",2005
8,8,"Billy Andrade",83,4.56,602,132,"EarlyPar5ScoringAverage",2005
8,8,"Paul Claxton",79,4.56,639,140,"EarlyPar5ScoringAverage",2005
8,8,"Billy Mayfair",114,4.56,807,177,"EarlyPar5ScoringAverage",2005
8,8,"Phil Mickelson",81,4.56,406,89,"EarlyPar5ScoringAverage",2005
8,8,"Scott Verplank",87,4.56,552,121,"EarlyPar5ScoringAverage",2005
13,13,"Jason Bohn",91,4.57,603,132,"EarlyPar5ScoringAverage",2005
14,14,"Briny Baird",98,4.58,774,169,"EarlyPar5ScoringAverage",2005
14,14,"Mathias Gronberg",60,4.58,380,83,"EarlyPar5ScoringAverage",2005
16,16,"Craig Barlow",81,4.59,638,139,"EarlyPar5ScoringAverage",2005
16,16,"Richard Johnson",50,4.59,303,66,"EarlyPar5ScoringAverage",2005
16,16,"Tom Lehman",69,4.59,496,108,"EarlyPar5ScoringAverage",2005
16,16,"Frank Lickliter II",100,4.59,775,169,"EarlyPar5ScoringAverage",2005
20,20,"Tim Clark",92,4.6,534,116,"EarlyPar5ScoringAverage",2005
20,20,"Tim Herron",100,4.6,740,161,"EarlyPar5ScoringAverage",2005
