"LateScoringAverage_RANKTHISWEEK_2008","LateScoringAverage_RANKLASTWEEK_2008","LateScoringAverage_PLAYERNAME_2008","LateScoringAverage_ROUNDS_2008","LateScoringAverage_AVG_2008","LateScoringAverage_TOTALSTROKES_2008","LateScoringAverage_TOTALLATEROUNDS_2008","stat_name","year"
1,1,"Vijay Singh",82,69.73,2789,40,"LateScoringAverage",2008
2,2,"Brian Gay",102,69.85,3772,54,"LateScoringAverage",2008
3,3,"Anthony Kim",81,70.19,3299,47,"LateScoringAverage",2008
4,4,"Kevin Sutherland",98,70.2,3440,49,"LateScoringAverage",2008
5,5,"Glen Day",64,70.24,2037,29,"LateScoringAverage",2008
6,6,"Kent Jones",68,70.27,2319,33,"LateScoringAverage",2008
6,6,"Craig Kanada",65,70.27,2319,33,"LateScoringAverage",2008
8,8,"Bob Tway",70,70.31,2250,32,"LateScoringAverage",2008
9,9,"John Huston",56,70.33,2110,30,"LateScoringAverage",2008
10,10,"Charlie Wi",97,70.35,3377,48,"LateScoringAverage",2008
11,11,"Steve Marino",119,70.38,3941,56,"LateScoringAverage",2008
12,12,"Pat Perez",93,70.39,3449,49,"LateScoringAverage",2008
13,13,"Mike Weir",88,70.42,3380,48,"LateScoringAverage",2008
14,14,"Stephen Ames",83,70.43,3099,44,"LateScoringAverage",2008
15,15,"Gavin Coles",54,70.44,1761,25,"LateScoringAverage",2008
15,15,"Lucas Glover",91,70.44,3170,45,"LateScoringAverage",2008
17,17,"Justin Leonard",101,70.45,3452,49,"LateScoringAverage",2008
18,18,"Tim Herron",97,70.46,3241,46,"LateScoringAverage",2008
19,19,"Ben Crane",86,70.49,3172,45,"LateScoringAverage",2008
19,19,"Kenny Perry",97,70.49,3736,53,"LateScoringAverage",2008
21,21,"Tommy Armour III",77,70.52,3103,44,"LateScoringAverage",2008
22,22,"John Senden",93,70.54,2610,37,"LateScoringAverage",2008
23,23,"Chad Campbell",94,70.55,3598,51,"LateScoringAverage",2008
24,24,"Phil Mickelson",80,70.57,3317,47,"LateScoringAverage",2008
25,25,"Rory Sabbatini",77,70.58,2823,40,"LateScoringAverage",2008
26,26,"Tim Clark",90,70.6,3530,50,"LateScoringAverage",2008
27,27,"Billy Mayfair",103,70.63,3673,52,"LateScoringAverage",2008
28,28,"Padraig Harrington",52,70.65,1837,26,"LateScoringAverage",2008
29,29,"Camilo Villegas",79,70.67,3039,43,"LateScoringAverage",2008
30,30,"Kevin Streelman",114,70.68,4170,59,"LateScoringAverage",2008
31,31,"Martin Laird",98,70.7,3111,44,"LateScoringAverage",2008
32,32,"Mathew Goggin",91,70.71,3182,45,"LateScoringAverage",2008
33,33,"Scott Verplank",82,70.73,3183,45,"LateScoringAverage",2008
34,34,"John Riegger",73,70.75,2264,32,"LateScoringAverage",2008
35,35,"Shane Bertsch",96,70.76,3255,46,"LateScoringAverage",2008
35,35,"Bob Estes",90,70.76,3184,45,"LateScoringAverage",2008
37,37,"George McNeill",97,70.77,3326,47,"LateScoringAverage",2008
