"DistancefromEdgeofFairway_RANKTHISWEEK_2008","DistancefromEdgeofFairway_RANKLASTWEEK_2008","DistancefromEdgeofFairway_PLAYERNAME_2008","DistancefromEdgeofFairway_EVENTS_2008","DistancefromEdgeofFairway_AVG_2008","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2008","DistancefromEdgeofFairway_TOTALSTROKES_2008","stat_name","year"
1,1,"Bart Bryant",23,NA,3055.5,181,"DistancefromEdgeofFairway",2008
2,2,"Zach Johnson",25,NA,3957.75,229,"DistancefromEdgeofFairway",2008
3,3,"Heath Slocum",29,NA,3687,213,"DistancefromEdgeofFairway",2008
4,4,"Glen Day",19,NA,2311.167,128,"DistancefromEdgeofFairway",2008
4,4,"Scott Verplank",24,NA,3255.083,180,"DistancefromEdgeofFairway",2008
6,6,"Brian Gay",31,NA,4284,235,"DistancefromEdgeofFairway",2008
7,7,"Shane Bertsch",29,NA,4984.583,270,"DistancefromEdgeofFairway",2008
8,8,"Jim Furyk",26,NA,4721.417,249,"DistancefromEdgeofFairway",2008
9,9,"Justin Leonard",25,NA,4608.25,240,"DistancefromEdgeofFairway",2008
10,10,"Omar Uresti",24,NA,2633.833,136,"DistancefromEdgeofFairway",2008
11,11,"Bob Tway",20,NA,2611.083,134,"DistancefromEdgeofFairway",2008
11,11,"Boo Weekley",24,NA,5356.583,275,"DistancefromEdgeofFairway",2008
13,13,"Jerry Kelly",31,NA,4899,248,"DistancefromEdgeofFairway",2008
14,14,"Kevin Na",29,NA,5942.917,299,"DistancefromEdgeofFairway",2008
15,15,"Corey Pavin",20,NA,2270.833,113,"DistancefromEdgeofFairway",2008
16,16,"Joe Durant",28,NA,3993.5,198,"DistancefromEdgeofFairway",2008
17,17,"Tim Clark",27,NA,5362.417,265,"DistancefromEdgeofFairway",2008
18,18,"Tim Wilkinson",29,NA,5355.25,263,"DistancefromEdgeofFairway",2008
19,19,"Nick OHern",26,NA,3784.583,185,"DistancefromEdgeofFairway",2008
19,19,"Jay Williamson",33,NA,5283.75,259,"DistancefromEdgeofFairway",2008
21,21,"Ben Curtis",22,NA,3988.25,193,"DistancefromEdgeofFairway",2008
22,22,"Michael Allen",28,NA,5560.583,268,"DistancefromEdgeofFairway",2008
22,22,"John Riegger",24,NA,4531,218,"DistancefromEdgeofFairway",2008
24,24,"Jeff Gove",18,NA,2240.25,107,"DistancefromEdgeofFairway",2008
25,25,"Cameron Beckman",29,NA,4492.833,214,"DistancefromEdgeofFairway",2008
26,26,"Robert Gamez",26,NA,4351.083,205,"DistancefromEdgeofFairway",2008
27,27,"Bob Estes",28,NA,5728.833,269,"DistancefromEdgeofFairway",2008
27,27,"Billy Mayfair",29,NA,5589.583,262,"DistancefromEdgeofFairway",2008
29,29,"Matt Kuchar",27,NA,5242.417,245,"DistancefromEdgeofFairway",2008
29,29,"Peter Lonard",30,NA,6179.333,289,"DistancefromEdgeofFairway",2008
29,29,"David Toms",20,NA,4126.25,193,"DistancefromEdgeofFairway",2008
32,32,"Stephen Ames",24,NA,6085.667,282,"DistancefromEdgeofFairway",2008
32,32,"Ben Crane",25,NA,5454,253,"DistancefromEdgeofFairway",2008
32,32,"Steve Elkington",25,NA,5133.583,238,"DistancefromEdgeofFairway",2008
32,32,"Kenneth Ferrie",25,NA,4166.667,193,"DistancefromEdgeofFairway",2008
36,36,"Rich Beem",29,NA,5794.5,267,"DistancefromEdgeofFairway",2008
37,37,"Gavin Coles",16,NA,1412.333,65,"DistancefromEdgeofFairway",2008
38,38,"Tom Pernice Jr",30,NA,7260.167,331,"DistancefromEdgeofFairway",2008
39,39,"Paul Goydos",25,NA,4729.75,214,"DistancefromEdgeofFairway",2008
39,39,"Rod Pampling",28,NA,5262.5,238,"DistancefromEdgeofFairway",2008
41,41,"Bo Van Pelt",32,NA,7583.25,342,"DistancefromEdgeofFairway",2008
42,42,"Brian Davis",34,NA,5862.5,263,"DistancefromEdgeofFairway",2008
43,43,"Cliff Kresge",28,NA,5656.083,253,"DistancefromEdgeofFairway",2008
44,44,"Mark Calcavecchia",25,NA,4435.25,198,"DistancefromEdgeofFairway",2008
