"Approach_RANKTHISWEEK_2007","Approach_RANKLASTWEEK_2007","Approach_PLAYERNAME_2007","Approach_ROUNDS_2007","Approach_AVGRTP_2007","stat_name","year"
1,1,"Craig Bowden",78,-0.234,"Approach",2007
2,2,"Vijay Singh",102,-0.233,"Approach",2007
3,3,"Steve Stricker",81,-0.226,"Approach",2007
4,4,"Ian Poulter",63,-0.221,"Approach",2007
5,5,"Chris Riley",59,-0.209,"Approach",2007
6,6,"Tiger Woods",63,-0.205,"Approach",2007
7,7,"Scott Verplank",82,-0.2,"Approach",2007
8,8,"Tim Clark",66,-0.199,"Approach",2007
8,8,"Chris Stroud",66,-0.199,"Approach",2007
10,10,"Corey Pavin",81,-0.198,"Approach",2007
11,11,"Rocco Mediate",72,-0.194,"Approach",2007
12,12,"Brian Gay",107,-0.182,"Approach",2007
13,13,"Woody Austin",95,-0.175,"Approach",2007
14,14,"Tim Petrovic",106,-0.173,"Approach",2007
15,15,"Jarrod Lyle",77,-0.172,"Approach",2007
16,16,"Brendon de Jonge",76,-0.171,"Approach",2007
16,16,"Freddie Jacobson",70,-0.171,"Approach",2007
18,18,"Jerry Kelly",101,-0.168,"Approach",2007
18,18,"Bo Van Pelt",104,-0.168,"Approach",2007
20,20,"Alex Cejka",80,-0.167,"Approach",2007
20,20,"Sean OHair",98,-0.167,"Approach",2007
20,20,"Rory Sabbatini",81,-0.167,"Approach",2007
23,23,"Jeff Maggert",79,-0.166,"Approach",2007
24,24,"Ryan Armour",107,-0.163,"Approach",2007
24,24,"Mark Calcavecchia",93,-0.163,"Approach",2007
24,24,"Daniel Chopra",106,-0.163,"Approach",2007
24,24,"Charles Warren",101,-0.163,"Approach",2007
28,28,"Craig Lile",77,-0.162,"Approach",2007
28,28,"Arron Oberholser",69,-0.162,"Approach",2007
30,30,"Phil Mickelson",73,-0.161,"Approach",2007
31,31,"Jim Furyk",84,-0.16,"Approach",2007
32,32,"Bart Bryant",87,-0.159,"Approach",2007
33,33,"Shigeki Maruyama",84,-0.157,"Approach",2007
33,33,"Joe Ogilvie",102,-0.157,"Approach",2007
33,33,"Jay Williamson",50,-0.157,"Approach",2007
36,36,"Cameron Beckman",96,-0.155,"Approach",2007
36,36,"Nathan Green",103,-0.155,"Approach",2007
36,36,"Steve Lowery",74,-0.155,"Approach",2007
36,36,"Charlie Wi",90,-0.155,"Approach",2007
40,40,"Glen Day",85,-0.154,"Approach",2007
40,40,"Will Ma Kenzie",100,-0.154,"Approach",2007
42,42,"Steve Wheatcroft",73,-0.152,"Approach",2007
43,43,"Darron Stiles",65,-0.151,"Approach",2007
44,44,"Jason Dufner",100,-0.15,"Approach",2007
44,44,"Ryuji Imada",104,-0.15,"Approach",2007
44,44,"Jesper Parnevik",88,-0.15,"Approach",2007
47,47,"Briny Baird",115,-0.149,"Approach",2007
48,48,"Tripp Isenhour",86,-0.145,"Approach",2007
49,49,"Billy Andrade",88,-0.142,"Approach",2007
49,49,"Geoff Ogilvy",84,-0.142,"Approach",2007
51,51,"John Rollins",102,-0.14,"Approach",2007
51,51,"Heath Slocum",101,-0.14,"Approach",2007
53,53,"Gavin Coles",87,-0.138,"Approach",2007
54,54,"Bubba Dickerson",51,-0.137,"Approach",2007
55,55,"Scott Gutschewski",67,-0.135,"Approach",2007
56,56,"Brandt Snedeker",105,-0.133,"Approach",2007
57,57,"Lucas Glover",98,-0.132,"Approach",2007
58,58,"Stephen Ames",81,-0.131,"Approach",2007
58,58,"Fred Funk",65,-0.131,"Approach",2007
60,60,"Bob Estes",88,-0.13,"Approach",2007
60,60,"Craig Kanada",109,-0.13,"Approach",2007
62,62,"John Mallinger",96,-0.128,"Approach",2007
62,62,"Jeff Overton",60,-0.128,"Approach",2007
62,62,"Michael Sim",52,-0.128,"Approach",2007
65,65,"Stewart Cink",91,-0.127,"Approach",2007
65,65,"Robert Gamez",88,-0.127,"Approach",2007
65,65,"Kevin Sutherland",85,-0.127,"Approach",2007
68,68,"Michael Boyd",61,-0.125,"Approach",2007
69,69,"Bob Heintz",85,-0.123,"Approach",2007
69,69,"Lee Janzen",66,-0.123,"Approach",2007
69,69,"Ted Purdy",102,-0.123,"Approach",2007
72,72,"Zach Johnson",76,-0.12,"Approach",2007
73,73,"Frank Lickliter II",95,-0.118,"Approach",2007
74,74,"Parker McLachlin",83,-0.116,"Approach",2007
75,75,"Marco Dawson",73,-0.115,"Approach",2007
75,75,"Adam Scott",69,-0.115,"Approach",2007
75,75,"Bubba Watson",80,-0.115,"Approach",2007
78,78,"Brian Davis",101,-0.114,"Approach",2007
79,79,"Tommy Armour III",81,-0.11,"Approach",2007
80,80,"Mathias Gronberg",95,-0.109,"Approach",2007
80,80,"Jeff Sluman",60,-0.109,"Approach",2007
80,80,"David Toms",80,-0.109,"Approach",2007
83,83,"John Merrick",92,-0.107,"Approach",2007
83,83,"Kirk Triplett",77,-0.107,"Approach",2007
83,83,"Boo Weekley",101,-0.107,"Approach",2007
86,86,"Doug LaBelle II",104,-0.106,"Approach",2007
87,87,"Jason Gore",86,-0.104,"Approach",2007
88,88,"Dicky Pride",71,-0.103,"Approach",2007
89,89,"Rich Beem",89,-0.102,"Approach",2007
90,90,"Robert Garrigus",95,-0.101,"Approach",2007
91,91,"Paul Gow",70,-0.1,"Approach",2007
91,91,"Cliff Kresge",107,-0.1,"Approach",2007
91,91,"Jason Schultz",63,-0.1,"Approach",2007
94,94,"Rich Barcelo",80,-0.099,"Approach",2007
94,94,"Steve Elkington",87,-0.099,"Approach",2007
96,96,"Steve Allan",63,-0.098,"Approach",2007
96,96,"Michael Allen",74,-0.098,"Approach",2007
96,96,"Matt Kuchar",85,-0.098,"Approach",2007
99,99,"Mark Brooks",53,-0.097,"Approach",2007
100,100,"Ryan Moore",92,-0.096,"Approach",2007
101,101,"Kenny Perry",83,-0.095,"Approach",2007
102,102,"Sergio Garcia",68,-0.09,"Approach",2007
103,103,"Mathew Goggin",97,-0.089,"Approach",2007
103,103,"Tom Johnson",74,-0.089,"Approach",2007
105,105,"Ken Duke",112,-0.088,"Approach",2007
106,106,"Steve Marino",106,-0.087,"Approach",2007
107,107,"Aaron Baddeley",83,-0.086,"Approach",2007
108,108,"Craig Barlow",52,-0.082,"Approach",2007
108,108,"Charley Hoffman",97,-0.082,"Approach",2007
108,108,"JB Holmes",71,-0.082,"Approach",2007
108,108,"Nick OHern",72,-0.082,"Approach",2007
112,112,"Anders Hansen",55,-0.081,"Approach",2007
112,112,"JP Hayes",89,-0.081,"Approach",2007
112,112,"Justin Rose",63,-0.081,"Approach",2007
112,112,"Chris Tidland",59,-0.081,"Approach",2007
116,116,"Kent Jones",97,-0.08,"Approach",2007
117,117,"Justin Leonard",95,-0.079,"Approach",2007
117,117,"Hunter Mahan",91,-0.079,"Approach",2007
117,117,"Nick Watney",87,-0.079,"Approach",2007
120,120,"Chris Couch",76,-0.078,"Approach",2007
120,120,"John Senden",97,-0.078,"Approach",2007
122,122,"Tom Lehman",62,-0.076,"Approach",2007
122,122,"Rod Pampling",92,-0.076,"Approach",2007
122,122,"Tom Pernice Jr",104,-0.076,"Approach",2007
122,122,"Johnson Wagner",97,-0.076,"Approach",2007
126,126,"Troy Matteson",87,-0.075,"Approach",2007
126,126,"Paul Stankowski",52,-0.075,"Approach",2007
128,128,"Stuart Appleby",74,-0.074,"Approach",2007
129,129,"Michael Putnam",96,-0.073,"Approach",2007
130,130,"Bob Tway",103,-0.072,"Approach",2007
131,131,"Bill Haas",93,-0.07,"Approach",2007
131,131,"Pat Perez",84,-0.07,"Approach",2007
131,131,"Brett Wetterich",88,-0.07,"Approach",2007
134,134,"Stephen Leaney",82,-0.069,"Approach",2007
135,135,"Billy Mayfair",98,-0.068,"Approach",2007
136,136,"Jeff Brehaut",59,-0.067,"Approach",2007
136,136,"Mike Weir",82,-0.067,"Approach",2007
138,138,"Harrison Frazar",88,-0.066,"Approach",2007
139,139,"KJ Choi",87,-0.064,"Approach",2007
139,139,"Tim Herron",98,-0.064,"Approach",2007
139,139,"Daisuke Maruyama",86,-0.064,"Approach",2007
142,142,"Robert Allenby",90,-0.063,"Approach",2007
142,142,"Tag Ridings",52,-0.063,"Approach",2007
144,144,"Luke Donald",69,-0.062,"Approach",2007
144,144,"Paul Goydos",60,-0.062,"Approach",2007
146,146,"Chris DiMarco",79,-0.061,"Approach",2007
146,146,"George McNeill",95,-0.061,"Approach",2007
148,148,"Kevin Na",84,-0.059,"Approach",2007
148,148,"Jaco Van Zyl",51,-0.059,"Approach",2007
150,150,"Ernie Els",59,-0.057,"Approach",2007
151,151,"Ben Curtis",80,-0.056,"Approach",2007
151,151,"Kyle Reifers",71,-0.056,"Approach",2007
153,153,"Tom Byrum",50,-0.055,"Approach",2007
153,153,"Camilo Villegas",82,-0.055,"Approach",2007
155,155,"Eric Axley",107,-0.054,"Approach",2007
156,156,"Ryan Palmer",91,-0.053,"Approach",2007
157,157,"Jonathan Byrd",73,-0.051,"Approach",2007
158,158,"Dean Wilson",92,-0.05,"Approach",2007
159,159,"Matt Hendrix",63,-0.048,"Approach",2007
160,160,"Steve Flesch",100,-0.047,"Approach",2007
161,161,"Brian Bateman",55,-0.045,"Approach",2007
161,161,"DJ Brigman",67,-0.045,"Approach",2007
163,163,"Andrew Buckle",77,-0.044,"Approach",2007
163,163,"Greg Owen",81,-0.044,"Approach",2007
165,165,"Kevin Stadler",95,-0.043,"Approach",2007
166,166,"JJ Henry",86,-0.042,"Approach",2007
166,166,"Carl Pettersson",111,-0.042,"Approach",2007
168,168,"DJ Trahan",99,-0.039,"Approach",2007
169,169,"Bryce Molder",56,-0.037,"Approach",2007
170,170,"Jim Rutledge",59,-0.036,"Approach",2007
170,170,"Joey Sindelar",75,-0.036,"Approach",2007
172,172,"Richard Johnson",93,-0.034,"Approach",2007
173,173,"Jason Bohn",57,-0.031,"Approach",2007
174,174,"Peter Lonard",85,-0.03,"Approach",2007
175,175,"Jeff Gove",103,-0.029,"Approach",2007
176,176,"Todd Hamilton",76,-0.028,"Approach",2007
177,177,"David Branshaw",83,-0.027,"Approach",2007
178,178,"Chad Campbell",96,-0.024,"Approach",2007
178,178,"Mark Wilson",87,-0.024,"Approach",2007
180,180,"Joe Durant",88,-0.022,"Approach",2007
181,181,"Jeff Quinney",95,-0.02,"Approach",2007
182,182,"Shaun Micheel",91,-0.019,"Approach",2007
183,183,"Charles Howell III",89,-0.018,"Approach",2007
184,184,"Anthony Kim",93,-0.016,"Approach",2007
185,185,"Vaughn Taylor",91,-0.014,"Approach",2007
186,186,"Davis Love III",66,-0.012,"Approach",2007
187,187,"Mark Hensby",81,-0.009,"Approach",2007
188,188,"Brett Quigley",79,-0.006,"Approach",2007
189,189,"Duffy Waldorf",69,0.006,"Approach",2007
190,190,"Trevor Immelman",74,0.007,"Approach",2007
191,191,"Henrik Stenson",52,0.01,"Approach",2007
192,192,"Padraig Harrington",64,0.027,"Approach",2007
193,193,"Jose Coceres",50,0.044,"Approach",2007
194,194,"John Daly",59,0.045,"Approach",2007
195,195,"Retief Goosen",50,0.054,"Approach",2007
196,196,"Jose Maria Olazabal",52,0.071,"Approach",2007
