"GIRPercentage100yards_RANKTHISWEEK_2012","GIRPercentage100yards_RANKLASTWEEK_2012","GIRPercentage100yards_PLAYERNAME_2012","GIRPercentage100yards_ROUNDS_2012","GIRPercentage100yards_Pct_2012","GIRPercentage100yards_GREENSHIT_2012","GIRPercentage100yards_TOTALHOLES_2012","GIRPercentage100yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Steve Stricker",73,68.62,538,784,-0.22,"GIRPercentage100yards",2012
2,2,"Lee Westwood",60,67.3,389,578,-0.2,"GIRPercentage100yards",2012
3,3,"Ben Curtis",62,67.13,486,724,-0.21,"GIRPercentage100yards",2012
4,4,"Jason Dufner",83,67.09,632,942,-0.22,"GIRPercentage100yards",2012
5,5,"Russell Knox",72,66.82,568,850,-0.16,"GIRPercentage100yards",2012
6,6,"Justin Rose",69,66.8,517,774,-0.17,"GIRPercentage100yards",2012
7,7,"Alexandre Rocha",62,66.76,502,752,-0.14,"GIRPercentage100yards",2012
8,8,"Tiger Woods",69,66.3,480,724,-0.22,"GIRPercentage100yards",2012
9,9,"Heath Slocum",93,66.19,744,1124,-0.15,"GIRPercentage100yards",2012
10,10,"Jim Furyk",85,66.13,656,992,-0.21,"GIRPercentage100yards",2012
11,11,"Boo Weekley",74,65.92,557,845,-0.13,"GIRPercentage100yards",2012
12,12,"Louis Oosthuizen",65,65.91,462,701,-0.17,"GIRPercentage100yards",2012
13,13,"Graeme McDowell",55,65.82,364,553,-0.2,"GIRPercentage100yards",2012
14,14,"Brendon de Jonge",115,65.79,1004,1526,-0.19,"GIRPercentage100yards",2012
14,14,"Scott Dunlap",57,65.79,448,681,-0.17,"GIRPercentage100yards",2012
16,16,"Camilo Villegas",79,65.76,703,1069,-0.15,"GIRPercentage100yards",2012
17,17,"JJ Henry",93,65.74,706,1074,-0.16,"GIRPercentage100yards",2012
18,18,"Hunter Mahan",88,65.51,602,919,-0.18,"GIRPercentage100yards",2012
19,19,"Kevin Stadler",85,65.4,673,1029,-0.18,"GIRPercentage100yards",2012
20,20,"Bubba Watson",68,65.31,416,637,-0.15,"GIRPercentage100yards",2012
21,21,"Billy Horschel",63,65.26,449,688,-0.18,"GIRPercentage100yards",2012
22,22,"Tim Herron",88,64.99,735,1131,-0.17,"GIRPercentage100yards",2012
23,23,"John Merrick",83,64.91,688,1060,-0.15,"GIRPercentage100yards",2012
24,24,"Keegan Bradley",90,64.82,645,995,-0.19,"GIRPercentage100yards",2012
25,25,"Webb Simpson",77,64.79,611,943,-0.23,"GIRPercentage100yards",2012
26,26,"Rory McIlroy",60,64.76,373,576,-0.24,"GIRPercentage100yards",2012
27,27,"Will Claxton",99,64.71,816,1261,-0.19,"GIRPercentage100yards",2012
28,28,"Greg Owen",90,64.66,719,1112,-0.15,"GIRPercentage100yards",2012
29,29,"Matt Every",80,64.61,597,924,-0.19,"GIRPercentage100yards",2012
30,30,"Ricky Barnes",92,64.56,796,1233,-0.15,"GIRPercentage100yards",2012
31,31,"Roland Thatcher",55,64.53,422,654,-0.16,"GIRPercentage100yards",2012
32,32,"Robert Garrigus",89,64.46,673,1044,-0.2,"GIRPercentage100yards",2012
32,32,"Vaughn Taylor",81,64.46,613,951,-0.19,"GIRPercentage100yards",2012
34,34,"Roberto Castro",92,64.41,704,1093,-0.17,"GIRPercentage100yards",2012
35,35,"Nick Watney",97,64.36,706,1097,-0.17,"GIRPercentage100yards",2012
36,36,"Gary Christian",91,64.34,738,1147,-0.18,"GIRPercentage100yards",2012
37,37,"Charlie Beljan",61,64.3,380,591,-0.14,"GIRPercentage100yards",2012
37,37,"Steve Wheatcroft",56,64.3,389,605,-0.15,"GIRPercentage100yards",2012
39,39,"Bill Lunde",83,64.28,619,963,-0.17,"GIRPercentage100yards",2012
40,40,"Richard Lee",71,64.24,546,850,-0.21,"GIRPercentage100yards",2012
40,40,"Chez Reavie",83,64.24,643,1001,-0.16,"GIRPercentage100yards",2012
42,42,"Kyle Stanley",86,64.18,636,991,-0.14,"GIRPercentage100yards",2012
43,43,"Garth Mulroy",59,64.17,428,667,-0.19,"GIRPercentage100yards",2012
44,44,"Sean OHair",84,64.14,676,1054,-0.15,"GIRPercentage100yards",2012
45,45,"Bo Van Pelt",84,64.12,613,956,-0.22,"GIRPercentage100yards",2012
46,46,"Kyle Reifers",86,64.09,696,1086,-0.15,"GIRPercentage100yards",2012
47,47,"John Senden",81,64.08,569,888,-0.2,"GIRPercentage100yards",2012
48,48,"Graham DeLaet",79,64.04,659,1029,-0.16,"GIRPercentage100yards",2012
49,49,"Harris English",98,64.01,811,1267,-0.17,"GIRPercentage100yards",2012
50,50,"Scott Piercy",95,63.99,773,1208,-0.21,"GIRPercentage100yards",2012
51,51,"Adam Scott",59,63.95,376,588,-0.18,"GIRPercentage100yards",2012
52,52,"Ryan Moore",89,63.84,775,1214,-0.23,"GIRPercentage100yards",2012
53,53,"DA Points",88,63.79,754,1182,-0.2,"GIRPercentage100yards",2012
54,54,"Davis Love III",64,63.77,491,770,-0.22,"GIRPercentage100yards",2012
55,55,"Daniel Summerhays",81,63.63,642,1009,-0.17,"GIRPercentage100yards",2012
56,56,"Kris Blanks",65,63.52,566,891,-0.14,"GIRPercentage100yards",2012
57,57,"Luke Donald",63,63.46,462,728,-0.2,"GIRPercentage100yards",2012
58,58,"Brendan Steele",77,63.45,585,922,-0.12,"GIRPercentage100yards",2012
59,59,"Chad Campbell",84,63.42,690,1088,-0.17,"GIRPercentage100yards",2012
60,60,"Seung Yul Noh",105,63.41,773,1219,-0.17,"GIRPercentage100yards",2012
61,61,"William McGirt",96,63.32,739,1167,-0.15,"GIRPercentage100yards",2012
62,62,"Charles Howell III",98,63.3,714,1128,-0.14,"GIRPercentage100yards",2012
63,63,"Robert Allenby",76,63.29,638,1008,-0.17,"GIRPercentage100yards",2012
64,64,"Blake Adams",107,63.28,817,1291,-0.18,"GIRPercentage100yards",2012
65,65,"Sergio Garcia",57,63.18,405,641,-0.19,"GIRPercentage100yards",2012
66,66,"Charl Schwartzel",56,63.17,367,581,-0.2,"GIRPercentage100yards",2012
66,66,"David Toms",60,63.17,410,649,-0.18,"GIRPercentage100yards",2012
68,68,"Cameron Beckman",81,63.08,651,1032,-0.17,"GIRPercentage100yards",2012
69,69,"Kevin Streelman",89,63.03,704,1117,-0.19,"GIRPercentage100yards",2012
