"PuttingRating_RANKTHISWEEK_2016","PuttingRating_RANKLASTWEEK_2016","PuttingRating_PLAYERNAME_2016","PuttingRating_EVENTS_2016","PuttingRating_RATING_2016","stat_name","year"
1,1,"Kiradech Aphibarnrat",2,9.1,"PuttingRating",2016
1,1,"Bryson DeChambeau",2,9.1,"PuttingRating",2016
3,3,"Gonzalo Fdez Castano",1,8.9,"PuttingRating",2016
3,3,"KT Kim",1,8.9,"PuttingRating",2016
3,3,"Kelly Kraft",2,8.9,"PuttingRating",2016
6,6,"Abraham Ancer",1,8.8,"PuttingRating",2016
6,6,"Bud Cauley",2,8.8,"PuttingRating",2016
6,6,"Carl Pettersson",3,8.8,"PuttingRating",2016
6,6,"Jordan Spieth",5,8.8,"PuttingRating",2016
6,6,"Bobby Wyatt",1,8.8,"PuttingRating",2016
11,11,"Paul Dunne",1,8.7,"PuttingRating",2016
11,11,"Daisuke Kataoka",1,8.7,"PuttingRating",2016
11,11,"Lee McCoy",1,8.7,"PuttingRating",2016
11,14,"Phil Mickelson",7,8.7,"PuttingRating",2016
15,NA,"Trevor Immelman",1,8.6,"PuttingRating",2016
15,14,"Andrew Landry",1,8.6,"PuttingRating",2016
15,14,"Maverick McNealy",1,8.6,"PuttingRating",2016
18,17,"Jonas Blixt",7,8.5,"PuttingRating",2016
18,17,"Chad Collins",5,8.5,"PuttingRating",2016
18,NA,"Matt Dobyns",1,8.5,"PuttingRating",2016
18,17,"Brandt Snedeker",8,8.5,"PuttingRating",2016
22,22,"Erik Compton",6,8.4,"PuttingRating",2016
22,22,"Fred Funk",1,8.4,"PuttingRating",2016
22,22,"Brian Gay",3,8.4,"PuttingRating",2016
22,22,"Tom Hoge",7,8.4,"PuttingRating",2016
22,22,"Bryce Molder",8,8.4,"PuttingRating",2016
22,17,"Martin Piller",5,8.4,"PuttingRating",2016
22,22,"Patrick Reed",8,8.4,"PuttingRating",2016
22,22,"Andres Romero",2,8.4,"PuttingRating",2016
22,22,"Brian Stuard",4,8.4,"PuttingRating",2016
22,22,"Jimmy Walker",8,8.4,"PuttingRating",2016
22,22,"Danny Willett",2,8.4,"PuttingRating",2016
33,32,"Ben Crane",7,8.3,"PuttingRating",2016
33,32,"Charlie Danielson",1,8.3,"PuttingRating",2016
33,32,"Jason Day",6,8.3,"PuttingRating",2016
33,32,"Hiroshi Iwata",4,8.3,"PuttingRating",2016
33,32,"Freddie Jacobson",9,8.3,"PuttingRating",2016
33,32,"Dustin Johnson",6,8.3,"PuttingRating",2016
33,32,"Brooks Koepka",6,8.3,"PuttingRating",2016
33,32,"Lucas Lee",2,8.3,"PuttingRating",2016
33,32,"Troy Merritt",4,8.3,"PuttingRating",2016
33,32,"Ryan Moore",6,8.3,"PuttingRating",2016
33,32,"Steve Stricker",4,8.3,"PuttingRating",2016
33,32,"Brendon Todd",2,8.3,"PuttingRating",2016
45,46,"Stuart Appleby",7,8.2,"PuttingRating",2016
45,46,"Steven Bowditch",3,8.2,"PuttingRating",2016
45,46,"Scott Brown",8,8.2,"PuttingRating",2016
45,46,"Jonathan Byrd",3,8.2,"PuttingRating",2016
45,46,"Rafa Cabrera Bello",2,8.2,"PuttingRating",2016
45,46,"Rafael Campos",1,8.2,"PuttingRating",2016
45,46,"Tim Clark",1,8.2,"PuttingRating",2016
45,46,"Jon Curran",7,8.2,"PuttingRating",2016
45,46,"Matt Every",3,8.2,"PuttingRating",2016
45,46,"Luke Guthrie",3,8.2,"PuttingRating",2016
45,46,"Charley Hoffman",9,8.2,"PuttingRating",2016
45,46,"JB Holmes",8,8.2,"PuttingRating",2016
45,46,"Ryo Ishikawa",1,8.2,"PuttingRating",2016
45,32,"Anirban Lahiri",6,8.2,"PuttingRating",2016
45,46,"Justin Leonard",4,8.2,"PuttingRating",2016
45,46,"Andrew Loupe",9,8.2,"PuttingRating",2016
45,46,"Cameron Smith",4,8.2,"PuttingRating",2016
45,46,"Will Wilcox",7,8.2,"PuttingRating",2016
45,75,"Tim Wilkinson",7,8.2,"PuttingRating",2016
64,63,"Aaron Baddeley",9,8.1,"PuttingRating",2016
64,63,"Ricky Barnes",9,8.1,"PuttingRating",2016
64,63,"Zac Blair",8,8.1,"PuttingRating",2016
64,63,"KJ Choi",9,8.1,"PuttingRating",2016
64,75,"Ernie Els",6,8.1,"PuttingRating",2016
64,63,"Derek Fathauer",8,8.1,"PuttingRating",2016
64,75,"Rickie Fowler",8,8.1,"PuttingRating",2016
64,102,"Retief Goosen",8,8.1,"PuttingRating",2016
64,75,"Brian Harman",10,8.1,"PuttingRating",2016
64,63,"Si Woo Kim",12,8.1,"PuttingRating",2016
64,63,"Kevin Kisner",7,8.1,"PuttingRating",2016
64,63,"Soren Kjeldsen",1,8.1,"PuttingRating",2016
64,63,"Peter Malnati",5,8.1,"PuttingRating",2016
64,63,"Sean OHair",9,8.1,"PuttingRating",2016
64,17,"Carlos Ortiz",5,8.1,"PuttingRating",2016
64,63,"Scott Stallings",7,8.1,"PuttingRating",2016
64,32,"Chris Stroud",7,8.1,"PuttingRating",2016
64,75,"Steve Wheatcroft",9,8.1,"PuttingRating",2016
82,75,"Tyler Aldridge",8,8,"PuttingRating",2016
82,75,"Jamie Donaldson",5,8,"PuttingRating",2016
82,75,"Marcus Fraser",1,8,"PuttingRating",2016
82,75,"Brice Garnett",2,8,"PuttingRating",2016
82,75,"Tom Gillis",1,8,"PuttingRating",2016
82,75,"Morgan Hoffmann",6,8,"PuttingRating",2016
82,75,"Thongchai Jaidee",1,8,"PuttingRating",2016
82,75,"Sung Kang",8,8,"PuttingRating",2016
82,75,"Smylie Kaufman",10,8,"PuttingRating",2016
82,75,"Chris Kirk",8,8,"PuttingRating",2016
82,102,"Patton Kizzire",11,8,"PuttingRating",2016
82,75,"DH Lee",3,8,"PuttingRating",2016
82,63,"Jamie Lovemark",12,8,"PuttingRating",2016
82,75,"Steve Marino",4,8,"PuttingRating",2016
82,75,"Hideki Matsuyama",6,8,"PuttingRating",2016
82,75,"Billy Mayfair",1,8,"PuttingRating",2016
82,75,"William McGirt",11,8,"PuttingRating",2016
82,102,"Rory McIlroy",5,8,"PuttingRating",2016
82,75,"George McNeill",3,8,"PuttingRating",2016
82,75,"Trey Mullinax",2,8,"PuttingRating",2016
82,75,"Kevin Na",8,8,"PuttingRating",2016
82,137,"Vaughn Taylor",4,8,"PuttingRating",2016
82,75,"Jordan Zunic",1,8,"PuttingRating",2016
105,102,"Byeong Hun An",3,7.9,"PuttingRating",2016
105,102,"Blayne Barber",6,7.9,"PuttingRating",2016
105,102,"Jason Bohn",6,7.9,"PuttingRating",2016
105,102,"Matthew Fitzpatrick",2,7.9,"PuttingRating",2016
105,102,"Fabian Gomez",9,7.9,"PuttingRating",2016
105,75,"Jason Gore",9,7.9,"PuttingRating",2016
105,102,"Chesson Hadley",8,7.9,"PuttingRating",2016
105,102,"David Hearn",7,7.9,"PuttingRating",2016
105,102,"Russell Henley",7,7.9,"PuttingRating",2016
105,102,"John Huh",9,7.9,"PuttingRating",2016
105,102,"Zach Johnson",7,7.9,"PuttingRating",2016
105,102,"Matt Jones",5,7.9,"PuttingRating",2016
105,102,"Whee Kim",5,7.9,"PuttingRating",2016
105,165,"Scott Langley",6,7.9,"PuttingRating",2016
105,102,"Marc Leishman",6,7.9,"PuttingRating",2016
105,102,"Graeme McDowell",4,7.9,"PuttingRating",2016
105,102,"DA Points",3,7.9,"PuttingRating",2016
105,102,"Ted Purdy",1,7.9,"PuttingRating",2016
105,102,"Justin Rose",6,7.9,"PuttingRating",2016
105,102,"Sam Saunders",2,7.9,"PuttingRating",2016
105,102,"Charl Schwartzel",5,7.9,"PuttingRating",2016
105,102,"Vijay Singh",8,7.9,"PuttingRating",2016
105,102,"Henrik Stenson",4,7.9,"PuttingRating",2016
105,102,"Kevin Streelman",6,7.9,"PuttingRating",2016
105,137,"Daniel Summerhays",10,7.9,"PuttingRating",2016
105,102,"David Toms",7,7.9,"PuttingRating",2016
105,102,"Marc Turnesa",2,7.9,"PuttingRating",2016
105,75,"Dawie van der Walt",6,7.9,"PuttingRating",2016
105,102,"Camilo Villegas",7,7.9,"PuttingRating",2016
134,102,"Daniel Berger",8,7.8,"PuttingRating",2016
134,137,"Shane Bertsch",4,7.8,"PuttingRating",2016
134,137,"Miguel Angel Carballo",1,7.8,"PuttingRating",2016
134,137,"Alex Cejka",7,7.8,"PuttingRating",2016
134,137,"Kevin Chappell",9,7.8,"PuttingRating",2016
134,137,"Harris English",8,7.8,"PuttingRating",2016
134,165,"Tony Finau",7,7.8,"PuttingRating",2016
134,137,"Branden Grace",4,7.8,"PuttingRating",2016
134,102,"Adam Hadwin",11,7.8,"PuttingRating",2016
134,188,"James Hahn",6,7.8,"PuttingRating",2016
134,137,"Padraig Harrington",7,7.8,"PuttingRating",2016
134,137,"Mark Hensby",1,7.8,"PuttingRating",2016
134,137,"Charles Howell III",13,7.8,"PuttingRating",2016
134,137,"Mark Hubbard",15,7.8,"PuttingRating",2016
134,137,"Billy Hurley III",3,7.8,"PuttingRating",2016
134,102,"Michael Kim",12,7.8,"PuttingRating",2016
134,165,"Danny Lee",8,7.8,"PuttingRating",2016
134,137,"Spencer Levin",10,7.8,"PuttingRating",2016
134,137,"Frank Lickliter II",1,7.8,"PuttingRating",2016
134,137,"Shane Lowry",5,7.8,"PuttingRating",2016
134,137,"Seung Yul Noh",9,7.8,"PuttingRating",2016
134,102,"Jeff Overton",8,7.8,"PuttingRating",2016
134,137,"Chez Reavie",11,7.8,"PuttingRating",2016
134,137,"Ollie Schniederjans",4,7.8,"PuttingRating",2016
134,102,"Adam Scott",6,7.8,"PuttingRating",2016
134,165,"John Senden",8,7.8,"PuttingRating",2016
134,137,"Kyle Stanley",11,7.8,"PuttingRating",2016
134,137,"Nick Taylor",9,7.8,"PuttingRating",2016
134,137,"Cameron Tringale",9,7.8,"PuttingRating",2016
134,137,"Tyrone Van Aswegen",11,7.8,"PuttingRating",2016
134,75,"Johnson Wagner",6,7.8,"PuttingRating",2016
165,137,"Luke Donald",8,7.7,"PuttingRating",2016
165,165,"Ken Duke",3,7.7,"PuttingRating",2016
165,165,"Steve Flesch",2,7.7,"PuttingRating",2016
165,165,"Andres Gonzales",4,7.7,"PuttingRating",2016
165,165,"Tim Herron",2,7.7,"PuttingRating",2016
165,165,"Billy Horschel",9,7.7,"PuttingRating",2016
165,137,"Colt Knost",10,7.7,"PuttingRating",2016
165,165,"Matt Kuchar",8,7.7,"PuttingRating",2016
165,188,"Martin Laird",9,7.7,"PuttingRating",2016
165,165,"David Lingmerth",9,7.7,"PuttingRating",2016
165,165,"Hunter Mahan",5,7.7,"PuttingRating",2016
165,165,"Ben Martin",9,7.7,"PuttingRating",2016
165,137,"Henrik Norlander",5,7.7,"PuttingRating",2016
165,102,"Rob Oppenheim",7,7.7,"PuttingRating",2016
165,165,"Scott Piercy",7,7.7,"PuttingRating",2016
165,165,"Ian Poulter",5,7.7,"PuttingRating",2016
165,165,"Dicky Pride",4,7.7,"PuttingRating",2016
165,165,"Webb Simpson",6,7.7,"PuttingRating",2016
165,102,"Brett Stegmaier",8,7.7,"PuttingRating",2016
165,165,"Andy Sullivan",4,7.7,"PuttingRating",2016
165,165,"Justin Thomas",8,7.7,"PuttingRating",2016
165,165,"Michael Thompson",6,7.7,"PuttingRating",2016
165,165,"Bernd Wiesberger",2,7.7,"PuttingRating",2016
165,165,"Chris Wood",2,7.7,"PuttingRating",2016
165,165,"Greg Yates",1,7.7,"PuttingRating",2016
190,188,"Matt Atkins",1,7.6,"PuttingRating",2016
190,137,"Angel Cabrera",7,7.6,"PuttingRating",2016
190,137,"Paul Casey",5,7.6,"PuttingRating",2016
190,188,"Martin Flores",1,7.6,"PuttingRating",2016
190,188,"Luke List",7,7.6,"PuttingRating",2016
190,188,"Will Ma Kenzie",7,7.6,"PuttingRating",2016
190,188,"Nick Mason",1,7.6,"PuttingRating",2016
190,188,"Francesco Molinari",8,7.6,"PuttingRating",2016
190,188,"Ryan Palmer",11,7.6,"PuttingRating",2016
190,188,"Michael Putnam",1,7.6,"PuttingRating",2016
190,188,"Wes Roach",3,7.6,"PuttingRating",2016
190,188,"Hudson Swafford",7,7.6,"PuttingRating",2016
190,188,"Harold Varner III",10,7.6,"PuttingRating",2016
190,202,"Jhonattan Vegas",9,7.6,"PuttingRating",2016
190,188,"Bubba Watson",4,7.6,"PuttingRating",2016
205,202,"Joe Affrunti",1,7.5,"PuttingRating",2016
205,202,"Michael Bradley",2,7.5,"PuttingRating",2016
205,202,"Graham DeLaet",10,7.5,"PuttingRating",2016
205,202,"Bill Haas",7,7.5,"PuttingRating",2016
205,202,"Jason Kokrak",8,7.5,"PuttingRating",2016
205,202,"Jarrod Lyle",1,7.5,"PuttingRating",2016
205,202,"Yusaku Miyazato",2,7.5,"PuttingRating",2016
205,202,"Cameron Percy",3,7.5,"PuttingRating",2016
205,202,"Darron Stiles",2,7.5,"PuttingRating",2016
205,202,"DJ Trahan",1,7.5,"PuttingRating",2016
205,202,"Bo Van Pelt",1,7.5,"PuttingRating",2016
205,202,"Boo Weekley",7,7.5,"PuttingRating",2016
217,216,"Keegan Bradley",3,7.4,"PuttingRating",2016
217,216,"Bronson Burgoon",7,7.4,"PuttingRating",2016
217,216,"Chad Campbell",8,7.4,"PuttingRating",2016
217,224,"Roberto Castro",11,7.4,"PuttingRating",2016
217,216,"Brian Davis",1,7.4,"PuttingRating",2016
217,216,"Jason Dufner",9,7.4,"PuttingRating",2016
217,216,"Sergio Garcia",2,7.4,"PuttingRating",2016
217,216,"Rhein Gibson",5,7.4,"PuttingRating",2016
217,202,"Emiliano Grillo",8,7.4,"PuttingRating",2016
217,248,"Martin Kaymer",2,7.4,"PuttingRating",2016
217,224,"Kyle Reifers",11,7.4,"PuttingRating",2016
217,216,"Brendan Steele",9,7.4,"PuttingRating",2016
229,224,"Brendon de Jonge",5,7.3,"PuttingRating",2016
229,231,"Lucas Glover",11,7.3,"PuttingRating",2016
229,224,"Jerry Kelly",7,7.3,"PuttingRating",2016
229,224,"Thomas Pieters",1,7.3,"PuttingRating",2016
229,224,"Nick Watney",2,7.3,"PuttingRating",2016
229,224,"Gary Woodland",9,7.3,"PuttingRating",2016
235,231,"Thomas Aiken",6,7.2,"PuttingRating",2016
235,243,"Robert Garrigus",6,7.2,"PuttingRating",2016
235,231,"Jim Herman",8,7.2,"PuttingRating",2016
235,231,"Russell Knox",6,7.2,"PuttingRating",2016
235,231,"Davis Love III",7,7.2,"PuttingRating",2016
235,231,"John Merrick",1,7.2,"PuttingRating",2016
235,231,"Louis Oosthuizen",2,7.2,"PuttingRating",2016
235,231,"Rory Sabbatini",3,7.2,"PuttingRating",2016
235,231,"Shawn Stefani",5,7.2,"PuttingRating",2016
235,231,"Hideto Tanihara",1,7.2,"PuttingRating",2016
235,231,"Mark Wilson",7,7.2,"PuttingRating",2016
246,243,"Geoff Ogilvy",4,7.1,"PuttingRating",2016
246,243,"Rod Pampling",1,7.1,"PuttingRating",2016
246,248,"Scott Pinckney",6,7.1,"PuttingRating",2016
246,243,"Patrick Rodgers",7,7.1,"PuttingRating",2016
246,243,"Ryan Ruffels",3,7.1,"PuttingRating",2016
246,231,"Robert Streb",7,7.1,"PuttingRating",2016
252,248,"Brandon Hagy",2,7,"PuttingRating",2016
252,248,"Greg Owen",7,7,"PuttingRating",2016
252,248,"Benjamin Taylor",1,7,"PuttingRating",2016
255,253,"Austin Connelly",1,6.9,"PuttingRating",2016
255,253,"Victor Dubuisson",1,6.9,"PuttingRating",2016
255,253,"Ross Fisher",1,6.9,"PuttingRating",2016
255,253,"JJ Henry",8,6.9,"PuttingRating",2016
255,253,"Justin Hicks",3,6.9,"PuttingRating",2016
260,258,"Stewart Cink",7,6.8,"PuttingRating",2016
260,261,"Derek Ernst",4,6.8,"PuttingRating",2016
260,258,"Tommy Gainey",1,6.8,"PuttingRating",2016
260,258,"Tim Petrovic",1,6.8,"PuttingRating",2016
264,261,"Pat Perez",1,6.6,"PuttingRating",2016
265,263,"Nathan Holman",1,6.4,"PuttingRating",2016
266,264,"Curtis Reed",1,6.3,"PuttingRating",2016
267,265,"Scott Hend",1,6.2,"PuttingRating",2016
268,266,"George Coetzee",1,5.9,"PuttingRating",2016
269,267,"Kristoffer Broberg",1,5.8,"PuttingRating",2016
