"LongestPutts_RANKTHISWEEK_2016","LongestPutts_RANKLASTWEEK_2016","LongestPutts_PLAYERNAME_2016","LongestPutts_ROUNDS_2016","LongestPutts_DISTANCE_2016","LongestPutts_YEARTOURN_2016","LongestPutts_ROUND_2016","LongestPutts_HOLE_2016","stat_name","year"
1,1,"Retief Goosen",37,NA,NA,4,12,"LongestPutts",2016
2,2,"Brendon Todd",43,NA,NA,1,12,"LongestPutts",2016
3,35,"Rory McIlroy",37,NA,NA,3,17,"LongestPutts",2016
4,3,"Rickie Fowler",42,NA,NA,2,13,"LongestPutts",2016
5,4,"Brendan Steele",48,NA,NA,3,5,"LongestPutts",2016
6,5,"Jason Day",36,NA,NA,4,5,"LongestPutts",2016
7,6,"Zach Johnson",42,NA,NA,2,14,"LongestPutts",2016
8,7,"Patton Kizzire",57,NA,NA,4,11,"LongestPutts",2016
9,8,"Marc Turnesa",14,NA,NA,2,10,"LongestPutts",2016
10,9,"Dustin Johnson",37,NA,NA,2,9,"LongestPutts",2016
11,10,"Russell Knox",48,NA,NA,4,1,"LongestPutts",2016
12,11,"Kevin Streelman",46,NA,NA,3,13,"LongestPutts",2016
14,13,"Brett Stegmaier",57,NA,NA,3,7,"LongestPutts",2016
15,14,"Jim Herman",55,NA,NA,2,18,"LongestPutts",2016
16,15,"Charl Schwartzel",29,NA,NA,4,13,"LongestPutts",2016
17,16,"Zac Blair",56,NA,NA,2,11,"LongestPutts",2016
18,18,"Scott Piercy",45,NA,NA,3,2,"LongestPutts",2016
18,19,"Dawie van der Walt",48,NA,NA,2,6,"LongestPutts",2016
18,17,"Scott Langley",41,NA,NA,1,7,"LongestPutts",2016
21,20,"Charles Howell III",63,NA,NA,2,17,"LongestPutts",2016
23,22,"Sung Kang",51,NA,NA,4,10,"LongestPutts",2016
24,23,"Mark Wilson",42,NA,NA,3,14,"LongestPutts",2016
25,24,"KT Kim",8,NA,NA,4,15,"LongestPutts",2016
26,25,"Steve Stricker",25,NA,NA,2,4,"LongestPutts",2016
27,26,"Jimmy Walker",43,NA,NA,3,5,"LongestPutts",2016
28,27,"Harris English",51,NA,NA,2,14,"LongestPutts",2016
29,28,"Bubba Watson",30,NA,NA,4,8,"LongestPutts",2016
30,29,"Boo Weekley",53,NA,NA,2,6,"LongestPutts",2016
31,30,"Angel Cabrera",42,NA,NA,2,13,"LongestPutts",2016
32,31,"Colt Knost",56,NA,NA,4,5,"LongestPutts",2016
33,119,"Adam Scott",39,NA,NA,3,12,"LongestPutts",2016
34,32,"Tyrone Van Aswegen",67,NA,NA,3,5,"LongestPutts",2016
38,36,"Chris Stroud",52,NA,NA,3,11,"LongestPutts",2016
40,38,"JJ Henry",44,NA,NA,1,2,"LongestPutts",2016
41,40,"Rory Sabbatini",40,NA,NA,2,16,"LongestPutts",2016
43,41,"Nick Taylor",57,NA,NA,1,5,"LongestPutts",2016
43,42,"Chris Kirk",51,NA,NA,2,14,"LongestPutts",2016
45,43,"KJ Choi",47,NA,NA,4,10,"LongestPutts",2016
45,44,"David Hearn",55,NA,NA,2,16,"LongestPutts",2016
48,313,"Matt Jones",45,NA,NA,1,7,"LongestPutts",2016
49,46,"Greg Owen",56,NA,NA,4,11,"LongestPutts",2016
50,47,"Hiroshi Iwata",51,NA,NA,4,9,"LongestPutts",2016
51,48,"Marc Leishman",41,NA,NA,3,15,"LongestPutts",2016
52,49,"Ben Martin",48,NA,NA,1,14,"LongestPutts",2016
53,50,"Justin Rose",35,NA,NA,4,2,"LongestPutts",2016
55,52,"Wes Roach",33,NA,NA,3,16,"LongestPutts",2016
56,170,"Steve Marino",40,NA,NA,1,7,"LongestPutts",2016
56,53,"Webb Simpson",34,NA,NA,1,3,"LongestPutts",2016
58,54,"Roberto Castro",55,NA,NA,1,5,"LongestPutts",2016
59,55,"Martin Laird",46,NA,NA,1,1,"LongestPutts",2016
61,57,"Michael Kim",62,NA,NA,1,18,"LongestPutts",2016
63,59,"Padraig Harrington",38,NA,NA,1,3,"LongestPutts",2016
