"AveragePuttingDistanceAll2putts_RANKTHISWEEK_2015","AveragePuttingDistanceAll2putts_RANKLASTWEEK_2015","AveragePuttingDistanceAll2putts_PLAYERNAME_2015","AveragePuttingDistanceAll2putts_ROUNDS_2015","AveragePuttingDistanceAll2putts_AVG_2015","AveragePuttingDistanceAll2putts_DISTANCEFEET_2015","AveragePuttingDistanceAll2putts_TOTALPUTTS_2015","stat_name","year"
1,1,"Hunter Mahan",88,NA,16390.833,666,"AveragePuttingDistanceAll2putts",2015
2,2,"Aaron Baddeley",76,NA,15650.167,641,"AveragePuttingDistanceAll2putts",2015
2,2,"Russell Henley",87,NA,17023.417,697,"AveragePuttingDistanceAll2putts",2015
2,2,"Henrik Stenson",63,NA,10731.75,440,"AveragePuttingDistanceAll2putts",2015
5,5,"Greg Chalmers",58,NA,8526.417,351,"AveragePuttingDistanceAll2putts",2015
6,6,"Alex Prugh",84,NA,19584.083,811,"AveragePuttingDistanceAll2putts",2015
6,6,"Jhonattan Vegas",90,NA,17916.5,741,"AveragePuttingDistanceAll2putts",2015
8,8,"Eric Axley",57,NA,10552.833,438,"AveragePuttingDistanceAll2putts",2015
8,8,"Adam Scott",51,NA,7625.167,317,"AveragePuttingDistanceAll2putts",2015
10,10,"Zac Blair",108,NA,21503.583,896,"AveragePuttingDistanceAll2putts",2015
10,10,"Hudson Swafford",97,NA,21058.25,878,"AveragePuttingDistanceAll2putts",2015
12,12,"Jason Day",75,NA,13148.833,549,"AveragePuttingDistanceAll2putts",2015
12,12,"Brice Garnett",81,NA,16609.667,695,"AveragePuttingDistanceAll2putts",2015
12,12,"Michael Thompson",83,NA,18548,775,"AveragePuttingDistanceAll2putts",2015
12,12,"Will Wilcox",58,NA,10248.667,429,"AveragePuttingDistanceAll2putts",2015
16,16,"Jon Curran",83,NA,16261.083,685,"AveragePuttingDistanceAll2putts",2015
16,16,"Jamie Donaldson",50,NA,7659.667,322,"AveragePuttingDistanceAll2putts",2015
16,16,"JJ Henry",94,NA,20813.333,876,"AveragePuttingDistanceAll2putts",2015
16,16,"Ryan Palmer",80,NA,12919.417,544,"AveragePuttingDistanceAll2putts",2015
20,20,"Jonathan Byrd",69,NA,12061.583,510,"AveragePuttingDistanceAll2putts",2015
20,20,"Erik Compton",86,NA,16065.917,680,"AveragePuttingDistanceAll2putts",2015
20,20,"Martin Flores",95,NA,19992.083,844,"AveragePuttingDistanceAll2putts",2015
20,20,"Bill Haas",89,NA,17919.25,756,"AveragePuttingDistanceAll2putts",2015
20,20,"Billy Horschel",99,NA,17676.583,746,"AveragePuttingDistanceAll2putts",2015
20,20,"Scott Pinckney",88,NA,18660.667,789,"AveragePuttingDistanceAll2putts",2015
20,20,"Jonathan Randolph",72,NA,13812.25,583,"AveragePuttingDistanceAll2putts",2015
20,20,"Robert Streb",110,NA,23281.25,982,"AveragePuttingDistanceAll2putts",2015
28,28,"Harris English",105,NA,20932.917,891,"AveragePuttingDistanceAll2putts",2015
28,28,"Brooks Koepka",84,NA,15303.583,651,"AveragePuttingDistanceAll2putts",2015
28,28,"Justin Rose",69,NA,11482.417,488,"AveragePuttingDistanceAll2putts",2015
28,28,"John Senden",80,NA,12305.917,523,"AveragePuttingDistanceAll2putts",2015
28,28,"Johnson Wagner",68,NA,14099.75,599,"AveragePuttingDistanceAll2putts",2015
28,28,"Jimmy Walker",89,NA,14298.25,609,"AveragePuttingDistanceAll2putts",2015
28,28,"Lee Westwood",56,NA,7195.5,306,"AveragePuttingDistanceAll2putts",2015
35,35,"Morgan Hoffmann",85,NA,15603.417,666,"AveragePuttingDistanceAll2putts",2015
35,35,"Troy Merritt",91,NA,19103.75,815,"AveragePuttingDistanceAll2putts",2015
35,35,"Carlos Ortiz",100,NA,20026.083,856,"AveragePuttingDistanceAll2putts",2015
35,35,"Andrew Putnam",68,NA,12180.917,521,"AveragePuttingDistanceAll2putts",2015
39,39,"Stewart Cink",77,NA,16213.75,696,"AveragePuttingDistanceAll2putts",2015
39,39,"Brian Harman",90,NA,18818.417,807,"AveragePuttingDistanceAll2putts",2015
41,41,"Tony Finau",106,NA,22237.917,957,"AveragePuttingDistanceAll2putts",2015
41,41,"Rickie Fowler",76,NA,12891.833,554,"AveragePuttingDistanceAll2putts",2015
41,41,"Mark Hubbard",79,NA,14634.417,630,"AveragePuttingDistanceAll2putts",2015
41,41,"Patrick Rodgers",57,NA,11241.583,484,"AveragePuttingDistanceAll2putts",2015
41,41,"Andres Romero",69,NA,12239.25,526,"AveragePuttingDistanceAll2putts",2015
41,41,"Brandt Snedeker",98,NA,16429.417,707,"AveragePuttingDistanceAll2putts",2015
