"3PuttAvoidance_RANKTHISWEEK_2009","3PuttAvoidance_RANKLASTWEEK_2009","3PuttAvoidance_PLAYERNAME_2009","3PuttAvoidance_ROUNDS_2009","3PuttAvoidance_Pct_2009","3PuttAvoidance_TOTAL3PUTTS_2009","3PuttAvoidance_TOTALHOLESOVERALL_2009","stat_name","year"
1,1,"Bob Heintz",59,1.6,17,1062,"3PuttAvoidance",2009
2,2,"Jim Furyk",86,1.67,25,1494,"3PuttAvoidance",2009
3,3,"Brian Gay",96,1.68,29,1728,"3PuttAvoidance",2009
4,4,"Jarrod Lyle",65,1.71,20,1170,"3PuttAvoidance",2009
5,5,"Charlie Wi",92,1.75,29,1656,"3PuttAvoidance",2009
6,6,"Scott Verplank",88,1.77,28,1584,"3PuttAvoidance",2009
7,7,"David Duval",56,1.79,18,1008,"3PuttAvoidance",2009
7,7,"Brad Faxon",59,1.79,19,1062,"3PuttAvoidance",2009
9,9,"Corey Pavin",73,1.83,24,1314,"3PuttAvoidance",2009
10,10,"Greg Chalmers",85,1.9,29,1530,"3PuttAvoidance",2009
10,10,"Luke Donald",79,1.9,26,1368,"3PuttAvoidance",2009
12,12,"Freddie Jacobson",83,1.94,29,1494,"3PuttAvoidance",2009
13,13,"Vaughn Taylor",88,1.96,31,1584,"3PuttAvoidance",2009
14,14,"Steve Stricker",81,1.97,28,1422,"3PuttAvoidance",2009
15,15,"Spencer Levin",75,2,27,1350,"3PuttAvoidance",2009
16,16,"Charles Howell III",99,2.02,36,1782,"3PuttAvoidance",2009
17,17,"Aaron Baddeley",66,2.05,24,1170,"3PuttAvoidance",2009
18,18,"Tiger Woods",64,2.06,23,1116,"3PuttAvoidance",2009
19,19,"Tag Ridings",50,2.11,19,900,"3PuttAvoidance",2009
20,20,"John Merrick",91,2.14,35,1638,"3PuttAvoidance",2009
21,21,"Eric Axley",71,2.19,28,1278,"3PuttAvoidance",2009
22,22,"Bart Bryant",58,2.2,23,1044,"3PuttAvoidance",2009
23,23,"Justin Leonard",95,2.26,37,1638,"3PuttAvoidance",2009
23,23,"Carl Pettersson",86,2.26,35,1548,"3PuttAvoidance",2009
25,25,"Harrison Frazar",93,2.27,38,1674,"3PuttAvoidance",2009
25,25,"David Toms",98,2.27,40,1764,"3PuttAvoidance",2009
27,27,"Retief Goosen",74,2.28,30,1314,"3PuttAvoidance",2009
28,28,"Chris DiMarco",97,2.29,40,1746,"3PuttAvoidance",2009
