"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2012","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2012","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2012","AverageApproachDistanceBogeyorWorse_ROUNDS_2012","AverageApproachDistanceBogeyorWorse_AVGYARDS_2012","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2012","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
83,83,"Garth Mulroy",59,161.4,813254,140,"AverageApproachDistanceBogeyorWorse",2012
85,85,"Brian Gay",91,161.5,1168837,201,"AverageApproachDistanceBogeyorWorse",2012
85,85,"Sean OHair",84,161.5,1313613,226,"AverageApproachDistanceBogeyorWorse",2012
85,85,"Scott Piercy",95,161.5,1372001,236,"AverageApproachDistanceBogeyorWorse",2012
88,88,"Jonas Blixt",72,161.8,984332,169,"AverageApproachDistanceBogeyorWorse",2012
88,88,"Sung Kang",75,161.8,1450131,249,"AverageApproachDistanceBogeyorWorse",2012
88,88,"Richard Lee",71,161.8,943524,162,"AverageApproachDistanceBogeyorWorse",2012
88,88,"Kevin Na",80,161.8,1031068,177,"AverageApproachDistanceBogeyorWorse",2012
88,88,"Lee Westwood",60,161.8,722472,124,"AverageApproachDistanceBogeyorWorse",2012
93,93,"Hunter Haas",69,161.9,961714,165,"AverageApproachDistanceBogeyorWorse",2012
94,94,"Michael Bradley",63,162,1032351,177,"AverageApproachDistanceBogeyorWorse",2012
94,94,"Charles Howell III",98,162,1306087,224,"AverageApproachDistanceBogeyorWorse",2012
94,94,"Jeff Overton",101,162,1434284,246,"AverageApproachDistanceBogeyorWorse",2012
94,94,"Nick Watney",97,162,1352883,232,"AverageApproachDistanceBogeyorWorse",2012
98,98,"Charlie Wi",86,162.1,1342494,230,"AverageApproachDistanceBogeyorWorse",2012
99,99,"Will Claxton",99,162.2,1424686,244,"AverageApproachDistanceBogeyorWorse",2012
100,100,"Luke Donald",63,162.3,625313,107,"AverageApproachDistanceBogeyorWorse",2012
101,101,"Rickie Fowler",84,162.4,1157263,198,"AverageApproachDistanceBogeyorWorse",2012
101,101,"Bo Van Pelt",84,162.4,1075837,184,"AverageApproachDistanceBogeyorWorse",2012
103,103,"Daniel Chopra",55,162.5,854282,146,"AverageApproachDistanceBogeyorWorse",2012
103,103,"John Huh",99,162.5,1532461,262,"AverageApproachDistanceBogeyorWorse",2012
105,105,"Cameron Beckman",81,162.6,1451911,248,"AverageApproachDistanceBogeyorWorse",2012
106,106,"Phil Mickelson",79,162.8,920342,157,"AverageApproachDistanceBogeyorWorse",2012
107,107,"Robert Allenby",76,162.9,1390224,237,"AverageApproachDistanceBogeyorWorse",2012
107,107,"Ben Crane",73,162.9,1067210,182,"AverageApproachDistanceBogeyorWorse",2012
107,107,"Ryo Ishikawa",54,162.9,756376,129,"AverageApproachDistanceBogeyorWorse",2012
110,110,"Tim Herron",88,163,1250094,213,"AverageApproachDistanceBogeyorWorse",2012
110,110,"Billy Hurley III",70,163,1226215,209,"AverageApproachDistanceBogeyorWorse",2012
110,110,"Jeff Maggert",83,163,1350050,230,"AverageApproachDistanceBogeyorWorse",2012
110,110,"Brendan Steele",77,163,1214422,207,"AverageApproachDistanceBogeyorWorse",2012
114,114,"Gavin Coles",72,163.1,986494,168,"AverageApproachDistanceBogeyorWorse",2012
115,115,"Stewart Cink",71,163.2,1075294,183,"AverageApproachDistanceBogeyorWorse",2012
115,115,"Carl Pettersson",92,163.2,1286742,219,"AverageApproachDistanceBogeyorWorse",2012
115,115,"YE Yang",64,163.2,904890,154,"AverageApproachDistanceBogeyorWorse",2012
118,118,"Brandt Snedeker",81,163.4,1011501,172,"AverageApproachDistanceBogeyorWorse",2012
119,119,"Sangmoon Bae",81,163.5,1330137,226,"AverageApproachDistanceBogeyorWorse",2012
119,119,"Roland Thatcher",55,163.5,894711,152,"AverageApproachDistanceBogeyorWorse",2012
121,121,"Brian Davis",91,163.6,1330676,226,"AverageApproachDistanceBogeyorWorse",2012
122,122,"Arjun Atwal",79,163.7,1296658,220,"AverageApproachDistanceBogeyorWorse",2012
122,122,"Jonathan Byrd",69,163.7,919609,156,"AverageApproachDistanceBogeyorWorse",2012
122,122,"Chris Couch",61,163.7,913436,155,"AverageApproachDistanceBogeyorWorse",2012
125,125,"Michael Thompson",80,163.8,1232371,209,"AverageApproachDistanceBogeyorWorse",2012
126,126,"Martin Laird",77,163.9,955826,162,"AverageApproachDistanceBogeyorWorse",2012
127,127,"Stuart Appleby",75,164.2,1064106,180,"AverageApproachDistanceBogeyorWorse",2012
127,127,"Keegan Bradley",90,164.2,1129203,191,"AverageApproachDistanceBogeyorWorse",2012
127,127,"Billy Horschel",63,164.2,774328,131,"AverageApproachDistanceBogeyorWorse",2012
127,127,"DJ Trahan",73,164.2,1276975,216,"AverageApproachDistanceBogeyorWorse",2012
131,131,"Justin Rose",69,164.3,733625,124,"AverageApproachDistanceBogeyorWorse",2012
132,132,"JJ Killeen",101,164.4,1574259,266,"AverageApproachDistanceBogeyorWorse",2012
132,132,"Webb Simpson",77,164.4,988265,167,"AverageApproachDistanceBogeyorWorse",2012
132,132,"Jhonattan Vegas",77,164.4,1414164,239,"AverageApproachDistanceBogeyorWorse",2012
135,135,"James Driscoll",83,164.6,1374844,232,"AverageApproachDistanceBogeyorWorse",2012
135,135,"Steve Wheatcroft",56,164.6,752512,127,"AverageApproachDistanceBogeyorWorse",2012
137,137,"Scott Dunlap",57,164.8,854270,144,"AverageApproachDistanceBogeyorWorse",2012
138,138,"Kevin Chappell",91,165,1395757,235,"AverageApproachDistanceBogeyorWorse",2012
139,139,"Stephen Gangluff",57,165.1,974768,164,"AverageApproachDistanceBogeyorWorse",2012
139,139,"Russell Knox",72,165.1,867986,146,"AverageApproachDistanceBogeyorWorse",2012
141,141,"Angel Cabrera",54,165.2,707749,119,"AverageApproachDistanceBogeyorWorse",2012
141,141,"Charley Hoffman",88,165.2,1510254,254,"AverageApproachDistanceBogeyorWorse",2012
143,143,"Kris Blanks",65,165.3,1213737,204,"AverageApproachDistanceBogeyorWorse",2012
143,143,"Bobby Gates",87,165.3,1529536,257,"AverageApproachDistanceBogeyorWorse",2012
143,143,"Zach Johnson",95,165.3,1112742,187,"AverageApproachDistanceBogeyorWorse",2012
146,146,"Mark Wilson",84,165.4,1208569,203,"AverageApproachDistanceBogeyorWorse",2012
147,147,"Danny Lee",74,165.5,1060212,178,"AverageApproachDistanceBogeyorWorse",2012
147,147,"Ian Poulter",57,165.5,613680,103,"AverageApproachDistanceBogeyorWorse",2012
149,149,"Bill Haas",79,165.7,966365,162,"AverageApproachDistanceBogeyorWorse",2012
149,149,"Tom Pernice Jr",62,165.7,1103395,185,"AverageApproachDistanceBogeyorWorse",2012
151,151,"Vijay Singh",99,165.9,1367284,229,"AverageApproachDistanceBogeyorWorse",2012
152,152,"David Mathis",83,166,1254697,210,"AverageApproachDistanceBogeyorWorse",2012
152,152,"William McGirt",96,166,1314438,220,"AverageApproachDistanceBogeyorWorse",2012
152,152,"Chez Reavie",83,166,1171065,196,"AverageApproachDistanceBogeyorWorse",2012
155,155,"John Merrick",83,166.1,1279326,214,"AverageApproachDistanceBogeyorWorse",2012
156,156,"Chris DiMarco",83,166.2,1507726,252,"AverageApproachDistanceBogeyorWorse",2012
156,156,"Johnson Wagner",88,166.2,1345927,225,"AverageApproachDistanceBogeyorWorse",2012
156,156,"Jimmy Walker",101,166.2,1567843,262,"AverageApproachDistanceBogeyorWorse",2012
159,159,"Justin Leonard",79,166.5,1390884,232,"AverageApproachDistanceBogeyorWorse",2012
160,160,"Bob Estes",78,166.6,1133266,189,"AverageApproachDistanceBogeyorWorse",2012
161,161,"Camilo Villegas",79,166.8,1302774,217,"AverageApproachDistanceBogeyorWorse",2012
162,162,"Andres Romero",68,167.1,1155222,192,"AverageApproachDistanceBogeyorWorse",2012
163,163,"Ken Duke",104,167.3,1572195,261,"AverageApproachDistanceBogeyorWorse",2012
163,163,"Heath Slocum",93,167.3,1301055,216,"AverageApproachDistanceBogeyorWorse",2012
165,165,"Rocco Mediate",70,167.9,979093,162,"AverageApproachDistanceBogeyorWorse",2012
166,166,"Erik Compton",81,168,1348369,223,"AverageApproachDistanceBogeyorWorse",2012
166,166,"John Mallinger",74,168,1161512,192,"AverageApproachDistanceBogeyorWorse",2012
168,168,"Spencer Levin",81,168.1,1282691,212,"AverageApproachDistanceBogeyorWorse",2012
169,169,"Brendon de Jonge",115,168.3,1654500,273,"AverageApproachDistanceBogeyorWorse",2012
169,169,"Alexandre Rocha",62,168.3,890581,147,"AverageApproachDistanceBogeyorWorse",2012
171,171,"Ryuji Imada",78,168.4,1418778,234,"AverageApproachDistanceBogeyorWorse",2012
171,171,"Jerry Kelly",84,168.4,1340007,221,"AverageApproachDistanceBogeyorWorse",2012
171,171,"John Rollins",81,168.4,1261302,208,"AverageApproachDistanceBogeyorWorse",2012
174,174,"Ricky Barnes",92,168.5,1686668,278,"AverageApproachDistanceBogeyorWorse",2012
174,174,"Pat Perez",81,168.5,1170971,193,"AverageApproachDistanceBogeyorWorse",2012
176,176,"Mathew Goggin",65,168.7,947668,156,"AverageApproachDistanceBogeyorWorse",2012
177,177,"John Senden",81,168.9,954738,157,"AverageApproachDistanceBogeyorWorse",2012
178,178,"Patrick Sheehan",58,169,924548,152,"AverageApproachDistanceBogeyorWorse",2012
179,179,"Jim Furyk",85,169.1,846078,139,"AverageApproachDistanceBogeyorWorse",2012
180,180,"Nathan Green",73,169.2,1035658,170,"AverageApproachDistanceBogeyorWorse",2012
181,181,"Kyle Thompson",51,169.4,823388,135,"AverageApproachDistanceBogeyorWorse",2012
182,182,"Tim Clark",60,169.6,830454,136,"AverageApproachDistanceBogeyorWorse",2012
183,183,"KJ Choi",71,169.8,1057436,173,"AverageApproachDistanceBogeyorWorse",2012
184,184,"Sergio Garcia",57,170.1,691789,113,"AverageApproachDistanceBogeyorWorse",2012
184,184,"Daniel Summerhays",81,170.1,1249446,204,"AverageApproachDistanceBogeyorWorse",2012
186,186,"DA Points",88,170.4,1435257,234,"AverageApproachDistanceBogeyorWorse",2012
187,187,"Jason Bohn",81,170.6,1240912,202,"AverageApproachDistanceBogeyorWorse",2012
188,188,"Marc Leishman",84,171.8,1565114,253,"AverageApproachDistanceBogeyorWorse",2012
189,189,"Ben Curtis",62,172.3,762817,123,"AverageApproachDistanceBogeyorWorse",2012
190,190,"Ted Potter Jr",77,172.9,1232198,198,"AverageApproachDistanceBogeyorWorse",2012
191,191,"Nick OHern",78,174.3,1392872,222,"AverageApproachDistanceBogeyorWorse",2012
