"LeftRoughTendency_RANKTHISWEEK_2005","LeftRoughTendency_RANKLASTWEEK_2005","LeftRoughTendency_PLAYERNAME_2005","LeftRoughTendency_ROUNDS_2005","LeftRoughTendency_Pct_2005","LeftRoughTendency_TOTALLEFTROUGH_2005","LeftRoughTendency_POSSIBLEFWYS_2005","LeftRoughTendency_RELATIVETOPAR_2005","stat_name","year"
1,1,"Brian Davis",75,6.28,62,987,0.18,"LeftRoughTendency",2005
2,2,"Paul Claxton",79,7.07,74,1046,0.22,"LeftRoughTendency",2005
3,3,"Jose Coceres",56,7.69,58,754,0.21,"LeftRoughTendency",2005
4,4,"Scott Verplank",87,7.88,79,1002,0.28,"LeftRoughTendency",2005
5,5,"Gavin Coles",70,7.97,78,979,0.1,"LeftRoughTendency",2005
6,6,"Chris Riley",67,8.04,58,721,0.33,"LeftRoughTendency",2005
7,7,"Corey Pavin",77,8.32,80,962,0.15,"LeftRoughTendency",2005
8,8,"Joe Durant",81,8.41,88,1046,0.03,"LeftRoughTendency",2005
9,9,"Kirk Triplett",55,8.49,57,671,0.32,"LeftRoughTendency",2005
10,10,"Bart Bryant",91,8.55,99,1158,0.2,"LeftRoughTendency",2005
11,11,"Omar Uresti",84,8.59,96,1117,0.06,"LeftRoughTendency",2005
11,11,"Tjaart van der Walt",56,8.59,67,780,0.12,"LeftRoughTendency",2005
13,13,"Robert Damron",89,8.64,107,1239,0.21,"LeftRoughTendency",2005
14,14,"David Hearn",68,8.71,80,919,0.11,"LeftRoughTendency",2005
15,15,"Fred Funk",102,8.88,110,1239,0.25,"LeftRoughTendency",2005
16,16,"Loren Roberts",54,8.99,64,712,0.17,"LeftRoughTendency",2005
17,17,"Billy Mayfair",114,9.03,136,1506,0.13,"LeftRoughTendency",2005
18,18,"Fred Couples",72,9.1,66,725,0.15,"LeftRoughTendency",2005
19,19,"Tom Lehman",69,9.28,71,765,0.23,"LeftRoughTendency",2005
20,20,"Jeff Hart",63,9.31,79,849,0.19,"LeftRoughTendency",2005
21,21,"Phillip Price",77,9.36,95,1015,0.04,"LeftRoughTendency",2005
22,22,"Joey Sindelar",104,9.38,136,1450,0.17,"LeftRoughTendency",2005
23,23,"Darron Stiles",78,9.52,101,1061,0.16,"LeftRoughTendency",2005
24,24,"Jeff Brehaut",71,9.67,90,931,0.12,"LeftRoughTendency",2005
24,24,"Mark Brooks",72,9.67,94,972,0.18,"LeftRoughTendency",2005
26,26,"Jay Williamson",53,9.74,72,739,0.11,"LeftRoughTendency",2005
27,27,"John Cook",72,9.79,90,919,0.13,"LeftRoughTendency",2005
28,28,"Zach Johnson",96,10.15,121,1192,0.17,"LeftRoughTendency",2005
29,29,"Mario Tiziani",67,10.17,92,905,0.11,"LeftRoughTendency",2005
30,30,"Robert Gamez",91,10.2,126,1235,0.24,"LeftRoughTendency",2005
31,31,"Paul Gow",78,10.26,106,1033,0.26,"LeftRoughTendency",2005
32,32,"Rocco Mediate",73,10.34,99,957,0.04,"LeftRoughTendency",2005
33,33,"Duffy Waldorf",86,10.39,113,1088,0.05,"LeftRoughTendency",2005
34,34,"Joe Ogilvie",103,10.4,123,1183,0.11,"LeftRoughTendency",2005
34,34,"Charles Warren",89,10.4,126,1211,-0.03,"LeftRoughTendency",2005
36,36,"Craig Barlow",81,10.44,106,1015,0.06,"LeftRoughTendency",2005
36,36,"Doug Barron",70,10.44,102,977,0.08,"LeftRoughTendency",2005
38,38,"Matt Gogel",78,10.47,111,1060,0.1,"LeftRoughTendency",2005
39,39,"Ben Curtis",65,10.57,81,766,0.2,"LeftRoughTendency",2005
39,39,"Ian Poulter",62,10.57,59,558,0.14,"LeftRoughTendency",2005
41,41,"Charlie Wi",67,10.58,96,907,0.08,"LeftRoughTendency",2005
42,42,"Rob Rashell",65,10.59,90,850,0.26,"LeftRoughTendency",2005
43,43,"Vaughn Taylor",99,10.63,141,1327,0.13,"LeftRoughTendency",2005
44,44,"Steve Elkington",67,10.64,87,818,0.08,"LeftRoughTendency",2005
45,45,"Kent Jones",99,10.75,145,1349,0.14,"LeftRoughTendency",2005
46,46,"Mark OMeara",66,10.77,90,836,0.13,"LeftRoughTendency",2005
47,47,"Bob Estes",92,10.79,126,1168,0.1,"LeftRoughTendency",2005
47,47,"Jim Furyk",94,10.79,119,1103,0.03,"LeftRoughTendency",2005
47,47,"Bradley Hughes",52,10.79,78,723,0.17,"LeftRoughTendency",2005
47,47,"Heath Slocum",103,10.79,143,1325,-0.01,"LeftRoughTendency",2005
51,51,"Billy Andrade",83,10.83,122,1127,0.16,"LeftRoughTendency",2005
51,51,"Joey Snyder III",102,10.83,148,1367,0.15,"LeftRoughTendency",2005
53,53,"Danny Briggs",70,10.85,103,949,0.21,"LeftRoughTendency",2005
53,53,"Mike Weir",71,10.85,79,728,0.14,"LeftRoughTendency",2005
55,55,"Jeff Sluman",94,10.87,139,1279,0.1,"LeftRoughTendency",2005
56,56,"Jerry Kelly",101,10.94,129,1179,0.17,"LeftRoughTendency",2005
57,57,"Jay Haas",54,11,66,600,0.05,"LeftRoughTendency",2005
58,58,"Todd Hamilton",94,11.02,122,1107,0.15,"LeftRoughTendency",2005
59,59,"Todd Fischer",99,11.03,149,1351,0.28,"LeftRoughTendency",2005
60,60,"Skip Kendall",80,11.05,120,1086,0.13,"LeftRoughTendency",2005
61,61,"Olin Browne",99,11.08,140,1263,0.08,"LeftRoughTendency",2005
62,62,"Briny Baird",98,11.15,149,1336,0.07,"LeftRoughTendency",2005
62,62,"Matt Kuchar",60,11.15,90,807,0.11,"LeftRoughTendency",2005
64,64,"Robert Allenby",95,11.24,124,1103,0.04,"LeftRoughTendency",2005
65,65,"Brandt Jobe",96,11.33,139,1227,0.09,"LeftRoughTendency",2005
65,65,"Steve Jones",56,11.33,79,697,0.2,"LeftRoughTendency",2005
65,65,"Frank Lickliter II",100,11.33,145,1280,0.15,"LeftRoughTendency",2005
68,68,"Scott McCarron",78,11.38,108,949,0.06,"LeftRoughTendency",2005
69,69,"Richard Johnson",50,11.39,76,667,0.12,"LeftRoughTendency",2005
70,70,"Tim Petrovic",97,11.52,143,1241,0.31,"LeftRoughTendency",2005
71,71,"Dudley Hart",84,11.54,129,1118,0.19,"LeftRoughTendency",2005
72,72,"JP Hayes",63,11.57,95,821,0.08,"LeftRoughTendency",2005
73,73,"Tom Pernice Jr",111,11.62,157,1351,0.01,"LeftRoughTendency",2005
74,74,"Harrison Frazar",105,11.65,164,1408,0.1,"LeftRoughTendency",2005
75,75,"Carl Pettersson",109,11.66,167,1432,0.07,"LeftRoughTendency",2005
76,76,"KJ Choi",78,11.68,93,796,0.2,"LeftRoughTendency",2005
77,77,"Tom Byrum",83,11.69,132,1129,0.25,"LeftRoughTendency",2005
78,78,"Bob Tway",87,11.7,119,1017,0.08,"LeftRoughTendency",2005
79,79,"Bernhard Langer",67,11.72,83,708,-0.04,"LeftRoughTendency",2005
80,80,"Stephen Leaney",89,11.75,137,1166,0.15,"LeftRoughTendency",2005
81,81,"Dennis Paulson",63,11.76,103,876,0.13,"LeftRoughTendency",2005
82,82,"Greg Owen",84,11.8,125,1059,0.09,"LeftRoughTendency",2005
83,83,"Patrick Sheehan",114,11.87,175,1474,0.14,"LeftRoughTendency",2005
84,84,"Arron Oberholser",65,11.9,91,765,0.01,"LeftRoughTendency",2005
85,85,"JL Lewis",98,11.92,149,1250,0.17,"LeftRoughTendency",2005
86,86,"Matt Davidson",53,11.94,88,737,0.09,"LeftRoughTendency",2005
86,86,"John Elliott",58,11.94,93,779,0.2,"LeftRoughTendency",2005
88,88,"Rich Beem",66,11.95,90,753,0.11,"LeftRoughTendency",2005
