"LaunchAngle_RANKTHISWEEK_2009","LaunchAngle_RANKLASTWEEK_2009","LaunchAngle_PLAYERNAME_2009","LaunchAngle_ROUNDS_2009","LaunchAngle_AVG_2009","LaunchAngle_TOTALVERTLAUNCHANGLE_2009","LaunchAngle_TOTALATTEMPTS_2009","LaunchAngle_LOWESTLAUNCHANGLE_2009","LaunchAngle_STEEPESTLAUNCHANGLE_2009","stat_name","year"
1,1,"Mark Brooks",55,14.93,537.33,36,10.63,18.47,"LaunchAngle",2009
2,2,"Darron Stiles",52,14.92,462.46,31,11.78,17.37,"LaunchAngle",2009
3,3,"Mark Wilson",99,14.09,1126.97,80,11.72,18.18,"LaunchAngle",2009
4,4,"Webb Simpson",94,13.77,1032.95,75,10.59,16.98,"LaunchAngle",2009
5,5,"Vaughn Taylor",88,13.68,929.92,68,9.23,17.61,"LaunchAngle",2009
6,6,"Kirk Triplett",60,13.33,706.67,53,10.61,18.27,"LaunchAngle",2009
7,7,"David Toms",98,13.28,1101.9,83,10.73,19.15,"LaunchAngle",2009
8,8,"Alex Cejka",82,13.14,919.86,70,10.2,18.29,"LaunchAngle",2009
9,9,"Jimmy Walker",74,13.09,654.43,50,8.64,16.72,"LaunchAngle",2009
10,10,"Cliff Kresge",78,13.05,874.33,67,9.41,19.35,"LaunchAngle",2009
11,11,"Ryan Palmer",78,13.01,884.48,68,9.8,16.8,"LaunchAngle",2009
12,12,"Kenny Perry",92,12.99,1052.18,81,9.28,17.21,"LaunchAngle",2009
13,13,"Aron Price",89,12.98,921.31,71,9.18,15.7,"LaunchAngle",2009
14,14,"Jeff Maggert",79,12.97,921.18,71,10.04,15.7,"LaunchAngle",2009
15,15,"Rick Price",54,12.94,517.72,40,9.82,16.12,"LaunchAngle",2009
16,16,"Glen Day",79,12.92,813.86,63,9.49,16.3,"LaunchAngle",2009
17,17,"Kevin Sutherland",96,12.89,837.71,65,9.86,16.69,"LaunchAngle",2009
18,18,"Brian Davis",103,12.88,1236.61,96,9.74,17.01,"LaunchAngle",2009
19,19,"Peter Lonard",86,12.85,976.93,76,10.14,17.73,"LaunchAngle",2009
19,19,"Brandt Snedeker",81,12.85,784.12,61,9.13,16.9,"LaunchAngle",2009
21,21,"Joe Ogilvie",85,12.82,910.43,71,8.01,17,"LaunchAngle",2009
22,22,"Ernie Els",70,12.79,664.9,52,9.31,18.38,"LaunchAngle",2009
23,23,"Nicholas Thompson",96,12.74,1019.04,80,5.41,17.1,"LaunchAngle",2009
24,24,"John Mallinger",90,12.72,941.06,74,10.41,15.79,"LaunchAngle",2009
25,25,"Nick OHern",90,12.71,1105.41,87,2.59,16.79,"LaunchAngle",2009
26,26,"Brian Bateman",55,12.69,634.55,50,9.47,15.32,"LaunchAngle",2009
26,26,"Harrison Frazar",93,12.69,990,78,8.45,17.4,"LaunchAngle",2009
26,26,"Vijay Singh",71,12.69,761.59,60,9.09,16.25,"LaunchAngle",2009
29,29,"Billy Mayfair",83,12.61,844.77,67,8.92,16.34,"LaunchAngle",2009
30,30,"Greg Kraft",51,12.52,513.41,41,9.79,15.97,"LaunchAngle",2009
31,31,"Chez Reavie",81,12.5,937.51,75,9.9,14.63,"LaunchAngle",2009
32,32,"Phil Mickelson",66,12.45,560.35,45,8.66,16.15,"LaunchAngle",2009
33,33,"Matt Weibring",65,12.44,609.54,49,9.7,15.52,"LaunchAngle",2009
34,34,"Padraig Harrington",66,12.41,571.07,46,8.3,17.15,"LaunchAngle",2009
35,35,"Scott Piercy",85,12.4,756.36,61,5.27,17.77,"LaunchAngle",2009
36,36,"Heath Slocum",95,12.39,1015.72,82,8.36,17.81,"LaunchAngle",2009
37,37,"Kevin Stadler",65,12.38,581.86,47,8.81,14.72,"LaunchAngle",2009
38,38,"Tommy Armour III",58,12.36,617.88,50,9.24,15.76,"LaunchAngle",2009
38,38,"Brendon Todd",53,12.36,593.09,48,10.05,15.95,"LaunchAngle",2009
40,40,"Tom Pernice Jr",82,12.32,936.13,76,8.3,16.79,"LaunchAngle",2009
41,41,"Tim Clark",81,12.27,834.67,68,9.54,15.4,"LaunchAngle",2009
41,41,"Scott Verplank",88,12.27,1055.37,86,7.96,16.81,"LaunchAngle",2009
43,43,"Colt Knost",71,12.19,658.21,54,8.2,16.39,"LaunchAngle",2009
43,43,"Steve Marino",98,12.19,1048.41,86,8.98,16.77,"LaunchAngle",2009
43,43,"Carl Pettersson",86,12.19,950.85,78,9.15,18.05,"LaunchAngle",2009
46,46,"Zach Johnson",94,12.18,1120.47,92,8.82,14.93,"LaunchAngle",2009
47,47,"Bob Heintz",59,12.13,533.51,44,7.85,17.08,"LaunchAngle",2009
48,48,"Andres Romero",58,12.09,616.78,51,1.03,15.78,"LaunchAngle",2009
48,48,"Patrick Sheehan",51,12.09,435.23,36,9.3,17.72,"LaunchAngle",2009
50,50,"Kent Jones",73,12.05,686.96,57,9.04,14.68,"LaunchAngle",2009
51,51,"Brian Gay",96,12.03,1095.11,91,9.16,18.31,"LaunchAngle",2009
52,52,"Chris Stroud",88,11.97,706.09,59,6.53,15.87,"LaunchAngle",2009
53,53,"Paul Goydos",79,11.96,825.44,69,10.04,15.72,"LaunchAngle",2009
53,53,"Marc Leishman",91,11.96,908.99,76,6.64,16.24,"LaunchAngle",2009
55,55,"JB Holmes",74,11.94,632.66,53,7.76,16.64,"LaunchAngle",2009
56,56,"Rich Beem",77,11.93,644.1,54,9.48,14.9,"LaunchAngle",2009
57,57,"Anthony Kim",76,11.92,739.1,62,8.73,15.43,"LaunchAngle",2009
57,57,"Ted Purdy",101,11.92,977.51,82,6.26,16.34,"LaunchAngle",2009
59,59,"KJ Choi",65,11.88,689.03,58,8.95,17.29,"LaunchAngle",2009
60,60,"Geoff Ogilvy",78,11.86,818.45,69,8.82,16.35,"LaunchAngle",2009
61,61,"John Merrick",91,11.85,829.35,70,8.81,17.72,"LaunchAngle",2009
62,62,"Jerry Kelly",90,11.81,933.18,79,8.47,18.23,"LaunchAngle",2009
63,63,"Robert Garrigus",83,11.79,707.18,60,7.99,15.22,"LaunchAngle",2009
64,64,"Jason Bohn",88,11.78,977.61,83,7.54,16.13,"LaunchAngle",2009
64,64,"DA Points",99,11.78,1001.2,85,8.73,16.6,"LaunchAngle",2009
66,66,"Eric Axley",71,11.75,658.14,56,5.55,16.41,"LaunchAngle",2009
67,67,"Tim Herron",87,11.73,985.46,84,7.23,16.96,"LaunchAngle",2009
68,68,"Jason Gore",74,11.7,667.16,57,8.52,19.06,"LaunchAngle",2009
