"BestYTDStreakwoa3Putt_RANKTHISWEEK_2010","BestYTDStreakwoa3Putt_RANKLASTWEEK_2010","BestYTDStreakwoa3Putt_PLAYERNAME_2010","BestYTDStreakwoa3Putt_EVENTS_2010","BestYTDStreakwoa3Putt_BESTSTREAK_2010","BestYTDStreakwoa3Putt_CURRENTSTREAK_2010","stat_name","year"
1,1,"Ted Purdy",30,287,21,"BestYTDStreakwoa3Putt",2010
2,2,"Brian Gay",30,286,33,"BestYTDStreakwoa3Putt",2010
3,3,"Rod Pampling",26,283,21,"BestYTDStreakwoa3Putt",2010
4,4,"Tim Clark",24,275,21,"BestYTDStreakwoa3Putt",2010
5,5,"Greg Chalmers",27,274,85,"BestYTDStreakwoa3Putt",2010
5,5,"Justin Rose",22,274,8,"BestYTDStreakwoa3Putt",2010
7,7,"Matt Kuchar",26,270,21,"BestYTDStreakwoa3Putt",2010
8,8,"Brandt Snedeker",26,258,7,"BestYTDStreakwoa3Putt",2010
9,9,"Nathan Green",27,247,28,"BestYTDStreakwoa3Putt",2010
10,10,"Briny Baird",28,245,87,"BestYTDStreakwoa3Putt",2010
11,11,"Kevin Streelman",28,238,23,"BestYTDStreakwoa3Putt",2010
12,12,"Jimmy Walker",27,234,6,"BestYTDStreakwoa3Putt",2010
13,13,"Carl Pettersson",29,230,37,"BestYTDStreakwoa3Putt",2010
14,14,"Padraig Harrington",18,227,227,"BestYTDStreakwoa3Putt",2010
14,14,"Jeff Overton",26,227,3,"BestYTDStreakwoa3Putt",2010
16,16,"Steve Stricker",19,223,58,"BestYTDStreakwoa3Putt",2010
17,17,"Jason Bohn",25,222,39,"BestYTDStreakwoa3Putt",2010
18,18,"Luke Donald",20,221,21,"BestYTDStreakwoa3Putt",2010
19,19,"Stuart Appleby",31,216,NA,"BestYTDStreakwoa3Putt",2010
20,20,"Michael Bradley",24,215,2,"BestYTDStreakwoa3Putt",2010
20,20,"Brendon de Jonge",32,215,84,"BestYTDStreakwoa3Putt",2010
22,22,"Michael Sim",20,214,140,"BestYTDStreakwoa3Putt",2010
23,23,"Chad Campbell",28,213,26,"BestYTDStreakwoa3Putt",2010
23,23,"Jason Day",24,213,4,"BestYTDStreakwoa3Putt",2010
23,23,"Bill Haas",25,213,4,"BestYTDStreakwoa3Putt",2010
26,26,"Chris Riley",24,212,29,"BestYTDStreakwoa3Putt",2010
27,27,"Zach Johnson",25,211,53,"BestYTDStreakwoa3Putt",2010
28,28,"Charles Howell III",28,209,115,"BestYTDStreakwoa3Putt",2010
29,29,"Rich Barcelo",25,206,20,"BestYTDStreakwoa3Putt",2010
29,29,"David Toms",25,206,2,"BestYTDStreakwoa3Putt",2010
29,29,"Nick Watney",24,206,27,"BestYTDStreakwoa3Putt",2010
32,32,"Frank Lickliter II",6,205,205,"BestYTDStreakwoa3Putt",2010
33,33,"Retief Goosen",19,204,13,"BestYTDStreakwoa3Putt",2010
34,34,"David Duval",24,202,16,"BestYTDStreakwoa3Putt",2010
35,35,"Lee Janzen",26,197,11,"BestYTDStreakwoa3Putt",2010
35,35,"John Senden",30,197,3,"BestYTDStreakwoa3Putt",2010
37,37,"Chad Collins",26,195,59,"BestYTDStreakwoa3Putt",2010
37,37,"Brett Quigley",29,195,3,"BestYTDStreakwoa3Putt",2010
39,39,"Rory McIlroy",16,194,12,"BestYTDStreakwoa3Putt",2010
40,40,"Vaughn Taylor",26,192,7,"BestYTDStreakwoa3Putt",2010
41,41,"Stephen Ames",23,189,36,"BestYTDStreakwoa3Putt",2010
41,41,"Ryuji Imada",28,189,2,"BestYTDStreakwoa3Putt",2010
43,43,"Andres Romero",21,188,90,"BestYTDStreakwoa3Putt",2010
44,44,"Aaron Baddeley",26,187,11,"BestYTDStreakwoa3Putt",2010
44,44,"Corey Pavin",8,187,17,"BestYTDStreakwoa3Putt",2010
46,46,"Ryan Moore",24,183,13,"BestYTDStreakwoa3Putt",2010
47,47,"Tom Pernice Jr",22,182,15,"BestYTDStreakwoa3Putt",2010
48,48,"Matt Every",18,180,42,"BestYTDStreakwoa3Putt",2010
49,49,"Mark Wilson",28,179,87,"BestYTDStreakwoa3Putt",2010
50,50,"Graeme McDowell",10,178,20,"BestYTDStreakwoa3Putt",2010
51,51,"Kevin Na",26,176,7,"BestYTDStreakwoa3Putt",2010
52,52,"Ryan Palmer",27,175,61,"BestYTDStreakwoa3Putt",2010
53,53,"Josh Teater",31,173,8,"BestYTDStreakwoa3Putt",2010
54,54,"DA Points",29,167,167,"BestYTDStreakwoa3Putt",2010
55,55,"Ben Curtis",24,166,6,"BestYTDStreakwoa3Putt",2010
55,55,"Tim Herron",24,166,29,"BestYTDStreakwoa3Putt",2010
55,55,"Justin Leonard",27,166,112,"BestYTDStreakwoa3Putt",2010
55,55,"Tim Petrovic",32,166,9,"BestYTDStreakwoa3Putt",2010
55,55,"Bo Van Pelt",28,166,1,"BestYTDStreakwoa3Putt",2010
60,60,"Steve Lowery",25,164,22,"BestYTDStreakwoa3Putt",2010
60,60,"Troy Matteson",28,164,19,"BestYTDStreakwoa3Putt",2010
62,62,"Brian Davis",32,163,7,"BestYTDStreakwoa3Putt",2010
62,62,"Will Ma Kenzie",23,163,10,"BestYTDStreakwoa3Putt",2010
62,62,"Jeff Quinney",29,163,80,"BestYTDStreakwoa3Putt",2010
62,62,"Paul Stankowski",18,163,18,"BestYTDStreakwoa3Putt",2010
66,66,"JJ Henry",27,162,17,"BestYTDStreakwoa3Putt",2010
67,67,"Camilo Villegas",20,161,19,"BestYTDStreakwoa3Putt",2010
68,68,"Bob Estes",26,160,20,"BestYTDStreakwoa3Putt",2010
69,69,"JP Hayes",25,159,49,"BestYTDStreakwoa3Putt",2010
69,69,"Tom Lehman",9,159,8,"BestYTDStreakwoa3Putt",2010
69,69,"Andrew McLardy",21,159,2,"BestYTDStreakwoa3Putt",2010
69,69,"Ian Poulter",15,159,4,"BestYTDStreakwoa3Putt",2010
73,73,"Martin Laird",26,158,13,"BestYTDStreakwoa3Putt",2010
74,74,"Shane Bertsch",4,157,15,"BestYTDStreakwoa3Putt",2010
74,74,"Michael Letzig",27,157,10,"BestYTDStreakwoa3Putt",2010
74,74,"Jeff Maggert",28,157,NA,"BestYTDStreakwoa3Putt",2010
74,74,"Nick OHern",11,157,5,"BestYTDStreakwoa3Putt",2010
74,74,"Tiger Woods",12,157,66,"BestYTDStreakwoa3Putt",2010
79,79,"Scott McCarron",29,156,56,"BestYTDStreakwoa3Putt",2010
80,80,"Spencer Levin",31,155,127,"BestYTDStreakwoa3Putt",2010
81,81,"Paul Casey",17,154,29,"BestYTDStreakwoa3Putt",2010
81,81,"KJ Choi",22,154,113,"BestYTDStreakwoa3Putt",2010
81,81,"Phil Mickelson",20,154,7,"BestYTDStreakwoa3Putt",2010
84,84,"Joe Ogilvie",32,153,2,"BestYTDStreakwoa3Putt",2010
84,84,"Mike Weir",19,153,7,"BestYTDStreakwoa3Putt",2010
86,86,"Charley Hoffman",24,152,1,"BestYTDStreakwoa3Putt",2010
87,87,"Lucas Glover",23,151,NA,"BestYTDStreakwoa3Putt",2010
87,87,"Jeff Gove",22,151,11,"BestYTDStreakwoa3Putt",2010
87,87,"Webb Simpson",31,151,21,"BestYTDStreakwoa3Putt",2010
90,90,"John Merrick",31,150,1,"BestYTDStreakwoa3Putt",2010
90,90,"Roland Thatcher",26,150,2,"BestYTDStreakwoa3Putt",2010
92,92,"Freddie Jacobson",24,149,5,"BestYTDStreakwoa3Putt",2010
92,92,"Alex Prugh",28,149,14,"BestYTDStreakwoa3Putt",2010
94,94,"Scott Piercy",28,146,28,"BestYTDStreakwoa3Putt",2010
95,95,"Fred Couples",7,145,145,"BestYTDStreakwoa3Putt",2010
95,95,"Aron Price",22,145,1,"BestYTDStreakwoa3Putt",2010
