"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2009","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2009","TenthTeeEarlyScoringAverage_PLAYERNAME_2009","TenthTeeEarlyScoringAverage_ROUNDS_2009","TenthTeeEarlyScoringAverage_AVG_2009","TenthTeeEarlyScoringAverage_TOTALSTROKES_2009","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2009","stat_name","year"
1,1,"Steve Stricker",81,68.13,1022,15,"TenthTeeEarlyScoringAverage",2009
2,2,"Tiger Woods",64,68.69,893,13,"TenthTeeEarlyScoringAverage",2009
3,3,"Paul Goydos",79,68.8,688,10,"TenthTeeEarlyScoringAverage",2009
4,4,"Mark Wilson",99,68.84,1308,19,"TenthTeeEarlyScoringAverage",2009
5,5,"Anthony Kim",76,68.85,895,13,"TenthTeeEarlyScoringAverage",2009
6,6,"Tim Clark",81,68.92,896,13,"TenthTeeEarlyScoringAverage",2009
7,7,"Jonathan Byrd",89,68.94,1103,16,"TenthTeeEarlyScoringAverage",2009
7,7,"Jim Furyk",86,68.94,1241,18,"TenthTeeEarlyScoringAverage",2009
9,9,"Chez Reavie",81,69.12,1175,17,"TenthTeeEarlyScoringAverage",2009
10,10,"Bill Lunde",83,69.18,1176,17,"TenthTeeEarlyScoringAverage",2009
11,11,"Troy Matteson",95,69.22,1246,18,"TenthTeeEarlyScoringAverage",2009
12,12,"Hunter Mahan",94,69.25,1385,20,"TenthTeeEarlyScoringAverage",2009
13,13,"Matt Jones",56,69.4,694,10,"TenthTeeEarlyScoringAverage",2009
14,14,"Bob Estes",78,69.5,695,10,"TenthTeeEarlyScoringAverage",2009
15,15,"Charles Howell III",99,69.53,1321,19,"TenthTeeEarlyScoringAverage",2009
16,16,"Rod Pampling",72,69.57,974,14,"TenthTeeEarlyScoringAverage",2009
17,17,"Vaughn Taylor",88,69.58,1322,19,"TenthTeeEarlyScoringAverage",2009
18,18,"David Toms",98,69.59,1531,22,"TenthTeeEarlyScoringAverage",2009
19,19,"Matt Kuchar",82,69.6,696,10,"TenthTeeEarlyScoringAverage",2009
19,19,"Kevin Sutherland",96,69.6,1392,20,"TenthTeeEarlyScoringAverage",2009
21,21,"Jeff Quinney",78,69.61,1601,23,"TenthTeeEarlyScoringAverage",2009
22,22,"Stephen Ames",77,69.63,557,8,"TenthTeeEarlyScoringAverage",2009
22,22,"Harrison Frazar",93,69.63,1880,27,"TenthTeeEarlyScoringAverage",2009
22,22,"Brian Gay",96,69.63,1114,16,"TenthTeeEarlyScoringAverage",2009
22,22,"JJ Henry",97,69.63,1880,27,"TenthTeeEarlyScoringAverage",2009
22,22,"James Nitties",86,69.63,1114,16,"TenthTeeEarlyScoringAverage",2009
27,27,"Brandt Snedeker",81,69.64,975,14,"TenthTeeEarlyScoringAverage",2009
28,28,"Zach Johnson",94,69.65,1184,17,"TenthTeeEarlyScoringAverage",2009
29,29,"Kris Blanks",60,69.7,697,10,"TenthTeeEarlyScoringAverage",2009
29,29,"Tag Ridings",50,69.7,697,10,"TenthTeeEarlyScoringAverage",2009
31,31,"Kenny Perry",92,69.71,1185,17,"TenthTeeEarlyScoringAverage",2009
32,32,"Jason Day",61,69.79,977,14,"TenthTeeEarlyScoringAverage",2009
32,32,"Robert Garrigus",83,69.79,1326,19,"TenthTeeEarlyScoringAverage",2009
32,32,"Corey Pavin",73,69.79,977,14,"TenthTeeEarlyScoringAverage",2009
32,32,"Charlie Wi",92,69.79,1326,19,"TenthTeeEarlyScoringAverage",2009
36,36,"Tim Herron",87,69.81,1117,16,"TenthTeeEarlyScoringAverage",2009
36,36,"Tim Petrovic",97,69.81,1466,21,"TenthTeeEarlyScoringAverage",2009
36,36,"DJ Trahan",96,69.81,1466,21,"TenthTeeEarlyScoringAverage",2009
39,39,"John Senden",100,69.85,908,13,"TenthTeeEarlyScoringAverage",2009
40,40,"Angel Cabrera",55,69.86,489,7,"TenthTeeEarlyScoringAverage",2009
40,40,"Scott Verplank",88,69.86,978,14,"TenthTeeEarlyScoringAverage",2009
42,42,"Retief Goosen",74,69.87,1048,15,"TenthTeeEarlyScoringAverage",2009
42,42,"Marc Leishman",91,69.87,1048,15,"TenthTeeEarlyScoringAverage",2009
42,42,"Nick Watney",86,69.87,1048,15,"TenthTeeEarlyScoringAverage",2009
45,45,"Nick OHern",90,69.89,1328,19,"TenthTeeEarlyScoringAverage",2009
46,46,"Mathew Goggin",76,69.93,1049,15,"TenthTeeEarlyScoringAverage",2009
46,46,"Mike Weir",85,69.93,1049,15,"TenthTeeEarlyScoringAverage",2009
48,48,"Woody Austin",84,70,700,10,"TenthTeeEarlyScoringAverage",2009
48,48,"Spencer Levin",75,70,700,10,"TenthTeeEarlyScoringAverage",2009
50,50,"George McNeill",82,70.05,1331,19,"TenthTeeEarlyScoringAverage",2009
51,51,"Lucas Glover",93,70.06,1191,17,"TenthTeeEarlyScoringAverage",2009
51,51,"John Mallinger",90,70.06,1261,18,"TenthTeeEarlyScoringAverage",2009
53,53,"Bill Haas",91,70.11,1262,18,"TenthTeeEarlyScoringAverage",2009
54,54,"Brad Adamonis",70,70.14,982,14,"TenthTeeEarlyScoringAverage",2009
54,54,"Briny Baird",89,70.14,1543,22,"TenthTeeEarlyScoringAverage",2009
54,54,"Colt Knost",71,70.14,982,14,"TenthTeeEarlyScoringAverage",2009
