"BirdieAverage_RANKTHISWEEK_2012","BirdieAverage_RANKLASTWEEK_2012","BirdieAverage_PLAYERNAME_2012","BirdieAverage_ROUNDS_2012","BirdieAverage_AVG_2012","BirdieAverage_OFBIRDIES_2012","BirdieAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,4.2,227,54,"BirdieAverage",2012
2,2,"Webb Simpson",77,4.11,312,76,"BirdieAverage",2012
3,3,"Brandt Snedeker",81,4.01,313,78,"BirdieAverage",2012
4,4,"Robert Garrigus",89,3.97,353,89,"BirdieAverage",2012
4,4,"Tiger Woods",69,3.97,266,67,"BirdieAverage",2012
6,6,"Jason Dufner",83,3.96,325,82,"BirdieAverage",2012
7,7,"Phil Mickelson",79,3.95,312,79,"BirdieAverage",2012
8,8,"Ryan Palmer",81,3.94,319,81,"BirdieAverage",2012
8,8,"Bo Van Pelt",84,3.94,327,83,"BirdieAverage",2012
10,10,"Keegan Bradley",90,3.91,344,88,"BirdieAverage",2012
11,11,"Ryan Moore",89,3.9,347,89,"BirdieAverage",2012
12,12,"Ben Crane",73,3.89,280,72,"BirdieAverage",2012
13,13,"Matt Every",80,3.85,308,80,"BirdieAverage",2012
13,13,"Scott Piercy",95,3.85,366,95,"BirdieAverage",2012
13,13,"Lee Westwood",60,3.85,208,54,"BirdieAverage",2012
16,16,"Jeff Overton",101,3.84,388,101,"BirdieAverage",2012
17,17,"Steve Stricker",73,3.8,266,70,"BirdieAverage",2012
17,17,"Bubba Watson",68,3.8,251,66,"BirdieAverage",2012
19,19,"Tom Gillis",75,3.79,284,75,"BirdieAverage",2012
19,19,"Zach Johnson",95,3.79,356,94,"BirdieAverage",2012
21,21,"Jonas Blixt",72,3.78,272,72,"BirdieAverage",2012
21,21,"Graeme McDowell",55,3.78,204,54,"BirdieAverage",2012
21,21,"Louis Oosthuizen",65,3.78,238,63,"BirdieAverage",2012
21,21,"Adam Scott",59,3.78,219,58,"BirdieAverage",2012
25,25,"Pat Perez",81,3.77,298,79,"BirdieAverage",2012
26,26,"Dustin Johnson",70,3.75,251,67,"BirdieAverage",2012
26,26,"Josh Teater",97,3.75,349,93,"BirdieAverage",2012
28,28,"Robert Karlsson",54,3.73,194,52,"BirdieAverage",2012
28,28,"Chris Kirk",93,3.73,332,89,"BirdieAverage",2012
28,28,"John Senden",81,3.73,291,78,"BirdieAverage",2012
31,31,"Greg Owen",90,3.71,334,90,"BirdieAverage",2012
31,31,"Jimmy Walker",101,3.71,375,101,"BirdieAverage",2012
33,33,"Brendon de Jonge",115,3.7,425,115,"BirdieAverage",2012
