"GoodDrivePercentage_RANKTHISWEEK_2011","GoodDrivePercentage_RANKLASTWEEK_2011","GoodDrivePercentage_PLAYERNAME_2011","GoodDrivePercentage_ROUNDS_2011","GoodDrivePercentage_Pct_2011","GoodDrivePercentage_HIT_2011","GoodDrivePercentage_TOTALATTEMPTS_2011","stat_name","year"
1,1,"Heath Slocum",89,88.56,1091,1232,"GoodDrivePercentage",2011
2,2,"Ben Crane",76,86.35,886,1026,"GoodDrivePercentage",2011
3,3,"Ben Curtis",66,86.01,793,922,"GoodDrivePercentage",2011
4,4,"Joe Durant",71,85.84,849,989,"GoodDrivePercentage",2011
5,5,"John Senden",94,85.74,1124,1311,"GoodDrivePercentage",2011
6,6,"Brian Davis",105,85.65,1253,1463,"GoodDrivePercentage",2011
7,7,"Paul Goydos",81,85.47,965,1129,"GoodDrivePercentage",2011
8,8,"Steve Elkington",50,85.37,595,697,"GoodDrivePercentage",2011
9,9,"Steve Stricker",70,85.26,827,970,"GoodDrivePercentage",2011
10,10,"Rocco Mediate",53,85.2,633,743,"GoodDrivePercentage",2011
11,11,"Chez Reavie",92,85.18,1092,1282,"GoodDrivePercentage",2011
12,12,"Bill Haas",93,85.17,1097,1288,"GoodDrivePercentage",2011
13,13,"Jason Dufner",78,84.79,920,1085,"GoodDrivePercentage",2011
14,14,"Adam Scott",60,84.7,703,830,"GoodDrivePercentage",2011
15,15,"Zach Johnson",79,84.62,924,1092,"GoodDrivePercentage",2011
16,16,"Alex Cejka",59,84.37,691,819,"GoodDrivePercentage",2011
17,17,"Bo Van Pelt",92,84.26,1060,1258,"GoodDrivePercentage",2011
18,18,"Ian Poulter",52,84.12,604,718,"GoodDrivePercentage",2011
19,19,"Mark Wilson",89,84.06,1018,1211,"GoodDrivePercentage",2011
20,20,"Kevin Streelman",90,83.93,1055,1257,"GoodDrivePercentage",2011
21,21,"Billy Mayfair",94,83.85,1101,1313,"GoodDrivePercentage",2011
22,22,"John Rollins",85,83.69,990,1183,"GoodDrivePercentage",2011
23,23,"DJ Trahan",91,83.61,1061,1269,"GoodDrivePercentage",2011
24,24,"Chris Couch",73,83.56,849,1016,"GoodDrivePercentage",2011
25,25,"Matt Kuchar",94,83.55,1031,1234,"GoodDrivePercentage",2011
26,26,"Graeme McDowell",50,83.53,553,662,"GoodDrivePercentage",2011
27,27,"DA Points",89,83.51,1038,1243,"GoodDrivePercentage",2011
28,28,"Webb Simpson",98,83.31,1138,1366,"GoodDrivePercentage",2011
29,29,"Justin Rose",79,83.3,898,1078,"GoodDrivePercentage",2011
30,30,"Brandt Snedeker",85,83.28,986,1184,"GoodDrivePercentage",2011
31,31,"Luke Donald",73,83.16,780,938,"GoodDrivePercentage",2011
32,32,"Hunter Mahan",92,83.11,1038,1249,"GoodDrivePercentage",2011
33,33,"Bubba Watson",85,82.99,917,1105,"GoodDrivePercentage",2011
34,34,"Jim Furyk",87,82.96,998,1203,"GoodDrivePercentage",2011
34,34,"Tom Gillis",55,82.96,638,769,"GoodDrivePercentage",2011
36,36,"Charley Hoffman",93,82.81,1065,1286,"GoodDrivePercentage",2011
36,36,"Geoff Ogilvy",69,82.81,761,919,"GoodDrivePercentage",2011
