"AveragePuttingDistanceAll3putts_RANKTHISWEEK_2016","AveragePuttingDistanceAll3putts_RANKLASTWEEK_2016","AveragePuttingDistanceAll3putts_PLAYERNAME_2016","AveragePuttingDistanceAll3putts_ROUNDS_2016","AveragePuttingDistanceAll3putts_AVG_2016","AveragePuttingDistanceAll3putts_DISTANCEFEET_2016","AveragePuttingDistanceAll3putts_TOTALPUTTS_2016","stat_name","year"
1,2,"James Hahn",45,NA,993.667,18,"AveragePuttingDistanceAll3putts",2016
2,3,"Will Wilcox",47,NA,878.083,16,"AveragePuttingDistanceAll3putts",2016
3,1,"Luke Donald",49,NA,602.667,11,"AveragePuttingDistanceAll3putts",2016
4,4,"Matt Kuchar",46,NA,545.417,10,"AveragePuttingDistanceAll3putts",2016
5,5,"Patton Kizzire",57,NA,974.667,18,"AveragePuttingDistanceAll3putts",2016
6,6,"Colt Knost",56,NA,885.5,17,"AveragePuttingDistanceAll3putts",2016
7,10,"Bill Haas",42,NA,709.167,14,"AveragePuttingDistanceAll3putts",2016
8,8,"Emiliano Grillo",47,NA,951.75,19,"AveragePuttingDistanceAll3putts",2016
8,7,"Hunter Mahan",43,NA,550.667,11,"AveragePuttingDistanceAll3putts",2016
10,9,"John Huh",51,NA,943.583,19,"AveragePuttingDistanceAll3putts",2016
11,12,"Robert Streb",51,NA,1082.583,22,"AveragePuttingDistanceAll3putts",2016
12,15,"Johnson Wagner",44,NA,729.667,15,"AveragePuttingDistanceAll3putts",2016
13,11,"Charl Schwartzel",29,NA,534.583,11,"AveragePuttingDistanceAll3putts",2016
13,28,"Gary Woodland",45,NA,777.417,16,"AveragePuttingDistanceAll3putts",2016
15,39,"Scott Langley",41,NA,575.75,12,"AveragePuttingDistanceAll3putts",2016
16,14,"Ryan Palmer",46,NA,1052.5,22,"AveragePuttingDistanceAll3putts",2016
17,36,"Kyle Reifers",63,NA,1092.417,23,"AveragePuttingDistanceAll3putts",2016
18,17,"Roberto Castro",55,NA,754.917,16,"AveragePuttingDistanceAll3putts",2016
18,17,"Jimmy Walker",43,NA,754.75,16,"AveragePuttingDistanceAll3putts",2016
20,19,"Brendon de Jonge",55,NA,706.667,15,"AveragePuttingDistanceAll3putts",2016
21,19,"JJ Henry",44,NA,1034.75,22,"AveragePuttingDistanceAll3putts",2016
22,24,"Kyle Stanley",57,NA,936.583,20,"AveragePuttingDistanceAll3putts",2016
23,36,"Boo Weekley",53,NA,931.667,20,"AveragePuttingDistanceAll3putts",2016
24,24,"Freddie Jacobson",54,NA,790.167,17,"AveragePuttingDistanceAll3putts",2016
25,26,"Kevin Streelman",46,NA,603.333,13,"AveragePuttingDistanceAll3putts",2016
26,33,"Brett Stegmaier",57,NA,1013.5,22,"AveragePuttingDistanceAll3putts",2016
27,999,"Thomas Aiken",42,NA,505.5,11,"AveragePuttingDistanceAll3putts",2016
27,29,"Kevin Na",52,NA,550.917,12,"AveragePuttingDistanceAll3putts",2016
29,36,"Nick Taylor",57,NA,863,19,"AveragePuttingDistanceAll3putts",2016
30,13,"Ernie Els",34,NA,680.333,15,"AveragePuttingDistanceAll3putts",2016
30,21,"Martin Laird",46,NA,906.5,20,"AveragePuttingDistanceAll3putts",2016
32,42,"Miguel Angel Carballo",24,NA,498.083,11,"AveragePuttingDistanceAll3putts",2016
32,42,"Peter Malnati",53,NA,678.417,15,"AveragePuttingDistanceAll3putts",2016
34,16,"Jonas Blixt",46,NA,584.333,13,"AveragePuttingDistanceAll3putts",2016
35,42,"Charles Howell III",63,NA,896.75,20,"AveragePuttingDistanceAll3putts",2016
36,33,"Padraig Harrington",38,NA,803.417,18,"AveragePuttingDistanceAll3putts",2016
36,22,"George McNeill",33,NA,491.75,11,"AveragePuttingDistanceAll3putts",2016
38,39,"Si Woo Kim",63,NA,847.417,19,"AveragePuttingDistanceAll3putts",2016
39,35,"Anirban Lahiri",44,NA,579,13,"AveragePuttingDistanceAll3putts",2016
39,75,"Justin Thomas",53,NA,934.75,21,"AveragePuttingDistanceAll3putts",2016
39,53,"Tyrone Van Aswegen",67,NA,1112.5,25,"AveragePuttingDistanceAll3putts",2016
42,45,"Daniel Summerhays",55,NA,666.833,15,"AveragePuttingDistanceAll3putts",2016
43,47,"Stewart Cink",45,NA,1019.25,23,"AveragePuttingDistanceAll3putts",2016
43,47,"Smylie Kaufman",57,NA,708.833,16,"AveragePuttingDistanceAll3putts",2016
43,47,"Spencer Levin",62,NA,709.417,16,"AveragePuttingDistanceAll3putts",2016
46,50,"Francesco Molinari",36,NA,531.25,12,"AveragePuttingDistanceAll3putts",2016
46,50,"Hudson Swafford",52,NA,884.417,20,"AveragePuttingDistanceAll3putts",2016
48,60,"Michael Kim",62,NA,1147.75,26,"AveragePuttingDistanceAll3putts",2016
48,39,"Scott Pinckney",53,NA,1677.167,38,"AveragePuttingDistanceAll3putts",2016
