"Round4ScoringAverage_RANKTHISWEEK_2016","Round4ScoringAverage_RANKLASTWEEK_2016","Round4ScoringAverage_PLAYERNAME_2016","Round4ScoringAverage__2016","Round4ScoringAverage_AVG_2016","Round4ScoringAverage_TOTALSTROKES_2016","Round4ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Lucas Lee",NA,68,68,1,"Round4ScoringAverage",2016
1,1,"Brian Stuard",NA,68,204,3,"Round4ScoringAverage",2016
1,1,"Brendon Todd",NA,68,136,2,"Round4ScoringAverage",2016
4,4,"Branden Grace",NA,68.17,409,6,"Round4ScoringAverage",2016
5,6,"William McGirt",NA,68.55,754,11,"Round4ScoringAverage",2016
6,7,"Brandt Snedeker",NA,68.67,618,9,"Round4ScoringAverage",2016
6,7,"Bubba Watson",NA,68.67,412,6,"Round4ScoringAverage",2016
8,10,"Matthew Fitzpatrick",NA,69,276,4,"Round4ScoringAverage",2016
9,12,"Fabian Gomez",NA,69.33,624,9,"Round4ScoringAverage",2016
9,11,"Adam Scott",NA,69.33,624,9,"Round4ScoringAverage",2016
11,9,"Rickie Fowler",NA,69.38,555,8,"Round4ScoringAverage",2016
11,14,"Luke List",NA,69.38,555,8,"Round4ScoringAverage",2016
13,30,"Rory McIlroy",NA,69.43,486,7,"Round4ScoringAverage",2016
13,30,"Phil Mickelson",NA,69.43,486,7,"Round4ScoringAverage",2016
15,15,"Graeme McDowell",NA,69.6,348,5,"Round4ScoringAverage",2016
16,5,"Paul Casey",NA,69.63,557,8,"Round4ScoringAverage",2016
16,18,"Hideki Matsuyama",NA,69.63,557,8,"Round4ScoringAverage",2016
18,16,"Peter Malnati",NA,69.67,418,6,"Round4ScoringAverage",2016
18,16,"Andres Romero",NA,69.67,209,3,"Round4ScoringAverage",2016
20,18,"Marc Leishman",NA,69.71,488,7,"Round4ScoringAverage",2016
21,20,"Brendon de Jonge",NA,69.75,558,8,"Round4ScoringAverage",2016
21,20,"Luke Guthrie",NA,69.75,279,4,"Round4ScoringAverage",2016
21,20,"Patrick Rodgers",NA,69.75,558,8,"Round4ScoringAverage",2016
21,13,"Vaughn Taylor",NA,69.75,279,4,"Round4ScoringAverage",2016
25,24,"Rory Sabbatini",NA,69.8,349,5,"Round4ScoringAverage",2016
26,25,"Kevin Na",NA,69.82,768,11,"Round4ScoringAverage",2016
27,28,"Ryan Moore",NA,69.86,489,7,"Round4ScoringAverage",2016
28,29,"Russell Knox",NA,69.89,629,9,"Round4ScoringAverage",2016
29,20,"Alex Cejka",NA,70,630,9,"Round4ScoringAverage",2016
29,30,"Stewart Cink",NA,70,560,8,"Round4ScoringAverage",2016
29,30,"Jason Day",NA,70,420,6,"Round4ScoringAverage",2016
29,30,"Russell Henley",NA,70,420,6,"Round4ScoringAverage",2016
33,30,"Lucas Glover",NA,70.1,701,10,"Round4ScoringAverage",2016
34,30,"Sean OHair",NA,70.11,631,9,"Round4ScoringAverage",2016
35,38,"Chad Campbell",NA,70.13,561,8,"Round4ScoringAverage",2016
36,39,"Henrik Stenson",NA,70.14,491,7,"Round4ScoringAverage",2016
36,26,"Chris Stroud",NA,70.14,491,7,"Round4ScoringAverage",2016
38,40,"Daniel Summerhays",NA,70.17,842,12,"Round4ScoringAverage",2016
39,42,"Bryce Molder",NA,70.25,562,8,"Round4ScoringAverage",2016
40,41,"Patrick Reed",NA,70.27,773,11,"Round4ScoringAverage",2016
41,43,"Jordan Spieth",NA,70.29,492,7,"Round4ScoringAverage",2016
41,26,"Johnson Wagner",NA,70.29,492,7,"Round4ScoringAverage",2016
43,44,"Stuart Appleby",NA,70.33,422,6,"Round4ScoringAverage",2016
44,30,"Adam Hadwin",NA,70.4,704,10,"Round4ScoringAverage",2016
45,44,"Justin Rose",NA,70.43,493,7,"Round4ScoringAverage",2016
46,49,"Zac Blair",NA,70.5,705,10,"Round4ScoringAverage",2016
46,49,"Chez Reavie",NA,70.5,846,12,"Round4ScoringAverage",2016
46,49,"Sam Saunders",NA,70.5,282,4,"Round4ScoringAverage",2016
49,53,"Jason Dufner",NA,70.55,776,11,"Round4ScoringAverage",2016
49,47,"Patton Kizzire",NA,70.55,776,11,"Round4ScoringAverage",2016
49,53,"Ryan Palmer",NA,70.55,776,11,"Round4ScoringAverage",2016
52,56,"Sergio Garcia",NA,70.6,353,5,"Round4ScoringAverage",2016
52,56,"Troy Merritt",NA,70.6,353,5,"Round4ScoringAverage",2016
54,61,"Spencer Levin",NA,70.64,777,11,"Round4ScoringAverage",2016
55,62,"Jonas Blixt",NA,70.67,424,6,"Round4ScoringAverage",2016
55,58,"Tony Finau",NA,70.67,636,9,"Round4ScoringAverage",2016
55,62,"Smylie Kaufman",NA,70.67,848,12,"Round4ScoringAverage",2016
55,62,"Charl Schwartzel",NA,70.67,424,6,"Round4ScoringAverage",2016
55,47,"Scott Stallings",NA,70.67,424,6,"Round4ScoringAverage",2016
55,62,"DJ Trahan",NA,70.67,212,3,"Round4ScoringAverage",2016
55,49,"Boo Weekley",NA,70.67,636,9,"Round4ScoringAverage",2016
62,72,"James Hahn",NA,70.71,495,7,"Round4ScoringAverage",2016
63,67,"Kevin Streelman",NA,70.75,566,8,"Round4ScoringAverage",2016
63,67,"Bernd Wiesberger",NA,70.75,283,4,"Round4ScoringAverage",2016
65,69,"Ben Martin",NA,70.78,637,9,"Round4ScoringAverage",2016
66,73,"Charles Howell III",NA,70.86,992,14,"Round4ScoringAverage",2016
66,73,"Will Wilcox",NA,70.86,496,7,"Round4ScoringAverage",2016
68,73,"Ian Poulter",NA,70.88,567,8,"Round4ScoringAverage",2016
68,55,"John Senden",NA,70.88,567,8,"Round4ScoringAverage",2016
70,81,"John Huh",NA,70.89,638,9,"Round4ScoringAverage",2016
70,81,"Jason Kokrak",NA,70.89,638,9,"Round4ScoringAverage",2016
72,84,"Matt Kuchar",NA,70.9,709,10,"Round4ScoringAverage",2016
73,69,"Daniel Berger",NA,71,710,10,"Round4ScoringAverage",2016
73,71,"Luke Donald",NA,71,781,11,"Round4ScoringAverage",2016
73,85,"Bill Haas",NA,71,568,8,"Round4ScoringAverage",2016
73,85,"David Hearn",NA,71,568,8,"Round4ScoringAverage",2016
73,85,"Seung Yul Noh",NA,71,639,9,"Round4ScoringAverage",2016
73,85,"Cameron Percy",NA,71,213,3,"Round4ScoringAverage",2016
73,85,"Carl Pettersson",NA,71,213,3,"Round4ScoringAverage",2016
73,85,"Hudson Swafford",NA,71,639,9,"Round4ScoringAverage",2016
73,58,"Jhonattan Vegas",NA,71,639,9,"Round4ScoringAverage",2016
73,66,"Tim Wilkinson",NA,71,568,8,"Round4ScoringAverage",2016
83,73,"Retief Goosen",NA,71.13,569,8,"Round4ScoringAverage",2016
83,91,"Michael Thompson",NA,71.13,569,8,"Round4ScoringAverage",2016
83,73,"Camilo Villegas",NA,71.13,569,8,"Round4ScoringAverage",2016
86,92,"Jason Bohn",NA,71.14,498,7,"Round4ScoringAverage",2016
86,92,"Zach Johnson",NA,71.14,498,7,"Round4ScoringAverage",2016
