"LongestDrives_RANKTHISWEEK_2015","LongestDrives_RANKLASTWEEK_2015","LongestDrives_PLAYERNAME_2015","LongestDrives_ROUNDS_2015","LongestDrives_DISTANCE_2015","LongestDrives_TOURNAMENT_2015","LongestDrives_ROUND_2015","LongestDrives_HOLE_2015","LongestDrives_COURSE_2015","stat_name","year"
1,1,"Bernd Wiesberger",33,428,NA,4,16,36,"LongestDrives",2015
2,2,"Marc Leishman",74,410,NA,4,16,36,"LongestDrives",2015
3,3,"Geoff Ogilvy",50,409,NA,1,7,656,"LongestDrives",2015
3,3,"Jason Day",75,409,NA,1,12,656,"LongestDrives",2015
5,5,"Dustin Johnson",75,406,NA,2,16,36,"LongestDrives",2015
6,6,"Brendon Todd",96,404,NA,1,7,656,"LongestDrives",2015
7,7,"Sergio Garcia",59,403,NA,1,6,734,"LongestDrives",2015
8,8,"Bubba Watson",71,402,NA,4,13,706,"LongestDrives",2015
8,8,"Camilo Villegas",83,402,NA,1,18,656,"LongestDrives",2015
11,11,"John Senden",80,401,NA,1,7,656,"LongestDrives",2015
11,11,"Scott Stallings",60,401,NA,1,7,656,"LongestDrives",2015
11,11,"Shawn Stefani",94,401,NA,4,13,552,"LongestDrives",2015
14,14,"Charley Hoffman",97,400,NA,1,7,656,"LongestDrives",2015
14,14,"Martin Flores",95,400,NA,2,10,714,"LongestDrives",2015
14,14,"Russell Henley",87,400,NA,1,7,656,"LongestDrives",2015
18,18,"JB Holmes",89,399,NA,3,6,656,"LongestDrives",2015
18,18,"Hideki Matsuyama",95,399,NA,4,17,656,"LongestDrives",2015
18,18,"Patrick Reed",103,399,NA,1,7,656,"LongestDrives",2015
22,22,"Marcel Siem",26,398,NA,4,16,36,"LongestDrives",2015
22,22,"Matt Jones",89,398,NA,1,7,656,"LongestDrives",2015
26,26,"Matt Kuchar",97,397,NA,3,6,656,"LongestDrives",2015
31,31,"Ben Martin",93,396,NA,3,6,656,"LongestDrives",2015
31,31,"Harris English",105,396,NA,3,15,510,"LongestDrives",2015
31,31,"Taylor Pendrith",2,396,NA,2,18,32,"LongestDrives",2015
36,36,"Gary Woodland",81,395,NA,1,10,770,"LongestDrives",2015
40,40,"Steve Wheatcroft",87,394,NA,3,11,32,"LongestDrives",2015
43,43,"Jimmy Walker",89,393,NA,1,18,656,"LongestDrives",2015
43,43,"Kevin Streelman",95,393,NA,1,7,656,"LongestDrives",2015
43,43,"Branden Grace",48,393,NA,4,9,36,"LongestDrives",2015
43,43,"Robert Streb",110,393,NA,3,6,656,"LongestDrives",2015
52,52,"JJ Henry",94,391,NA,2,8,729,"LongestDrives",2015
52,52,"Sangmoon Bae",98,391,NA,4,6,656,"LongestDrives",2015
52,52,"Chesson Hadley",101,391,NA,4,17,656,"LongestDrives",2015
56,56,"Seung Yul Noh",65,390,NA,1,18,656,"LongestDrives",2015
56,56,"James Hahn",94,390,NA,3,16,36,"LongestDrives",2015
56,56,"Daniel Berger",97,390,NA,2,12,781,"LongestDrives",2015
60,60,"Steven Bowditch",103,389,NA,2,7,656,"LongestDrives",2015
60,60,"Ryan Moore",81,389,NA,1,18,656,"LongestDrives",2015
60,60,"Brian Harman",90,389,NA,1,7,656,"LongestDrives",2015
67,67,"Nick Taylor",91,388,NA,3,17,656,"LongestDrives",2015
67,67,"Johnson Wagner",68,388,NA,1,17,770,"LongestDrives",2015
67,67,"Chris Kirk",76,388,NA,1,17,656,"LongestDrives",2015
67,67,"Rickie Fowler",76,388,NA,2,2,36,"LongestDrives",2015
78,78,"Charles Howell III",105,386,NA,1,2,781,"LongestDrives",2015
78,78,"Hunter Mahan",88,386,NA,2,7,781,"LongestDrives",2015
78,78,"Jeff Overton",94,386,NA,2,2,781,"LongestDrives",2015
78,78,"Andres Gonzales",90,386,NA,2,2,781,"LongestDrives",2015
88,88,"Kurt Barnes",2,385,NA,2,18,100,"LongestDrives",2015
94,94,"Alex Prugh",84,384,NA,3,18,32,"LongestDrives",2015
94,94,"Jordan Spieth",91,384,NA,4,16,36,"LongestDrives",2015
98,98,"Justin Rose",69,383,NA,4,16,36,"LongestDrives",2015
98,98,"Charl Schwartzel",67,383,NA,4,16,36,"LongestDrives",2015
98,98,"Tony Finau",106,383,NA,1,18,32,"LongestDrives",2015
98,98,"Morgan Hoffmann",85,383,NA,1,2,781,"LongestDrives",2015
98,98,"Hudson Swafford",97,383,NA,2,18,32,"LongestDrives",2015
108,108,"Billy Horschel",99,382,NA,1,12,656,"LongestDrives",2015
108,108,"Brooks Koepka",84,382,NA,3,3,32,"LongestDrives",2015
117,117,"Ryan Palmer",80,381,NA,4,2,781,"LongestDrives",2015
126,126,"Angel Cabrera",53,380,NA,2,18,656,"LongestDrives",2015
126,126,"Ben Crane",62,380,NA,4,17,656,"LongestDrives",2015
126,126,"Scott Pinckney",88,380,NA,2,1,665,"LongestDrives",2015
134,134,"Henrik Stenson",63,379,NA,4,2,781,"LongestDrives",2015
134,134,"Paul Casey",87,379,NA,4,16,36,"LongestDrives",2015
134,134,"Kevin Chappell",86,379,NA,1,2,781,"LongestDrives",2015
134,134,"Ryan Ruffels",3,379,NA,2,18,32,"LongestDrives",2015
134,134,"Richard Jung",2,379,NA,1,8,32,"LongestDrives",2015
147,147,"Zach Johnson",90,378,NA,1,7,656,"LongestDrives",2015
147,147,"Byeong Hun An",14,378,NA,2,18,100,"LongestDrives",2015
147,147,"Bradley Neil",6,378,NA,1,1,818,"LongestDrives",2015
147,147,"Blair Hamilton",3,378,NA,1,8,32,"LongestDrives",2015
157,157,"Erik Compton",86,377,NA,3,18,32,"LongestDrives",2015
157,157,"Keegan Bradley",87,377,NA,1,16,789,"LongestDrives",2015
173,173,"Scott Piercy",90,376,NA,3,18,32,"LongestDrives",2015
173,173,"Josh Teater",33,376,NA,1,18,32,"LongestDrives",2015
173,173,"Charlie Beljan",76,376,NA,1,6,734,"LongestDrives",2015
173,173,"Andrew Loupe",40,376,NA,2,18,770,"LongestDrives",2015
190,190,"Marc Warren",33,375,NA,4,9,36,"LongestDrives",2015
190,190,"David Hearn",97,375,NA,1,7,781,"LongestDrives",2015
