"FedExCupStandings_RANKTHISWEEK_2012","FedExCupStandings_RANKLASTWEEK_2012","FedExCupStandings_PLAYERNAME_2012","FedExCupStandings_EVENTS_2012","FedExCupStandings_POINTS_2012","FedExCupStandings_OFWINS_2012","FedExCupStandings_OFTOP10S_2012","FedExCupStandings_POINTSBEHINDLEAD_2012","FedExCupStandings_RESETPOINTS_2012","stat_name","year"
1,1,"Brandt Snedeker",22,4100,2,7,NA,1600,"FedExCupStandings",2012
2,2,"Rory McIlroy",16,2827,4,10,1273,2500,"FedExCupStandings",2012
3,3,"Tiger Woods",19,2663,3,9,1437,2250,"FedExCupStandings",2012
4,4,"Nick Watney",25,2215,1,4,1885,2000,"FedExCupStandings",2012
5,5,"Phil Mickelson",22,2073,1,7,2027,1800,"FedExCupStandings",2012
6,6,"Justin Rose",19,1770,1,8,2330,270,"FedExCupStandings",2012
7,7,"Louis Oosthuizen",19,1635,NA,5,2465,1400,"FedExCupStandings",2012
8,8,"Dustin Johnson",19,1527,1,9,2573,1200,"FedExCupStandings",2012
9,9,"Luke Donald",17,1275,1,8,2825,400,"FedExCupStandings",2012
10,10,"Lee Westwood",15,1205,NA,7,2895,1000,"FedExCupStandings",2012
11,11,"Ryan Moore",23,1105,NA,7,2995,230,"FedExCupStandings",2012
12,12,"Zach Johnson",24,1073,2,6,3027,800,"FedExCupStandings",2012
13,13,"Bubba Watson",19,1005,1,7,3095,480,"FedExCupStandings",2012
14,14,"Jason Dufner",22,853,2,8,3247,600,"FedExCupStandings",2012
15,15,"Jim Furyk",23,790,NA,7,3310,340,"FedExCupStandings",2012
16,16,"Webb Simpson",22,785,1,7,3315,260,"FedExCupStandings",2012
17,17,"Sergio Garcia",16,733,1,3,3367,460,"FedExCupStandings",2012
18,18,"Matt Kuchar",22,707,1,9,3393,380,"FedExCupStandings",2012
19,19,"Hunter Mahan",23,693,2,5,3407,280,"FedExCupStandings",2012
20,20,"Steve Stricker",19,685,1,7,3415,440,"FedExCupStandings",2012
21,21,"Keegan Bradley",25,655,1,5,3445,420,"FedExCupStandings",2012
22,22,"Bo Van Pelt",24,647,NA,10,3453,320,"FedExCupStandings",2012
23,23,"Robert Garrigus",24,637,NA,7,3463,310,"FedExCupStandings",2012
24,24,"Carl Pettersson",26,613,1,6,3487,360,"FedExCupStandings",2012
25,25,"Adam Scott",16,560,NA,5,3540,300,"FedExCupStandings",2012
26,26,"Ernie Els",21,510,1,5,3590,290,"FedExCupStandings",2012
27,27,"Scott Piercy",27,483,1,3,3617,210,"FedExCupStandings",2012
28,28,"Rickie Fowler",23,475,1,5,3625,240,"FedExCupStandings",2012
29,29,"John Huh",27,460,1,4,3640,250,"FedExCupStandings",2012
30,30,"John Senden",22,445,NA,5,3655,220,"FedExCupStandings",2012
31,31,"Kyle Stanley",27,1492,1,2,6134,NA,"FedExCupStandings",2012
32,32,"Bill Haas",23,1471,1,3,6155,NA,"FedExCupStandings",2012
33,33,"Vijay Singh",24,1406,NA,4,6220,NA,"FedExCupStandings",2012
34,34,"Kevin Stadler",24,1403,NA,5,6223,NA,"FedExCupStandings",2012
35,35,"Greg Chalmers",25,1402,NA,1,6224,NA,"FedExCupStandings",2012
36,36,"Johnson Wagner",26,1386,1,4,6240,NA,"FedExCupStandings",2012
37,37,"Seung Yul Noh",28,1379,NA,3,6247,NA,"FedExCupStandings",2012
38,38,"Bud Cauley",26,1342,NA,6,6284,NA,"FedExCupStandings",2012
39,39,"Ian Poulter",15,1280,NA,4,6346,NA,"FedExCupStandings",2012
40,40,"Tom Gillis",22,1277,NA,2,6349,NA,"FedExCupStandings",2012
41,41,"Ben Curtis",16,1230,1,3,6396,NA,"FedExCupStandings",2012
42,42,"Graeme McDowell",16,1222,NA,4,6404,NA,"FedExCupStandings",2012
43,43,"Padraig Harrington",18,1213,NA,3,6413,NA,"FedExCupStandings",2012
44,44,"Jeff Overton",26,1199,NA,3,6427,NA,"FedExCupStandings",2012
45,45,"Troy Matteson",29,1190,NA,3,6436,NA,"FedExCupStandings",2012
46,46,"Marc Leishman",23,1165,1,2,6461,NA,"FedExCupStandings",2012
47,47,"Geoff Ogilvy",20,1164,NA,1,6462,NA,"FedExCupStandings",2012
48,48,"JB Holmes",23,1153,NA,2,6473,NA,"FedExCupStandings",2012
49,49,"Chris Kirk",24,1152,NA,4,6474,NA,"FedExCupStandings",2012
50,50,"William McGirt",28,1125,NA,3,6501,NA,"FedExCupStandings",2012
51,51,"Brian Harman",27,1122,NA,1,6504,NA,"FedExCupStandings",2012
52,52,"Kevin Na",24,1095,NA,6,6531,NA,"FedExCupStandings",2012
53,53,"Graham DeLaet",23,1085,NA,3,6541,NA,"FedExCupStandings",2012
54,54,"Pat Perez",23,1073,NA,1,6553,NA,"FedExCupStandings",2012
55,55,"Ryan Palmer",22,1070,NA,4,6556,NA,"FedExCupStandings",2012
56,56,"Tim Clark",19,1065,NA,3,6561,NA,"FedExCupStandings",2012
57,57,"Brendon de Jonge",28,1065,NA,2,6561,NA,"FedExCupStandings",2012
58,58,"Bob Estes",22,1058,NA,2,6568,NA,"FedExCupStandings",2012
59,59,"Mark Wilson",24,1049,1,2,6577,NA,"FedExCupStandings",2012
60,60,"Charlie Wi",24,1043,NA,3,6583,NA,"FedExCupStandings",2012
61,61,"Charl Schwartzel",16,1041,NA,2,6585,NA,"FedExCupStandings",2012
62,62,"Jimmy Walker",26,1033,NA,4,6593,NA,"FedExCupStandings",2012
63,63,"DA Points",25,1027,NA,3,6599,NA,"FedExCupStandings",2012
64,64,"Martin Laird",22,1024,NA,3,6602,NA,"FedExCupStandings",2012
65,65,"Bryce Molder",23,1023,NA,2,6603,NA,"FedExCupStandings",2012
66,66,"Ben Crane",22,991,NA,4,6635,NA,"FedExCupStandings",2012
67,67,"Matt Every",22,979,NA,5,6647,NA,"FedExCupStandings",2012
68,68,"David Hearn",25,967,NA,2,6659,NA,"FedExCupStandings",2012
69,69,"Charley Hoffman",26,916,NA,2,6710,NA,"FedExCupStandings",2012
70,70,"Dicky Pride",17,884,NA,3,6742,NA,"FedExCupStandings",2012
71,71,"Jonas Blixt",17,820,NA,3,6806,NA,"FedExCupStandings",2012
72,72,"John Merrick",24,814,NA,2,6812,NA,"FedExCupStandings",2012
73,73,"Josh Teater",27,803,NA,3,6823,NA,"FedExCupStandings",2012
74,74,"John Rollins",23,800,NA,5,6826,NA,"FedExCupStandings",2012
75,75,"Scott Stallings",24,781,1,2,6845,NA,"FedExCupStandings",2012
76,76,"Ken Duke",27,776,NA,6,6850,NA,"FedExCupStandings",2012
77,77,"Roberto Castro",23,772,NA,1,6854,NA,"FedExCupStandings",2012
78,78,"Aaron Baddeley",21,770,NA,3,6856,NA,"FedExCupStandings",2012
79,79,"Harris English",24,762,NA,3,6864,NA,"FedExCupStandings",2012
80,80,"JJ Henry",28,760,1,3,6866,NA,"FedExCupStandings",2012
81,81,"Sean OHair",21,744,NA,2,6882,NA,"FedExCupStandings",2012
82,82,"Jonathan Byrd",21,736,NA,5,6890,NA,"FedExCupStandings",2012
83,83,"Spencer Levin",26,735,NA,3,6891,NA,"FedExCupStandings",2012
84,84,"Charles Howell III",25,733,NA,1,6893,NA,"FedExCupStandings",2012
85,85,"Brian Davis",25,728,NA,4,6898,NA,"FedExCupStandings",2012
86,86,"George McNeill",23,724,1,1,6902,NA,"FedExCupStandings",2012
87,87,"Jason Day",15,712,NA,3,6914,NA,"FedExCupStandings",2012
88,88,"Greg Owen",23,704,NA,2,6922,NA,"FedExCupStandings",2012
89,89,"Ricky Barnes",25,696,NA,1,6930,NA,"FedExCupStandings",2012
90,90,"Cameron Tringale",23,689,NA,4,6937,NA,"FedExCupStandings",2012
91,91,"Blake Adams",29,674,NA,2,6952,NA,"FedExCupStandings",2012
92,92,"Michael Thompson",23,671,NA,2,6955,NA,"FedExCupStandings",2012
93,93,"Ted Potter Jr",23,652,1,1,6974,NA,"FedExCupStandings",2012
94,94,"Tommy Gainey",29,631,NA,1,6995,NA,"FedExCupStandings",2012
95,95,"David Toms",18,623,NA,4,7003,NA,"FedExCupStandings",2012
96,96,"Sangmoon Bae",25,608,NA,2,7018,NA,"FedExCupStandings",2012
97,97,"Rory Sabbatini",25,602,NA,2,7024,NA,"FedExCupStandings",2012
98,98,"KJ Choi",21,602,NA,2,7024,NA,"FedExCupStandings",2012
99,99,"Daniel Summerhays",22,573,NA,4,7053,NA,"FedExCupStandings",2012
100,100,"Martin Flores",26,562,NA,2,7064,NA,"FedExCupStandings",2012
101,101,"John Mallinger",22,543,NA,2,7083,NA,"FedExCupStandings",2012
102,102,"Will Claxton",24,530,NA,2,7096,NA,"FedExCupStandings",2012
103,103,"Gary Christian",24,529,NA,1,7097,NA,"FedExCupStandings",2012
104,104,"Chad Campbell",23,517,NA,2,7109,NA,"FedExCupStandings",2012
105,105,"Freddie Jacobson",16,513,NA,1,7113,NA,"FedExCupStandings",2012
106,106,"Andres Romero",20,506,NA,2,7120,NA,"FedExCupStandings",2012
107,107,"Rod Pampling",22,505,NA,1,7121,NA,"FedExCupStandings",2012
108,108,"Billy Mayfair",24,500,NA,1,7126,NA,"FedExCupStandings",2012
109,109,"Brian Gay",24,491,NA,2,7135,NA,"FedExCupStandings",2012
110,110,"Chris Stroud",24,484,NA,2,7142,NA,"FedExCupStandings",2012
111,111,"Henrik Stenson",13,462,NA,1,7164,NA,"FedExCupStandings",2012
112,112,"Kevin Streelman",23,462,NA,3,7164,NA,"FedExCupStandings",2012
113,113,"Troy Kelly",20,462,NA,1,7164,NA,"FedExCupStandings",2012
114,114,"Kevin Chappell",25,447,NA,1,7179,NA,"FedExCupStandings",2012
115,115,"Davis Love III",16,443,NA,2,7183,NA,"FedExCupStandings",2012
116,116,"Jeff Maggert",23,437,NA,1,7189,NA,"FedExCupStandings",2012
117,117,"Trevor Immelman",21,423,NA,NA,7203,NA,"FedExCupStandings",2012
118,118,"Robert Allenby",23,417,NA,2,7209,NA,"FedExCupStandings",2012
119,119,"James Driscoll",23,413,NA,2,7213,NA,"FedExCupStandings",2012
120,120,"Colt Knost",25,390,NA,2,7236,NA,"FedExCupStandings",2012
121,121,"Harrison Frazar",20,387,NA,2,7239,NA,"FedExCupStandings",2012
122,122,"Jerry Kelly",22,385,NA,NA,7241,NA,"FedExCupStandings",2012
123,123,"Boo Weekley",21,365,NA,2,7261,NA,"FedExCupStandings",2012
124,124,"Heath Slocum",25,365,NA,NA,7261,NA,"FedExCupStandings",2012
125,125,"Jason Bohn",24,363,NA,2,7263,NA,"FedExCupStandings",2012
126,126,"Jhonattan Vegas",22,361,NA,2,7265,NA,"FedExCupStandings",2012
127,127,"YE Yang",20,351,NA,NA,7275,NA,"FedExCupStandings",2012
128,128,"Tim Herron",23,339,NA,NA,7287,NA,"FedExCupStandings",2012
129,129,"Bobby Gates",25,338,NA,1,7288,NA,"FedExCupStandings",2012
130,130,"Brendan Steele",20,334,NA,3,7292,NA,"FedExCupStandings",2012
131,131,"Retief Goosen",12,330,NA,2,7296,NA,"FedExCupStandings",2012
132,132,"Chez Reavie",23,327,NA,NA,7299,NA,"FedExCupStandings",2012
133,133,"David Mathis",25,322,NA,1,7304,NA,"FedExCupStandings",2012
134,134,"Gary Woodland",19,321,NA,NA,7305,NA,"FedExCupStandings",2012
135,135,"Chris DiMarco",25,316,NA,1,7310,NA,"FedExCupStandings",2012
