"TenthTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2009","TenthTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2009","TenthTeeEarlyPar3ScoringAverage_PLAYERNAME_2009","TenthTeeEarlyPar3ScoringAverage_ROUNDS_2009","TenthTeeEarlyPar3ScoringAverage_AVG_2009","TenthTeeEarlyPar3ScoringAverage_TOTALSTROKES_2009","TenthTeeEarlyPar3ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Anthony Kim",76,2.85,148,52,"TenthTeeEarlyPar3ScoringAverage",2009
1,1,"Steve Stricker",81,2.85,177,62,"TenthTeeEarlyPar3ScoringAverage",2009
3,3,"Bill Lunde",83,2.86,203,71,"TenthTeeEarlyPar3ScoringAverage",2009
4,4,"Mark Calcavecchia",72,2.87,152,53,"TenthTeeEarlyPar3ScoringAverage",2009
5,5,"Jeff Quinney",78,2.88,268,93,"TenthTeeEarlyPar3ScoringAverage",2009
6,6,"Bob Estes",78,2.9,122,42,"TenthTeeEarlyPar3ScoringAverage",2009
6,6,"Corey Pavin",73,2.9,171,59,"TenthTeeEarlyPar3ScoringAverage",2009
8,8,"Aron Price",89,2.91,227,78,"TenthTeeEarlyPar3ScoringAverage",2009
8,8,"Chez Reavie",81,2.91,195,67,"TenthTeeEarlyPar3ScoringAverage",2009
8,8,"Kevin Sutherland",96,2.91,236,81,"TenthTeeEarlyPar3ScoringAverage",2009
11,11,"Tim Herron",87,2.92,187,64,"TenthTeeEarlyPar3ScoringAverage",2009
12,12,"Mike Weir",85,2.93,179,61,"TenthTeeEarlyPar3ScoringAverage",2009
13,13,"Greg Kraft",51,2.94,147,50,"TenthTeeEarlyPar3ScoringAverage",2009
13,13,"Nick OHern",90,2.94,229,78,"TenthTeeEarlyPar3ScoringAverage",2009
13,13,"Dean Wilson",81,2.94,235,80,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"Michael Allen",73,2.95,130,44,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"Woody Austin",84,2.95,121,41,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"Mark Brooks",55,2.95,118,40,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"Daniel Chopra",89,2.95,233,79,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"Matt Jones",56,2.95,118,40,"TenthTeeEarlyPar3ScoringAverage",2009
16,16,"James Nitties",86,2.95,192,65,"TenthTeeEarlyPar3ScoringAverage",2009
