"ReverseBounceBack_RANKTHISWEEK_2014","ReverseBounceBack_RANKLASTWEEK_2014","ReverseBounceBack_PLAYERNAME_2014","ReverseBounceBack_ROUNDS_2014","ReverseBounceBack_PctUNDERTHENOVERPAR_2014","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2014","ReverseBounceBack_UNDERPAR_2014","stat_name","year"
1,1,"Ryan Moore",86,9.71,30,309,"ReverseBounceBack",2014
2,2,"Justin Rose",70,10.48,26,248,"ReverseBounceBack",2014
3,3,"Pat Perez",84,11.51,32,278,"ReverseBounceBack",2014
4,4,"Matt Every",85,11.63,35,301,"ReverseBounceBack",2014
5,5,"Shawn Stefani",60,11.68,23,197,"ReverseBounceBack",2014
6,6,"Scott Langley",95,12.1,38,314,"ReverseBounceBack",2014
7,7,"Jim Furyk",84,12.27,33,269,"ReverseBounceBack",2014
8,8,"David Hearn",97,12.42,40,322,"ReverseBounceBack",2014
9,9,"Russell Knox",92,12.75,39,306,"ReverseBounceBack",2014
10,10,"Jason Kokrak",65,12.82,30,234,"ReverseBounceBack",2014
11,11,"Rickie Fowler",91,12.85,41,319,"ReverseBounceBack",2014
12,12,"Charley Hoffman",93,12.86,45,350,"ReverseBounceBack",2014
13,13,"Sergio Garcia",61,12.9,28,217,"ReverseBounceBack",2014
13,13,"Jeff Maggert",54,12.9,20,155,"ReverseBounceBack",2014
15,15,"Adam Scott",68,13.01,35,269,"ReverseBounceBack",2014
16,16,"George McNeill",79,13.12,37,282,"ReverseBounceBack",2014
17,17,"Carl Pettersson",91,13.16,40,304,"ReverseBounceBack",2014
18,18,"Graham DeLaet",80,13.19,38,288,"ReverseBounceBack",2014
19,19,"Bill Haas",107,13.37,48,359,"ReverseBounceBack",2014
20,20,"Bubba Watson",76,13.4,39,291,"ReverseBounceBack",2014
21,21,"Matt Kuchar",91,13.46,44,327,"ReverseBounceBack",2014
22,22,"Jeff Overton",80,13.53,36,266,"ReverseBounceBack",2014
23,23,"Charles Howell III",106,13.6,51,375,"ReverseBounceBack",2014
24,24,"Rory McIlroy",66,13.62,38,279,"ReverseBounceBack",2014
25,25,"William McGirt",96,13.68,45,329,"ReverseBounceBack",2014
26,26,"Marc Leishman",81,13.82,38,275,"ReverseBounceBack",2014
27,27,"Keegan Bradley",89,13.89,45,324,"ReverseBounceBack",2014
