"AveragePuttingDistanceGIR2Putts_RANKTHISWEEK_2007","AveragePuttingDistanceGIR2Putts_RANKLASTWEEK_2007","AveragePuttingDistanceGIR2Putts_PLAYERNAME_2007","AveragePuttingDistanceGIR2Putts_ROUNDS_2007","AveragePuttingDistanceGIR2Putts_AVG_2007","AveragePuttingDistanceGIR2Putts_DISTANCEFEET_2007","AveragePuttingDistanceGIR2Putts_TOTALPUTTS_2007","stat_name","year"
1,1,"Chris Tidland",59,NA,11755.917,424,"AveragePuttingDistanceGIR2Putts",2007
2,2,"Jim Rutledge",59,NA,10991.333,404,"AveragePuttingDistanceGIR2Putts",2007
3,3,"KJ Choi",87,NA,14863.75,554,"AveragePuttingDistanceGIR2Putts",2007
4,4,"Charles Howell III",89,NA,14498.167,545,"AveragePuttingDistanceGIR2Putts",2007
5,5,"Gavin Coles",87,NA,16429,624,"AveragePuttingDistanceGIR2Putts",2007
5,5,"Jesper Parnevik",88,NA,15942.333,605,"AveragePuttingDistanceGIR2Putts",2007
7,7,"Mathew Goggin",97,NA,20007,762,"AveragePuttingDistanceGIR2Putts",2007
8,8,"Steve Allan",63,NA,11287.5,431,"AveragePuttingDistanceGIR2Putts",2007
8,8,"Michael Boyd",61,NA,10960,419,"AveragePuttingDistanceGIR2Putts",2007
10,10,"Craig Lile",77,NA,14126,542,"AveragePuttingDistanceGIR2Putts",2007
11,11,"Scott Gutschewski",67,NA,11764.333,453,"AveragePuttingDistanceGIR2Putts",2007
12,12,"John Senden",97,NA,19450.833,751,"AveragePuttingDistanceGIR2Putts",2007
12,12,"Kevin Sutherland",85,NA,15482.583,597,"AveragePuttingDistanceGIR2Putts",2007
12,12,"Nick Watney",87,NA,14928.083,576,"AveragePuttingDistanceGIR2Putts",2007
15,15,"Tom Byrum",50,NA,9174.667,355,"AveragePuttingDistanceGIR2Putts",2007
15,15,"Jeff Quinney",95,NA,18165.833,703,"AveragePuttingDistanceGIR2Putts",2007
17,17,"Richard Johnson",93,NA,18595.833,722,"AveragePuttingDistanceGIR2Putts",2007
17,17,"Doug LaBelle II",104,NA,19678.75,763,"AveragePuttingDistanceGIR2Putts",2007
