"Approach200yardsRTPScore_RANKTHISWEEK_2006","Approach200yardsRTPScore_RANKLASTWEEK_2006","Approach200yardsRTPScore_PLAYERNAME_2006","Approach200yardsRTPScore_ROUNDS_2006","Approach200yardsRTPScore_AVGRTP_2006","stat_name","year"
1,1,"Padraig Harrington",54,-0.339,"Approach200yardsRTPScore",2006
2,2,"Phil Mickelson",74,-0.302,"Approach200yardsRTPScore",2006
3,3,"Tiger Woods",55,-0.279,"Approach200yardsRTPScore",2006
4,4,"Davis Love III",85,-0.266,"Approach200yardsRTPScore",2006
5,5,"Craig Barlow",77,-0.264,"Approach200yardsRTPScore",2006
6,6,"Jonathan Byrd",66,-0.257,"Approach200yardsRTPScore",2006
7,7,"Jesper Parnevik",84,-0.251,"Approach200yardsRTPScore",2006
8,8,"Scott Gutschewski",53,-0.241,"Approach200yardsRTPScore",2006
9,9,"David Howell",52,-0.24,"Approach200yardsRTPScore",2006
10,10,"Trevor Immelman",86,-0.239,"Approach200yardsRTPScore",2006
11,11,"John Rollins",93,-0.233,"Approach200yardsRTPScore",2006
12,12,"Kevin Sutherland",100,-0.232,"Approach200yardsRTPScore",2006
13,13,"Stephen Ames",63,-0.231,"Approach200yardsRTPScore",2006
14,14,"Charley Hoffman",100,-0.23,"Approach200yardsRTPScore",2006
15,15,"Duffy Waldorf",96,-0.229,"Approach200yardsRTPScore",2006
16,16,"Sergio Garcia",59,-0.226,"Approach200yardsRTPScore",2006
16,16,"Steve Lowery",99,-0.226,"Approach200yardsRTPScore",2006
16,16,"Jose Maria Olazabal",62,-0.226,"Approach200yardsRTPScore",2006
19,19,"Luke Donald",66,-0.225,"Approach200yardsRTPScore",2006
19,19,"Geoff Ogilvy",76,-0.225,"Approach200yardsRTPScore",2006
21,21,"Sean OHair",100,-0.224,"Approach200yardsRTPScore",2006
22,22,"Lucas Glover",105,-0.215,"Approach200yardsRTPScore",2006
22,22,"Ryan Palmer",101,-0.215,"Approach200yardsRTPScore",2006
24,24,"Harrison Frazar",95,-0.214,"Approach200yardsRTPScore",2006
24,24,"Hunter Mahan",98,-0.214,"Approach200yardsRTPScore",2006
24,24,"Heath Slocum",96,-0.214,"Approach200yardsRTPScore",2006
27,27,"Jim Furyk",89,-0.213,"Approach200yardsRTPScore",2006
28,28,"Frank Lickliter II",99,-0.211,"Approach200yardsRTPScore",2006
28,28,"Brett Wetterich",82,-0.211,"Approach200yardsRTPScore",2006
30,30,"Rich Beem",85,-0.21,"Approach200yardsRTPScore",2006
31,31,"JJ Henry",96,-0.206,"Approach200yardsRTPScore",2006
32,32,"Brett Quigley",109,-0.205,"Approach200yardsRTPScore",2006
33,33,"Retief Goosen",68,-0.203,"Approach200yardsRTPScore",2006
34,34,"Michael Allen",84,-0.201,"Approach200yardsRTPScore",2006
35,35,"Daniel Chopra",110,-0.199,"Approach200yardsRTPScore",2006
35,35,"Ernie Els",69,-0.199,"Approach200yardsRTPScore",2006
35,35,"David Toms",76,-0.199,"Approach200yardsRTPScore",2006
35,35,"Nick Watney",97,-0.199,"Approach200yardsRTPScore",2006
39,39,"Robert Garrigus",85,-0.198,"Approach200yardsRTPScore",2006
40,40,"Jason Bohn",104,-0.197,"Approach200yardsRTPScore",2006
40,40,"Vijay Singh",103,-0.197,"Approach200yardsRTPScore",2006
42,42,"Kent Jones",103,-0.196,"Approach200yardsRTPScore",2006
42,42,"Charles Warren",93,-0.196,"Approach200yardsRTPScore",2006
44,44,"Steve Stricker",64,-0.195,"Approach200yardsRTPScore",2006
45,45,"Charles Howell III",96,-0.194,"Approach200yardsRTPScore",2006
46,46,"Tim Clark",80,-0.193,"Approach200yardsRTPScore",2006
46,46,"Mathias Gronberg",92,-0.193,"Approach200yardsRTPScore",2006
48,48,"Justin Rose",98,-0.186,"Approach200yardsRTPScore",2006
48,48,"Vaughn Taylor",88,-0.186,"Approach200yardsRTPScore",2006
50,50,"Joe Durant",101,-0.185,"Approach200yardsRTPScore",2006
51,51,"John Daly",51,-0.182,"Approach200yardsRTPScore",2006
52,52,"Jeff Gove",91,-0.181,"Approach200yardsRTPScore",2006
53,53,"Richard Johnson",94,-0.18,"Approach200yardsRTPScore",2006
54,54,"Stewart Cink",93,-0.179,"Approach200yardsRTPScore",2006
55,55,"Rod Pampling",89,-0.178,"Approach200yardsRTPScore",2006
56,56,"Ben Crane",85,-0.177,"Approach200yardsRTPScore",2006
57,57,"Kris Cox",83,-0.175,"Approach200yardsRTPScore",2006
58,58,"Ted Purdy",103,-0.174,"Approach200yardsRTPScore",2006
59,59,"DJ Trahan",92,-0.173,"Approach200yardsRTPScore",2006
60,60,"Jason Schultz",77,-0.172,"Approach200yardsRTPScore",2006
60,60,"Bo Van Pelt",102,-0.172,"Approach200yardsRTPScore",2006
62,62,"Camilo Villegas",95,-0.169,"Approach200yardsRTPScore",2006
63,63,"Bill Haas",99,-0.168,"Approach200yardsRTPScore",2006
64,64,"Tom Lehman",70,-0.167,"Approach200yardsRTPScore",2006
64,64,"Jeff Sluman",101,-0.167,"Approach200yardsRTPScore",2006
66,66,"Aaron Baddeley",78,-0.166,"Approach200yardsRTPScore",2006
67,67,"Robert Allenby",79,-0.164,"Approach200yardsRTPScore",2006
68,68,"Will Ma Kenzie",91,-0.163,"Approach200yardsRTPScore",2006
69,69,"Bubba Watson",83,-0.161,"Approach200yardsRTPScore",2006
70,70,"Dudley Hart",83,-0.16,"Approach200yardsRTPScore",2006
71,71,"Kenny Perry",73,-0.158,"Approach200yardsRTPScore",2006
71,71,"Adam Scott",70,-0.158,"Approach200yardsRTPScore",2006
73,73,"Carlos Franco",86,-0.154,"Approach200yardsRTPScore",2006
74,74,"Brian Davis",92,-0.153,"Approach200yardsRTPScore",2006
74,74,"John Huston",74,-0.153,"Approach200yardsRTPScore",2006
76,76,"JB Holmes",81,-0.152,"Approach200yardsRTPScore",2006
76,76,"Scott Verplank",88,-0.152,"Approach200yardsRTPScore",2006
78,78,"Jeff Brehaut",100,-0.151,"Approach200yardsRTPScore",2006
79,79,"Tim Herron",82,-0.15,"Approach200yardsRTPScore",2006
79,79,"Jeff Overton",95,-0.15,"Approach200yardsRTPScore",2006
81,81,"Steve Flesch",119,-0.149,"Approach200yardsRTPScore",2006
82,82,"Chad Campbell",91,-0.148,"Approach200yardsRTPScore",2006
82,82,"John Senden",96,-0.148,"Approach200yardsRTPScore",2006
84,84,"Bob Estes",85,-0.146,"Approach200yardsRTPScore",2006
84,84,"Jimmy Walker",60,-0.146,"Approach200yardsRTPScore",2006
86,86,"Freddie Jacobson",56,-0.145,"Approach200yardsRTPScore",2006
87,87,"Woody Austin",107,-0.144,"Approach200yardsRTPScore",2006
87,87,"Tom Pernice Jr",108,-0.144,"Approach200yardsRTPScore",2006
89,89,"Nathan Green",108,-0.143,"Approach200yardsRTPScore",2006
90,90,"Troy Matteson",101,-0.142,"Approach200yardsRTPScore",2006
91,91,"Ryan Moore",68,-0.141,"Approach200yardsRTPScore",2006
92,92,"Tag Ridings",103,-0.14,"Approach200yardsRTPScore",2006
93,93,"Paul Azinger",87,-0.139,"Approach200yardsRTPScore",2006
94,94,"Mathew Goggin",72,-0.138,"Approach200yardsRTPScore",2006
95,95,"Joe Ogilvie",95,-0.137,"Approach200yardsRTPScore",2006
96,96,"Stuart Appleby",83,-0.135,"Approach200yardsRTPScore",2006
96,96,"Zach Johnson",98,-0.135,"Approach200yardsRTPScore",2006
96,96,"Arron Oberholser",82,-0.135,"Approach200yardsRTPScore",2006
