"EarlyScoringAverage_RANKTHISWEEK_2009","EarlyScoringAverage_RANKLASTWEEK_2009","EarlyScoringAverage_PLAYERNAME_2009","EarlyScoringAverage_ROUNDS_2009","EarlyScoringAverage_AVG_2009","EarlyScoringAverage_TOTALSTROKES_2009","EarlyScoringAverage_TOTALEARLYROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,68.89,1309,19,"EarlyScoringAverage",2009
2,2,"Tim Clark",81,68.95,2551,37,"EarlyScoringAverage",2009
3,3,"Steve Stricker",81,69.03,2140,31,"EarlyScoringAverage",2009
4,4,"Mark Wilson",99,69.67,3414,49,"EarlyScoringAverage",2009
5,5,"Jonathan Byrd",89,69.68,3066,44,"EarlyScoringAverage",2009
5,5,"Charley Hoffman",97,69.68,3275,47,"EarlyScoringAverage",2009
7,7,"Matt Kuchar",82,69.7,2300,33,"EarlyScoringAverage",2009
8,8,"Scott Verplank",88,69.73,2859,41,"EarlyScoringAverage",2009
9,9,"David Toms",98,69.8,3211,46,"EarlyScoringAverage",2009
10,10,"James Nitties",86,69.81,2513,36,"EarlyScoringAverage",2009
11,11,"Corey Pavin",73,69.83,2863,41,"EarlyScoringAverage",2009
12,12,"Scott Piercy",85,69.84,2584,37,"EarlyScoringAverage",2009
13,13,"Zach Johnson",94,69.85,2794,40,"EarlyScoringAverage",2009
14,14,"JJ Henry",97,69.9,3565,51,"EarlyScoringAverage",2009
14,14,"Justin Leonard",95,69.9,2866,41,"EarlyScoringAverage",2009
14,14,"Kenny Perry",92,69.9,2726,39,"EarlyScoringAverage",2009
17,17,"Bill Lunde",83,69.94,3287,47,"EarlyScoringAverage",2009
17,17,"Nick OHern",90,69.94,3287,47,"EarlyScoringAverage",2009
19,19,"Brandt Snedeker",81,69.95,2798,40,"EarlyScoringAverage",2009
19,19,"Nick Watney",86,69.95,2658,38,"EarlyScoringAverage",2009
21,21,"Jim Furyk",86,69.97,2589,37,"EarlyScoringAverage",2009
22,22,"Robert Garrigus",83,70,2870,41,"EarlyScoringAverage",2009
23,23,"Bryce Molder",69,70.03,2101,30,"EarlyScoringAverage",2009
24,24,"Troy Matteson",95,70.04,3362,48,"EarlyScoringAverage",2009
25,25,"Greg Chalmers",85,70.06,2522,36,"EarlyScoringAverage",2009
26,26,"Kevin Stadler",65,70.07,2102,30,"EarlyScoringAverage",2009
27,27,"Lucas Glover",93,70.1,2734,39,"EarlyScoringAverage",2009
28,28,"Bo Van Pelt",100,70.12,3576,51,"EarlyScoringAverage",2009
29,29,"Geoff Ogilvy",78,70.13,2244,32,"EarlyScoringAverage",2009
29,29,"Tim Petrovic",97,70.13,3226,46,"EarlyScoringAverage",2009
31,31,"Jason Bohn",88,70.15,3367,48,"EarlyScoringAverage",2009
31,31,"John Senden",100,70.15,3367,48,"EarlyScoringAverage",2009
33,33,"Kevin Streelman",97,70.18,3439,49,"EarlyScoringAverage",2009
34,34,"Bob Estes",78,70.2,2808,40,"EarlyScoringAverage",2009
35,35,"Ben Crane",93,70.21,3370,48,"EarlyScoringAverage",2009
35,35,"Kevin Na",91,70.21,3019,43,"EarlyScoringAverage",2009
35,35,"Scott Sterling",51,70.21,1966,28,"EarlyScoringAverage",2009
38,38,"George McNeill",82,70.23,3090,44,"EarlyScoringAverage",2009
39,39,"Harrison Frazar",93,70.24,3442,49,"EarlyScoringAverage",2009
39,39,"Greg Owen",97,70.24,3442,49,"EarlyScoringAverage",2009
41,41,"Matt Jones",56,70.26,2178,31,"EarlyScoringAverage",2009
42,42,"Hunter Mahan",94,70.27,3162,45,"EarlyScoringAverage",2009
43,43,"Marc Leishman",91,70.28,3233,46,"EarlyScoringAverage",2009
43,43,"Steve Marino",98,70.28,3022,43,"EarlyScoringAverage",2009
45,45,"Spencer Levin",75,70.29,2952,42,"EarlyScoringAverage",2009
46,46,"Woody Austin",84,70.3,3023,43,"EarlyScoringAverage",2009
46,46,"Chris Stroud",88,70.3,3023,43,"EarlyScoringAverage",2009
46,46,"Vaughn Taylor",88,70.3,3023,43,"EarlyScoringAverage",2009
49,49,"Chris DiMarco",97,70.32,3938,56,"EarlyScoringAverage",2009
49,49,"DJ Trahan",96,70.32,3516,50,"EarlyScoringAverage",2009
51,51,"Joe Ogilvie",85,70.33,3024,43,"EarlyScoringAverage",2009
51,51,"Rod Pampling",72,70.33,2321,33,"EarlyScoringAverage",2009
53,53,"Stephen Ames",77,70.34,2251,32,"EarlyScoringAverage",2009
53,53,"Jason Day",61,70.34,2040,29,"EarlyScoringAverage",2009
53,53,"Davis Love III",89,70.34,3095,44,"EarlyScoringAverage",2009
56,56,"Charlie Wi",92,70.36,3096,44,"EarlyScoringAverage",2009
57,57,"Bill Haas",91,70.37,3026,43,"EarlyScoringAverage",2009
58,58,"Jerry Kelly",90,70.38,3167,45,"EarlyScoringAverage",2009
58,58,"Matt Weibring",65,70.38,2393,34,"EarlyScoringAverage",2009
60,60,"Dustin Johnson",85,70.39,2675,38,"EarlyScoringAverage",2009
61,61,"Robert Allenby",71,70.44,2395,34,"EarlyScoringAverage",2009
62,62,"Chad Campbell",90,70.45,3593,51,"EarlyScoringAverage",2009
63,63,"Joe Durant",62,70.47,2396,34,"EarlyScoringAverage",2009
63,63,"Anthony Kim",76,70.47,2255,32,"EarlyScoringAverage",2009
65,65,"Mike Weir",85,70.5,3102,44,"EarlyScoringAverage",2009
66,66,"Jeff Maggert",79,70.51,2750,39,"EarlyScoringAverage",2009
66,66,"Chris Riley",77,70.51,2891,41,"EarlyScoringAverage",2009
68,68,"Tim Herron",87,70.52,3103,44,"EarlyScoringAverage",2009
69,69,"Mathew Goggin",76,70.54,2751,39,"EarlyScoringAverage",2009
69,69,"Kevin Sutherland",96,70.54,3950,56,"EarlyScoringAverage",2009
71,71,"Angel Cabrera",55,70.57,1976,28,"EarlyScoringAverage",2009
71,71,"Aron Price",89,70.57,3740,53,"EarlyScoringAverage",2009
73,73,"Bob Heintz",59,70.58,2188,31,"EarlyScoringAverage",2009
74,74,"Patrick Sheehan",51,70.59,2047,29,"EarlyScoringAverage",2009
75,75,"Kris Blanks",60,70.6,2118,30,"EarlyScoringAverage",2009
76,76,"Ken Duke",87,70.61,3460,49,"EarlyScoringAverage",2009
77,77,"Briny Baird",89,70.62,2613,37,"EarlyScoringAverage",2009
77,77,"Pat Perez",74,70.62,2401,34,"EarlyScoringAverage",2009
79,79,"Alex Cejka",82,70.63,2896,41,"EarlyScoringAverage",2009
79,79,"Retief Goosen",74,70.63,2472,35,"EarlyScoringAverage",2009
81,81,"Brian Gay",96,70.64,3744,53,"EarlyScoringAverage",2009
81,81,"Johnson Wagner",81,70.64,2967,42,"EarlyScoringAverage",2009
83,83,"Charles Howell III",99,70.66,3533,50,"EarlyScoringAverage",2009
83,83,"Michael Letzig",96,70.66,3533,50,"EarlyScoringAverage",2009
85,85,"Sean OHair",80,70.67,2332,33,"EarlyScoringAverage",2009
86,86,"Ernie Els",70,70.68,2191,31,"EarlyScoringAverage",2009
