"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2007","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2007","AverageGoingforitShotDistanceinYards_PLAYERNAME_2007","AverageGoingforitShotDistanceinYards_EVENTS_2007","AverageGoingforitShotDistanceinYards_AVG_2007","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2007","AverageGoingforitShotDistanceinYards_ATTEMPTS_2007","stat_name","year"
1,1,"Tiger Woods",16,248.2,893638,100,"AverageGoingforitShotDistanceinYards",2007
2,2,"Stewart Cink",25,250,1143128,127,"AverageGoingforitShotDistanceinYards",2007
3,3,"Aaron Baddeley",23,250.4,1342965,149,"AverageGoingforitShotDistanceinYards",2007
3,3,"Davis Love III",21,250.4,982652,109,"AverageGoingforitShotDistanceinYards",2007
5,5,"Hunter Mahan",27,250.7,1254454,139,"AverageGoingforitShotDistanceinYards",2007
5,5,"Joey Sindelar",25,250.7,839497,93,"AverageGoingforitShotDistanceinYards",2007
7,7,"Ian Poulter",18,251.3,524709,58,"AverageGoingforitShotDistanceinYards",2007
8,8,"Matt Kuchar",26,251.4,823541,91,"AverageGoingforitShotDistanceinYards",2007
9,9,"John Senden",27,251.8,1541064,170,"AverageGoingforitShotDistanceinYards",2007
10,10,"Mark Wilson",25,251.9,906760,100,"AverageGoingforitShotDistanceinYards",2007
11,11,"Ernie Els",16,252.1,980096,108,"AverageGoingforitShotDistanceinYards",2007
11,11,"Ryan Palmer",30,252.1,1406873,155,"AverageGoingforitShotDistanceinYards",2007
13,13,"Joe Durant",28,252.4,1235891,136,"AverageGoingforitShotDistanceinYards",2007
14,14,"Stuart Appleby",24,252.6,973104,107,"AverageGoingforitShotDistanceinYards",2007
14,14,"Boo Weekley",29,252.6,1409246,155,"AverageGoingforitShotDistanceinYards",2007
16,16,"Doug LaBelle II",33,252.7,1073574,118,"AverageGoingforitShotDistanceinYards",2007
17,17,"Bart Bryant",25,252.9,1074141,118,"AverageGoingforitShotDistanceinYards",2007
17,17,"Troy Matteson",26,252.9,1520555,167,"AverageGoingforitShotDistanceinYards",2007
19,19,"Charley Hoffman",30,253,1639648,180,"AverageGoingforitShotDistanceinYards",2007
