"GIRPuttingAvg2530_RANKTHISWEEK_2010","GIRPuttingAvg2530_RANKLASTWEEK_2010","GIRPuttingAvg2530_PLAYERNAME_2010","GIRPuttingAvg2530_ROUNDS_2010","GIRPuttingAvg2530_PctMADE_2010","GIRPuttingAvg2530_ATTEMPTS_2010","GIRPuttingAvg2530_PUTTSMADE_2010","stat_name","year"
1,1,"Mark Calcavecchia",50,2.76,29,8,"GIRPuttingAvg2530",2010
2,2,"Freddie Jacobson",83,1.98,81,16,"GIRPuttingAvg2530",2010
3,3,"JP Hayes",79,1.69,71,12,"GIRPuttingAvg2530",2010
4,4,"Brad Faxon",58,1.64,55,9,"GIRPuttingAvg2530",2010
5,5,"Webb Simpson",98,1.59,107,17,"GIRPuttingAvg2530",2010
6,6,"Andres Romero",73,1.55,71,11,"GIRPuttingAvg2530",2010
7,7,"Jerod Turner",54,1.5,40,6,"GIRPuttingAvg2530",2010
8,8,"Troy Merritt",86,1.49,67,10,"GIRPuttingAvg2530",2010
9,9,"KJ Choi",82,1.43,77,11,"GIRPuttingAvg2530",2010
9,9,"Steve Elkington",74,1.43,70,10,"GIRPuttingAvg2530",2010
9,9,"Phil Mickelson",76,1.43,49,7,"GIRPuttingAvg2530",2010
12,12,"Paul Stankowski",62,1.41,64,9,"GIRPuttingAvg2530",2010
13,13,"Lee Janzen",77,1.39,72,10,"GIRPuttingAvg2530",2010
14,14,"Jason Day",82,1.36,59,8,"GIRPuttingAvg2530",2010
15,15,"Carl Pettersson",99,1.35,104,14,"GIRPuttingAvg2530",2010
15,15,"Johnson Wagner",85,1.35,74,10,"GIRPuttingAvg2530",2010
15,15,"YE Yang",72,1.35,52,7,"GIRPuttingAvg2530",2010
18,18,"Boo Weekley",88,1.33,90,12,"GIRPuttingAvg2530",2010
19,19,"Luke Donald",71,1.32,53,7,"GIRPuttingAvg2530",2010
20,20,"Jeev Milkha Singh",59,1.31,61,8,"GIRPuttingAvg2530",2010
21,21,"Brent Delahoussaye",57,1.3,46,6,"GIRPuttingAvg2530",2010
22,22,"JB Holmes",100,1.29,101,13,"GIRPuttingAvg2530",2010
23,23,"Chad Collins",87,1.28,78,10,"GIRPuttingAvg2530",2010
24,24,"Graham DeLaet",88,1.27,71,9,"GIRPuttingAvg2530",2010
24,24,"Rocco Mediate",71,1.27,71,9,"GIRPuttingAvg2530",2010
24,24,"Scott Piercy",88,1.27,79,10,"GIRPuttingAvg2530",2010
27,27,"Zach Johnson",93,1.26,95,12,"GIRPuttingAvg2530",2010
28,28,"Shaun Micheel",70,1.25,56,7,"GIRPuttingAvg2530",2010
28,28,"Jeff Quinney",91,1.25,64,8,"GIRPuttingAvg2530",2010
30,30,"Daniel Chopra",74,1.23,81,10,"GIRPuttingAvg2530",2010
30,30,"Chris Couch",66,1.23,65,8,"GIRPuttingAvg2530",2010
32,32,"Rich Barcelo",70,1.2,50,6,"GIRPuttingAvg2530",2010
32,32,"Ryuji Imada",90,1.2,83,10,"GIRPuttingAvg2530",2010
32,32,"Richard Johnson",90,1.2,92,11,"GIRPuttingAvg2530",2010
35,35,"Greg Chalmers",93,1.17,94,11,"GIRPuttingAvg2530",2010
36,36,"Brett Quigley",96,1.16,95,11,"GIRPuttingAvg2530",2010
