"TenthTeeEarlyRound1ScoringAverage_RANKTHISWEEK_2008","TenthTeeEarlyRound1ScoringAverage_RANKLASTWEEK_2008","TenthTeeEarlyRound1ScoringAverage_PLAYERNAME_2008","TenthTeeEarlyRound1ScoringAverage__2008","TenthTeeEarlyRound1ScoringAverage_AVG_2008","TenthTeeEarlyRound1ScoringAverage_TOTALSTROKES_2008","TenthTeeEarlyRound1ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Stewart Cink",NA,67.67,609,9,"TenthTeeEarlyRound1ScoringAverage",2008
1,1,"Ben Curtis",NA,67.67,203,3,"TenthTeeEarlyRound1ScoringAverage",2008
3,3,"Kenny Perry",NA,68,612,9,"TenthTeeEarlyRound1ScoringAverage",2008
4,4,"Adam Scott",NA,68.2,341,5,"TenthTeeEarlyRound1ScoringAverage",2008
5,5,"Ryan Palmer",NA,68.5,411,6,"TenthTeeEarlyRound1ScoringAverage",2008
6,6,"Ernie Els",NA,68.67,206,3,"TenthTeeEarlyRound1ScoringAverage",2008
7,7,"Jerry Kelly",NA,68.75,275,4,"TenthTeeEarlyRound1ScoringAverage",2008
8,8,"Vijay Singh",NA,68.8,344,5,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Woody Austin",NA,69,345,5,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Tim Clark",NA,69,414,6,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Sergio Garcia",NA,69,483,7,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Dudley Hart",NA,69,483,7,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Frank Lickliter II",NA,69,207,3,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Joe Ogilvie",NA,69,276,4,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Ian Poulter",NA,69,207,3,"TenthTeeEarlyRound1ScoringAverage",2008
9,9,"Jay Williamson",NA,69,483,7,"TenthTeeEarlyRound1ScoringAverage",2008
17,17,"Phil Mickelson",NA,69.1,691,10,"TenthTeeEarlyRound1ScoringAverage",2008
18,18,"Anthony Kim",NA,69.17,415,6,"TenthTeeEarlyRound1ScoringAverage",2008
18,18,"Mike Weir",NA,69.17,415,6,"TenthTeeEarlyRound1ScoringAverage",2008
20,20,"Alejandro Canizares",NA,69.2,346,5,"TenthTeeEarlyRound1ScoringAverage",2008
20,20,"Shigeki Maruyama",NA,69.2,346,5,"TenthTeeEarlyRound1ScoringAverage",2008
22,22,"Chad Campbell",NA,69.33,416,6,"TenthTeeEarlyRound1ScoringAverage",2008
23,23,"Brian Gay",NA,69.38,555,8,"TenthTeeEarlyRound1ScoringAverage",2008
24,24,"Mathew Goggin",NA,69.43,486,7,"TenthTeeEarlyRound1ScoringAverage",2008
24,24,"Carl Pettersson",NA,69.43,486,7,"TenthTeeEarlyRound1ScoringAverage",2008
26,26,"Stuart Appleby",NA,69.5,556,8,"TenthTeeEarlyRound1ScoringAverage",2008
26,26,"Fred Couples",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2008
26,26,"Jeff Gove",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2008
26,26,"Jimmy Walker",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2008
30,30,"Tommy Armour III",NA,69.57,487,7,"TenthTeeEarlyRound1ScoringAverage",2008
30,30,"Kevin Sutherland",NA,69.57,487,7,"TenthTeeEarlyRound1ScoringAverage",2008
32,32,"Ken Duke",NA,69.63,557,8,"TenthTeeEarlyRound1ScoringAverage",2008
32,32,"Tom Pernice Jr",NA,69.63,557,8,"TenthTeeEarlyRound1ScoringAverage",2008
34,34,"Jeff Maggert",NA,69.67,418,6,"TenthTeeEarlyRound1ScoringAverage",2008
34,34,"Scott Sterling",NA,69.67,418,6,"TenthTeeEarlyRound1ScoringAverage",2008
36,36,"Michael Allen",NA,69.71,488,7,"TenthTeeEarlyRound1ScoringAverage",2008
36,36,"Marco Dawson",NA,69.71,488,7,"TenthTeeEarlyRound1ScoringAverage",2008
36,36,"JJ Henry",NA,69.71,488,7,"TenthTeeEarlyRound1ScoringAverage",2008
39,39,"David Toms",NA,69.75,279,4,"TenthTeeEarlyRound1ScoringAverage",2008
39,39,"Boo Weekley",NA,69.75,279,4,"TenthTeeEarlyRound1ScoringAverage",2008
41,41,"Jesper Parnevik",NA,69.8,349,5,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Steve Allan",NA,70,350,5,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Lucas Glover",NA,70,420,6,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Todd Hamilton",NA,70,420,6,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Steve Lowery",NA,70,350,5,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Kevin Na",NA,70,350,5,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Brett Quigley",NA,70,420,6,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"John Senden",NA,70,140,2,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Brandt Snedeker",NA,70,420,6,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Scott Verplank",NA,70,490,7,"TenthTeeEarlyRound1ScoringAverage",2008
42,42,"Dean Wilson",NA,70,280,4,"TenthTeeEarlyRound1ScoringAverage",2008
52,52,"Joe Durant",NA,70.11,631,9,"TenthTeeEarlyRound1ScoringAverage",2008
53,53,"Tag Ridings",NA,70.13,561,8,"TenthTeeEarlyRound1ScoringAverage",2008
54,54,"Briny Baird",NA,70.17,421,6,"TenthTeeEarlyRound1ScoringAverage",2008
55,55,"Patrick Sheehan",NA,70.22,632,9,"TenthTeeEarlyRound1ScoringAverage",2008
56,56,"Brad Elder",NA,70.25,562,8,"TenthTeeEarlyRound1ScoringAverage",2008
56,56,"Charles Howell III",NA,70.25,281,4,"TenthTeeEarlyRound1ScoringAverage",2008
56,56,"Chris Riley",NA,70.25,281,4,"TenthTeeEarlyRound1ScoringAverage",2008
56,56,"DJ Trahan",NA,70.25,281,4,"TenthTeeEarlyRound1ScoringAverage",2008
60,60,"Jim Furyk",NA,70.3,703,10,"TenthTeeEarlyRound1ScoringAverage",2008
60,60,"Vaughn Taylor",NA,70.3,703,10,"TenthTeeEarlyRound1ScoringAverage",2008
62,62,"Ron Whittaker",NA,70.33,211,3,"TenthTeeEarlyRound1ScoringAverage",2008
63,63,"Brad Adamonis",NA,70.36,774,11,"TenthTeeEarlyRound1ScoringAverage",2008
64,64,"Nick OHern",NA,70.43,493,7,"TenthTeeEarlyRound1ScoringAverage",2008
65,65,"Kevin Stadler",NA,70.44,634,9,"TenthTeeEarlyRound1ScoringAverage",2008
66,66,"Jonathan Byrd",NA,70.5,141,2,"TenthTeeEarlyRound1ScoringAverage",2008
67,67,"Steve Flesch",NA,70.6,353,5,"TenthTeeEarlyRound1ScoringAverage",2008
67,67,"Robert Gamez",NA,70.6,353,5,"TenthTeeEarlyRound1ScoringAverage",2008
67,67,"Jason Gore",NA,70.6,706,10,"TenthTeeEarlyRound1ScoringAverage",2008
