"ApproachesRightRoughRTPScore_RANKTHISWEEK_2016","ApproachesRightRoughRTPScore_RANKLASTWEEK_2016","ApproachesRightRoughRTPScore_PLAYERNAME_2016","ApproachesRightRoughRTPScore_ROUNDS_2016","ApproachesRightRoughRTPScore_AVGRTP_2016","stat_name","year"
1,1,"Miguel Angel Carballo",24,-0.184,"ApproachesRightRoughRTPScore",2016
2,2,"Matthew Fitzpatrick",23,-0.167,"ApproachesRightRoughRTPScore",2016
3,3,"Brandt Snedeker",47,-0.164,"ApproachesRightRoughRTPScore",2016
4,7,"Brice Garnett",29,-0.13,"ApproachesRightRoughRTPScore",2016
5,6,"Jamie Lovemark",57,-0.128,"ApproachesRightRoughRTPScore",2016
5,12,"Rory McIlroy",37,-0.128,"ApproachesRightRoughRTPScore",2016
7,5,"Rickie Fowler",42,-0.12,"ApproachesRightRoughRTPScore",2016
8,9,"Vijay Singh",42,-0.096,"ApproachesRightRoughRTPScore",2016
9,8,"Gary Woodland",45,-0.095,"ApproachesRightRoughRTPScore",2016
10,13,"Bubba Watson",30,-0.094,"ApproachesRightRoughRTPScore",2016
11,14,"Charl Schwartzel",29,-0.085,"ApproachesRightRoughRTPScore",2016
12,15,"Matt Kuchar",46,-0.074,"ApproachesRightRoughRTPScore",2016
13,10,"Jason Bohn",37,-0.071,"ApproachesRightRoughRTPScore",2016
14,16,"Dustin Johnson",37,-0.068,"ApproachesRightRoughRTPScore",2016
15,19,"Kevin Na",52,-0.063,"ApproachesRightRoughRTPScore",2016
16,20,"Marc Leishman",41,-0.06,"ApproachesRightRoughRTPScore",2016
17,4,"Brian Stuard",24,-0.048,"ApproachesRightRoughRTPScore",2016
18,22,"Luke List",51,-0.045,"ApproachesRightRoughRTPScore",2016
19,95,"Phil Mickelson",37,-0.038,"ApproachesRightRoughRTPScore",2016
20,21,"Peter Malnati",53,-0.032,"ApproachesRightRoughRTPScore",2016
21,23,"Jerry Kelly",44,-0.029,"ApproachesRightRoughRTPScore",2016
22,11,"Davis Love III",40,-0.024,"ApproachesRightRoughRTPScore",2016
22,25,"Wes Roach",33,-0.024,"ApproachesRightRoughRTPScore",2016
