"Last15EventsAccuracy_RANKTHISWEEK_2007","Last15EventsAccuracy_RANKLASTWEEK_2007","Last15EventsAccuracy_PLAYERNAME_2007","Last15EventsAccuracy_EVENTS_2007","Last15EventsAccuracy_RATING_2007","stat_name","year"
1,1,"Tom Watson",1,8.7,"Last15EventsAccuracy",2007
2,2,"Gabriel Hjertstedt",1,8.6,"Last15EventsAccuracy",2007
3,3,"David Berganio Jr",1,8.3,"Last15EventsAccuracy",2007
4,4,"Tadd Fujikawa",1,8.1,"Last15EventsAccuracy",2007
5,5,"Jim Furyk",10,8,"Last15EventsAccuracy",2007
5,5,"Tiger Woods",10,8,"Last15EventsAccuracy",2007
7,7,"John Cook",4,7.8,"Last15EventsAccuracy",2007
7,7,"Joe Durant",10,7.8,"Last15EventsAccuracy",2007
7,7,"Robert Gamez",7,7.8,"Last15EventsAccuracy",2007
7,7,"Brian Gay",9,7.8,"Last15EventsAccuracy",2007
7,7,"Bill Glasson",1,7.8,"Last15EventsAccuracy",2007
7,7,"Blaine McCallister",2,7.8,"Last15EventsAccuracy",2007
7,7,"Omar Uresti",2,7.8,"Last15EventsAccuracy",2007
14,14,"Tommy Armour III",8,7.7,"Last15EventsAccuracy",2007
14,14,"Heath Slocum",10,7.7,"Last15EventsAccuracy",2007
14,14,"Steve Stricker",10,7.7,"Last15EventsAccuracy",2007
14,14,"Phil Tataurangi",3,7.7,"Last15EventsAccuracy",2007
18,18,"Ryan Armour",9,7.6,"Last15EventsAccuracy",2007
18,18,"Tim Clark",10,7.6,"Last15EventsAccuracy",2007
18,18,"Gavin Coles",6,7.6,"Last15EventsAccuracy",2007
18,18,"Fred Funk",8,7.6,"Last15EventsAccuracy",2007
18,18,"Billy Hurley III",1,7.6,"Last15EventsAccuracy",2007
18,18,"Tom Lehman",8,7.6,"Last15EventsAccuracy",2007
18,18,"Andres Romero",1,7.6,"Last15EventsAccuracy",2007
25,26,"Zach Johnson",6,7.5,"Last15EventsAccuracy",2007
25,25,"Kenny Perry",10,7.5,"Last15EventsAccuracy",2007
27,26,"Stephen Ames",10,7.4,"Last15EventsAccuracy",2007
27,26,"Woody Austin",11,7.4,"Last15EventsAccuracy",2007
27,26,"Cameron Beckman",12,7.4,"Last15EventsAccuracy",2007
27,26,"Jason Bohn",10,7.4,"Last15EventsAccuracy",2007
27,26,"Alejandro Canizares",1,7.4,"Last15EventsAccuracy",2007
27,26,"Ken Duke",11,7.4,"Last15EventsAccuracy",2007
27,26,"Anders Hansen",5,7.4,"Last15EventsAccuracy",2007
27,26,"Brian Henninger",1,7.4,"Last15EventsAccuracy",2007
27,26,"Freddie Jacobson",12,7.4,"Last15EventsAccuracy",2007
27,26,"Greg Kraft",6,7.4,"Last15EventsAccuracy",2007
27,26,"Justin Leonard",10,7.4,"Last15EventsAccuracy",2007
27,26,"Hunter Mahan",9,7.4,"Last15EventsAccuracy",2007
27,26,"Billy Mayfair",10,7.4,"Last15EventsAccuracy",2007
27,26,"Adam Scott",10,7.4,"Last15EventsAccuracy",2007
27,26,"Joey Sindelar",8,7.4,"Last15EventsAccuracy",2007
27,26,"Kevin Stadler",7,7.4,"Last15EventsAccuracy",2007
27,26,"Scott Verplank",10,7.4,"Last15EventsAccuracy",2007
27,26,"Charlie Wi",11,7.4,"Last15EventsAccuracy",2007
45,45,"John Bickerton",1,7.3,"Last15EventsAccuracy",2007
45,45,"Mark Brooks",6,7.3,"Last15EventsAccuracy",2007
45,45,"Jonathan Byrd",7,7.3,"Last15EventsAccuracy",2007
45,45,"Ernie Els",10,7.3,"Last15EventsAccuracy",2007
45,45,"JJ Henry",7,7.3,"Last15EventsAccuracy",2007
45,45,"John Huston",6,7.3,"Last15EventsAccuracy",2007
45,45,"Craig Kanada",5,7.3,"Last15EventsAccuracy",2007
45,45,"Bernhard Langer",9,7.3,"Last15EventsAccuracy",2007
45,45,"George McNeill",8,7.3,"Last15EventsAccuracy",2007
45,45,"Shaun Micheel",6,7.3,"Last15EventsAccuracy",2007
45,45,"Geoff Ogilvy",10,7.3,"Last15EventsAccuracy",2007
45,45,"Darron Stiles",2,7.3,"Last15EventsAccuracy",2007
45,45,"Boo Weekley",9,7.3,"Last15EventsAccuracy",2007
58,59,"Michael Allen",11,7.2,"Last15EventsAccuracy",2007
58,59,"Robert Allenby",8,7.2,"Last15EventsAccuracy",2007
58,59,"Billy Andrade",12,7.2,"Last15EventsAccuracy",2007
58,59,"Chris Baryla",1,7.2,"Last15EventsAccuracy",2007
58,59,"Bart Bryant",10,7.2,"Last15EventsAccuracy",2007
58,59,"Tom Byrum",3,7.2,"Last15EventsAccuracy",2007
58,59,"Nick Flanagan",2,7.2,"Last15EventsAccuracy",2007
58,59,"Bob Heintz",7,7.2,"Last15EventsAccuracy",2007
58,59,"Trevor Immelman",6,7.2,"Last15EventsAccuracy",2007
58,59,"Kent Jones",13,7.2,"Last15EventsAccuracy",2007
58,59,"John Mallinger",12,7.2,"Last15EventsAccuracy",2007
58,59,"Yusaku Miyazato",1,7.2,"Last15EventsAccuracy",2007
58,59,"Colin Montgomerie",3,7.2,"Last15EventsAccuracy",2007
58,59,"Ted Purdy",7,7.2,"Last15EventsAccuracy",2007
58,59,"Jeff Sluman",5,7.2,"Last15EventsAccuracy",2007
58,59,"Jerry Smith",3,7.2,"Last15EventsAccuracy",2007
58,59,"Chris Stroud",7,7.2,"Last15EventsAccuracy",2007
58,59,"David Toms",9,7.2,"Last15EventsAccuracy",2007
58,59,"DJ Trahan",10,7.2,"Last15EventsAccuracy",2007
58,59,"Jay Williamson",11,7.2,"Last15EventsAccuracy",2007
78,79,"Craig Barlow",10,7.1,"Last15EventsAccuracy",2007
