"Front9Par3ScoringAverage_RANKTHISWEEK_2008","Front9Par3ScoringAverage_RANKLASTWEEK_2008","Front9Par3ScoringAverage_PLAYERNAME_2008","Front9Par3ScoringAverage_ROUNDS_2008","Front9Par3ScoringAverage_AVG_2008","Front9Par3ScoringAverage_TOTALSTROKES_2008","Front9Par3ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Bob Tway",70,2.89,416,144,"Front9Par3ScoringAverage",2008
2,2,"Steve Allan",58,2.95,348,118,"Front9Par3ScoringAverage",2008
2,2,"Steve Marino",119,2.95,713,242,"Front9Par3ScoringAverage",2008
4,4,"Gavin Coles",54,2.98,334,112,"Front9Par3ScoringAverage",2008
4,4,"Nick OHern",82,2.98,477,160,"Front9Par3ScoringAverage",2008
6,6,"Bob Estes",90,2.99,545,182,"Front9Par3ScoringAverage",2008
6,6,"Dudley Hart",74,2.99,443,148,"Front9Par3ScoringAverage",2008
6,6,"Pat Perez",93,2.99,551,184,"Front9Par3ScoringAverage",2008
6,6,"Chris Riley",51,2.99,317,106,"Front9Par3ScoringAverage",2008
10,10,"Ken Duke",116,3,707,236,"Front9Par3ScoringAverage",2008
10,10,"Corey Pavin",69,3,426,142,"Front9Par3ScoringAverage",2008
12,12,"Omar Uresti",74,3.01,457,152,"Front9Par3ScoringAverage",2008
13,13,"Olin Browne",77,3.02,471,156,"Front9Par3ScoringAverage",2008
13,13,"Paul Claxton",63,3.02,393,130,"Front9Par3ScoringAverage",2008
13,13,"Brian Gay",102,3.02,617,204,"Front9Par3ScoringAverage",2008
13,13,"Retief Goosen",59,3.02,350,116,"Front9Par3ScoringAverage",2008
13,13,"Ryuji Imada",80,3.02,483,160,"Front9Par3ScoringAverage",2008
13,13,"Richard Johnson",60,3.02,374,124,"Front9Par3ScoringAverage",2008
13,13,"Ryan Palmer",69,3.02,429,142,"Front9Par3ScoringAverage",2008
13,13,"Tim Petrovic",97,3.02,586,194,"Front9Par3ScoringAverage",2008
13,13,"Jeff Quinney",87,3.02,526,174,"Front9Par3ScoringAverage",2008
13,13,"Vaughn Taylor",103,3.02,622,206,"Front9Par3ScoringAverage",2008
23,23,"Alejandro Canizares",52,3.03,327,108,"Front9Par3ScoringAverage",2008
23,23,"Steve Elkington",84,3.03,509,168,"Front9Par3ScoringAverage",2008
23,23,"Paul Goydos",78,3.03,472,156,"Front9Par3ScoringAverage",2008
23,23,"Kent Jones",68,3.03,424,140,"Front9Par3ScoringAverage",2008
23,23,"Anthony Kim",81,3.03,491,162,"Front9Par3ScoringAverage",2008
23,23,"Tom Pernice Jr",104,3.03,643,212,"Front9Par3ScoringAverage",2008
23,23,"Carl Pettersson",110,3.03,666,220,"Front9Par3ScoringAverage",2008
23,23,"Dean Wilson",109,3.03,672,222,"Front9Par3ScoringAverage",2008
31,31,"Shane Bertsch",96,3.04,595,196,"Front9Par3ScoringAverage",2008
31,31,"Chad Collins",72,3.04,450,148,"Front9Par3ScoringAverage",2008
31,31,"Glen Day",64,3.04,401,132,"Front9Par3ScoringAverage",2008
31,31,"Brad Elder",67,3.04,419,138,"Front9Par3ScoringAverage",2008
31,31,"Zach Johnson",85,3.04,511,168,"Front9Par3ScoringAverage",2008
31,31,"Patrick Sheehan",124,3.04,766,252,"Front9Par3ScoringAverage",2008
31,31,"Kevin Sutherland",98,3.04,596,196,"Front9Par3ScoringAverage",2008
31,31,"Marc Turnesa",87,3.04,535,176,"Front9Par3ScoringAverage",2008
39,39,"Robert Allenby",108,3.05,653,214,"Front9Par3ScoringAverage",2008
39,39,"Woody Austin",109,3.05,641,210,"Front9Par3ScoringAverage",2008
39,39,"Aaron Baddeley",76,3.05,445,146,"Front9Par3ScoringAverage",2008
39,39,"Cameron Beckman",87,3.05,536,176,"Front9Par3ScoringAverage",2008
39,39,"James Driscoll",85,3.05,531,174,"Front9Par3ScoringAverage",2008
39,39,"Cliff Kresge",84,3.05,524,172,"Front9Par3ScoringAverage",2008
39,39,"Troy Matteson",94,3.05,586,192,"Front9Par3ScoringAverage",2008
39,39,"Phil Mickelson",80,3.05,476,156,"Front9Par3ScoringAverage",2008
39,39,"Brett Rumford",72,3.05,452,148,"Front9Par3ScoringAverage",2008
39,39,"Heath Slocum",104,3.05,634,208,"Front9Par3ScoringAverage",2008
49,49,"Billy Andrade",71,3.06,441,144,"Front9Par3ScoringAverage",2008
49,49,"Ernie Els",51,3.06,306,100,"Front9Par3ScoringAverage",2008
49,49,"Steve Flesch",95,3.06,594,194,"Front9Par3ScoringAverage",2008
49,49,"Craig Kanada",65,3.06,404,132,"Front9Par3ScoringAverage",2008
49,49,"Matt Kuchar",88,3.06,539,176,"Front9Par3ScoringAverage",2008
49,49,"Martin Laird",98,3.06,611,200,"Front9Par3ScoringAverage",2008
49,49,"Chez Reavie",102,3.06,637,208,"Front9Par3ScoringAverage",2008
49,49,"Andres Romero",69,3.06,410,134,"Front9Par3ScoringAverage",2008
49,49,"Brandt Snedeker",85,3.06,514,168,"Front9Par3ScoringAverage",2008
49,49,"Scott Verplank",82,3.06,496,162,"Front9Par3ScoringAverage",2008
49,49,"Jimmy Walker",73,3.06,459,150,"Front9Par3ScoringAverage",2008
60,60,"Justin Bolli",87,3.07,534,174,"Front9Par3ScoringAverage",2008
60,60,"Bart Bryant",81,3.07,498,162,"Front9Par3ScoringAverage",2008
60,60,"Chad Campbell",94,3.07,589,192,"Front9Par3ScoringAverage",2008
60,60,"Tim Clark",90,3.07,547,178,"Front9Par3ScoringAverage",2008
60,60,"David Lutterus",59,3.07,375,122,"Front9Par3ScoringAverage",2008
60,60,"Shigeki Maruyama",50,3.07,316,103,"Front9Par3ScoringAverage",2008
60,60,"Adam Scott",51,3.07,301,98,"Front9Par3ScoringAverage",2008
60,60,"John Senden",93,3.07,565,184,"Front9Par3ScoringAverage",2008
60,60,"Bob Sowards",61,3.07,381,124,"Front9Par3ScoringAverage",2008
60,60,"Charlie Wi",97,3.07,601,196,"Front9Par3ScoringAverage",2008
60,60,"Jay Williamson",96,3.07,590,192,"Front9Par3ScoringAverage",2008
60,60,"Mark Wilson",107,3.07,669,218,"Front9Par3ScoringAverage",2008
72,72,"Eric Axley",113,3.08,708,230,"Front9Par3ScoringAverage",2008
72,72,"Briny Baird",113,3.08,708,230,"Front9Par3ScoringAverage",2008
72,72,"Marco Dawson",64,3.08,406,132,"Front9Par3ScoringAverage",2008
72,72,"Jason Day",81,3.08,499,162,"Front9Par3ScoringAverage",2008
72,72,"Matt Jones",95,3.08,585,190,"Front9Par3ScoringAverage",2008
72,72,"Doug LaBelle II",65,3.08,400,130,"Front9Par3ScoringAverage",2008
72,72,"Hunter Mahan",87,3.08,523,170,"Front9Par3ScoringAverage",2008
72,72,"Jim McGovern",75,3.08,475,154,"Front9Par3ScoringAverage",2008
72,72,"George McNeill",97,3.08,609,198,"Front9Par3ScoringAverage",2008
72,72,"DJ Trahan",94,3.08,592,192,"Front9Par3ScoringAverage",2008
72,72,"Mike Weir",88,3.08,536,174,"Front9Par3ScoringAverage",2008
83,83,"Michael Allen",91,3.09,563,182,"Front9Par3ScoringAverage",2008
83,83,"Rich Beem",90,3.09,556,180,"Front9Par3ScoringAverage",2008
83,83,"Alex Cejka",75,3.09,463,150,"Front9Par3ScoringAverage",2008
83,83,"KJ Choi",74,3.09,432,140,"Front9Par3ScoringAverage",2008
83,83,"Brian Davis",108,3.09,679,220,"Front9Par3ScoringAverage",2008
83,83,"Robert Garrigus",90,3.09,568,184,"Front9Par3ScoringAverage",2008
83,83,"Tim Herron",97,3.09,611,198,"Front9Par3ScoringAverage",2008
