"OnePuttPercentageRound2_RANKTHISWEEK_2014","OnePuttPercentageRound2_RANKLASTWEEK_2014","OnePuttPercentageRound2_PLAYERNAME_2014","OnePuttPercentageRound2__2014","OnePuttPercentageRound2_Pct_2014","OnePuttPercentageRound2_OF1PUTTS_2014","OnePuttPercentageRound2_OFHOLES_2014","stat_name","year"
1,1,"Jordan Spieth",NA,47.22,221,468,"OnePuttPercentageRound2",2014
2,2,"Justin Leonard",NA,46.46,184,396,"OnePuttPercentageRound2",2014
3,3,"Ian Poulter",NA,45.83,132,288,"OnePuttPercentageRound2",2014
4,4,"Aaron Baddeley",NA,45.65,189,414,"OnePuttPercentageRound2",2014
5,5,"Matt Every",NA,45.33,204,450,"OnePuttPercentageRound2",2014
6,6,"Bronson La Cassie",NA,45.1,138,306,"OnePuttPercentageRound2",2014
7,7,"Mike Weir",NA,44.93,186,414,"OnePuttPercentageRound2",2014
8,8,"JB Holmes",NA,44.91,194,432,"OnePuttPercentageRound2",2014
9,9,"Adam Scott",NA,44.77,137,306,"OnePuttPercentageRound2",2014
10,10,"Tim Wilkinson",NA,44.68,193,432,"OnePuttPercentageRound2",2014
11,11,"Brad Fritsch",NA,44.44,128,288,"OnePuttPercentageRound2",2014
12,12,"Camilo Villegas",NA,44.25,223,504,"OnePuttPercentageRound2",2014
13,13,"Brandt Snedeker",NA,43.98,190,432,"OnePuttPercentageRound2",2014
14,14,"Erik Compton",NA,43.83,213,486,"OnePuttPercentageRound2",2014
15,15,"Brendon Todd",NA,43.68,228,522,"OnePuttPercentageRound2",2014
16,16,"Greg Chalmers",NA,43.56,196,450,"OnePuttPercentageRound2",2014
17,17,"Scott Brown",NA,43.52,235,540,"OnePuttPercentageRound2",2014
18,18,"Chris Kirk",NA,43.42,211,486,"OnePuttPercentageRound2",2014
19,19,"Rory McIlroy",NA,43.4,125,288,"OnePuttPercentageRound2",2014
20,20,"Hideki Matsuyama",NA,43.39,164,378,"OnePuttPercentageRound2",2014
20,20,"Phil Mickelson",NA,43.39,164,378,"OnePuttPercentageRound2",2014
22,22,"Dustin Johnson",NA,43.33,117,270,"OnePuttPercentageRound2",2014
23,23,"Jason Day",NA,43.16,101,234,"OnePuttPercentageRound2",2014
24,24,"Rickie Fowler",NA,43.11,194,450,"OnePuttPercentageRound2",2014
25,25,"Gonzalo Fdez Castano",NA,43.06,186,432,"OnePuttPercentageRound2",2014
26,26,"Stuart Appleby",NA,42.95,201,468,"OnePuttPercentageRound2",2014
27,27,"Brian Davis",NA,42.86,216,504,"OnePuttPercentageRound2",2014
28,28,"Luke Guthrie",NA,42.74,200,468,"OnePuttPercentageRound2",2014
29,29,"Andres Romero",NA,42.59,184,432,"OnePuttPercentageRound2",2014
30,30,"Michael Thompson",NA,42.42,168,396,"OnePuttPercentageRound2",2014
31,31,"Matt Kuchar",NA,42.27,175,414,"OnePuttPercentageRound2",2014
32,32,"Bubba Watson",NA,42.11,144,342,"OnePuttPercentageRound2",2014
33,33,"Bryce Molder",NA,42.03,174,414,"OnePuttPercentageRound2",2014
33,33,"Ryan Palmer",NA,42.03,174,414,"OnePuttPercentageRound2",2014
35,35,"Paul Casey",NA,42.01,121,288,"OnePuttPercentageRound2",2014
36,36,"Richard Lee",NA,42,189,450,"OnePuttPercentageRound2",2014
37,37,"Tim Clark",NA,41.9,181,432,"OnePuttPercentageRound2",2014
38,38,"Charl Schwartzel",NA,41.83,128,306,"OnePuttPercentageRound2",2014
39,39,"Ben Crane",NA,41.67,180,432,"OnePuttPercentageRound2",2014
39,39,"Luke Donald",NA,41.67,120,288,"OnePuttPercentageRound2",2014
41,41,"Chris Stroud",NA,41.56,187,450,"OnePuttPercentageRound2",2014
42,42,"Tommy Gainey",NA,41.55,172,414,"OnePuttPercentageRound2",2014
43,43,"Sergio Garcia",NA,41.48,112,270,"OnePuttPercentageRound2",2014
44,44,"Scott Langley",NA,41.47,209,504,"OnePuttPercentageRound2",2014
45,45,"Freddie Jacobson",NA,41.45,194,468,"OnePuttPercentageRound2",2014
46,46,"Webb Simpson",NA,41.44,179,432,"OnePuttPercentageRound2",2014
47,47,"Geoff Ogilvy",NA,41.33,186,450,"OnePuttPercentageRound2",2014
48,48,"Jim Herman",NA,41.23,141,342,"OnePuttPercentageRound2",2014
49,49,"Brendon de Jonge",NA,41.22,230,558,"OnePuttPercentageRound2",2014
50,50,"Brian Gay",NA,41.2,178,432,"OnePuttPercentageRound2",2014
51,51,"Chad Collins",NA,41.15,200,486,"OnePuttPercentageRound2",2014
52,52,"Ricky Barnes",NA,41.11,185,450,"OnePuttPercentageRound2",2014
52,52,"Robert Streb",NA,41.11,148,360,"OnePuttPercentageRound2",2014
54,54,"Martin Kaymer",NA,41.05,133,324,"OnePuttPercentageRound2",2014
55,55,"Brooks Koepka",NA,40.97,118,288,"OnePuttPercentageRound2",2014
56,56,"Marc Leishman",NA,40.82,169,414,"OnePuttPercentageRound2",2014
57,57,"Kevin Chappell",NA,40.74,198,486,"OnePuttPercentageRound2",2014
58,58,"Jeff Overton",NA,40.66,161,396,"OnePuttPercentageRound2",2014
59,59,"Graeme McDowell",NA,40.63,117,288,"OnePuttPercentageRound2",2014
60,60,"Martin Flores",NA,40.6,190,468,"OnePuttPercentageRound2",2014
61,61,"Woody Austin",NA,40.48,153,378,"OnePuttPercentageRound2",2014
62,62,"Brian Harman",NA,40.45,233,576,"OnePuttPercentageRound2",2014
63,63,"Keegan Bradley",NA,40.44,182,450,"OnePuttPercentageRound2",2014
64,64,"Patrick Reed",NA,40.38,189,468,"OnePuttPercentageRound2",2014
65,65,"Ben Curtis",NA,40.34,167,414,"OnePuttPercentageRound2",2014
