"BirdieorBetterPercentage200yards_RANKTHISWEEK_2008","BirdieorBetterPercentage200yards_RANKLASTWEEK_2008","BirdieorBetterPercentage200yards_PLAYERNAME_2008","BirdieorBetterPercentage200yards_ROUNDS_2008","BirdieorBetterPercentage200yards_Pct_2008","BirdieorBetterPercentage200yards_TOTALBIRDIES_2008","BirdieorBetterPercentage200yards_TOTALHOLES_2008","stat_name","year"
70,70,"Kevin Streelman",114,29.5,113,383,"BirdieorBetterPercentage200yards",2008
71,71,"Peter Lonard",92,29.48,97,329,"BirdieorBetterPercentage200yards",2008
72,72,"Steve Stricker",75,29.44,68,231,"BirdieorBetterPercentage200yards",2008
73,73,"Kevin Sutherland",98,29.27,108,369,"BirdieorBetterPercentage200yards",2008
74,74,"KJ Choi",74,29,67,231,"BirdieorBetterPercentage200yards",2008
75,75,"Bob Sowards",61,28.96,53,183,"BirdieorBetterPercentage200yards",2008
76,76,"Mark Calcavecchia",67,28.85,60,208,"BirdieorBetterPercentage200yards",2008
77,77,"Nathan Green",95,28.82,117,406,"BirdieorBetterPercentage200yards",2008
77,77,"Brandt Jobe",52,28.82,49,170,"BirdieorBetterPercentage200yards",2008
79,79,"Ryan Moore",72,28.79,76,264,"BirdieorBetterPercentage200yards",2008
79,79,"John Senden",93,28.79,93,323,"BirdieorBetterPercentage200yards",2008
81,81,"Robert Allenby",108,28.77,105,365,"BirdieorBetterPercentage200yards",2008
81,81,"Brett Quigley",80,28.77,84,292,"BirdieorBetterPercentage200yards",2008
83,83,"Cameron Beckman",87,28.68,76,265,"BirdieorBetterPercentage200yards",2008
84,84,"Marco Dawson",64,28.65,53,185,"BirdieorBetterPercentage200yards",2008
85,85,"Ernie Els",51,28.57,38,133,"BirdieorBetterPercentage200yards",2008
86,86,"Chad Campbell",94,28.53,97,340,"BirdieorBetterPercentage200yards",2008
87,87,"Stephen Ames",83,28.45,68,239,"BirdieorBetterPercentage200yards",2008
88,88,"Angel Cabrera",55,28.4,46,162,"BirdieorBetterPercentage200yards",2008
88,88,"Retief Goosen",59,28.4,48,169,"BirdieorBetterPercentage200yards",2008
90,90,"Nick Flanagan",89,28.35,91,321,"BirdieorBetterPercentage200yards",2008
91,91,"Tim Petrovic",97,28.34,87,307,"BirdieorBetterPercentage200yards",2008
92,92,"David Toms",70,28.27,54,191,"BirdieorBetterPercentage200yards",2008
93,93,"Kenneth Ferrie",72,28.24,74,262,"BirdieorBetterPercentage200yards",2008
94,94,"Michael Allen",91,28.06,78,278,"BirdieorBetterPercentage200yards",2008
95,95,"Jeff Maggert",86,27.74,86,310,"BirdieorBetterPercentage200yards",2008
96,96,"YE Yang",89,27.71,87,314,"BirdieorBetterPercentage200yards",2008
97,97,"Stuart Appleby",87,27.68,75,271,"BirdieorBetterPercentage200yards",2008
98,98,"Rod Pampling",83,27.61,82,297,"BirdieorBetterPercentage200yards",2008
99,99,"Brandt Snedeker",85,27.51,74,269,"BirdieorBetterPercentage200yards",2008
100,100,"Bob Tway",70,27.45,56,204,"BirdieorBetterPercentage200yards",2008
101,101,"Ken Duke",116,27.41,111,405,"BirdieorBetterPercentage200yards",2008
102,102,"Joe Durant",92,27.39,86,314,"BirdieorBetterPercentage200yards",2008
102,102,"Jimmy Walker",73,27.39,66,241,"BirdieorBetterPercentage200yards",2008
104,104,"Travis Perkins",53,27.34,38,139,"BirdieorBetterPercentage200yards",2008
105,105,"Ben Curtis",80,27.19,62,228,"BirdieorBetterPercentage200yards",2008
106,106,"Eric Axley",113,27.17,97,357,"BirdieorBetterPercentage200yards",2008
107,107,"Marc Turnesa",87,27.11,74,273,"BirdieorBetterPercentage200yards",2008
108,108,"Rich Beem",90,27.01,84,311,"BirdieorBetterPercentage200yards",2008
108,108,"Steve Flesch",95,27.01,84,311,"BirdieorBetterPercentage200yards",2008
110,110,"David Lutterus",59,26.86,47,175,"BirdieorBetterPercentage200yards",2008
111,111,"Mike Weir",88,26.82,70,261,"BirdieorBetterPercentage200yards",2008
112,112,"Kent Jones",68,26.77,53,198,"BirdieorBetterPercentage200yards",2008
113,113,"Scott McCarron",63,26.67,56,210,"BirdieorBetterPercentage200yards",2008
114,114,"Jon Mills",95,26.64,77,289,"BirdieorBetterPercentage200yards",2008
115,115,"Vaughn Taylor",103,26.48,85,321,"BirdieorBetterPercentage200yards",2008
116,116,"Frank Lickliter II",107,26.46,109,412,"BirdieorBetterPercentage200yards",2008
117,117,"John Rollins",94,26.38,81,307,"BirdieorBetterPercentage200yards",2008
118,118,"Richard Johnson",77,26.26,73,278,"BirdieorBetterPercentage200yards",2008
