"TenthTeeLateRound1ScoringAverage_RANKTHISWEEK_2014","TenthTeeLateRound1ScoringAverage_RANKLASTWEEK_2014","TenthTeeLateRound1ScoringAverage_PLAYERNAME_2014","TenthTeeLateRound1ScoringAverage__2014","TenthTeeLateRound1ScoringAverage_AVG_2014","TenthTeeLateRound1ScoringAverage_TOTALSTROKES_2014","TenthTeeLateRound1ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Martin Kaymer",NA,63,63,1,"TenthTeeLateRound1ScoringAverage",2014
2,2,"Rory McIlroy",NA,65,65,1,"TenthTeeLateRound1ScoringAverage",2014
2,2,"Brandt Snedeker",NA,65,65,1,"TenthTeeLateRound1ScoringAverage",2014
4,4,"Patrick Reed",NA,67.33,202,3,"TenthTeeLateRound1ScoringAverage",2014
5,5,"Kevin Chappell",NA,67.75,271,4,"TenthTeeLateRound1ScoringAverage",2014
6,6,"Sergio Garcia",NA,68,204,3,"TenthTeeLateRound1ScoringAverage",2014
6,6,"Justin Rose",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2014
6,6,"Henrik Stenson",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2014
9,9,"George McNeill",NA,68.5,411,6,"TenthTeeLateRound1ScoringAverage",2014
9,9,"Ryan Palmer",NA,68.5,548,8,"TenthTeeLateRound1ScoringAverage",2014
11,11,"Jason Bohn",NA,68.67,412,6,"TenthTeeLateRound1ScoringAverage",2014
11,11,"Marc Leishman",NA,68.67,412,6,"TenthTeeLateRound1ScoringAverage",2014
11,11,"Ryan Moore",NA,68.67,412,6,"TenthTeeLateRound1ScoringAverage",2014
14,14,"James Hahn",NA,69,138,2,"TenthTeeLateRound1ScoringAverage",2014
14,14,"Jeff Maggert",NA,69,276,4,"TenthTeeLateRound1ScoringAverage",2014
14,14,"Jim Renner",NA,69,276,4,"TenthTeeLateRound1ScoringAverage",2014
14,14,"Charl Schwartzel",NA,69,276,4,"TenthTeeLateRound1ScoringAverage",2014
14,14,"Bubba Watson",NA,69,138,2,"TenthTeeLateRound1ScoringAverage",2014
19,19,"Carl Pettersson",NA,69.29,485,7,"TenthTeeLateRound1ScoringAverage",2014
20,20,"Hideki Matsuyama",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2014
20,20,"Phil Mickelson",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2014
22,22,"Keegan Bradley",NA,69.5,139,2,"TenthTeeLateRound1ScoringAverage",2014
22,22,"Jerry Kelly",NA,69.5,417,6,"TenthTeeLateRound1ScoringAverage",2014
24,24,"Boo Weekley",NA,69.6,348,5,"TenthTeeLateRound1ScoringAverage",2014
25,25,"Bryce Molder",NA,69.67,209,3,"TenthTeeLateRound1ScoringAverage",2014
25,25,"Heath Slocum",NA,69.67,627,9,"TenthTeeLateRound1ScoringAverage",2014
27,27,"Matt Jones",NA,69.71,488,7,"TenthTeeLateRound1ScoringAverage",2014
28,28,"Brad Fritsch",NA,69.75,279,4,"TenthTeeLateRound1ScoringAverage",2014
28,28,"Andrew Svoboda",NA,69.75,279,4,"TenthTeeLateRound1ScoringAverage",2014
30,30,"Bud Cauley",NA,69.8,349,5,"TenthTeeLateRound1ScoringAverage",2014
31,31,"Tyrone Van Aswegen",NA,69.88,559,8,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Chad Campbell",NA,70,70,1,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Bill Haas",NA,70,490,7,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Brian Harman",NA,70,350,5,"TenthTeeLateRound1ScoringAverage",2014
32,32,"William McGirt",NA,70,210,3,"TenthTeeLateRound1ScoringAverage",2014
32,32,"John Merrick",NA,70,490,7,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Seung Yul Noh",NA,70,560,8,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Sean OHair",NA,70,210,3,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Jimmy Walker",NA,70,70,1,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Lee Westwood",NA,70,70,1,"TenthTeeLateRound1ScoringAverage",2014
32,32,"Gary Woodland",NA,70,420,6,"TenthTeeLateRound1ScoringAverage",2014
42,42,"Steven Bowditch",NA,70.11,631,9,"TenthTeeLateRound1ScoringAverage",2014
43,43,"Bo Van Pelt",NA,70.13,561,8,"TenthTeeLateRound1ScoringAverage",2014
44,44,"Brendon Todd",NA,70.14,491,7,"TenthTeeLateRound1ScoringAverage",2014
45,45,"Brian Davis",NA,70.2,702,10,"TenthTeeLateRound1ScoringAverage",2014
45,45,"Morgan Hoffmann",NA,70.2,351,5,"TenthTeeLateRound1ScoringAverage",2014
47,47,"Harris English",NA,70.25,281,4,"TenthTeeLateRound1ScoringAverage",2014
47,47,"Daniel Summerhays",NA,70.25,562,8,"TenthTeeLateRound1ScoringAverage",2014
