"BallSpeed_RANKTHISWEEK_2008","BallSpeed_RANKLASTWEEK_2008","BallSpeed_PLAYERNAME_2008","BallSpeed_ROUNDS_2008","BallSpeed_AVG_2008","BallSpeed_TOTALBALLSPEED_2008","BallSpeed_TOTALATTEMPTS_2008","BallSpeed_FASTESTSPEED_2008","BallSpeed_SLOWESTSPEED_2008","stat_name","year"
1,1,"JB Holmes",86,184.35,8111.52,44,188.75,172.02,"BallSpeed",2008
2,2,"Bubba Watson",97,182.94,12256.89,67,188.31,175.44,"BallSpeed",2008
3,3,"Dustin Johnson",92,180.69,12286.69,68,185.91,174.8,"BallSpeed",2008
4,4,"Robert Garrigus",90,178.74,11439.53,64,183.24,174.17,"BallSpeed",2008
5,5,"Tag Ridings",88,178.46,12492.37,70,183.62,170.27,"BallSpeed",2008
6,6,"Travis Perkins",53,178.45,4461.24,25,182.36,174.82,"BallSpeed",2008
7,7,"Nick Watney",96,178.33,13018.36,73,183.85,173.08,"BallSpeed",2008
8,8,"Angel Cabrera",55,178.07,6588.74,37,183.55,165.37,"BallSpeed",2008
9,9,"Sergio Garcia",72,175.5,8599.43,49,179.44,168.79,"BallSpeed",2008
10,10,"Paul Casey",55,175.44,5438.59,31,181.5,160.22,"BallSpeed",2008
11,11,"Jason Allred",63,175.02,7875.8,45,179.78,167.31,"BallSpeed",2008
12,12,"James Driscoll",85,174.65,11177.32,64,178.74,169.08,"BallSpeed",2008
13,13,"Adam Scott",51,174.32,5926.86,34,178.27,170.39,"BallSpeed",2008
14,14,"Bill Haas",99,173.96,15134.13,87,181.11,163.29,"BallSpeed",2008
15,15,"Charley Hoffman",94,173.87,15126.4,87,179.58,162.41,"BallSpeed",2008
15,15,"Charles Howell III",101,173.87,14430.88,83,177.1,167.77,"BallSpeed",2008
17,17,"George McNeill",97,173.85,14951,86,181.37,163.21,"BallSpeed",2008
18,18,"Davis Love III",78,173.77,9383.45,54,178.93,165.22,"BallSpeed",2008
19,19,"Fred Couples",60,173.59,5902.06,34,178.08,162.65,"BallSpeed",2008
20,20,"Anthony Kim",81,173.52,11279.09,65,177.86,168.15,"BallSpeed",2008
21,21,"Brandt Jobe",52,173.27,6930.68,40,178.72,160.76,"BallSpeed",2008
22,22,"Martin Laird",98,173.18,12988.71,75,180.51,162.26,"BallSpeed",2008
23,23,"Phil Mickelson",80,173.04,9171.26,53,179.35,163.43,"BallSpeed",2008
24,24,"David Duval",51,172.98,5362.47,31,178.18,159.56,"BallSpeed",2008
25,25,"Charles Warren",79,172.76,11402.13,66,177.86,164.24,"BallSpeed",2008
26,26,"Daniel Chopra",84,172.64,11393.99,66,178.33,164.18,"BallSpeed",2008
26,26,"Troy Matteson",94,172.64,14847.4,86,178.4,163.95,"BallSpeed",2008
28,28,"Harrison Frazar",73,172.55,8972.81,52,176.77,168.61,"BallSpeed",2008
29,29,"Lucas Glover",91,172.48,13798.12,80,177.84,164.22,"BallSpeed",2008
30,30,"Jason Gore",94,172.16,10157.42,59,180.2,161.98,"BallSpeed",2008
31,31,"Richard Johnson",77,172.03,10494.01,61,176.79,165.67,"BallSpeed",2008
32,32,"John Senden",93,171.9,12205.01,71,175.55,164.25,"BallSpeed",2008
33,33,"Pat Perez",93,171.57,12352.68,72,177.31,165.65,"BallSpeed",2008
34,34,"Matt Jones",95,171.42,12685.44,74,176.7,159.44,"BallSpeed",2008
35,35,"Steve Allan",58,171.38,7369.15,43,175.31,167.86,"BallSpeed",2008
36,36,"Stewart Cink",87,171.3,9763.82,57,176.33,159.1,"BallSpeed",2008
37,37,"Andres Romero",69,171.25,7706.32,45,180.32,161.64,"BallSpeed",2008
38,38,"Carlos Franco",73,171.09,7870.01,46,177.54,152.59,"BallSpeed",2008
39,39,"Aaron Baddeley",76,171.04,9578.46,56,175.97,163.97,"BallSpeed",2008
40,40,"Jeff Overton",103,170.96,12993,76,178.69,157.51,"BallSpeed",2008
41,41,"Tommy Gainey",60,170.9,6836.18,40,178.62,165.1,"BallSpeed",2008
42,42,"Vijay Singh",82,170.85,10592.97,62,174.87,166.48,"BallSpeed",2008
43,43,"Kevin Streelman",114,170.57,15010.04,88,177.06,162.08,"BallSpeed",2008
44,44,"Padraig Harrington",52,170.55,4434.23,26,176.16,156.56,"BallSpeed",2008
44,44,"Jimmy Walker",73,170.55,8357.15,49,176.09,161.77,"BallSpeed",2008
46,46,"Jason Day",81,170.15,12591.25,74,175.05,162.04,"BallSpeed",2008
47,47,"Sean OHair",81,169.7,10860.86,64,174.13,160.71,"BallSpeed",2008
48,48,"Trevor Immelman",70,169.66,8483.08,50,176.51,162.37,"BallSpeed",2008
49,49,"Boo Weekley",86,169.57,11700.29,69,174.63,161.61,"BallSpeed",2008
50,50,"Rory Sabbatini",77,169.04,11325.55,67,173.98,162.08,"BallSpeed",2008
51,51,"Geoff Ogilvy",65,168.89,7937.94,47,174.92,160.85,"BallSpeed",2008
52,52,"Ernie Els",51,168.88,6417.39,38,172.56,164.52,"BallSpeed",2008
53,53,"Robert Allenby",108,168.82,13674.13,81,173.03,159.48,"BallSpeed",2008
53,53,"Jon Mills",95,168.82,9453.95,56,172.86,161.17,"BallSpeed",2008
55,55,"Camilo Villegas",79,168.75,9955.98,59,176.05,162.11,"BallSpeed",2008
56,56,"Brad Adamonis",87,168.69,11976.74,71,175.66,160.22,"BallSpeed",2008
57,57,"Ryan Palmer",69,168.64,7588.7,45,173.81,164.73,"BallSpeed",2008
