"ScoringAverageActual_RANKTHISWEEK_2008","ScoringAverageActual_RANKLASTWEEK_2008","ScoringAverageActual_PLAYERNAME_2008","ScoringAverageActual_ROUNDS_2008","ScoringAverageActual_AVG_2008","ScoringAverageActual_TOTALSTROKES_2008","ScoringAverageActual_TOTALROUNDS_2008","stat_name","year"
1,1,"Bob Tway",70,69.94,4896,70,"ScoringAverageActual",2008
2,2,"Brian Gay",102,70.11,7151,102,"ScoringAverageActual",2008
3,3,"Kenny Perry",97,70.21,6810,97,"ScoringAverageActual",2008
4,4,"Anthony Kim",81,70.22,5688,81,"ScoringAverageActual",2008
4,4,"Kevin Sutherland",98,70.22,6882,98,"ScoringAverageActual",2008
6,6,"Vijay Singh",82,70.27,5481,78,"ScoringAverageActual",2008
7,7,"Phil Mickelson",80,70.28,5482,78,"ScoringAverageActual",2008
8,8,"Steve Marino",119,70.29,8364,119,"ScoringAverageActual",2008
9,9,"Chad Campbell",94,70.37,6615,94,"ScoringAverageActual",2008
10,10,"Ben Crane",86,70.38,6053,86,"ScoringAverageActual",2008
11,11,"Justin Leonard",101,70.41,6689,95,"ScoringAverageActual",2008
11,11,"Charlie Wi",97,70.41,6830,97,"ScoringAverageActual",2008
13,13,"Briny Baird",113,70.44,7960,113,"ScoringAverageActual",2008
13,13,"Mark Wilson",107,70.44,7537,107,"ScoringAverageActual",2008
15,15,"John Huston",56,70.48,3947,56,"ScoringAverageActual",2008
15,15,"Ryan Palmer",69,70.48,4863,69,"ScoringAverageActual",2008
17,17,"Tom Pernice Jr",104,70.54,7336,104,"ScoringAverageActual",2008
18,18,"Shane Bertsch",96,70.56,6774,96,"ScoringAverageActual",2008
18,18,"Jim Furyk",95,70.56,6633,94,"ScoringAverageActual",2008
20,20,"Sergio Garcia",72,70.6,4942,70,"ScoringAverageActual",2008
20,20,"Camilo Villegas",79,70.6,5507,78,"ScoringAverageActual",2008
22,22,"Glen Day",64,70.61,4519,64,"ScoringAverageActual",2008
22,22,"Ken Duke",116,70.61,8191,116,"ScoringAverageActual",2008
24,24,"Kevin Streelman",114,70.63,8052,114,"ScoringAverageActual",2008
25,25,"Robert Allenby",108,70.64,7558,107,"ScoringAverageActual",2008
26,26,"Stewart Cink",87,70.65,5723,81,"ScoringAverageActual",2008
26,26,"Gavin Coles",54,70.65,3815,54,"ScoringAverageActual",2008
28,28,"Bill Haas",99,70.66,6995,99,"ScoringAverageActual",2008
28,28,"Tim Herron",97,70.66,6854,97,"ScoringAverageActual",2008
30,30,"Stephen Ames",83,70.67,5795,82,"ScoringAverageActual",2008
30,30,"Steve Elkington",84,70.67,5936,84,"ScoringAverageActual",2008
30,30,"Corey Pavin",69,70.67,4876,69,"ScoringAverageActual",2008
33,33,"Mike Weir",88,70.68,6149,87,"ScoringAverageActual",2008
34,34,"Bob Estes",90,70.69,6362,90,"ScoringAverageActual",2008
35,35,"Padraig Harrington",52,70.7,3535,50,"ScoringAverageActual",2008
35,35,"Pat Perez",93,70.7,6504,92,"ScoringAverageActual",2008
37,37,"Brian Davis",108,70.73,7639,108,"ScoringAverageActual",2008
37,37,"Mathew Goggin",91,70.73,6436,91,"ScoringAverageActual",2008
39,39,"Billy Mayfair",103,70.76,7288,103,"ScoringAverageActual",2008
40,40,"Hunter Mahan",87,70.78,6016,85,"ScoringAverageActual",2008
41,41,"Brenden Pappas",66,70.8,4673,66,"ScoringAverageActual",2008
42,42,"Martin Laird",98,70.81,6939,98,"ScoringAverageActual",2008
42,42,"Kevin Na",97,70.81,6869,97,"ScoringAverageActual",2008
44,44,"Steve Stricker",75,70.83,5100,72,"ScoringAverageActual",2008
45,45,"Dudley Hart",74,70.84,5242,74,"ScoringAverageActual",2008
45,45,"Carl Pettersson",110,70.84,7792,110,"ScoringAverageActual",2008
45,45,"Vaughn Taylor",103,70.84,7297,103,"ScoringAverageActual",2008
45,45,"Scott Verplank",82,70.84,5738,81,"ScoringAverageActual",2008
49,49,"Stuart Appleby",87,70.86,5952,84,"ScoringAverageActual",2008
49,49,"Aaron Baddeley",76,70.86,5173,73,"ScoringAverageActual",2008
51,51,"Tim Clark",90,70.87,6307,89,"ScoringAverageActual",2008
52,52,"Nick OHern",82,70.89,5671,80,"ScoringAverageActual",2008
52,52,"DJ Trahan",94,70.89,6664,94,"ScoringAverageActual",2008
54,54,"John Senden",93,70.9,6523,92,"ScoringAverageActual",2008
55,55,"Joe Ogilvie",100,70.92,7092,100,"ScoringAverageActual",2008
55,55,"John Riegger",73,70.92,5177,73,"ScoringAverageActual",2008
55,55,"Chris Riley",51,70.92,3617,51,"ScoringAverageActual",2008
55,55,"Scott Sterling",89,70.92,6312,89,"ScoringAverageActual",2008
59,59,"Peter Lonard",92,70.93,6526,92,"ScoringAverageActual",2008
59,59,"Patrick Sheehan",124,70.93,8795,124,"ScoringAverageActual",2008
61,61,"George McNeill",97,70.94,6881,97,"ScoringAverageActual",2008
62,62,"Lucas Glover",91,70.95,6456,91,"ScoringAverageActual",2008
63,63,"Ben Curtis",80,70.96,5677,80,"ScoringAverageActual",2008
63,63,"Kent Jones",68,70.96,4825,68,"ScoringAverageActual",2008
63,63,"Bo Van Pelt",101,70.96,7167,101,"ScoringAverageActual",2008
66,66,"John Merrick",98,70.97,6955,98,"ScoringAverageActual",2008
67,67,"Dean Wilson",109,70.98,7737,109,"ScoringAverageActual",2008
68,68,"Tommy Armour III",77,70.99,5466,77,"ScoringAverageActual",2008
69,69,"KJ Choi",74,71.01,4971,70,"ScoringAverageActual",2008
69,69,"Michael Letzig",88,71.01,6249,88,"ScoringAverageActual",2008
71,71,"Robert Garrigus",90,71.02,6392,90,"ScoringAverageActual",2008
71,71,"John Mallinger",95,71.02,6747,95,"ScoringAverageActual",2008
71,71,"Nick Watney",96,71.02,6818,96,"ScoringAverageActual",2008
71,71,"Tim Wilkinson",95,71.02,6747,95,"ScoringAverageActual",2008
75,75,"Brad Adamonis",87,71.03,6180,87,"ScoringAverageActual",2008
75,75,"Jason Gore",94,71.03,6677,94,"ScoringAverageActual",2008
75,75,"Matt Kuchar",88,71.03,6251,88,"ScoringAverageActual",2008
75,75,"Chez Reavie",102,71.03,7245,102,"ScoringAverageActual",2008
79,79,"Craig Kanada",65,71.05,4618,65,"ScoringAverageActual",2008
79,79,"Rory Sabbatini",77,71.05,5400,76,"ScoringAverageActual",2008
79,79,"Omar Uresti",74,71.05,5258,74,"ScoringAverageActual",2008
82,82,"Jason Day",81,71.06,5756,81,"ScoringAverageActual",2008
82,82,"Zach Johnson",85,71.06,5969,84,"ScoringAverageActual",2008
84,84,"Michael Allen",91,71.07,6467,91,"ScoringAverageActual",2008
84,84,"JJ Henry",108,71.07,7676,108,"ScoringAverageActual",2008
84,84,"Parker McLachlin",88,71.07,6254,88,"ScoringAverageActual",2008
84,84,"Bubba Watson",97,71.07,6894,97,"ScoringAverageActual",2008
88,88,"Cameron Beckman",87,71.09,6185,87,"ScoringAverageActual",2008
89,89,"Woody Austin",109,71.1,7466,105,"ScoringAverageActual",2008
90,90,"Boo Weekley",86,71.12,5903,83,"ScoringAverageActual",2008
91,91,"Ryuji Imada",80,71.13,5690,80,"ScoringAverageActual",2008
91,91,"Richard Johnson",60,71.13,4268,60,"ScoringAverageActual",2008
91,91,"David Toms",70,71.13,4837,68,"ScoringAverageActual",2008
94,94,"Charles Howell III",101,71.15,7044,99,"ScoringAverageActual",2008
95,95,"Carlos Franco",73,71.16,5195,73,"ScoringAverageActual",2008
