"TotalDrivingEfficiency_RANKTHISWEEK_2014","TotalDrivingEfficiency_RANKLASTWEEK_2014","TotalDrivingEfficiency_PLAYERNAME_2014","TotalDrivingEfficiency_ROUNDS_2014","TotalDrivingEfficiency_COMBINEDRANK_2014","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2014","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2014","stat_name","year"
97,97,"Daniel Summerhays",98,185,115,70,"TotalDrivingEfficiency",2014
98,98,"Rory Sabbatini",82,194,109,85,"TotalDrivingEfficiency",2014
99,99,"John Huh",87,195,95,100,"TotalDrivingEfficiency",2014
100,100,"Matt Jones",83,199,95,104,"TotalDrivingEfficiency",2014
101,101,"Johnson Wagner",69,200,89,111,"TotalDrivingEfficiency",2014
102,102,"Harris English",95,201,81,120,"TotalDrivingEfficiency",2014
103,103,"Scott Langley",95,204,169,35,"TotalDrivingEfficiency",2014
104,104,"Troy Merritt",62,208,115,93,"TotalDrivingEfficiency",2014
105,105,"Retief Goosen",94,209,84,125,"TotalDrivingEfficiency",2014
105,105,"Charlie Wi",72,209,123,86,"TotalDrivingEfficiency",2014
107,107,"Jonathan Byrd",76,215,78,137,"TotalDrivingEfficiency",2014
108,108,"Jeff Overton",80,217,141,76,"TotalDrivingEfficiency",2014
108,108,"Patrick Reed",92,217,81,136,"TotalDrivingEfficiency",2014
110,110,"Luke Guthrie",85,219,97,122,"TotalDrivingEfficiency",2014
111,111,"Justin Leonard",75,220,142,78,"TotalDrivingEfficiency",2014
112,112,"Jim Renner",61,221,90,131,"TotalDrivingEfficiency",2014
113,113,"Michael Thompson",74,226,93,133,"TotalDrivingEfficiency",2014
114,114,"Chad Collins",78,227,131,96,"TotalDrivingEfficiency",2014
114,114,"Jim Furyk",84,227,150,77,"TotalDrivingEfficiency",2014
116,116,"Shawn Stefani",60,230,101,129,"TotalDrivingEfficiency",2014
117,117,"Jason Bohn",81,231,129,102,"TotalDrivingEfficiency",2014
118,118,"Graeme McDowell",66,234,109,125,"TotalDrivingEfficiency",2014
118,118,"William McGirt",96,234,144,90,"TotalDrivingEfficiency",2014
118,118,"Will Wilcox",51,234,101,133,"TotalDrivingEfficiency",2014
121,121,"Bryce Molder",77,236,146,90,"TotalDrivingEfficiency",2014
122,122,"Brooks Koepka",56,238,78,160,"TotalDrivingEfficiency",2014
122,122,"Robert Streb",75,238,113,125,"TotalDrivingEfficiency",2014
124,124,"Lee Westwood",57,239,119,120,"TotalDrivingEfficiency",2014
125,125,"Woody Austin",63,244,127,117,"TotalDrivingEfficiency",2014
126,126,"Martin Kaymer",65,245,134,111,"TotalDrivingEfficiency",2014
127,127,"Billy Hurley III",86,249,154,95,"TotalDrivingEfficiency",2014
128,128,"Aaron Baddeley",74,250,98,152,"TotalDrivingEfficiency",2014
129,129,"Henrik Stenson",56,252,139,113,"TotalDrivingEfficiency",2014
130,130,"Kevin Chappell",100,254,115,139,"TotalDrivingEfficiency",2014
130,130,"John Merrick",87,254,160,94,"TotalDrivingEfficiency",2014
130,130,"John Peterson",62,254,111,143,"TotalDrivingEfficiency",2014
133,133,"Bronson La Cassie",51,258,119,139,"TotalDrivingEfficiency",2014
134,134,"Russell Knox",92,261,164,97,"TotalDrivingEfficiency",2014
135,135,"Luke Donald",57,262,101,161,"TotalDrivingEfficiency",2014
135,135,"Nick Watney",80,262,113,149,"TotalDrivingEfficiency",2014
137,137,"Seung Yul Noh",92,263,98,165,"TotalDrivingEfficiency",2014
138,138,"Erik Compton",88,265,123,142,"TotalDrivingEfficiency",2014
138,138,"Adam Scott",68,265,135,130,"TotalDrivingEfficiency",2014
138,138,"Andrew Svoboda",77,265,142,123,"TotalDrivingEfficiency",2014
141,141,"Greg Chalmers",85,272,158,114,"TotalDrivingEfficiency",2014
141,141,"Spencer Levin",59,272,168,104,"TotalDrivingEfficiency",2014
143,143,"Ben Martin",80,273,140,133,"TotalDrivingEfficiency",2014
144,144,"YE Yang",79,274,165,109,"TotalDrivingEfficiency",2014
145,145,"Hudson Swafford",75,275,121,154,"TotalDrivingEfficiency",2014
146,146,"Michael Putnam",106,279,136,143,"TotalDrivingEfficiency",2014
147,147,"Sangmoon Bae",76,282,151,131,"TotalDrivingEfficiency",2014
148,148,"Martin Flores",85,283,132,151,"TotalDrivingEfficiency",2014
149,149,"Boo Weekley",73,284,146,138,"TotalDrivingEfficiency",2014
150,150,"Matt Every",85,286,123,163,"TotalDrivingEfficiency",2014
151,151,"Jhonattan Vegas",77,287,128,159,"TotalDrivingEfficiency",2014
152,152,"Ken Duke",80,289,175,114,"TotalDrivingEfficiency",2014
153,153,"Derek Ernst",80,290,132,158,"TotalDrivingEfficiency",2014
154,154,"Kevin Na",94,291,148,143,"TotalDrivingEfficiency",2014
155,155,"Ted Potter Jr",68,295,156,139,"TotalDrivingEfficiency",2014
155,155,"Mike Weir",69,295,170,125,"TotalDrivingEfficiency",2014
155,155,"Gary Woodland",93,295,129,166,"TotalDrivingEfficiency",2014
158,158,"John Senden",99,297,154,143,"TotalDrivingEfficiency",2014
159,159,"George McNeill",79,305,156,149,"TotalDrivingEfficiency",2014
159,159,"John Rollins",84,305,144,161,"TotalDrivingEfficiency",2014
161,161,"Gonzalo Fdez Castano",83,306,138,168,"TotalDrivingEfficiency",2014
162,162,"Stuart Appleby",92,307,152,155,"TotalDrivingEfficiency",2014
163,163,"Stewart Cink",91,310,137,173,"TotalDrivingEfficiency",2014
164,164,"Kevin Tway",64,315,158,157,"TotalDrivingEfficiency",2014
165,165,"Ricky Barnes",92,320,173,147,"TotalDrivingEfficiency",2014
166,166,"Trevor Immelman",84,321,174,147,"TotalDrivingEfficiency",2014
167,167,"Ryo Ishikawa",75,322,153,169,"TotalDrivingEfficiency",2014
168,168,"Charlie Beljan",76,323,148,175,"TotalDrivingEfficiency",2014
169,169,"Charl Schwartzel",64,330,163,167,"TotalDrivingEfficiency",2014
170,170,"Jason Dufner",57,331,176,155,"TotalDrivingEfficiency",2014
171,171,"Briny Baird",50,333,170,163,"TotalDrivingEfficiency",2014
171,171,"Paul Casey",56,333,162,171,"TotalDrivingEfficiency",2014
173,173,"Pat Perez",84,334,165,169,"TotalDrivingEfficiency",2014
174,174,"James Driscoll",71,338,161,177,"TotalDrivingEfficiency",2014
175,175,"Sergio Garcia",61,340,165,175,"TotalDrivingEfficiency",2014
176,176,"Brendon de Jonge",109,344,172,172,"TotalDrivingEfficiency",2014
177,177,"Freddie Jacobson",91,351,177,174,"TotalDrivingEfficiency",2014
