"TenthTeeLateRound4ScoringAverage_RANKTHISWEEK_2005","TenthTeeLateRound4ScoringAverage_RANKLASTWEEK_2005","TenthTeeLateRound4ScoringAverage_PLAYERNAME_2005","TenthTeeLateRound4ScoringAverage__2005","TenthTeeLateRound4ScoringAverage_AVG_2005","TenthTeeLateRound4ScoringAverage_TOTALSTROKES_2005","TenthTeeLateRound4ScoringAverage_TOTALROUNDS_2005","stat_name","year"
126,126,"Mark Hensby",NA,76,152,2,"TenthTeeLateRound4ScoringAverage",2005
129,129,"Ted Purdy",NA,76.5,306,4,"TenthTeeLateRound4ScoringAverage",2005
130,130,"John Daly",NA,77.5,155,2,"TenthTeeLateRound4ScoringAverage",2005
131,131,"Harrison Frazar",NA,78,78,1,"TenthTeeLateRound4ScoringAverage",2005
131,131,"Len Mattiace",NA,78,78,1,"TenthTeeLateRound4ScoringAverage",2005
133,133,"JP Hayes",NA,78.5,157,2,"TenthTeeLateRound4ScoringAverage",2005
134,134,"Craig Barlow",NA,79,79,1,"TenthTeeLateRound4ScoringAverage",2005
134,134,"Tag Ridings",NA,79,79,1,"TenthTeeLateRound4ScoringAverage",2005
134,134,"Justin Rose",NA,79,79,1,"TenthTeeLateRound4ScoringAverage",2005
137,137,"Jim Carter",NA,80,80,1,"TenthTeeLateRound4ScoringAverage",2005
137,137,"Ryuji Imada",NA,80,80,1,"TenthTeeLateRound4ScoringAverage",2005
137,137,"Frank Lickliter II",NA,80,160,2,"TenthTeeLateRound4ScoringAverage",2005
140,140,"Cameron Beckman",NA,82,82,1,"TenthTeeLateRound4ScoringAverage",2005
140,140,"Jose Coceres",NA,82,82,1,"TenthTeeLateRound4ScoringAverage",2005
142,142,"Scott Hend",NA,83,83,1,"TenthTeeLateRound4ScoringAverage",2005
