"BirdietoBogeyRatio_RANKTHISWEEK_2014","BirdietoBogeyRatio_RANKLASTWEEK_2014","BirdietoBogeyRatio_PLAYERNAME_2014","BirdietoBogeyRatio_ROUNDS_2014","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2014","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2014","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2014","stat_name","year"
1,1,"Rory McIlroy",66,1.84,302,164,"BirdietoBogeyRatio",2014
2,2,"Sergio Garcia",61,1.76,229,130,"BirdietoBogeyRatio",2014
3,3,"Adam Scott",68,1.71,296,173,"BirdietoBogeyRatio",2014
4,4,"Dustin Johnson",58,1.62,240,148,"BirdietoBogeyRatio",2014
5,5,"Jim Furyk",84,1.61,280,174,"BirdietoBogeyRatio",2014
6,6,"Bubba Watson",76,1.6,300,188,"BirdietoBogeyRatio",2014
7,7,"Jimmy Walker",98,1.55,406,262,"BirdietoBogeyRatio",2014
8,8,"Matt Kuchar",91,1.51,342,226,"BirdietoBogeyRatio",2014
9,9,"Keegan Bradley",89,1.49,342,229,"BirdietoBogeyRatio",2014
10,10,"Kevin Na",94,1.48,357,241,"BirdietoBogeyRatio",2014
11,11,"Justin Rose",70,1.46,268,184,"BirdietoBogeyRatio",2014
12,12,"Graham DeLaet",80,1.45,304,210,"BirdietoBogeyRatio",2014
13,13,"Rickie Fowler",91,1.44,334,232,"BirdietoBogeyRatio",2014
14,14,"Jason Day",54,1.43,173,121,"BirdietoBogeyRatio",2014
14,14,"Chris Stroud",88,1.43,344,240,"BirdietoBogeyRatio",2014
16,16,"Zach Johnson",97,1.42,353,249,"BirdietoBogeyRatio",2014
16,16,"Jerry Kelly",80,1.42,296,208,"BirdietoBogeyRatio",2014
16,16,"Charl Schwartzel",64,1.42,255,180,"BirdietoBogeyRatio",2014
19,19,"Charley Hoffman",93,1.41,368,261,"BirdietoBogeyRatio",2014
20,20,"Charles Howell III",106,1.4,401,286,"BirdietoBogeyRatio",2014
20,20,"Jason Kokrak",65,1.4,254,182,"BirdietoBogeyRatio",2014
22,22,"Russell Knox",92,1.38,321,233,"BirdietoBogeyRatio",2014
22,22,"David Toms",64,1.38,224,162,"BirdietoBogeyRatio",2014
24,24,"Harris English",95,1.37,359,262,"BirdietoBogeyRatio",2014
24,24,"Bill Haas",107,1.37,383,280,"BirdietoBogeyRatio",2014
24,24,"Phil Mickelson",71,1.37,270,197,"BirdietoBogeyRatio",2014
24,24,"Ryan Moore",86,1.37,328,240,"BirdietoBogeyRatio",2014
24,24,"Ryan Palmer",85,1.37,347,253,"BirdietoBogeyRatio",2014
24,24,"Jordan Spieth",102,1.37,393,287,"BirdietoBogeyRatio",2014
30,30,"Graeme McDowell",66,1.36,230,169,"BirdietoBogeyRatio",2014
31,31,"Kevin Chappell",100,1.35,374,278,"BirdietoBogeyRatio",2014
31,31,"Chris Kirk",105,1.35,392,291,"BirdietoBogeyRatio",2014
31,31,"John Senden",99,1.35,350,259,"BirdietoBogeyRatio",2014
34,34,"Gary Woodland",93,1.34,344,256,"BirdietoBogeyRatio",2014
35,35,"Brendon Todd",108,1.33,389,292,"BirdietoBogeyRatio",2014
36,36,"David Hearn",97,1.31,338,258,"BirdietoBogeyRatio",2014
36,36,"Billy Horschel",92,1.31,337,257,"BirdietoBogeyRatio",2014
36,36,"Brooks Koepka",56,1.31,222,169,"BirdietoBogeyRatio",2014
39,39,"George McNeill",79,1.29,302,235,"BirdietoBogeyRatio",2014
39,39,"Brian Stuard",91,1.29,327,254,"BirdietoBogeyRatio",2014
41,41,"Chad Campbell",57,1.28,172,134,"BirdietoBogeyRatio",2014
41,41,"Ben Martin",80,1.28,288,225,"BirdietoBogeyRatio",2014
41,41,"Hideki Matsuyama",82,1.28,319,250,"BirdietoBogeyRatio",2014
41,41,"Henrik Stenson",56,1.28,217,169,"BirdietoBogeyRatio",2014
45,45,"Brendan Steele",89,1.27,316,249,"BirdietoBogeyRatio",2014
45,45,"Andrew Svoboda",77,1.27,269,212,"BirdietoBogeyRatio",2014
47,47,"Paul Casey",56,1.26,215,170,"BirdietoBogeyRatio",2014
47,47,"Luke Guthrie",85,1.26,318,252,"BirdietoBogeyRatio",2014
47,47,"Brian Harman",111,1.26,403,320,"BirdietoBogeyRatio",2014
47,47,"Ryo Ishikawa",75,1.26,299,237,"BirdietoBogeyRatio",2014
47,47,"Scott Langley",95,1.26,327,260,"BirdietoBogeyRatio",2014
47,47,"Seung Yul Noh",92,1.26,329,261,"BirdietoBogeyRatio",2014
47,47,"Jeff Overton",80,1.26,281,223,"BirdietoBogeyRatio",2014
47,47,"Webb Simpson",87,1.26,321,254,"BirdietoBogeyRatio",2014
47,47,"Daniel Summerhays",98,1.26,350,277,"BirdietoBogeyRatio",2014
47,47,"Camilo Villegas",95,1.26,358,284,"BirdietoBogeyRatio",2014
57,57,"Ricky Barnes",92,1.25,314,252,"BirdietoBogeyRatio",2014
58,58,"Robert Garrigus",80,1.24,317,256,"BirdietoBogeyRatio",2014
58,58,"Justin Hicks",103,1.24,346,278,"BirdietoBogeyRatio",2014
58,58,"Kevin Kisner",85,1.24,312,251,"BirdietoBogeyRatio",2014
58,58,"Robert Streb",75,1.24,267,216,"BirdietoBogeyRatio",2014
58,58,"Cameron Tringale",111,1.24,382,308,"BirdietoBogeyRatio",2014
63,63,"Scott Brown",100,1.23,368,300,"BirdietoBogeyRatio",2014
63,63,"Freddie Jacobson",91,1.23,322,262,"BirdietoBogeyRatio",2014
63,63,"Marc Leishman",81,1.23,295,240,"BirdietoBogeyRatio",2014
63,63,"William McGirt",96,1.23,341,278,"BirdietoBogeyRatio",2014
63,63,"Kevin Stadler",90,1.23,332,270,"BirdietoBogeyRatio",2014
68,68,"Brad Fritsch",50,1.22,171,140,"BirdietoBogeyRatio",2014
68,68,"Bo Van Pelt",83,1.22,292,240,"BirdietoBogeyRatio",2014
70,70,"Stuart Appleby",92,1.21,328,272,"BirdietoBogeyRatio",2014
70,70,"Bud Cauley",56,1.21,196,162,"BirdietoBogeyRatio",2014
70,70,"Michael Thompson",74,1.21,274,226,"BirdietoBogeyRatio",2014
70,70,"Jhonattan Vegas",77,1.21,263,217,"BirdietoBogeyRatio",2014
74,74,"Will Ma Kenzie",82,1.2,307,256,"BirdietoBogeyRatio",2014
75,75,"Pat Perez",84,1.19,293,246,"BirdietoBogeyRatio",2014
76,76,"Danny Lee",84,1.18,300,255,"BirdietoBogeyRatio",2014
76,76,"Carl Pettersson",91,1.18,325,275,"BirdietoBogeyRatio",2014
76,76,"Patrick Reed",92,1.18,328,277,"BirdietoBogeyRatio",2014
76,76,"Will Wilcox",51,1.18,165,140,"BirdietoBogeyRatio",2014
80,80,"Morgan Hoffmann",103,1.17,375,320,"BirdietoBogeyRatio",2014
80,80,"Brandt Snedeker",89,1.17,310,265,"BirdietoBogeyRatio",2014
82,82,"Matt Every",85,1.16,314,271,"BirdietoBogeyRatio",2014
82,82,"Brice Garnett",92,1.16,299,258,"BirdietoBogeyRatio",2014
82,82,"Bryce Molder",77,1.16,243,210,"BirdietoBogeyRatio",2014
82,82,"Shawn Stefani",60,1.16,205,176,"BirdietoBogeyRatio",2014
86,86,"Retief Goosen",94,1.15,299,259,"BirdietoBogeyRatio",2014
86,86,"Billy Hurley III",86,1.15,276,239,"BirdietoBogeyRatio",2014
88,88,"Jason Bohn",81,1.14,283,249,"BirdietoBogeyRatio",2014
88,88,"Ted Potter Jr",68,1.14,209,184,"BirdietoBogeyRatio",2014
88,88,"Tyrone Van Aswegen",79,1.14,274,241,"BirdietoBogeyRatio",2014
88,88,"Nick Watney",80,1.14,270,237,"BirdietoBogeyRatio",2014
88,88,"Lee Westwood",57,1.14,212,186,"BirdietoBogeyRatio",2014
93,93,"Sangmoon Bae",76,1.13,287,254,"BirdietoBogeyRatio",2014
93,93,"Jonathan Byrd",76,1.13,248,219,"BirdietoBogeyRatio",2014
93,93,"Luke Donald",57,1.13,194,171,"BirdietoBogeyRatio",2014
93,93,"Martin Flores",85,1.13,291,258,"BirdietoBogeyRatio",2014
93,93,"Matt Jones",83,1.13,299,264,"BirdietoBogeyRatio",2014
93,93,"Martin Kaymer",65,1.13,242,215,"BirdietoBogeyRatio",2014
93,93,"Martin Laird",66,1.13,225,200,"BirdietoBogeyRatio",2014
93,93,"Hunter Mahan",88,1.13,298,264,"BirdietoBogeyRatio",2014
93,93,"Heath Slocum",71,1.13,225,199,"BirdietoBogeyRatio",2014
93,93,"Tim Wilkinson",86,1.13,264,234,"BirdietoBogeyRatio",2014
103,103,"Aaron Baddeley",74,1.12,257,230,"BirdietoBogeyRatio",2014
103,103,"Tim Clark",75,1.12,254,226,"BirdietoBogeyRatio",2014
103,103,"JB Holmes",86,1.12,323,288,"BirdietoBogeyRatio",2014
103,103,"Troy Merritt",62,1.12,216,193,"BirdietoBogeyRatio",2014
103,103,"Ian Poulter",57,1.12,207,185,"BirdietoBogeyRatio",2014
108,108,"Erik Compton",88,1.11,303,274,"BirdietoBogeyRatio",2014
108,108,"Brian Davis",93,1.11,322,291,"BirdietoBogeyRatio",2014
108,108,"Jamie Lovemark",64,1.11,215,193,"BirdietoBogeyRatio",2014
108,108,"Wes Roach",67,1.11,238,214,"BirdietoBogeyRatio",2014
108,108,"Andres Romero",81,1.11,281,253,"BirdietoBogeyRatio",2014
113,113,"Jonas Blixt",64,1.1,215,196,"BirdietoBogeyRatio",2014
113,113,"Stewart Cink",91,1.1,316,287,"BirdietoBogeyRatio",2014
113,113,"Brendon de Jonge",109,1.1,366,334,"BirdietoBogeyRatio",2014
113,113,"Ken Duke",80,1.1,264,239,"BirdietoBogeyRatio",2014
113,113,"Spencer Levin",59,1.1,193,175,"BirdietoBogeyRatio",2014
118,118,"Ben Crane",81,1.09,268,245,"BirdietoBogeyRatio",2014
118,118,"Jason Dufner",57,1.09,202,186,"BirdietoBogeyRatio",2014
118,118,"Ernie Els",85,1.09,267,246,"BirdietoBogeyRatio",2014
118,118,"Michael Putnam",106,1.09,349,321,"BirdietoBogeyRatio",2014
122,122,"Robert Allenby",83,1.08,267,247,"BirdietoBogeyRatio",2014
122,122,"JJ Henry",91,1.08,266,247,"BirdietoBogeyRatio",2014
122,122,"Hudson Swafford",75,1.08,243,225,"BirdietoBogeyRatio",2014
122,122,"Josh Teater",90,1.08,286,265,"BirdietoBogeyRatio",2014
126,126,"Charlie Beljan",76,1.07,260,244,"BirdietoBogeyRatio",2014
