"ProximitytoHole_RANKTHISWEEK_2007","ProximitytoHole_RANKLASTWEEK_2007","ProximitytoHole_PLAYERNAME_2007","ProximitytoHole_ROUNDS_2007","ProximitytoHole_AVG_2007","ProximitytoHole_TOTALDISTANCEFEET_2007","ProximitytoHole_OFATTEMPTS_2007","ProximitytoHole_GIRRANK_2007","stat_name","year"
1,1,"Tim Clark",66,NA,30292.5,949,176,"ProximitytoHole",2007
1,1,"Heath Slocum",101,NA,53278.417,1668,36,"ProximitytoHole",2007
3,3,"Tiger Woods",63,NA,24781.833,770,1,"ProximitytoHole",2007
4,4,"Jim Furyk",84,NA,38247.917,1182,6,"ProximitytoHole",2007
5,5,"Joey Sindelar",75,NA,39032.667,1205,30,"ProximitytoHole",2007
6,6,"Steve Stricker",81,NA,37966.167,1163,55,"ProximitytoHole",2007
7,7,"Joe Durant",88,NA,43035.583,1310,12,"ProximitytoHole",2007
8,8,"Fred Funk",65,NA,31397.917,951,171,"ProximitytoHole",2007
9,9,"Tommy Armour III",81,NA,40826.75,1233,5,"ProximitytoHole",2007
10,10,"Vaughn Taylor",91,NA,42689.25,1285,120,"ProximitytoHole",2007
11,11,"Brian Gay",107,NA,57899.333,1735,153,"ProximitytoHole",2007
12,12,"Mark Brooks",53,NA,24475.75,731,92,"ProximitytoHole",2007
12,12,"Darron Stiles",65,NA,31843.917,950,71,"ProximitytoHole",2007
14,14,"Jay Williamson",50,NA,28966.333,862,40,"ProximitytoHole",2007
15,15,"Robert Gamez",88,NA,45921.25,1359,57,"ProximitytoHole",2007
15,15,"Justin Leonard",95,NA,49524.083,1466,94,"ProximitytoHole",2007
15,15,"Brandt Snedeker",105,NA,52012.5,1541,103,"ProximitytoHole",2007
18,18,"Alex Cejka",80,NA,45001.333,1329,6,"ProximitytoHole",2007
19,19,"Jose Coceres",50,NA,25579.417,754,168,"ProximitytoHole",2007
19,19,"Tom Lehman",62,NA,29656.583,874,16,"ProximitytoHole",2007
19,19,"Jeff Sluman",60,NA,25487.083,751,181,"ProximitytoHole",2007
22,22,"Bob Heintz",85,NA,43624.333,1284,146,"ProximitytoHole",2007
23,23,"Ken Duke",112,NA,57840,1695,62,"ProximitytoHole",2007
23,23,"Ernie Els",59,NA,26869.167,789,98,"ProximitytoHole",2007
25,25,"Jerry Kelly",101,NA,45958.333,1341,93,"ProximitytoHole",2007
25,25,"Rocco Mediate",72,NA,41020.333,1198,90,"ProximitytoHole",2007
25,25,"Kenny Perry",83,NA,46187,1347,20,"ProximitytoHole",2007
25,25,"Scott Verplank",82,NA,36116.583,1055,114,"ProximitytoHole",2007
25,25,"Boo Weekley",101,NA,47976.167,1401,54,"ProximitytoHole",2007
30,30,"Stephen Ames",81,NA,38121.333,1110,86,"ProximitytoHole",2007
30,30,"Craig Barlow",52,NA,27063.5,789,22,"ProximitytoHole",2007
30,30,"Bart Bryant",87,NA,45507.083,1327,39,"ProximitytoHole",2007
30,30,"Freddie Jacobson",70,NA,41777.083,1218,46,"ProximitytoHole",2007
30,30,"David Toms",80,NA,38667.083,1127,128,"ProximitytoHole",2007
35,35,"Robert Allenby",90,NA,46233.833,1342,15,"ProximitytoHole",2007
35,35,"Geoff Ogilvy",84,NA,39372.583,1145,158,"ProximitytoHole",2007
35,35,"Ted Purdy",102,NA,53570.583,1555,21,"ProximitytoHole",2007
38,38,"Craig Bowden",78,NA,41435.917,1201,88,"ProximitytoHole",2007
38,38,"Mark Calcavecchia",93,NA,45153.833,1309,121,"ProximitytoHole",2007
38,38,"Gavin Coles",87,NA,47457.75,1376,161,"ProximitytoHole",2007
38,38,"Justin Rose",63,NA,24144.417,700,58,"ProximitytoHole",2007
38,38,"Kirk Triplett",77,NA,42076.583,1220,62,"ProximitytoHole",2007
43,43,"Matt Kuchar",85,NA,43970.583,1271,84,"ProximitytoHole",2007
44,44,"Briny Baird",115,NA,65402.667,1886,8,"ProximitytoHole",2007
44,44,"Chad Campbell",96,NA,45306.833,1308,129,"ProximitytoHole",2007
44,44,"Luke Donald",69,NA,31151.917,898,145,"ProximitytoHole",2007
44,44,"John Mallinger",96,NA,54076.417,1559,152,"ProximitytoHole",2007
44,44,"Shaun Micheel",91,NA,43299.833,1250,52,"ProximitytoHole",2007
44,44,"Jeff Quinney",95,NA,53342.5,1538,61,"ProximitytoHole",2007
50,50,"Michael Allen",74,NA,39703.333,1143,32,"ProximitytoHole",2007
50,50,"Jason Bohn",57,NA,32841.25,944,82,"ProximitytoHole",2007
