"PGAChampionshipPoints_RANKTHISWEEK_2005","PGAChampionshipPoints_RANKLASTWEEK_2005","PGAChampionshipPoints_PLAYERNAME_2005","PGAChampionshipPoints_EVENTS_2005","PGAChampionshipPoints_POINTS_2005","stat_name","year"
1,1,"Tiger Woods",6,3621350,"PGAChampionshipPoints",2005
2,2,"Carl Pettersson",11,1793681,"PGAChampionshipPoints",2005
3,3,"Olin Browne",12,1788753,"PGAChampionshipPoints",2005
4,4,"Bart Bryant",9,1559915,"PGAChampionshipPoints",2005
5,5,"Retief Goosen",6,1446830,"PGAChampionshipPoints",2005
6,6,"Phil Mickelson",6,1430830,"PGAChampionshipPoints",2005
7,7,"Brandt Jobe",10,1318898,"PGAChampionshipPoints",2005
8,8,"Mark Calcavecchia",9,1300752,"PGAChampionshipPoints",2005
9,9,"Vaughn Taylor",10,1204845,"PGAChampionshipPoints",2005
10,10,"Vijay Singh",8,1195133,"PGAChampionshipPoints",2005
11,11,"Ben Crane",9,1147010,"PGAChampionshipPoints",2005
12,12,"Chris DiMarco",8,1101836,"PGAChampionshipPoints",2005
13,13,"Lucas Glover",10,1031121,"PGAChampionshipPoints",2005
14,14,"KJ Choi",8,1019350,"PGAChampionshipPoints",2005
15,15,"Jason Bohn",9,992028,"PGAChampionshipPoints",2005
16,16,"Tom Pernice Jr",11,981039,"PGAChampionshipPoints",2005
17,17,"Charles Howell III",11,977477,"PGAChampionshipPoints",2005
18,18,"Chad Campbell",8,952153,"PGAChampionshipPoints",2005
19,19,"Shigeki Maruyama",11,942998,"PGAChampionshipPoints",2005
20,20,"Davis Love III",8,942383,"PGAChampionshipPoints",2005
21,21,"John Daly",7,879583,"PGAChampionshipPoints",2005
22,22,"Brad Faxon",4,873063,"PGAChampionshipPoints",2005
23,23,"Jason Gore",7,850860,"PGAChampionshipPoints",2005
24,24,"Justin Rose",9,849881,"PGAChampionshipPoints",2005
25,25,"Wes Short Jr",7,844688,"PGAChampionshipPoints",2005
26,26,"Tim Herron",9,837519,"PGAChampionshipPoints",2005
27,27,"Jeff Brehaut",10,801640,"PGAChampionshipPoints",2005
28,28,"Jim Furyk",6,778850,"PGAChampionshipPoints",2005
29,29,"Heath Slocum",9,762876,"PGAChampionshipPoints",2005
