"BirdieorBetterPercentage_RANKTHISWEEK_2014","BirdieorBetterPercentage_RANKLASTWEEK_2014","BirdieorBetterPercentage_PLAYERNAME_2014","BirdieorBetterPercentage_ROUNDS_2014","BirdieorBetterPercentage_Pct_2014","BirdieorBetterPercentage_TOTALBIRDIES_2014","BirdieorBetterPercentage_TOTALHOLES_2014","BirdieorBetterPercentage_GIRRANK_2014","stat_name","year"
1,1,"Rory McIlroy",66,26.22,302,1152,6,"BirdieorBetterPercentage",2014
2,2,"Adam Scott",68,24.18,296,1224,10,"BirdieorBetterPercentage",2014
3,3,"Jimmy Walker",98,23.5,406,1728,28,"BirdieorBetterPercentage",2014
4,4,"Dustin Johnson",58,23.39,240,1026,21,"BirdieorBetterPercentage",2014
5,5,"Charl Schwartzel",64,22.85,255,1116,126,"BirdieorBetterPercentage",2014
6,6,"Bubba Watson",76,22.83,300,1314,24,"BirdieorBetterPercentage",2014
7,7,"Ryan Palmer",85,22.68,347,1530,46,"BirdieorBetterPercentage",2014
8,8,"Henrik Stenson",56,22.33,217,972,8,"BirdieorBetterPercentage",2014
9,9,"Jordan Spieth",102,22.28,393,1764,152,"BirdieorBetterPercentage",2014
10,10,"Ryo Ishikawa",75,22.15,299,1350,92,"BirdieorBetterPercentage",2014
10,10,"Hideki Matsuyama",82,22.15,319,1440,116,"BirdieorBetterPercentage",2014
12,12,"Brooks Koepka",56,22.02,222,1008,90,"BirdieorBetterPercentage",2014
13,13,"Robert Garrigus",80,22.01,317,1440,84,"BirdieorBetterPercentage",2014
14,14,"Charley Hoffman",93,21.98,368,1674,35,"BirdieorBetterPercentage",2014
15,15,"Sergio Garcia",61,21.93,229,1044,14,"BirdieorBetterPercentage",2014
16,16,"Justin Rose",70,21.9,268,1224,41,"BirdieorBetterPercentage",2014
17,17,"Rickie Fowler",91,21.83,334,1530,100,"BirdieorBetterPercentage",2014
18,18,"Chris Stroud",88,21.72,344,1584,80,"BirdieorBetterPercentage",2014
19,19,"Jason Kokrak",65,21.71,254,1170,74,"BirdieorBetterPercentage",2014
20,20,"Ryan Moore",86,21.69,328,1512,23,"BirdieorBetterPercentage",2014
21,21,"Harris English",95,21.68,359,1656,17,"BirdieorBetterPercentage",2014
22,22,"Kevin Chappell",100,21.64,374,1728,28,"BirdieorBetterPercentage",2014
23,23,"Keegan Bradley",89,21.59,342,1584,46,"BirdieorBetterPercentage",2014
23,23,"Matt Kuchar",91,21.59,342,1584,40,"BirdieorBetterPercentage",2014
25,25,"Graham DeLaet",80,21.38,304,1422,3,"BirdieorBetterPercentage",2014
26,26,"Paul Casey",56,21.33,215,1008,65,"BirdieorBetterPercentage",2014
27,27,"George McNeill",79,21.24,302,1422,61,"BirdieorBetterPercentage",2014
28,28,"Webb Simpson",87,21.23,321,1512,77,"BirdieorBetterPercentage",2014
29,29,"Phil Mickelson",71,21.13,270,1278,79,"BirdieorBetterPercentage",2014
30,30,"Kevin Na",94,21.1,357,1692,98,"BirdieorBetterPercentage",2014
31,31,"Morgan Hoffmann",103,21.04,375,1782,147,"BirdieorBetterPercentage",2014
31,31,"Andrew Loupe",65,21.04,231,1098,141,"BirdieorBetterPercentage",2014
33,33,"Lee Westwood",57,21.03,212,1008,123,"BirdieorBetterPercentage",2014
34,34,"Charles Howell III",106,21.02,401,1908,26,"BirdieorBetterPercentage",2014
35,35,"Martin Kaymer",65,21.01,242,1152,99,"BirdieorBetterPercentage",2014
36,36,"Wes Roach",67,20.99,238,1134,112,"BirdieorBetterPercentage",2014
37,37,"Sangmoon Bae",76,20.98,287,1368,146,"BirdieorBetterPercentage",2014
38,38,"Chris Kirk",105,20.94,392,1872,129,"BirdieorBetterPercentage",2014
38,38,"Camilo Villegas",95,20.94,358,1710,39,"BirdieorBetterPercentage",2014
40,40,"Robert Streb",75,20.89,267,1278,69,"BirdieorBetterPercentage",2014
41,41,"Brian Stuard",91,20.88,327,1566,122,"BirdieorBetterPercentage",2014
42,42,"JB Holmes",86,20.87,323,1548,163,"BirdieorBetterPercentage",2014
43,43,"Danny Lee",84,20.83,300,1440,104,"BirdieorBetterPercentage",2014
44,44,"Billy Horschel",92,20.8,337,1620,4,"BirdieorBetterPercentage",2014
44,44,"Will Ma Kenzie",82,20.8,307,1476,70,"BirdieorBetterPercentage",2014
46,46,"Jason Dufner",57,20.78,202,972,59,"BirdieorBetterPercentage",2014
46,46,"Luke Guthrie",85,20.78,318,1530,126,"BirdieorBetterPercentage",2014
48,48,"Angel Cabrera",69,20.77,258,1242,90,"BirdieorBetterPercentage",2014
48,48,"Gary Woodland",93,20.77,344,1656,51,"BirdieorBetterPercentage",2014
50,50,"Kevin Stadler",90,20.72,332,1602,9,"BirdieorBetterPercentage",2014
51,51,"Brendan Steele",89,20.65,316,1530,53,"BirdieorBetterPercentage",2014
52,52,"Graeme McDowell",66,20.61,230,1116,65,"BirdieorBetterPercentage",2014
53,53,"Chesson Hadley",84,20.57,311,1512,143,"BirdieorBetterPercentage",2014
53,53,"Michael Thompson",74,20.57,274,1332,68,"BirdieorBetterPercentage",2014
55,55,"Jerry Kelly",80,20.56,296,1440,71,"BirdieorBetterPercentage",2014
56,56,"Jeff Overton",80,20.54,281,1368,64,"BirdieorBetterPercentage",2014
56,56,"Ian Poulter",57,20.54,207,1008,153,"BirdieorBetterPercentage",2014
58,58,"Matt Every",85,20.52,314,1530,134,"BirdieorBetterPercentage",2014
59,59,"Kevin Streelman",79,20.51,288,1404,137,"BirdieorBetterPercentage",2014
60,60,"Marc Leishman",81,20.49,295,1440,80,"BirdieorBetterPercentage",2014
61,61,"Scott Brown",100,20.44,368,1800,89,"BirdieorBetterPercentage",2014
62,62,"Zach Johnson",97,20.43,353,1728,31,"BirdieorBetterPercentage",2014
63,63,"Kevin Kisner",85,20.39,312,1530,76,"BirdieorBetterPercentage",2014
64,64,"Andres Romero",81,20.27,281,1386,168,"BirdieorBetterPercentage",2014
65,65,"Bill Haas",107,20.26,383,1890,15,"BirdieorBetterPercentage",2014
66,66,"Stuart Appleby",92,20.25,328,1620,145,"BirdieorBetterPercentage",2014
66,66,"Patrick Reed",92,20.25,328,1620,124,"BirdieorBetterPercentage",2014
68,68,"Rory Sabbatini",82,20.23,284,1404,74,"BirdieorBetterPercentage",2014
69,69,"Brian Harman",111,20.17,403,1998,111,"BirdieorBetterPercentage",2014
70,70,"Martin Laird",66,20.16,225,1116,58,"BirdieorBetterPercentage",2014
71,71,"David Toms",64,20.07,224,1116,13,"BirdieorBetterPercentage",2014
72,72,"Charlie Beljan",76,20.06,260,1296,82,"BirdieorBetterPercentage",2014
73,73,"Tommy Gainey",73,20.05,249,1242,117,"BirdieorBetterPercentage",2014
74,74,"Jason Day",54,20.02,173,864,118,"BirdieorBetterPercentage",2014
75,75,"Matt Jones",83,20.01,299,1494,137,"BirdieorBetterPercentage",2014
75,75,"Brendon Todd",108,20.01,389,1944,119,"BirdieorBetterPercentage",2014
77,77,"Ben Martin",80,20,288,1440,62,"BirdieorBetterPercentage",2014
77,77,"Nick Watney",80,20,270,1350,32,"BirdieorBetterPercentage",2014
79,79,"Russell Henley",92,19.99,331,1656,156,"BirdieorBetterPercentage",2014
80,80,"Jamie Lovemark",64,19.91,215,1080,94,"BirdieorBetterPercentage",2014
81,81,"Seung Yul Noh",92,19.87,329,1656,38,"BirdieorBetterPercentage",2014
82,82,"Carl Pettersson",91,19.84,325,1638,46,"BirdieorBetterPercentage",2014
82,82,"Daniel Summerhays",98,19.84,350,1764,42,"BirdieorBetterPercentage",2014
84,84,"Aaron Baddeley",74,19.83,257,1296,174,"BirdieorBetterPercentage",2014
85,85,"Ricky Barnes",92,19.82,314,1584,92,"BirdieorBetterPercentage",2014
86,86,"Brandt Snedeker",89,19.8,310,1566,136,"BirdieorBetterPercentage",2014
87,87,"Brad Fritsch",50,19.79,171,864,87,"BirdieorBetterPercentage",2014
88,88,"Steven Bowditch",93,19.77,331,1674,133,"BirdieorBetterPercentage",2014
89,89,"William McGirt",96,19.73,341,1728,105,"BirdieorBetterPercentage",2014
90,90,"Freddie Jacobson",91,19.66,322,1638,151,"BirdieorBetterPercentage",2014
91,91,"John Senden",99,19.64,350,1782,25,"BirdieorBetterPercentage",2014
92,92,"Bo Van Pelt",83,19.54,292,1494,16,"BirdieorBetterPercentage",2014
93,93,"Scott Langley",95,19.53,327,1674,114,"BirdieorBetterPercentage",2014
94,94,"Tyrone Van Aswegen",79,19.52,274,1404,113,"BirdieorBetterPercentage",2014
95,95,"Hunter Mahan",88,19.48,298,1530,46,"BirdieorBetterPercentage",2014
95,95,"Jhonattan Vegas",77,19.48,263,1350,7,"BirdieorBetterPercentage",2014
97,97,"Bud Cauley",56,19.44,196,1008,30,"BirdieorBetterPercentage",2014
97,97,"Jim Furyk",84,19.44,280,1440,12,"BirdieorBetterPercentage",2014
99,99,"Justin Hicks",103,19.42,346,1782,2,"BirdieorBetterPercentage",2014
100,100,"Jason Bohn",81,19.41,283,1458,97,"BirdieorBetterPercentage",2014
100,100,"Andrew Svoboda",77,19.41,269,1386,18,"BirdieorBetterPercentage",2014
102,102,"Russell Knox",92,19.38,321,1656,22,"BirdieorBetterPercentage",2014
102,102,"Pat Perez",84,19.38,293,1512,107,"BirdieorBetterPercentage",2014
104,104,"David Hearn",97,19.36,338,1746,55,"BirdieorBetterPercentage",2014
105,105,"Troy Merritt",62,19.35,216,1116,87,"BirdieorBetterPercentage",2014
106,106,"Stewart Cink",91,19.29,316,1638,57,"BirdieorBetterPercentage",2014
107,107,"Jonas Blixt",64,19.27,215,1116,162,"BirdieorBetterPercentage",2014
108,108,"Luke Donald",57,19.25,194,1008,144,"BirdieorBetterPercentage",2014
109,109,"Brian Davis",93,19.24,322,1674,160,"BirdieorBetterPercentage",2014
110,110,"Louis Oosthuizen",50,19.2,159,828,54,"BirdieorBetterPercentage",2014
111,111,"Jonathan Byrd",76,19.14,248,1296,95,"BirdieorBetterPercentage",2014
111,111,"Greg Chalmers",85,19.14,279,1458,173,"BirdieorBetterPercentage",2014
113,113,"Erik Compton",88,19.13,303,1584,142,"BirdieorBetterPercentage",2014
114,114,"Cameron Tringale",111,19.12,382,1998,45,"BirdieorBetterPercentage",2014
115,115,"David Lingmerth",80,19.08,261,1368,135,"BirdieorBetterPercentage",2014
116,116,"KJ Choi",80,19.03,274,1440,154,"BirdieorBetterPercentage",2014
117,117,"Martin Flores",85,19.02,291,1530,52,"BirdieorBetterPercentage",2014
118,118,"James Driscoll",71,19.01,243,1278,164,"BirdieorBetterPercentage",2014
118,118,"Michael Putnam",106,19.01,349,1836,36,"BirdieorBetterPercentage",2014
118,118,"Hudson Swafford",75,19.01,243,1278,11,"BirdieorBetterPercentage",2014
121,121,"Shawn Stefani",60,18.98,205,1080,60,"BirdieorBetterPercentage",2014
122,122,"Gonzalo Fdez Castano",83,18.9,279,1476,166,"BirdieorBetterPercentage",2014
123,123,"Geoff Ogilvy",84,18.89,272,1440,100,"BirdieorBetterPercentage",2014
124,124,"Brice Garnett",92,18.88,299,1584,83,"BirdieorBetterPercentage",2014
125,125,"Davis Love III",74,18.83,244,1296,100,"BirdieorBetterPercentage",2014
126,126,"Tim Clark",75,18.81,254,1350,110,"BirdieorBetterPercentage",2014
127,127,"Ken Duke",80,18.8,264,1404,34,"BirdieorBetterPercentage",2014
128,128,"Ernie Els",85,18.78,267,1422,159,"BirdieorBetterPercentage",2014
129,129,"Will Wilcox",51,18.71,165,882,42,"BirdieorBetterPercentage",2014
130,130,"Brendon de Jonge",109,18.65,366,1962,103,"BirdieorBetterPercentage",2014
131,131,"John Merrick",87,18.61,278,1494,19,"BirdieorBetterPercentage",2014
131,131,"Kyle Stanley",87,18.61,278,1494,44,"BirdieorBetterPercentage",2014
133,133,"Bryce Molder",77,18.49,243,1314,121,"BirdieorBetterPercentage",2014
134,134,"Retief Goosen",94,18.46,299,1620,124,"BirdieorBetterPercentage",2014
135,135,"Ben Crane",81,18.38,268,1458,130,"BirdieorBetterPercentage",2014
135,135,"Richard Lee",80,18.38,258,1404,171,"BirdieorBetterPercentage",2014
137,137,"Lucas Glover",68,18.35,218,1188,37,"BirdieorBetterPercentage",2014
138,138,"Ben Curtis",77,18.34,241,1314,150,"BirdieorBetterPercentage",2014
139,139,"Robert Allenby",83,18.31,267,1458,27,"BirdieorBetterPercentage",2014
140,140,"Troy Matteson",62,18.3,191,1044,155,"BirdieorBetterPercentage",2014
141,141,"Vijay Singh",83,18.27,273,1494,73,"BirdieorBetterPercentage",2014
142,142,"Jim Herman",62,18.2,190,1044,55,"BirdieorBetterPercentage",2014
143,143,"Spencer Levin",59,18.17,193,1062,109,"BirdieorBetterPercentage",2014
143,143,"Jim Renner",61,18.17,193,1062,148,"BirdieorBetterPercentage",2014
145,145,"Scott Stallings",77,18.13,248,1368,140,"BirdieorBetterPercentage",2014
146,146,"Heath Slocum",71,18.12,225,1242,33,"BirdieorBetterPercentage",2014
147,147,"Charlie Wi",72,18.1,228,1260,165,"BirdieorBetterPercentage",2014
148,148,"Woody Austin",63,18.08,192,1062,167,"BirdieorBetterPercentage",2014
149,149,"James Hahn",82,18.06,260,1440,120,"BirdieorBetterPercentage",2014
149,149,"Josh Teater",90,18.06,286,1584,86,"BirdieorBetterPercentage",2014
151,151,"Chad Campbell",57,18.03,172,954,1,"BirdieorBetterPercentage",2014
152,152,"Sean OHair",77,17.89,248,1386,132,"BirdieorBetterPercentage",2014
152,152,"Tim Wilkinson",86,17.89,264,1476,157,"BirdieorBetterPercentage",2014
154,154,"Chad Collins",78,17.87,238,1332,170,"BirdieorBetterPercentage",2014
154,154,"John Huh",87,17.87,267,1494,106,"BirdieorBetterPercentage",2014
156,156,"Justin Leonard",75,17.85,241,1350,176,"BirdieorBetterPercentage",2014
157,157,"Billy Hurley III",86,17.83,276,1548,63,"BirdieorBetterPercentage",2014
158,158,"Briny Baird",50,17.78,160,900,130,"BirdieorBetterPercentage",2014
159,159,"YE Yang",79,17.52,246,1404,158,"BirdieorBetterPercentage",2014
160,160,"John Peterson",62,17.5,189,1080,71,"BirdieorBetterPercentage",2014
161,161,"Trevor Immelman",84,17.36,250,1440,77,"BirdieorBetterPercentage",2014
162,162,"Nicholas Thompson",85,17.35,253,1458,46,"BirdieorBetterPercentage",2014
163,163,"Derek Ernst",80,17.32,237,1368,128,"BirdieorBetterPercentage",2014
164,164,"Bronson La Cassie",51,17.26,146,846,161,"BirdieorBetterPercentage",2014
165,165,"Brian Gay",81,17.23,245,1422,175,"BirdieorBetterPercentage",2014
166,166,"Kevin Tway",64,17.13,185,1080,107,"BirdieorBetterPercentage",2014
167,167,"Ted Potter Jr",68,17.08,209,1224,85,"BirdieorBetterPercentage",2014
168,168,"Roberto Castro",76,17.04,227,1332,169,"BirdieorBetterPercentage",2014
169,169,"JJ Henry",91,16.99,266,1566,5,"BirdieorBetterPercentage",2014
170,170,"Boo Weekley",73,16.98,220,1296,20,"BirdieorBetterPercentage",2014
171,171,"DA Points",75,16.89,222,1314,148,"BirdieorBetterPercentage",2014
172,172,"Jeff Maggert",54,16.67,162,972,67,"BirdieorBetterPercentage",2014
172,172,"Johnson Wagner",69,16.67,195,1170,115,"BirdieorBetterPercentage",2014
172,172,"Mike Weir",69,16.67,195,1170,177,"BirdieorBetterPercentage",2014
175,175,"John Rollins",84,16.46,237,1440,96,"BirdieorBetterPercentage",2014
176,176,"Mark Wilson",69,15.64,183,1170,137,"BirdieorBetterPercentage",2014
177,177,"DH Lee",54,15.22,137,900,172,"BirdieorBetterPercentage",2014
