"Par5Performance_RANKTHISWEEK_2007","Par5Performance_RANKLASTWEEK_2007","Par5Performance_PLAYERNAME_2007","Par5Performance_ROUNDS_2007","Par5Performance_STATUS_2007","Par5Performance_PAR5AVG_2007","Par5Performance_TOTALPAR_2007","stat_name","year"
1,1,"Briny Baird",115,-137,4.63,1845,"Par5Performance",2007
2,2,"Carl Pettersson",111,-134,4.61,1715,"Par5Performance",2007
3,3,"Bill Haas",93,-131,4.56,1500,"Par5Performance",2007
3,3,"Charles Warren",101,-131,4.6,1625,"Par5Performance",2007
5,5,"Vijay Singh",102,-129,4.56,1475,"Par5Performance",2007
6,6,"Steve Marino",106,-128,4.63,1715,"Par5Performance",2007
7,7,"Nathan Green",103,-122,4.62,1600,"Par5Performance",2007
8,8,"Mark Calcavecchia",93,-121,4.57,1420,"Par5Performance",2007
8,8,"Jeff Gove",103,-121,4.65,1705,"Par5Performance",2007
10,10,"Charley Hoffman",97,-120,4.62,1585,"Par5Performance",2007
10,10,"John Senden",97,-120,4.61,1535,"Par5Performance",2007
12,12,"Kent Jones",97,-119,4.64,1635,"Par5Performance",2007
13,13,"Cameron Beckman",96,-118,4.63,1590,"Par5Performance",2007
13,13,"Phil Mickelson",73,-118,4.45,1080,"Par5Performance",2007
13,13,"Joe Ogilvie",102,-118,4.63,1595,"Par5Performance",2007
13,13,"Ted Purdy",102,-118,4.65,1665,"Par5Performance",2007
17,17,"Lucas Glover",98,-117,4.64,1605,"Par5Performance",2007
17,17,"Johnson Wagner",97,-117,4.64,1615,"Par5Performance",2007
19,19,"Tim Petrovic",106,-116,4.65,1645,"Par5Performance",2007
19,19,"Bo Van Pelt",104,-116,4.63,1580,"Par5Performance",2007
21,21,"Charlie Wi",90,-115,4.61,1485,"Par5Performance",2007
22,22,"Daniel Chopra",106,-114,4.68,1785,"Par5Performance",2007
23,23,"Bubba Watson",80,-112,4.58,1320,"Par5Performance",2007
24,24,"Alex Cejka",80,-111,4.57,1300,"Par5Performance",2007
24,24,"Mathias Gronberg",95,-111,4.65,1570,"Par5Performance",2007
24,24,"Ryuji Imada",104,-111,4.67,1690,"Par5Performance",2007
24,24,"Sean OHair",98,-111,4.63,1515,"Par5Performance",2007
24,24,"Tom Pernice Jr",104,-111,4.66,1615,"Par5Performance",2007
29,29,"Will Ma Kenzie",100,-109,4.65,1560,"Par5Performance",2007
30,30,"Billy Mayfair",98,-108,4.64,1480,"Par5Performance",2007
31,31,"Aaron Baddeley",83,-107,4.56,1205,"Par5Performance",2007
31,31,"Kevin Na",84,-107,4.61,1380,"Par5Performance",2007
