"Top10Finishes_RANKTHISWEEK_2014","Top10Finishes_RANKLASTWEEK_2014","Top10Finishes_PLAYERNAME_2014","Top10Finishes_EVENTS_2014","Top10Finishes_TOP10_2014","Top10Finishes_1ST_2014","Top10Finishes_2ND_2014","Top10Finishes_3RD_2014","stat_name","year"
1,1,"Rory McIlroy",17,12,3,2,NA,"Top10Finishes",2014
2,2,"Jim Furyk",21,11,NA,4,NA,"Top10Finishes",2014
2,2,"Matt Kuchar",24,11,1,1,NA,"Top10Finishes",2014
4,4,"Rickie Fowler",26,10,NA,2,2,"Top10Finishes",2014
4,4,"Sergio Garcia",16,10,NA,3,2,"Top10Finishes",2014
4,4,"Adam Scott",17,10,1,NA,1,"Top10Finishes",2014
4,4,"Jimmy Walker",27,10,3,NA,NA,"Top10Finishes",2014
8,8,"Webb Simpson",25,9,1,NA,3,"Top10Finishes",2014
9,9,"Graeme McDowell",17,8,NA,NA,1,"Top10Finishes",2014
9,9,"Ryan Palmer",23,8,NA,2,NA,"Top10Finishes",2014
9,9,"Justin Rose",19,8,1,NA,NA,"Top10Finishes",2014
9,9,"Jordan Spieth",27,8,NA,2,NA,"Top10Finishes",2014
9,9,"Bubba Watson",21,8,2,3,1,"Top10Finishes",2014
14,14,"Graham DeLaet",24,7,NA,2,NA,"Top10Finishes",2014
14,14,"Harris English",28,7,1,NA,NA,"Top10Finishes",2014
14,14,"Dustin Johnson",17,7,1,2,NA,"Top10Finishes",2014
14,14,"Ryan Moore",24,7,1,NA,NA,"Top10Finishes",2014
14,14,"Brendon Todd",29,7,1,NA,NA,"Top10Finishes",2014
19,19,"Keegan Bradley",26,6,NA,1,NA,"Top10Finishes",2014
19,19,"Jason Day",15,6,1,2,NA,"Top10Finishes",2014
19,19,"Matt Every",26,6,1,NA,1,"Top10Finishes",2014
19,19,"Brian Harman",32,6,1,NA,1,"Top10Finishes",2014
19,19,"Charles Howell III",29,6,NA,NA,1,"Top10Finishes",2014
19,19,"Marc Leishman",24,6,NA,1,2,"Top10Finishes",2014
19,19,"Hunter Mahan",25,6,1,NA,NA,"Top10Finishes",2014
19,19,"Kevin Na",27,6,NA,2,1,"Top10Finishes",2014
27,27,"Bill Haas",28,5,NA,1,NA,"Top10Finishes",2014
27,27,"Charley Hoffman",25,5,NA,NA,1,"Top10Finishes",2014
27,27,"Billy Horschel",27,5,2,1,NA,"Top10Finishes",2014
27,27,"Zach Johnson",26,5,1,1,1,"Top10Finishes",2014
27,27,"Chris Kirk",28,5,2,1,NA,"Top10Finishes",2014
27,27,"Will Ma Kenzie",27,5,NA,1,NA,"Top10Finishes",2014
27,27,"Charl Schwartzel",18,5,NA,NA,NA,"Top10Finishes",2014
27,27,"John Senden",27,5,1,NA,NA,"Top10Finishes",2014
27,27,"Gary Woodland",25,5,NA,1,NA,"Top10Finishes",2014
36,36,"Scott Brown",30,4,NA,NA,1,"Top10Finishes",2014
36,36,"Jason Dufner",17,4,NA,1,NA,"Top10Finishes",2014
36,36,"Chesson Hadley",29,4,1,NA,NA,"Top10Finishes",2014
36,36,"Billy Hurley III",26,4,NA,NA,NA,"Top10Finishes",2014
36,36,"Freddie Jacobson",27,4,NA,1,1,"Top10Finishes",2014
36,36,"Martin Kaymer",19,4,2,NA,NA,"Top10Finishes",2014
36,36,"Jerry Kelly",23,4,NA,NA,2,"Top10Finishes",2014
36,36,"Hideki Matsuyama",24,4,1,NA,1,"Top10Finishes",2014
36,36,"William McGirt",29,4,NA,NA,NA,"Top10Finishes",2014
36,36,"George McNeill",24,4,NA,1,NA,"Top10Finishes",2014
36,36,"Carl Pettersson",28,4,NA,NA,1,"Top10Finishes",2014
36,36,"Patrick Reed",28,4,2,NA,NA,"Top10Finishes",2014
36,36,"Brendan Steele",26,4,NA,NA,NA,"Top10Finishes",2014
36,36,"Chris Stroud",25,4,NA,NA,2,"Top10Finishes",2014
36,36,"Brian Stuard",29,4,NA,1,NA,"Top10Finishes",2014
51,51,"Stuart Appleby",29,3,NA,1,NA,"Top10Finishes",2014
51,51,"Jason Bohn",25,3,NA,1,1,"Top10Finishes",2014
51,51,"Tim Clark",26,3,1,1,NA,"Top10Finishes",2014
51,51,"Erik Compton",28,3,NA,1,NA,"Top10Finishes",2014
51,51,"Luke Donald",17,3,NA,1,NA,"Top10Finishes",2014
51,51,"Victor Dubuisson",10,3,NA,1,NA,"Top10Finishes",2014
51,51,"Ernie Els",24,3,NA,NA,NA,"Top10Finishes",2014
51,51,"Brad Fritsch",18,3,NA,NA,NA,"Top10Finishes",2014
