"FairwayProximity_RANKTHISWEEK_2009","FairwayProximity_RANKLASTWEEK_2009","FairwayProximity_PLAYERNAME_2009","FairwayProximity_ROUNDS_2009","FairwayProximity_AVG_2009","FairwayProximity_ATTEMPTS_2009","FairwayProximity_TOTALDISTANCEFEET_2009","FairwayProximity_RELATIVETOPAR_2009","stat_name","year"
1,1,"Tim Clark",81,NA,860,23504.667,-125,"FairwayProximity",2009
2,2,"Jason Bohn",88,NA,1167,32216.833,-99,"FairwayProximity",2009
3,3,"Fred Couples",54,NA,521,14584.333,-49,"FairwayProximity",2009
4,4,"Bryce Molder",69,NA,773,21879.25,-81,"FairwayProximity",2009
5,5,"Tom Lehman",55,NA,510,14596.917,-23,"FairwayProximity",2009
6,6,"Jay Williamson",69,NA,809,23174.333,-35,"FairwayProximity",2009
7,7,"Kevin Stadler",65,NA,717,20613.917,-55,"FairwayProximity",2009
8,8,"Jim Furyk",86,NA,941,27261.583,-117,"FairwayProximity",2009
8,8,"Steve Stricker",81,NA,864,25057.417,-125,"FairwayProximity",2009
10,10,"Kris Blanks",60,NA,660,19169.75,-45,"FairwayProximity",2009
10,10,"Scott Sterling",51,NA,558,16236,-48,"FairwayProximity",2009
10,10,"Tiger Woods",64,NA,646,18782.5,-126,"FairwayProximity",2009
13,13,"Robert Allenby",71,NA,774,22567.333,-48,"FairwayProximity",2009
13,13,"Joe Durant",62,NA,689,20107.917,-49,"FairwayProximity",2009
13,13,"Patrick Sheehan",51,NA,566,16491.917,-65,"FairwayProximity",2009
13,13,"Mike Weir",85,NA,904,26376.5,-115,"FairwayProximity",2009
17,17,"Chad Campbell",90,NA,951,27902.75,-92,"FairwayProximity",2009
18,18,"Zach Johnson",94,NA,1116,32860.583,-142,"FairwayProximity",2009
19,19,"Robert Garrigus",83,NA,874,25886.667,-66,"FairwayProximity",2009
19,19,"Brian Gay",96,NA,1208,35697.083,-108,"FairwayProximity",2009
19,19,"Dean Wilson",81,NA,970,28703.583,-100,"FairwayProximity",2009
22,22,"Ricky Barnes",67,NA,650,19303.25,-19,"FairwayProximity",2009
22,22,"Ernie Els",70,NA,717,21296.417,-71,"FairwayProximity",2009
22,22,"Lee Janzen",74,NA,838,24857.167,-66,"FairwayProximity",2009
22,22,"Dustin Johnson",85,NA,779,23079.583,-81,"FairwayProximity",2009
22,22,"Heath Slocum",95,NA,1245,36953.333,-69,"FairwayProximity",2009
22,22,"David Toms",98,NA,1174,34863.583,-110,"FairwayProximity",2009
28,28,"Cameron Beckman",87,NA,1002,29797.583,-60,"FairwayProximity",2009
29,29,"Alex Cejka",82,NA,1002,29902.5,-60,"FairwayProximity",2009
29,29,"Justin Leonard",95,NA,1060,31658.25,-130,"FairwayProximity",2009
29,29,"Nick OHern",90,NA,1217,36329.5,-78,"FairwayProximity",2009
32,32,"Matt Weibring",65,NA,744,22265.417,-86,"FairwayProximity",2009
33,33,"Tommy Armour III",58,NA,729,21954.5,-36,"FairwayProximity",2009
33,33,"Jeff Quinney",78,NA,994,29913.667,-59,"FairwayProximity",2009
33,33,"Darron Stiles",52,NA,622,18708.917,-38,"FairwayProximity",2009
33,33,"Chris Stroud",88,NA,1004,30174.25,-81,"FairwayProximity",2009
37,37,"Hunter Mahan",94,NA,1003,30241.917,-120,"FairwayProximity",2009
37,37,"DJ Trahan",96,NA,1070,32267.917,-129,"FairwayProximity",2009
