"BirdieorBetterPercentageRough_RANKTHISWEEK_2010","BirdieorBetterPercentageRough_RANKLASTWEEK_2010","BirdieorBetterPercentageRough_PLAYERNAME_2010","BirdieorBetterPercentageRough_ROUNDS_2010","BirdieorBetterPercentageRough_Pct_2010","BirdieorBetterPercentageRough_TOTALBIRDIES_2010","BirdieorBetterPercentageRough_TOTALHOLES_2010","stat_name","year"
1,1,"Bubba Watson",77,25.18,70,278,"BirdieorBetterPercentageRough",2010
2,2,"George McNeill",79,21.58,71,329,"BirdieorBetterPercentageRough",2010
3,3,"Aaron Baddeley",94,21.25,78,367,"BirdieorBetterPercentageRough",2010
4,4,"Justin Rose",78,20.8,52,250,"BirdieorBetterPercentageRough",2010
5,5,"Ernie Els",72,20.43,47,230,"BirdieorBetterPercentageRough",2010
6,6,"Sergio Garcia",58,20.31,26,128,"BirdieorBetterPercentageRough",2010
7,7,"Brett Wetterich",54,20.28,43,212,"BirdieorBetterPercentageRough",2010
8,8,"Ben Crane",85,19.8,40,202,"BirdieorBetterPercentageRough",2010
9,9,"Angel Cabrera",64,19.41,46,237,"BirdieorBetterPercentageRough",2010
10,10,"Luke Donald",71,19.21,39,203,"BirdieorBetterPercentageRough",2010
11,11,"Jimmy Walker",82,18.98,63,332,"BirdieorBetterPercentageRough",2010
12,12,"Nick Watney",91,18.8,47,250,"BirdieorBetterPercentageRough",2010
13,13,"Dustin Johnson",83,18.61,51,274,"BirdieorBetterPercentageRough",2010
14,14,"Robert Allenby",76,18.59,37,199,"BirdieorBetterPercentageRough",2010
15,15,"Steve Stricker",73,18.56,36,194,"BirdieorBetterPercentageRough",2010
16,16,"YE Yang",72,18.52,40,216,"BirdieorBetterPercentageRough",2010
17,17,"Michael Sim",64,18.38,34,185,"BirdieorBetterPercentageRough",2010
18,18,"Jeff Overton",89,18.3,58,317,"BirdieorBetterPercentageRough",2010
19,19,"Troy Merritt",86,18.15,55,303,"BirdieorBetterPercentageRough",2010
20,20,"Scott Piercy",88,18.05,63,349,"BirdieorBetterPercentageRough",2010
21,21,"John Rollins",81,18.04,46,255,"BirdieorBetterPercentageRough",2010
22,22,"Robert Garrigus",71,18.01,47,261,"BirdieorBetterPercentageRough",2010
23,23,"Jonathan Byrd",85,17.97,53,295,"BirdieorBetterPercentageRough",2010
24,24,"JJ Henry",92,17.94,47,262,"BirdieorBetterPercentageRough",2010
25,25,"Martin Laird",91,17.87,57,319,"BirdieorBetterPercentageRough",2010
26,26,"Bill Haas",87,17.81,44,247,"BirdieorBetterPercentageRough",2010
27,27,"JB Holmes",100,17.8,68,382,"BirdieorBetterPercentageRough",2010
27,27,"Marc Leishman",87,17.8,55,309,"BirdieorBetterPercentageRough",2010
29,29,"Justin Leonard",89,17.79,37,208,"BirdieorBetterPercentageRough",2010
30,30,"Rory Sabbatini",79,17.65,45,255,"BirdieorBetterPercentageRough",2010
31,31,"Billy Mayfair",78,17.55,33,188,"BirdieorBetterPercentageRough",2010
32,32,"Chris Couch",66,17.44,34,195,"BirdieorBetterPercentageRough",2010
33,33,"John Daly",63,17.43,38,218,"BirdieorBetterPercentageRough",2010
34,34,"Rory McIlroy",54,17.31,27,156,"BirdieorBetterPercentageRough",2010
35,35,"Graham DeLaet",88,16.97,46,271,"BirdieorBetterPercentageRough",2010
36,36,"Woody Austin",93,16.91,47,278,"BirdieorBetterPercentageRough",2010
37,37,"Martin Flores",75,16.88,53,314,"BirdieorBetterPercentageRough",2010
37,37,"Charles Howell III",103,16.88,65,385,"BirdieorBetterPercentageRough",2010
39,39,"Phil Mickelson",76,16.84,49,291,"BirdieorBetterPercentageRough",2010
40,40,"Geoff Ogilvy",62,16.83,34,202,"BirdieorBetterPercentageRough",2010
41,41,"Davis Love III",79,16.75,35,209,"BirdieorBetterPercentageRough",2010
42,42,"Cameron Percy",73,16.67,39,234,"BirdieorBetterPercentageRough",2010
43,43,"Ryan Palmer",84,16.61,48,289,"BirdieorBetterPercentageRough",2010
44,44,"Bill Lunde",79,16.53,40,242,"BirdieorBetterPercentageRough",2010
45,45,"Padraig Harrington",57,16.49,31,188,"BirdieorBetterPercentageRough",2010
45,45,"DA Points",90,16.49,47,285,"BirdieorBetterPercentageRough",2010
47,47,"Steve Flesch",78,16.36,35,214,"BirdieorBetterPercentageRough",2010
48,48,"Stephen Ames",75,16.29,36,221,"BirdieorBetterPercentageRough",2010
49,49,"Zach Johnson",93,16.28,35,215,"BirdieorBetterPercentageRough",2010
50,50,"Chris Stroud",90,16.19,40,247,"BirdieorBetterPercentageRough",2010
51,51,"Ricky Barnes",103,16.18,50,309,"BirdieorBetterPercentageRough",2010
51,51,"Lucas Glover",75,16.18,33,204,"BirdieorBetterPercentageRough",2010
53,53,"Cameron Tringale",55,16.09,28,174,"BirdieorBetterPercentageRough",2010
54,54,"KJ Choi",82,16.06,31,193,"BirdieorBetterPercentageRough",2010
54,54,"Bob Estes",79,16.06,44,274,"BirdieorBetterPercentageRough",2010
56,56,"Garth Mulroy",53,16,24,150,"BirdieorBetterPercentageRough",2010
57,57,"DJ Trahan",92,15.99,51,319,"BirdieorBetterPercentageRough",2010
58,58,"John Senden",103,15.97,46,288,"BirdieorBetterPercentageRough",2010
59,59,"Paul Casey",64,15.85,26,164,"BirdieorBetterPercentageRough",2010
60,60,"Vijay Singh",75,15.77,35,222,"BirdieorBetterPercentageRough",2010
61,61,"Adam Scott",70,15.71,30,191,"BirdieorBetterPercentageRough",2010
61,61,"Kevin Streelman",90,15.71,41,261,"BirdieorBetterPercentageRough",2010
63,63,"Matt Jones",89,15.67,50,319,"BirdieorBetterPercentageRough",2010
64,64,"Greg Chalmers",93,15.65,54,345,"BirdieorBetterPercentageRough",2010
64,64,"Jarrod Lyle",54,15.65,23,147,"BirdieorBetterPercentageRough",2010
66,66,"Rickie Fowler",98,15.53,48,309,"BirdieorBetterPercentageRough",2010
66,66,"Camilo Villegas",78,15.53,34,219,"BirdieorBetterPercentageRough",2010
68,68,"Stewart Cink",84,15.52,36,232,"BirdieorBetterPercentageRough",2010
69,69,"Sean OHair",84,15.42,39,253,"BirdieorBetterPercentageRough",2010
70,70,"Daniel Chopra",74,15.41,49,318,"BirdieorBetterPercentageRough",2010
