"Back9ScoringAverage_RANKTHISWEEK_2007","Back9ScoringAverage_RANKLASTWEEK_2007","Back9ScoringAverage_PLAYERNAME_2007","Back9ScoringAverage_ROUNDS_2007","Back9ScoringAverage_AVG_2007","Back9ScoringAverage_TOTALSTROKES_2007","Back9ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Tiger Woods",63,34.73,2084,60,"Back9ScoringAverage",2007
2,2,"Justin Rose",63,35.08,2070,59,"Back9ScoringAverage",2007
3,3,"Jim Furyk",84,35.09,2877,82,"Back9ScoringAverage",2007
4,4,"Jeff Overton",60,35.12,2107,60,"Back9ScoringAverage",2007
5,5,"Alex Cejka",80,35.15,2812,80,"Back9ScoringAverage",2007
6,6,"Tommy Armour III",81,35.17,2849,81,"Back9ScoringAverage",2007
7,7,"KJ Choi",87,35.2,2992,85,"Back9ScoringAverage",2007
7,7,"Freddie Jacobson",70,35.2,2464,70,"Back9ScoringAverage",2007
7,7,"Boo Weekley",101,35.2,3555,101,"Back9ScoringAverage",2007
10,10,"Tom Lehman",62,35.23,2184,62,"Back9ScoringAverage",2007
10,10,"Phil Mickelson",73,35.23,2501,71,"Back9ScoringAverage",2007
12,12,"Joe Ogilvie",102,35.24,3594,102,"Back9ScoringAverage",2007
12,12,"Jay Williamson",50,35.24,1762,50,"Back9ScoringAverage",2007
14,14,"Stephen Leaney",82,35.26,2891,82,"Back9ScoringAverage",2007
15,15,"Sergio Garcia",68,35.27,2328,66,"Back9ScoringAverage",2007
16,16,"Ernie Els",59,35.28,2046,58,"Back9ScoringAverage",2007
16,16,"John Rollins",102,35.28,3563,101,"Back9ScoringAverage",2007
18,18,"Nick Watney",87,35.29,3070,87,"Back9ScoringAverage",2007
19,19,"Ryan Armour",107,35.3,3777,107,"Back9ScoringAverage",2007
19,19,"Hunter Mahan",91,35.3,3212,91,"Back9ScoringAverage",2007
19,19,"Camilo Villegas",82,35.3,2895,82,"Back9ScoringAverage",2007
22,22,"Heath Slocum",101,35.32,3567,101,"Back9ScoringAverage",2007
23,23,"Daniel Chopra",106,35.34,3746,106,"Back9ScoringAverage",2007
23,23,"Jason Gore",86,35.34,3039,86,"Back9ScoringAverage",2007
23,23,"Sean OHair",98,35.34,3463,98,"Back9ScoringAverage",2007
26,26,"Brandt Snedeker",105,35.36,3713,105,"Back9ScoringAverage",2007
26,26,"Steve Stricker",81,35.36,2829,80,"Back9ScoringAverage",2007
28,28,"Ryan Moore",92,35.37,3254,92,"Back9ScoringAverage",2007
28,28,"Charles Warren",101,35.37,3572,101,"Back9ScoringAverage",2007
30,30,"Woody Austin",95,35.38,3361,95,"Back9ScoringAverage",2007
30,30,"Pat Perez",84,35.38,2972,84,"Back9ScoringAverage",2007
32,32,"Cameron Beckman",96,35.39,3397,96,"Back9ScoringAverage",2007
32,32,"Bo Van Pelt",104,35.39,3681,104,"Back9ScoringAverage",2007
34,34,"Gavin Coles",87,35.4,3080,87,"Back9ScoringAverage",2007
34,34,"Brian Gay",107,35.4,3788,107,"Back9ScoringAverage",2007
34,34,"Justin Leonard",95,35.4,3363,95,"Back9ScoringAverage",2007
37,37,"Peter Lonard",85,35.41,3010,85,"Back9ScoringAverage",2007
37,37,"Arron Oberholser",69,35.41,2408,68,"Back9ScoringAverage",2007
39,39,"DJ Brigman",67,35.42,2373,67,"Back9ScoringAverage",2007
39,39,"Jonathan Byrd",73,35.42,2586,73,"Back9ScoringAverage",2007
39,39,"Tim Clark",66,35.42,2267,64,"Back9ScoringAverage",2007
39,39,"Marco Dawson",73,35.42,2586,73,"Back9ScoringAverage",2007
39,39,"David Toms",80,35.42,2727,77,"Back9ScoringAverage",2007
44,44,"Bart Bryant",87,35.44,3048,86,"Back9ScoringAverage",2007
44,44,"Adam Scott",69,35.44,2410,68,"Back9ScoringAverage",2007
46,46,"Stewart Cink",91,35.45,3120,88,"Back9ScoringAverage",2007
46,46,"Glen Day",85,35.45,3013,85,"Back9ScoringAverage",2007
46,46,"JB Holmes",71,35.45,2517,71,"Back9ScoringAverage",2007
46,46,"Carl Pettersson",111,35.45,3900,110,"Back9ScoringAverage",2007
50,50,"Ryuji Imada",104,35.46,3688,104,"Back9ScoringAverage",2007
50,50,"Kent Jones",97,35.46,3440,97,"Back9ScoringAverage",2007
50,50,"Cliff Kresge",107,35.46,3794,107,"Back9ScoringAverage",2007
50,50,"Scott Verplank",82,35.46,2872,81,"Back9ScoringAverage",2007
54,54,"Padraig Harrington",64,35.47,2199,62,"Back9ScoringAverage",2007
54,54,"Matt Kuchar",85,35.47,3015,85,"Back9ScoringAverage",2007
56,56,"Doug LaBelle II",104,35.48,3690,104,"Back9ScoringAverage",2007
56,56,"Bob Tway",103,35.48,3654,103,"Back9ScoringAverage",2007
58,58,"Anthony Kim",93,35.49,3301,93,"Back9ScoringAverage",2007
58,58,"Michael Putnam",96,35.49,3407,96,"Back9ScoringAverage",2007
60,60,"Craig Barlow",52,35.5,1846,52,"Back9ScoringAverage",2007
60,60,"Brian Davis",101,35.5,3585,101,"Back9ScoringAverage",2007
60,60,"Ian Poulter",63,35.5,2130,60,"Back9ScoringAverage",2007
63,63,"Mark Calcavecchia",93,35.51,3302,93,"Back9ScoringAverage",2007
63,63,"Steve Elkington",87,35.51,3089,87,"Back9ScoringAverage",2007
63,63,"Bob Heintz",85,35.51,3018,85,"Back9ScoringAverage",2007
63,63,"Kevin Na",84,35.51,2983,84,"Back9ScoringAverage",2007
63,63,"Vijay Singh",102,35.51,3551,100,"Back9ScoringAverage",2007
68,68,"Nathan Green",103,35.52,3659,103,"Back9ScoringAverage",2007
68,68,"Craig Kanada",109,35.52,3872,109,"Back9ScoringAverage",2007
68,68,"Jerry Kelly",101,35.52,3588,101,"Back9ScoringAverage",2007
68,68,"Mike Weir",82,35.52,2877,81,"Back9ScoringAverage",2007
72,72,"Steve Flesch",100,35.53,3553,100,"Back9ScoringAverage",2007
72,72,"JP Hayes",89,35.53,3162,89,"Back9ScoringAverage",2007
72,72,"Will Ma Kenzie",100,35.53,3553,100,"Back9ScoringAverage",2007
75,75,"Michael Allen",74,35.54,2630,74,"Back9ScoringAverage",2007
75,75,"Michael Boyd",61,35.54,2168,61,"Back9ScoringAverage",2007
75,75,"Mathias Gronberg",95,35.54,3376,95,"Back9ScoringAverage",2007
75,75,"Chris Riley",59,35.54,2097,59,"Back9ScoringAverage",2007
75,75,"John Senden",97,35.54,3447,97,"Back9ScoringAverage",2007
80,80,"Steve Marino",106,35.55,3768,106,"Back9ScoringAverage",2007
81,81,"Steve Allan",63,35.56,2240,63,"Back9ScoringAverage",2007
81,81,"Bob Estes",88,35.56,3129,88,"Back9ScoringAverage",2007
81,81,"Mathew Goggin",97,35.56,3449,97,"Back9ScoringAverage",2007
81,81,"Frank Lickliter II",95,35.56,3378,95,"Back9ScoringAverage",2007
81,81,"Rory Sabbatini",81,35.56,2809,79,"Back9ScoringAverage",2007
81,81,"Bubba Watson",80,35.56,2845,80,"Back9ScoringAverage",2007
87,87,"Briny Baird",115,35.57,4091,115,"Back9ScoringAverage",2007
87,87,"Bill Haas",93,35.57,3308,93,"Back9ScoringAverage",2007
87,87,"Zach Johnson",76,35.57,2668,75,"Back9ScoringAverage",2007
87,87,"Jeff Quinney",95,35.57,3379,95,"Back9ScoringAverage",2007
87,87,"Mark Wilson",87,35.57,3095,87,"Back9ScoringAverage",2007
92,92,"Billy Mayfair",98,35.58,3487,98,"Back9ScoringAverage",2007
92,92,"Kenny Perry",83,35.58,2953,83,"Back9ScoringAverage",2007
92,92,"Tim Petrovic",106,35.58,3771,106,"Back9ScoringAverage",2007
95,95,"Jason Dufner",100,35.59,3559,100,"Back9ScoringAverage",2007
95,95,"Jesper Parnevik",88,35.59,3132,88,"Back9ScoringAverage",2007
95,95,"Dean Wilson",92,35.59,3274,92,"Back9ScoringAverage",2007
