"BirdieorBetterPercentage175200ya_RANKTHISWEEK_2013","BirdieorBetterPercentage175200ya_RANKLASTWEEK_2013","BirdieorBetterPercentage175200ya_PLAYERNAME_2013","BirdieorBetterPercentage175200ya_ROUNDS_2013","BirdieorBetterPercentage175200ya_Pct_2013","BirdieorBetterPercentage175200ya_TOTALBIRDIES_2013","BirdieorBetterPercentage175200ya_TOTALHOLES_2013","stat_name","year"
1,1,"Morgan Hoffmann",64,21.02,37,176,"BirdieorBetterPercentage175200ya",2013
2,2,"Scott Piercy",78,19.79,37,187,"BirdieorBetterPercentage175200ya",2013
3,3,"Robert Garrigus",69,19.25,31,161,"BirdieorBetterPercentage175200ya",2013
4,4,"Dustin Johnson",71,19.08,29,152,"BirdieorBetterPercentage175200ya",2013
5,5,"Billy Horschel",96,18.98,52,274,"BirdieorBetterPercentage175200ya",2013
6,6,"Keegan Bradley",88,18.86,43,228,"BirdieorBetterPercentage175200ya",2013
7,7,"Ian Poulter",59,18.81,19,101,"BirdieorBetterPercentage175200ya",2013
8,8,"Ryo Ishikawa",72,17.89,34,190,"BirdieorBetterPercentage175200ya",2013
8,8,"Rory Sabbatini",86,17.89,39,218,"BirdieorBetterPercentage175200ya",2013
10,10,"John Huh",88,17.67,47,266,"BirdieorBetterPercentage175200ya",2013
11,11,"Ryan Palmer",79,17.62,40,227,"BirdieorBetterPercentage175200ya",2013
12,12,"Charl Schwartzel",69,17.39,32,184,"BirdieorBetterPercentage175200ya",2013
13,13,"Andres Romero",63,17.37,29,167,"BirdieorBetterPercentage175200ya",2013
14,14,"Jeff Overton",78,16.73,45,269,"BirdieorBetterPercentage175200ya",2013
15,15,"Phil Mickelson",78,16.67,30,180,"BirdieorBetterPercentage175200ya",2013
16,16,"Harris English",95,16.61,45,271,"BirdieorBetterPercentage175200ya",2013
17,17,"Jin Park",52,16.56,25,151,"BirdieorBetterPercentage175200ya",2013
18,18,"Graham DeLaet",94,16.49,48,291,"BirdieorBetterPercentage175200ya",2013
19,19,"Charlie Wi",75,16.4,41,250,"BirdieorBetterPercentage175200ya",2013
20,20,"Sangmoon Bae",83,16.14,41,254,"BirdieorBetterPercentage175200ya",2013
21,21,"Nicholas Thompson",99,15.96,45,282,"BirdieorBetterPercentage175200ya",2013
22,22,"Charley Hoffman",84,15.83,41,259,"BirdieorBetterPercentage175200ya",2013
23,23,"Bubba Watson",76,15.69,24,153,"BirdieorBetterPercentage175200ya",2013
24,24,"Robert Streb",75,15.66,31,198,"BirdieorBetterPercentage175200ya",2013
25,25,"Rory McIlroy",56,15.65,18,115,"BirdieorBetterPercentage175200ya",2013
26,26,"Martin Flores",83,15.61,42,269,"BirdieorBetterPercentage175200ya",2013
27,27,"Steve Stricker",51,15.46,15,97,"BirdieorBetterPercentage175200ya",2013
28,28,"Brian Davis",91,15.41,47,305,"BirdieorBetterPercentage175200ya",2013
29,29,"Chris Kirk",89,15.3,41,268,"BirdieorBetterPercentage175200ya",2013
30,30,"Charlie Beljan",62,15.29,26,170,"BirdieorBetterPercentage175200ya",2013
31,31,"Andrew Svoboda",46,15.18,17,112,"BirdieorBetterPercentage175200ya",2013
32,32,"Luke Donald",60,15.03,26,173,"BirdieorBetterPercentage175200ya",2013
33,33,"Jason Kokrak",78,15.02,35,233,"BirdieorBetterPercentage175200ya",2013
34,34,"Bryce Molder",82,14.98,40,267,"BirdieorBetterPercentage175200ya",2013
35,35,"Alistair Presnell",59,14.94,23,154,"BirdieorBetterPercentage175200ya",2013
36,36,"Sergio Garcia",65,14.91,24,161,"BirdieorBetterPercentage175200ya",2013
37,37,"James Hahn",78,14.89,35,235,"BirdieorBetterPercentage175200ya",2013
38,38,"Zach Johnson",84,14.86,33,222,"BirdieorBetterPercentage175200ya",2013
39,39,"Scott Stallings",79,14.83,31,209,"BirdieorBetterPercentage175200ya",2013
40,40,"Russell Henley",80,14.81,32,216,"BirdieorBetterPercentage175200ya",2013
41,41,"Kyle Stanley",71,14.78,30,203,"BirdieorBetterPercentage175200ya",2013
42,42,"Cameron Percy",68,14.72,29,197,"BirdieorBetterPercentage175200ya",2013
43,43,"Bob Estes",66,14.71,35,238,"BirdieorBetterPercentage175200ya",2013
44,44,"Jim Furyk",80,14.69,36,245,"BirdieorBetterPercentage175200ya",2013
45,45,"Webb Simpson",92,14.47,33,228,"BirdieorBetterPercentage175200ya",2013
45,45,"Kevin Streelman",86,14.47,34,235,"BirdieorBetterPercentage175200ya",2013
47,47,"Matt Every",89,14.4,37,257,"BirdieorBetterPercentage175200ya",2013
48,48,"William McGirt",75,14.34,35,244,"BirdieorBetterPercentage175200ya",2013
49,49,"Josh Teater",86,14.29,29,203,"BirdieorBetterPercentage175200ya",2013
50,50,"Gary Woodland",94,14.18,40,282,"BirdieorBetterPercentage175200ya",2013
51,51,"Greg Owen",73,14.15,30,212,"BirdieorBetterPercentage175200ya",2013
52,52,"David Hearn",88,14.12,37,262,"BirdieorBetterPercentage175200ya",2013
53,53,"Martin Kaymer",61,14.09,21,149,"BirdieorBetterPercentage175200ya",2013
54,54,"Jim Herman",59,14.08,20,142,"BirdieorBetterPercentage175200ya",2013
55,55,"Bill Haas",85,14.04,32,228,"BirdieorBetterPercentage175200ya",2013
56,56,"David Lingmerth",68,14.01,29,207,"BirdieorBetterPercentage175200ya",2013
57,57,"Brendon de Jonge",110,13.93,45,323,"BirdieorBetterPercentage175200ya",2013
58,58,"Ben Kohles",75,13.92,33,237,"BirdieorBetterPercentage175200ya",2013
59,59,"Boo Weekley",100,13.9,41,295,"BirdieorBetterPercentage175200ya",2013
60,60,"Greg Chalmers",77,13.89,35,252,"BirdieorBetterPercentage175200ya",2013
