"Puttingfrom5_RANKTHISWEEK_2011","Puttingfrom5_RANKLASTWEEK_2011","Puttingfrom5_PLAYERNAME_2011","Puttingfrom5_ROUNDS_2011","Puttingfrom5_PctMADE_2011","Puttingfrom5_ATTEMPTS_2011","Puttingfrom5_PUTTSMADE_2011","stat_name","year"
1,1,"Bill Haas",93,91.67,96,88,"Puttingfrom5",2011
2,2,"Will Strickler",51,91.38,58,53,"Puttingfrom5",2011
3,3,"Charlie Wi",83,91.35,104,95,"Puttingfrom5",2011
4,4,"Brian Gay",90,90.43,94,85,"Puttingfrom5",2011
5,5,"Bryce Molder",82,89.36,94,84,"Puttingfrom5",2011
6,6,"Josh Teater",104,88.33,120,106,"Puttingfrom5",2011
7,7,"Jason Day",76,88,75,66,"Puttingfrom5",2011
7,7,"Nick Watney",80,88,75,66,"Puttingfrom5",2011
9,9,"Kevin Na",84,87.96,108,95,"Puttingfrom5",2011
10,10,"Steve Elkington",50,87.93,58,51,"Puttingfrom5",2011
11,11,"Blake Adams",116,87.9,157,138,"Puttingfrom5",2011
12,12,"Geoff Ogilvy",69,87.84,74,65,"Puttingfrom5",2011
13,13,"Steve Flesch",88,87.5,88,77,"Puttingfrom5",2011
13,13,"Colt Knost",80,87.5,112,98,"Puttingfrom5",2011
15,15,"Greg Chalmers",88,87.29,118,103,"Puttingfrom5",2011
16,16,"Freddie Jacobson",92,87.16,109,95,"Puttingfrom5",2011
16,16,"Vaughn Taylor",89,87.16,148,129,"Puttingfrom5",2011
18,18,"Rich Beem",53,87.1,62,54,"Puttingfrom5",2011
18,18,"Matt Kuchar",94,87.1,93,81,"Puttingfrom5",2011
20,20,"Tommy Gainey",104,87.02,131,114,"Puttingfrom5",2011
21,21,"Ryan Moore",79,86.9,84,73,"Puttingfrom5",2011
21,21,"Paul Stankowski",78,86.9,84,73,"Puttingfrom5",2011
21,21,"Michael Thompson",79,86.9,84,73,"Puttingfrom5",2011
24,24,"Justin Leonard",82,86.78,121,105,"Puttingfrom5",2011
25,25,"Martin Laird",77,86.6,97,84,"Puttingfrom5",2011
26,26,"Shane Bertsch",62,86.3,73,63,"Puttingfrom5",2011
27,27,"Scott McCarron",65,86.21,87,75,"Puttingfrom5",2011
28,28,"Scott Stallings",84,86.14,101,87,"Puttingfrom5",2011
29,29,"Jimmy Walker",79,85.95,121,104,"Puttingfrom5",2011
30,30,"David Toms",78,85.92,71,61,"Puttingfrom5",2011
31,31,"Andres Gonzales",60,85.71,70,60,"Puttingfrom5",2011
31,31,"Jerry Kelly",85,85.71,98,84,"Puttingfrom5",2011
33,33,"Woody Austin",59,85.33,75,64,"Puttingfrom5",2011
34,34,"Charles Howell III",108,85.32,109,93,"Puttingfrom5",2011
35,35,"Michael Connell",76,85.15,101,86,"Puttingfrom5",2011
35,35,"Justin Rose",79,85.15,101,86,"Puttingfrom5",2011
37,37,"Steve Stricker",70,85.07,67,57,"Puttingfrom5",2011
38,38,"Angel Cabrera",50,85,40,34,"Puttingfrom5",2011
38,38,"Hunter Mahan",92,85,100,85,"Puttingfrom5",2011
38,38,"Rod Pampling",72,85,100,85,"Puttingfrom5",2011
41,41,"Jonathan Byrd",83,84.62,91,77,"Puttingfrom5",2011
42,42,"Martin Piller",63,84.52,84,71,"Puttingfrom5",2011
43,43,"Brendan Steele",89,84.43,122,103,"Puttingfrom5",2011
44,44,"Marc Turnesa",54,84.31,51,43,"Puttingfrom5",2011
45,45,"George McNeill",69,84.29,70,59,"Puttingfrom5",2011
46,46,"Camilo Villegas",69,84.21,76,64,"Puttingfrom5",2011
47,47,"William McGirt",103,84.17,120,101,"Puttingfrom5",2011
48,48,"Padraig Harrington",60,84.13,63,53,"Puttingfrom5",2011
49,49,"Roland Thatcher",67,84.04,94,79,"Puttingfrom5",2011
50,50,"Tim Herron",85,84,100,84,"Puttingfrom5",2011
51,51,"Michael Putnam",67,83.95,81,68,"Puttingfrom5",2011
52,52,"Phil Mickelson",79,83.93,112,94,"Puttingfrom5",2011
53,53,"Andres Romero",77,83.9,118,99,"Puttingfrom5",2011
54,54,"Ben Martin",74,83.84,99,83,"Puttingfrom5",2011
55,55,"Stewart Cink",72,83.78,74,62,"Puttingfrom5",2011
55,55,"Dean Wilson",62,83.78,74,62,"Puttingfrom5",2011
57,57,"Billy Horschel",75,83.67,98,82,"Puttingfrom5",2011
58,58,"Chris Couch",73,83.54,79,66,"Puttingfrom5",2011
59,59,"Jason Bohn",74,83.33,96,80,"Puttingfrom5",2011
60,60,"Brandt Snedeker",85,83.15,89,74,"Puttingfrom5",2011
61,61,"David Mathis",83,83.13,83,69,"Puttingfrom5",2011
62,62,"Nathan Green",81,83.04,112,93,"Puttingfrom5",2011
63,63,"Cameron Beckman",71,83,100,83,"Puttingfrom5",2011
63,63,"Ryan Palmer",82,83,100,83,"Puttingfrom5",2011
65,65,"Chad Campbell",99,82.86,105,87,"Puttingfrom5",2011
65,65,"Jeff Overton",92,82.86,105,87,"Puttingfrom5",2011
67,67,"Mark Wilson",89,82.56,86,71,"Puttingfrom5",2011
68,68,"Kevin Kisner",70,82.54,63,52,"Puttingfrom5",2011
69,69,"Shaun Micheel",77,82.46,114,94,"Puttingfrom5",2011
70,70,"Bobby Gates",82,82.41,108,89,"Puttingfrom5",2011
71,71,"Brendon de Jonge",105,82.4,125,103,"Puttingfrom5",2011
72,72,"Chris Kirk",87,82.26,124,102,"Puttingfrom5",2011
73,73,"Carl Pettersson",95,82.22,135,111,"Puttingfrom5",2011
74,74,"Luke Donald",73,82.19,73,60,"Puttingfrom5",2011
74,74,"Lee Janzen",62,82.19,73,60,"Puttingfrom5",2011
76,76,"Aaron Baddeley",77,82.02,89,73,"Puttingfrom5",2011
77,77,"Retief Goosen",50,81.97,61,50,"Puttingfrom5",2011
78,78,"Tom Gillis",55,81.93,83,68,"Puttingfrom5",2011
79,79,"Matt Bettencourt",84,81.9,105,86,"Puttingfrom5",2011
80,80,"Richard Johnson",64,81.82,77,63,"Puttingfrom5",2011
80,80,"Cameron Tringale",110,81.82,132,108,"Puttingfrom5",2011
80,80,"YE Yang",63,81.82,44,36,"Puttingfrom5",2011
83,83,"DA Points",89,81.73,104,85,"Puttingfrom5",2011
84,84,"JP Hayes",56,81.67,60,49,"Puttingfrom5",2011
85,85,"Tim Petrovic",88,81.65,109,89,"Puttingfrom5",2011
86,86,"Daniel Summerhays",75,81.63,98,80,"Puttingfrom5",2011
87,87,"JB Holmes",57,81.58,76,62,"Puttingfrom5",2011
88,88,"Johnson Wagner",81,81.52,92,75,"Puttingfrom5",2011
89,89,"Ben Curtis",66,81.48,81,66,"Puttingfrom5",2011
89,89,"Chez Reavie",92,81.48,108,88,"Puttingfrom5",2011
91,91,"John Rollins",85,81.44,97,79,"Puttingfrom5",2011
92,92,"Ben Crane",76,81.4,86,70,"Puttingfrom5",2011
93,93,"Charley Hoffman",93,81.19,101,82,"Puttingfrom5",2011
94,94,"Nate Smith",66,81.18,85,69,"Puttingfrom5",2011
95,95,"Steven Bowditch",86,81.15,122,99,"Puttingfrom5",2011
96,96,"Anthony Kim",72,81.08,74,60,"Puttingfrom5",2011
97,97,"Rickie Fowler",84,81.05,95,77,"Puttingfrom5",2011
97,97,"David Hearn",88,81.05,95,77,"Puttingfrom5",2011
99,99,"Chris Stroud",88,80.99,121,98,"Puttingfrom5",2011
100,100,"Michael Bradley",74,80.95,84,68,"Puttingfrom5",2011
100,100,"JJ Henry",96,80.95,105,85,"Puttingfrom5",2011
102,102,"Sean OHair",71,80.9,89,72,"Puttingfrom5",2011
103,103,"Garrett Willis",71,80.85,94,76,"Puttingfrom5",2011
104,104,"Keegan Bradley",91,80.77,104,84,"Puttingfrom5",2011
104,104,"Ian Poulter",52,80.77,52,42,"Puttingfrom5",2011
106,106,"Derek Lamely",65,80.72,83,67,"Puttingfrom5",2011
107,107,"Chris DiMarco",93,80.7,114,92,"Puttingfrom5",2011
107,107,"Brandt Jobe",100,80.7,114,92,"Puttingfrom5",2011
109,109,"Zach Johnson",79,80.52,77,62,"Puttingfrom5",2011
110,110,"Tag Ridings",87,80.41,97,78,"Puttingfrom5",2011
111,111,"Sergio Garcia",61,80.39,51,41,"Puttingfrom5",2011
112,112,"Spencer Levin",113,80.3,132,106,"Puttingfrom5",2011
