"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2010","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2010","AverageGoingforitShotDistanceinYards_PLAYERNAME_2010","AverageGoingforitShotDistanceinYards_EVENTS_2010","AverageGoingforitShotDistanceinYards_AVG_2010","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2010","AverageGoingforitShotDistanceinYards_ATTEMPTS_2010","stat_name","year"
1,1,"KJ Choi",22,244.6,774991,88,"AverageGoingforitShotDistanceinYards",2010
2,2,"Tim Clark",24,244.8,546328,62,"AverageGoingforitShotDistanceinYards",2010
2,2,"Trevor Immelman",19,244.8,493443,56,"AverageGoingforitShotDistanceinYards",2010
4,4,"Boo Weekley",27,246.5,1286779,145,"AverageGoingforitShotDistanceinYards",2010
5,5,"Mike Weir",19,247.2,489530,55,"AverageGoingforitShotDistanceinYards",2010
6,6,"Steve Stricker",19,247.3,747910,84,"AverageGoingforitShotDistanceinYards",2010
7,7,"Dustin Johnson",23,247.4,1576642,177,"AverageGoingforitShotDistanceinYards",2010
8,8,"Matt Bettencourt",32,248.5,1288125,144,"AverageGoingforitShotDistanceinYards",2010
8,8,"Stewart Cink",23,248.5,1154265,129,"AverageGoingforitShotDistanceinYards",2010
10,10,"Marc Leishman",26,248.7,1280496,143,"AverageGoingforitShotDistanceinYards",2010
10,10,"George McNeill",28,248.7,1137083,127,"AverageGoingforitShotDistanceinYards",2010
12,12,"Stephen Ames",23,249,950222,106,"AverageGoingforitShotDistanceinYards",2010
13,13,"Davis Love III",24,249.1,1192842,133,"AverageGoingforitShotDistanceinYards",2010
14,14,"Bo Van Pelt",28,249.2,1650419,184,"AverageGoingforitShotDistanceinYards",2010
15,15,"Derek Lamely",28,249.5,1023896,114,"AverageGoingforitShotDistanceinYards",2010
16,16,"Luke Donald",20,250.1,540242,60,"AverageGoingforitShotDistanceinYards",2010
17,17,"Jim Furyk",21,250.2,765709,85,"AverageGoingforitShotDistanceinYards",2010
18,18,"Bill Haas",25,250.4,1406276,156,"AverageGoingforitShotDistanceinYards",2010
19,19,"Lucas Glover",23,250.5,1217625,135,"AverageGoingforitShotDistanceinYards",2010
20,20,"Robert Allenby",22,250.6,1064365,118,"AverageGoingforitShotDistanceinYards",2010
21,21,"Blake Adams",26,251.3,949735,105,"AverageGoingforitShotDistanceinYards",2010
21,21,"DJ Trahan",27,251.3,1764022,195,"AverageGoingforitShotDistanceinYards",2010
23,23,"Mark Calcavecchia",16,251.5,579511,64,"AverageGoingforitShotDistanceinYards",2010
23,23,"Bob Estes",26,251.5,887400,98,"AverageGoingforitShotDistanceinYards",2010
25,25,"Alex Prugh",28,251.7,1476999,163,"AverageGoingforitShotDistanceinYards",2010
25,25,"Camilo Villegas",20,251.7,1069351,118,"AverageGoingforitShotDistanceinYards",2010
27,27,"Justin Rose",22,251.9,1061127,117,"AverageGoingforitShotDistanceinYards",2010
27,27,"Scott Verplank",22,251.9,671085,74,"AverageGoingforitShotDistanceinYards",2010
29,29,"Michael Letzig",27,252,1342619,148,"AverageGoingforitShotDistanceinYards",2010
30,30,"Graham DeLaet",28,252.1,1624571,179,"AverageGoingforitShotDistanceinYards",2010
31,31,"Roland Thatcher",26,252.2,1144173,126,"AverageGoingforitShotDistanceinYards",2010
32,32,"Greg Owen",27,252.4,990488,109,"AverageGoingforitShotDistanceinYards",2010
33,33,"Woody Austin",29,252.5,1154415,127,"AverageGoingforitShotDistanceinYards",2010
34,34,"JB Holmes",26,252.6,1991734,219,"AverageGoingforitShotDistanceinYards",2010
35,35,"Jonathan Byrd",26,252.7,1319021,145,"AverageGoingforitShotDistanceinYards",2010
36,36,"Michael Bradley",24,252.8,773640,85,"AverageGoingforitShotDistanceinYards",2010
36,36,"Richard Johnson",27,252.8,791852,87,"AverageGoingforitShotDistanceinYards",2010
38,38,"Brendon de Jonge",32,252.9,1420496,156,"AverageGoingforitShotDistanceinYards",2010
38,38,"Retief Goosen",19,252.9,974062,107,"AverageGoingforitShotDistanceinYards",2010
38,38,"Tim Herron",24,252.9,974209,107,"AverageGoingforitShotDistanceinYards",2010
41,41,"Garth Mulroy",19,253.1,856404,94,"AverageGoingforitShotDistanceinYards",2010
41,41,"Webb Simpson",31,253.1,1193416,131,"AverageGoingforitShotDistanceinYards",2010
43,43,"Steve Marino",24,253.2,1075673,118,"AverageGoingforitShotDistanceinYards",2010
44,44,"Daniel Chopra",28,253.4,1194816,131,"AverageGoingforitShotDistanceinYards",2010
45,45,"Charles Howell III",28,253.5,1478525,162,"AverageGoingforitShotDistanceinYards",2010
46,46,"Jason Bohn",25,253.6,1022700,112,"AverageGoingforitShotDistanceinYards",2010
46,46,"Heath Slocum",25,253.6,958460,105,"AverageGoingforitShotDistanceinYards",2010
48,48,"Matt Kuchar",26,253.7,1278398,140,"AverageGoingforitShotDistanceinYards",2010
49,49,"YE Yang",21,253.8,1041751,114,"AverageGoingforitShotDistanceinYards",2010
